|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.75/YM20/YM20_6.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  1580.13        2500.00        3260.42     
  1578.68        2500.00        3230.24     
  1577.22        2500.00        3239.24     
  1575.77        2500.00        3238.36     
  1574.31        2500.00        3239.16     
  1572.86        2500.00        3239.48     
  1571.41        2500.00        3239.75     
  1569.95        2500.00        3240.45     
  1568.50        2500.00        3241.07     
  1567.04        2500.00        3241.32     
  1565.59        2500.00        3241.29     
  1564.14        2500.00        3242.38     
  1562.68        2500.00        3241.73     
  1561.23        2500.00        3241.95     
  1559.77        2500.00        3242.79     
  1558.32        2500.00        3243.43     
  1556.87        2500.00        3244.01     
  1555.41        2500.00        3244.36     
  1553.96        2500.00        3247.85     
  1552.50        2500.00        2808.19     
  1551.05        2500.00        3244.87     
  1549.60        2500.00        3245.76     
  1548.14        2500.00        3246.24     
  1546.69        2500.00        3246.50     
  1545.23        2500.00        3247.45     
  1543.78        2500.00        3247.30     
  1542.33        2500.00        3247.55     
  1540.87        2500.00        3248.54     
  1539.42        2500.00        3247.98     
  1537.97        2500.00        3248.47     
  1536.51        2500.00        3249.13     
  1535.06        2500.00        3249.93     
  1533.60        2500.00        3249.06     
  1532.15        2500.00        3248.64     
  1530.70        2500.00        3250.95     
  1529.24        2500.00        3250.83     
  1527.79        2500.00        3251.53     
  1526.33        2500.00        3251.67     
  1524.88        2500.00        3251.83     
  1523.43        2500.00        3252.26     
  1521.97        2500.00        3252.24     
  1520.52        2500.00        3252.35     
  1519.06        2500.00        3253.29     
  1517.61        2500.00        3255.06     
  1516.16        2500.00        3277.49     
  1514.70        2500.00        3253.67     
  1513.25        2500.00        3255.35     
  1511.79        2500.00        3254.69     
  1510.34        2500.00        3255.79     
  1508.89        2500.00        3255.25     
  1507.43        2500.00        2796.12     
  1505.98        2500.00        3256.98     
  1504.52        2500.00        3256.94     
  1503.07        2500.00        3257.12     
  1501.62        2500.00        3257.40     
  1500.16        2500.00        3257.09     
  1498.71        2500.00        3257.95     
  1497.25        2500.00        3259.33     
  1495.80        2500.00        3258.62     
  1494.35        2500.00        3258.73     
  1492.89        2500.00        3239.10     
  1491.44        2500.00        3238.22     
  1489.98        2500.00        3239.35     
  1488.53        2500.00        3240.68     
  1487.08        2500.00        3240.72     
  1485.62        2500.00        3241.78     
  1484.17        2500.00        3236.52     
  1482.71        2500.00        3234.29     
  1481.26        2500.00        3233.23     
  1479.81        2500.00        3236.38     
  1478.35        2500.00        3236.61     
  1476.90        2500.00        3237.94     
  1475.44        2500.00        3239.28     
  1473.99        2500.00        3240.73     
  1472.54        2500.00        3240.91     
  1471.08        2500.00        3242.12     
  1469.63        2500.00        3243.08     
  1468.18        2500.00        3244.20     
  1466.72        2500.00        3245.62     
  1465.27        2500.00        3246.13     
  1463.81        2500.00        3249.98     
  1462.36        2500.00        3250.02     
  1460.91        2500.00        3256.07     
  1459.45        2500.00        3250.26     
  1458.00        2500.00        3251.08     
  1456.54        2500.00        3252.04     
  1455.09        2500.00        3253.59     
  1453.64        2500.00        3254.02     
  1452.18        2500.00        3255.29     
  1450.73        2500.00        3257.75     
  1449.27        2500.00        3258.75     
  1447.82        2500.00        3259.75     
  1446.37        2500.00        3260.59     
  1444.91        2500.00        3261.41     
  1443.46        2500.00        3262.37     
  1442.00        2500.00        3263.49     
  1440.55        2500.00        3264.29     
  1439.10        2500.00        3265.19     
  1437.64        2500.00        3114.10     
  1436.19        2500.00        3092.51     
  1434.73        2500.00        3093.39     
  1433.28        2500.00        3094.71     
