|6.6.6
Archiving\03_Data\eqfrac/QFM_m1/KHA22/KHA22_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          57
T(K)           P(bar)         V,J/bar/mol    H,J/mol        Gruneisen_T    Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        vp/vs          rho,kg/m3      G,J/mol        cp,J/K/mol     alpha,1/K      beta,1/bar     S,J/K/mol      n,mol          N,g            Ks_{T},bar/K   Gs_{T},bar/K   Ks_{P}         Gs_P           v0_{T}         vp_{T}         vs_{T}         v0_{P}         vp_P           vs_{P}         cp/cv          vol,%          wt,%           mol,%          SiO2,mol,pfu   TiO2,mol,pfu   Al2O3,mol,pfu  Cr2O3,mol,pfu  FeO,mol,pfu    MnO,mol,pfu    MgO,mol,pfu    CaO,mol,pfu    Na2O,mol,pfu   K2O,mol,pfu    NiO,mol,pfu    O2,mol,pfu     mu[SiO2],J/mol mu[TiO2],J/mol mu[Al2O3],J/mo mu[Cr2O3],J/mo mu[FeO],J/mol  mu[MnO],J/mol  mu[MgO],J/mol  mu[CaO],J/mol  mu[Na2O],J/mol mu[K2O],J/mol  mu[NiO],J/mol  nom_ox        
  1586.54        2500.00        1.32062       -405882.       0.335699        240594.        0.00000        2.93185        2.93185        0.00000                 NaN   2798.99       -569969.        57.1230       0.603454E-004  0.429142E-005   103.424       0.189802        36.9639       -29.7525      -0.528434E-002   11.5734       0.163703E-003 -0.928182E-004 -0.928611E-004   0.00000       0.642254E-004  0.642267E-004   0.00000        1.03212        100.000        100.000        100.000       0.324546       0.212857E-002  0.303057E-001  0.986907E-003  0.548410E-001   0.00000       0.168966       0.451165E-001  0.111328E-001  0.424646E-003  0.347813E-012  0.137248E-002  -992867.      -0.108002E+007 -0.183152E+007 -0.134157E+007  -416293.       -520703.       -690962.       -826704.       -943707.      -0.110060E+007  -558349.        0.00000     
  1585.07        2500.00        1.31956       -405929.       0.337969        242284.        0.00000        2.94137        2.94137        0.00000                 NaN   2800.43       -569659.        57.0347       0.602237E-004  0.427867E-005   103.295       0.189806        36.9534       -30.2131      -0.170320        11.5542       0.592838E-002 -0.948260E-004 -0.962045E-004   0.00000       0.638423E-004  0.638903E-004   0.00000        1.03208        100.000        100.000        100.000       0.324477       0.212857E-002  0.303057E-001  0.986907E-003  0.548176E-001   0.00000       0.168853       0.451165E-001  0.111328E-001  0.424646E-003  0.186443E-011  0.136777E-002  -992634.      -0.107932E+007 -0.183098E+007 -0.134106E+007  -415998.       -520510.       -690825.       -826419.       -943228.      -0.109965E+007  -659612.        0.00000     
  1583.60        2500.00        1.31234       -403809.       0.338465        242673.        0.00000        2.94371        2.94371        0.00000                 NaN   2800.46       -566401.        56.6825       0.601634E-004  0.427566E-005   102.672       0.188828        36.7517       -30.3538      -0.228578        11.5587       0.800833E-002 -0.955496E-004 -0.973981E-004   0.00000       0.638127E-004  0.638775E-004   0.00000        1.03203        100.000        100.000        100.000       0.322738       0.212834E-002  0.302699E-001  0.969295E-003  0.544963E-001   0.00000       0.167223       0.450853E-001  0.111320E-001  0.424646E-003  0.343878E-012  0.136018E-002  -992412.      -0.107910E+007 -0.183042E+007 -0.134126E+007  -415779.       -520307.       -690666.       -826027.       -942704.      -0.110016E+007  -583559.        0.00000     
  1582.13        2500.00        1.30337       -401028.       0.338364        242583.        0.00000        2.94346        2.94346        0.00000                 NaN   2799.91       -562258.        56.2581       0.601291E-004  0.427683E-005   101.907       0.187603        36.4931       -30.3166      -0.226036        11.5662       0.791838E-002 -0.954345E-004 -0.972629E-004   0.00000       0.638769E-004  0.639409E-004   0.00000        1.03198        100.000        100.000        100.000       0.320452       0.212802E-002  0.302194E-001  0.944923E-003  0.541021E-001   0.00000       0.165207       0.450406E-001  0.111309E-001  0.424646E-003  0.340878E-012  0.135180E-002  -992198.      -0.107869E+007 -0.182994E+007 -0.134087E+007  -415508.       -520095.       -690513.       -825654.       -942028.      -0.109763E+007  -555114.        0.00000     
  1580.66        2500.00        1.29454       -398294.       0.338247        242483.        0.00000        2.94315        2.94315        0.00000                 NaN   2799.35       -558185.        55.8411       0.600956E-004  0.427807E-005   101.155       0.186398        36.2387       -30.2753      -0.222942        11.5739       0.781016E-002 -0.952989E-004 -0.971029E-004   0.00000       0.639437E-004  0.640069E-004   0.00000        1.03192        100.000        100.000        100.000       0.318205       0.212769E-002  0.301696E-001  0.920849E-003  0.537116E-001   0.00000       0.163228       0.449956E-001  0.111299E-001  0.424646E-003  0.338311E-012  0.134364E-002  -991962.      -0.107824E+007 -0.182939E+007 -0.134138E+007  -415193.                 NaN  -690383.       -825368.       -941525.      -0.109846E+007            NaN   0.00000     
  1579.19        2500.00        1.28589       -395617.       0.338157        242403.        0.00000        2.94295        2.94295        0.00000                 NaN   2798.81       -554194.        55.4320       0.600611E-004  0.427916E-005   100.417       0.185218        35.9895       -30.2423      -0.221558        11.5812       0.776122E-002 -0.952033E-004 -0.969966E-004   0.00000       0.640054E-004  0.640682E-004   0.00000        1.03187        100.000        100.000        100.000       0.316003       0.212737E-002  0.301209E-001  0.897608E-003  0.533285E-001   0.00000       0.161292       0.449514E-001  0.111288E-001  0.424646E-003  0.335809E-012  0.133556E-002  -991756.      -0.107790E+007 -0.182883E+007 -0.134088E+007  -414944.       -519687.       -690221.       -824984.       -940863.      -0.109755E+007  -543095.        0.00000     
  1577.72        2500.00        1.27734       -392973.       0.338059        242317.        0.00000        2.94271        2.94271        0.00000                 NaN   2798.26       -550253.        55.0282       0.600269E-004  0.428029E-005   99.6884       0.184052        35.7433       -30.2056      -0.219645        11.5886       0.769404E-002 -0.950884E-004 -0.968666E-004   0.00000       0.640684E-004  0.641307E-004   0.00000        1.03181        100.000        100.000        100.000       0.313828       0.212704E-002  0.300727E-001  0.874645E-003  0.529495E-001   0.00000       0.159381       0.449068E-001  0.111278E-001  0.424646E-003  0.333332E-012  0.132757E-002  -991532.      -0.107791E+007 -0.182834E+007 -0.134094E+007  -414648.       -519485.       -690080.       -824594.       -940367.      -0.109644E+007  -535473.        0.00000     
  1576.25        2500.00        1.26893       -390368.       0.337946        242220.        0.00000        2.94241        2.94241        0.00000                 NaN   2797.70       -546371.        54.6308       0.599937E-004  0.428150E-005   98.9707       0.182903        35.5008       -30.1671      -0.216848        11.5961       0.759626E-002 -0.949673E-004 -0.967235E-004   0.00000       0.641342E-004  0.641957E-004   0.00000        1.03176        100.000        100.000        100.000       0.311687       0.212672E-002  0.300249E-001  0.851993E-003  0.525759E-001   0.00000       0.157499       0.448625E-001  0.111267E-001  0.424646E-003  0.330885E-012  0.131980E-002  -991322.      -0.107710E+007 -0.182777E+007 -0.134057E+007  -414422.       -519271.       -689916.       -824274.       -939584.      -0.109686E+007  -566803.        0.00000     
  1574.78        2500.00        1.26067       -387816.       0.337853        242138.        0.00000        2.94220        2.94220        0.00000                 NaN   2797.17       -542563.        54.2408       0.599598E-004  0.428259E-005   98.2664       0.181777        35.2631       -30.1312      -0.215311        11.6034       0.754239E-002 -0.948540E-004 -0.965982E-004   0.00000       0.641958E-004  0.642569E-004   0.00000        1.03170        100.000        100.000        100.000       0.309586       0.212639E-002  0.299783E-001  0.830075E-003  0.522103E-001   0.00000       0.155655       0.448183E-001  0.111257E-001  0.424646E-003  0.428836E-012  0.131213E-002  -991110.      -0.107698E+007 -0.182722E+007 -0.134032E+007  -414134.       -519059.       -689766.       -823890.       -939113.      -0.109528E+007 -0.109074E+007   0.00000     
  1573.31        2500.00        1.25287       -385259.       0.336471        241120.        0.00000        2.93669        2.93669        0.00000                 NaN   2795.87       -538808.        53.8932       0.599867E-004  0.429059E-005   97.5964       0.180650        35.0285       -29.8271      -0.118662        11.6203       0.415768E-002 -0.935562E-004 -0.945197E-004   0.00000       0.644636E-004  0.644974E-004   0.00000        1.03165        100.000        100.000        100.000       0.307513       0.212605E-002  0.299319E-001  0.808682E-003  0.518473E-001   0.00000       0.153838       0.447743E-001  0.111247E-001  0.424646E-003  0.326120E-012  0.130672E-002  -990860.      -0.107566E+007 -0.182680E+007 -0.134175E+007  -414027.       -518885.       -689602.       -823502.       -938796.      -0.109396E+007  -519351.        0.00000     
