|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/EETA/EETA_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          an             San(TH)        ilm            q              hed           
  1461.54        2500.00        99.8898       0.800221E-001  0.301585E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00        99.3106       0.276953       0.412418                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.23        2500.00        99.2791       0.230244       0.490693                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00        99.2834       0.229778       0.486788                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00        99.2860       0.485293       0.228697                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.76        2500.00        99.2904       0.482560       0.227084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00        99.2940       0.476157       0.228549                 NaN  0.130456E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00        99.2977       0.477373       0.224952                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00        99.2810       0.488173       0.230825                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00        99.8711       0.885293E-001  0.404204E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00        98.7611       0.840711       0.398145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00        99.3098       0.223786       0.465141                 NaN  0.127816E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00        99.2609       0.502998       0.236100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00        99.3730       0.412857       0.209804                 NaN  0.434157E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1445.35        2500.00        99.3226       0.459295       0.218151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.19        2500.00        99.3240       0.458568       0.217441                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.03        2500.00        99.2780       0.490272       0.231754                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.88        2500.00        99.3778       0.200101       0.422089                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.72        2500.00        99.3322       0.453610       0.214155                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.56        2500.00        99.3358       0.213685       0.450524                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.41        2500.00        99.9970       0.181670E-002            NaN            NaN  0.444456E-004  0.109460E-002            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00        98.6834       0.893486       0.423127                 NaN            NaN  0.121364E-005            NaN            NaN            NaN            NaN            NaN
  1436.09        2500.00        99.3430       0.442694       0.213307                 NaN  0.954375E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00        99.3465       0.209023       0.444450                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.78        2500.00        99.2856       0.230192       0.484237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00        99.4156       0.396141       0.188207                 NaN  0.101357E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1431.46        2500.00        99.3537       0.437881       0.208071                 NaN  0.306282E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1430.31        2500.00        99.3566       0.207344       0.435827                 NaN  0.257435E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1429.15        2500.00        99.3473       0.210231       0.442244                 NaN  0.266088E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1427.99        2500.00        99.3725       0.425215       0.202094                 NaN  0.213102E-003  0.289272E-005            NaN            NaN            NaN            NaN            NaN
  1426.84        2500.00        98.4772       0.650309       0.449519                 NaN  0.339341E-003            NaN  0.422654                 NaN            NaN            NaN            NaN
  1425.68        2500.00        98.4739       0.637107       0.451599                 NaN            NaN  0.947809E-002  0.427875                 NaN            NaN            NaN            NaN
  1424.52        2500.00        98.4262       0.308843       0.543301                 NaN            NaN  0.243300       0.478331                 NaN            NaN            NaN            NaN
  1423.37        2500.00        98.4464       0.538964       0.298617                 NaN            NaN  0.243646       0.472404                 NaN            NaN            NaN            NaN
  1422.21        2500.00        98.4646       0.534284       0.290691                 NaN            NaN  0.243484       0.466978                 NaN            NaN            NaN            NaN
  1421.05        2500.00        98.4839       0.529740       0.282085                 NaN            NaN  0.242987       0.461250                 NaN            NaN            NaN            NaN
  1419.90        2500.00        98.5013       0.525840       0.274019                 NaN            NaN  0.242832       0.455972                 NaN            NaN            NaN            NaN
  1418.74        2500.00        98.5191       0.521730       0.265940                 NaN            NaN  0.242589       0.450642                 NaN            NaN            NaN            NaN
  1417.58        2500.00        98.5364       0.518330       0.257467                 NaN            NaN  0.242277       0.445551                 NaN            NaN            NaN            NaN
  1416.43        2500.00        98.5463       0.513969       0.252601                 NaN            NaN  0.243749       0.443421                 NaN            NaN            NaN            NaN
  1415.27        2500.00        98.5777       0.508583       0.240745                 NaN            NaN  0.240557       0.432382                 NaN            NaN            NaN            NaN
  1414.11        2500.00        98.5883       0.236279       0.505037                 NaN            NaN  0.240689       0.429680                 NaN            NaN            NaN            NaN
  1412.96        2500.00        98.6031       0.502595       0.227769                 NaN            NaN  0.241201       0.425346                 NaN            NaN            NaN            NaN
  1411.80        2500.00        98.6192       0.221277       0.497965                 NaN            NaN  0.240983       0.420532                 NaN            NaN            NaN            NaN
  1410.64        2500.00        98.6340       0.495370       0.213867                 NaN            NaN  0.240766       0.416017                 NaN            NaN            NaN            NaN
  1409.49        2500.00        99.3306       0.102325       0.243026                 NaN            NaN  0.119638       0.204458                 NaN            NaN            NaN            NaN
  1408.33        2500.00        97.9782       0.306128       0.738405                 NaN            NaN  0.362097       0.615214                 NaN            NaN            NaN            NaN
  1407.17        2500.00        98.6789       0.193441       0.484850                 NaN            NaN  0.240371       0.402394                 NaN            NaN            NaN            NaN
  1406.02        2500.00        98.6961       0.481139       0.187714                 NaN            NaN  0.238286       0.396791                 NaN            NaN            NaN            NaN
