|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.5/LAR/LAR_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          57
T(K)           P(bar)         V,J/bar/mol    H,J/mol        Gruneisen_T    Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        vp/vs          rho,kg/m3      G,J/mol        cp,J/K/mol     alpha,1/K      beta,1/bar     S,J/K/mol      n,mol          N,g            Ks_{T},bar/K   Gs_{T},bar/K   Ks_{P}         Gs_P           v0_{T}         vp_{T}         vs_{T}         v0_{P}         vp_P           vs_{P}         cp/cv          vol,%          wt,%           mol,%          SiO2,mol,pfu   TiO2,mol,pfu   Al2O3,mol,pfu  Cr2O3,mol,pfu  FeO,mol,pfu    MnO,mol,pfu    MgO,mol,pfu    CaO,mol,pfu    Na2O,mol,pfu   K2O,mol,pfu    NiO,mol,pfu    O2,mol,pfu     mu[SiO2],J/mol mu[TiO2],J/mol mu[Al2O3],J/mo mu[Cr2O3],J/mo mu[FeO],J/mol  mu[MnO],J/mol  mu[MgO],J/mol  mu[CaO],J/mol  mu[Na2O],J/mol mu[K2O],J/mol  mu[NiO],J/mol  nom_ox        
  1426.28        2500.00        1.25372       -377070.       0.360664        250122.        0.00000        2.97328        2.97328        0.00000                 NaN   2829.31       -509861.        50.5542       0.574265E-004  0.430636E-005   93.1025       0.179543        35.4716       -31.2536       -1.23594        11.5029       0.414185E-001 -0.100388E-003 -0.110183E-003   0.00000       0.619671E-004  0.622953E-004   0.00000        1.02784        100.000        100.000        100.000       0.297916       0.300503E-002  0.451153E-001  0.263175E-003  0.776683E-001   0.00000       0.662465E-001  0.588477E-001  0.159732E-001  0.127394E-002  0.198566E-009  0.989113E-003  -969448.      -0.104126E+007 -0.177348E+007 -0.131323E+007  -382066.       -498781.       -678010.       -797127.       -888622.      -0.101905E+007  -482323.        0.00000     
  1425.21        2500.00        1.20066       -358292.       0.335662        233021.        0.00000        2.88013        2.88013        0.00000                 NaN   2809.13       -485075.        48.4269       0.580176E-004  0.443322E-005   88.9570       0.171602        33.7282       -27.9780      -0.128863        11.8283       0.430266E-002 -0.893542E-004 -0.904160E-004   0.00000       0.667142E-004  0.667497E-004   0.00000        1.02757        100.000        100.000        100.000       0.283206       0.286617E-002  0.446126E-001  0.198886E-003  0.735825E-001   0.00000       0.593335E-001  0.551540E-001  0.158674E-001  0.126373E-002  0.338982E-012  0.968155E-003  -969294.      -0.104111E+007 -0.177306E+007 -0.131314E+007  -381873.       -498640.       -677929.       -797008.       -888239.      -0.101834E+007  -586925.        0.00000     
  1424.14        2500.00        1.19462       -356504.       0.335340        232875.        0.00000        2.87952        2.87952        0.00000                 NaN   2808.56       -482485.        48.1618       0.579730E-004  0.443560E-005   88.4606       0.170652        33.5517       -27.9597      -0.128146        11.8311       0.428018E-002 -0.893943E-004 -0.904506E-004   0.00000       0.667597E-004  0.667950E-004   0.00000        1.02750        100.000        100.000        100.000       0.281722       0.285337E-002  0.445650E-001  0.194278E-003  0.731615E-001   0.00000       0.586272E-001  0.547754E-001  0.158568E-001  0.126267E-002  0.394171E-012  0.964508E-003  -969148.      -0.104088E+007 -0.177258E+007 -0.131315E+007  -381675.       -498492.       -677846.       -796876.       -887961.      -0.101822E+007  -505639.        0.00000     
  1423.07        2500.00        1.18863       -354735.       0.335028        232734.        0.00000        2.87893        2.87893        0.00000                 NaN   2808.02       -479921.        47.8993       0.579293E-004  0.443789E-005   87.9689       0.169708        33.3769       -27.9459      -0.128650        11.8341       0.430398E-002 -0.894586E-004 -0.905195E-004   0.00000       0.668060E-004  0.668415E-004   0.00000        1.02744        100.000        100.000        100.000       0.280255       0.284063E-002  0.445171E-001  0.189763E-003  0.727435E-001   0.00000       0.579305E-001  0.544006E-001  0.158463E-001  0.126167E-002  0.282162E-009  0.960955E-003  -969015.      -0.104074E+007 -0.177216E+007 -0.131312E+007  -381468.                 NaN  -677743.       -796737.       -887490.      -0.101741E+007            NaN   0.00000     
  1422.01        2500.00        1.18268       -352974.       0.334745        232615.        0.00000        2.87847        2.87847        0.00000                 NaN   2807.45       -477370.        47.6377       0.578821E-004  0.444020E-005   87.4794       0.168778        33.2031       -27.9255      -0.127463        11.8357       0.425066E-002 -0.894747E-004 -0.905262E-004   0.00000       0.668394E-004  0.668744E-004   0.00000        1.02737        100.000        100.000        100.000       0.278791       0.282727E-002  0.444681E-001  0.185308E-003  0.723307E-001   0.00000       0.572430E-001  0.540280E-001  0.158357E-001  0.126065E-002  0.347260E-009  0.957268E-003  -968891.      -0.104046E+007 -0.177173E+007 -0.131315E+007  -381236.                 NaN  -677647.       -796579.       -886997.      -0.101710E+007            NaN   0.00000     
  1420.94        2500.00        1.17676       -351220.       0.334353        232424.        0.00000        2.87761        2.87761        0.00000                 NaN   2806.83       -474832.        47.3788       0.578394E-004  0.444284E-005   86.9932       0.167845        33.0296       -27.9022      -0.124941        11.8397       0.417479E-002 -0.895071E-004 -0.905384E-004   0.00000       0.669007E-004  0.669351E-004   0.00000        1.02730        100.000        100.000        100.000       0.277341       0.281487E-002  0.444200E-001  0.180926E-003  0.719096E-001   0.00000       0.565533E-001  0.536559E-001  0.158253E-001  0.125964E-002  0.669762E-012  0.953705E-003  -968702.      -0.104028E+007 -0.177127E+007 -0.131302E+007  -381098.       -498055.       -677592.       -796496.       -886880.      -0.101706E+007  -529390.        0.00000     
  1419.87        2500.00        1.17099       -349520.       0.334081        232313.        0.00000        2.87720        2.87720        0.00000                 NaN   2806.30       -472366.        47.1256       0.577933E-004  0.444497E-005   86.5189       0.166938        32.8614       -27.8890      -0.126118        11.8418       0.421390E-002 -0.895615E-004 -0.906029E-004   0.00000       0.669360E-004  0.669708E-004   0.00000        1.02723        100.000        100.000        100.000       0.275930       0.280211E-002  0.443719E-001  0.176708E-003  0.715051E-001   0.00000       0.558895E-001  0.532953E-001  0.158152E-001  0.125865E-002  0.314566E-012  0.950164E-003  -968550.      -0.104001E+007 -0.177087E+007 -0.131296E+007  -380878.       -497912.       -677532.       -796367.       -886529.      -0.101646E+007  -480630.        0.00000     
  1418.80        2500.00        1.16520       -347808.       0.333750        232163.        0.00000        2.87657        2.87657        0.00000                 NaN   2805.71       -469886.        46.8720       0.577485E-004  0.444737E-005   86.0431       0.166027        32.6921       -27.8709      -0.125031        11.8447       0.417844E-002 -0.896052E-004 -0.906380E-004   0.00000       0.669833E-004  0.670178E-004   0.00000        1.02717        100.000        100.000        100.000       0.274511       0.278933E-002  0.443231E-001  0.172506E-003  0.710956E-001   0.00000       0.552247E-001  0.529323E-001  0.158049E-001  0.125767E-002  0.328134E-012  0.946657E-003  -968407.      -0.103978E+007 -0.177041E+007 -0.131295E+007  -380696.       -497761.       -677435.       -796235.       -886158.      -0.101619E+007  -524309.        0.00000     
  1417.73        2500.00        1.15946       -346122.       0.333510        232076.        0.00000        2.87630        2.87630        0.00000                 NaN   2805.18       -467440.        46.6199       0.577000E-004  0.444936E-005   85.5716       0.165123        32.5250       -27.8630      -0.128189        11.8464       0.428446E-002 -0.896825E-004 -0.907417E-004   0.00000       0.670118E-004  0.670472E-004   0.00000        1.02710        100.000        100.000        100.000       0.273112       0.277639E-002  0.442741E-001  0.168402E-003  0.706908E-001   0.00000       0.545705E-001  0.525743E-001  0.157948E-001  0.125670E-002  0.123708E-010  0.943137E-003  -968277.      -0.103953E+007 -0.176995E+007 -0.131296E+007  -380508.                 NaN  -677323.       -796090.       -885703.      -0.101583E+007            NaN   0.00000     
  1416.66        2500.00        1.15366       -344393.       0.333043        231833.        0.00000        2.87515        2.87515        0.00000                 NaN   2804.50       -464945.        46.3672       0.576600E-004  0.445241E-005   85.0955       0.164213        32.3544       -27.8260      -0.120727        11.8512       0.403535E-002 -0.896561E-004 -0.906542E-004   0.00000       0.670872E-004  0.671205E-004   0.00000        1.02703        100.000        100.000        100.000       0.271683       0.276301E-002  0.442234E-001  0.164253E-003  0.702773E-001   0.00000       0.539042E-001  0.522087E-001  0.157844E-001  0.125572E-002  0.293185E-012  0.939658E-003  -968117.      -0.103928E+007 -0.176953E+007 -0.131291E+007  -380308.       -497463.       -677264.       -795971.       -885446.      -0.101526E+007  -475805.        0.00000     
