|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.25/LAR/LAR_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          57
T(K)           P(bar)         V,J/bar/mol    H,J/mol        Gruneisen_T    Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        vp/vs          rho,kg/m3      G,J/mol        cp,J/K/mol     alpha,1/K      beta,1/bar     S,J/K/mol      n,mol          N,g            Ks_{T},bar/K   Gs_{T},bar/K   Ks_{P}         Gs_P           v0_{T}         vp_{T}         vs_{T}         v0_{P}         vp_P           vs_{P}         cp/cv          vol,%          wt,%           mol,%          SiO2,mol,pfu   TiO2,mol,pfu   Al2O3,mol,pfu  Cr2O3,mol,pfu  FeO,mol,pfu    MnO,mol,pfu    MgO,mol,pfu    CaO,mol,pfu    Na2O,mol,pfu   K2O,mol,pfu    NiO,mol,pfu    O2,mol,pfu     mu[SiO2],J/mol mu[TiO2],J/mol mu[Al2O3],J/mo mu[Cr2O3],J/mo mu[FeO],J/mol  mu[MnO],J/mol  mu[MgO],J/mol  mu[CaO],J/mol  mu[Na2O],J/mol mu[K2O],J/mol  mu[NiO],J/mol  nom_ox        
  1426.28        2500.00        1.24156       -373852.       0.358992        249956.        0.00000        2.97472        2.97472        0.00000                 NaN   2824.70       -505192.        49.9682       0.570656E-004  0.430749E-005   92.0859       0.176780        35.0704       -31.2263       -1.24834        11.5344       0.419013E-001 -0.100934E-003 -0.110839E-003   0.00000       0.622283E-004  0.625607E-004   0.00000        1.02753        100.000        100.000        100.000       0.295586       0.300503E-002  0.450172E-001  0.263175E-003  0.753020E-001   0.00000       0.650060E-001  0.584910E-001  0.159732E-001  0.127394E-002  0.775562E-011  0.637047E-003  -969444.      -0.104117E+007 -0.177331E+007 -0.131310E+007  -382024.       -498785.       -678062.       -797038.       -888495.      -0.101865E+007  -394121.        0.00000     
  1425.21        2500.00        1.18889       -355160.       0.333910        232847.        0.00000        2.88159        2.88159        0.00000                 NaN   2804.19       -480533.        47.8539       0.576323E-004  0.443555E-005   87.9679       0.168992        33.3387       -27.8777      -0.116302        11.8540       0.380633E-002 -0.894630E-004 -0.904225E-004   0.00000       0.669583E-004  0.669897E-004   0.00000        1.02724        100.000        100.000        100.000       0.280897       0.285815E-002  0.445065E-001  0.196973E-003  0.713076E-001   0.00000       0.582066E-001  0.548137E-001  0.158677E-001  0.126371E-002  0.964281E-012  0.622840E-003  -969321.      -0.104073E+007 -0.177284E+007 -0.131311E+007  -381830.       -498613.       -677949.       -796875.       -888037.      -0.101826E+007  -397931.        0.00000     
  1424.14        2500.00        1.18313       -353488.       0.333525        232686.        0.00000        2.88088        2.88088        0.00000                 NaN   2803.63       -478093.        47.6019       0.575881E-004  0.443736E-005   87.4941       0.168035        33.1706       -27.9028      -0.130436        11.8618       0.437999E-002 -0.897798E-004 -0.908564E-004   0.00000       0.670383E-004  0.670745E-004   0.00000        1.02717        100.000        100.000        100.000       0.279539       0.285143E-002  0.444682E-001  0.192159E-003  0.708674E-001   0.00000       0.574980E-001  0.544493E-001  0.158587E-001  0.126280E-002   0.00000       0.620660E-003  -969163.      -0.104068E+007 -0.177243E+007 -0.131305E+007  -381620.       -498477.       -677883.       -796762.       -887698.      -0.101789E+007  -403136.        0.00000     
  1423.07        2500.00        1.17719       -351729.       0.333229        232551.        0.00000        2.88031        2.88031        0.00000                 NaN   2803.10       -475548.        47.3429       0.575471E-004  0.443962E-005   87.0081       0.167107        32.9979       -27.8841      -0.129474        11.8649       0.434627E-002 -0.898055E-004 -0.908746E-004   0.00000       0.670840E-004  0.671199E-004   0.00000        1.02711        100.000        100.000        100.000       0.278069       0.283660E-002  0.444180E-001  0.187539E-003  0.704687E-001   0.00000       0.568230E-001  0.540792E-001  0.158482E-001  0.126178E-002  0.944755E-012  0.618463E-003  -968994.      -0.103999E+007 -0.177197E+007 -0.131291E+007  -381493.                 NaN  -677811.       -796639.       -887536.      -0.101681E+007            NaN   0.00000     
  1422.01        2500.00        1.17131       -349992.       0.332970        232434.        0.00000        2.87985        2.87985        0.00000                 NaN   2802.59       -473034.        47.0860       0.575050E-004  0.444174E-005   86.5267       0.166185        32.8270       -27.8691      -0.130321        11.8675       0.437530E-002 -0.898459E-004 -0.909223E-004   0.00000       0.671230E-004  0.671591E-004   0.00000        1.02705        100.000        100.000        100.000       0.276621       0.282178E-002  0.443665E-001  0.181747E-003  0.700709E-001   0.00000       0.561566E-001  0.537163E-001  0.158377E-001  0.126077E-002  0.294127E-008  0.616288E-003  -968878.      -0.104023E+007 -0.177155E+007 -0.131339E+007  -381243.       -498173.       -677691.       -796491.       -886891.      -0.101696E+007  -415375.        0.00000     
  1420.94        2500.00        1.16601       -348187.       0.330378        230695.        0.00000        2.87007        2.87007        0.00000                 NaN   2800.62       -470512.        46.8762       0.575637E-004  0.445444E-005   86.0875       0.165406        32.6556       -27.5262      -0.148730E-001   11.9022       0.498972E-003 -0.886199E-004 -0.887432E-004   0.00000       0.676448E-004  0.676490E-004   0.00000        1.02700        100.000        100.000        100.000       0.275165       0.280688E-002  0.443157E-001  0.177419E-003  0.696735E-001   0.00000       0.554900E-001  0.533482E-001  0.158272E-001  0.125976E-002   0.00000       0.614908E-003  -968560.      -0.103976E+007 -0.177135E+007 -0.131719E+007  -381252.       -498196.       -677745.       -796488.       -886958.      -0.101718E+007  -368113.        0.00000     
  1419.87        2500.00        1.16412       -348151.       0.334868        233854.        0.00000        2.88817        2.88817        0.00000                 NaN   2803.50       -470143.        46.7541       0.573587E-004  0.443379E-005   85.9178       0.165028        32.6360       -28.1529      -0.238041        11.8391       0.797706E-002 -0.910177E-004 -0.929776E-004   0.00000       0.667051E-004  0.667708E-004   0.00000        1.02694        100.000        100.000        100.000       0.274999       0.280514E-002  0.443100E-001  0.176996E-003  0.696284E-001   0.00000       0.554145E-001  0.533058E-001  0.158260E-001  0.125965E-002  0.678796E-012  0.613037E-003  -968593.      -0.103972E+007 -0.177067E+007 -0.131354E+007  -380858.                 NaN  -677509.       -796218.       -886112.      -0.101622E+007            NaN   0.00000     
  1418.80        2500.00        1.15365       -344899.       0.333401        232964.        0.00000        2.88357        2.88357        0.00000                 NaN   2801.73       -465613.        46.3020       0.573134E-004  0.444274E-005   85.0822       0.163407        32.3223       -27.9918      -0.190710        11.8560       0.637074E-002 -0.906046E-004 -0.921783E-004   0.00000       0.669697E-004  0.670223E-004   0.00000        1.02684        100.000        100.000        100.000       0.272346       0.277841E-002  0.442165E-001  0.169448E-003  0.688895E-001   0.00000       0.541945E-001  0.526314E-001  0.158068E-001  0.125778E-002  0.409202E-012  0.609119E-003  -968460.      -0.103923E+007 -0.177022E+007 -0.131295E+007  -380635.       -497708.       -677435.       -796065.       -885735.      -0.101618E+007 -0.233502E+007   0.00000     
  1417.73        2500.00        1.14575       -342255.       0.330171        230817.        0.00000        2.87163        2.87163        0.00000                 NaN   2799.05       -461971.        45.9800       0.573675E-004  0.445891E-005   84.4419       0.162210        32.0702       -27.5895      -0.565061E-001   11.8997       0.188914E-002 -0.892536E-004 -0.897222E-004   0.00000       0.676209E-004  0.676366E-004   0.00000        1.02677        100.000        100.000        100.000       0.270237       0.275789E-002  0.441405E-001  0.161828E-003  0.682807E-001   0.00000       0.532106E-001  0.520930E-001  0.157917E-001  0.125626E-002  0.352240E-012  0.606745E-003  -968300.      -0.103928E+007 -0.176977E+007 -0.131315E+007  -380463.                 NaN  -677347.       -795960.       -885457.      -0.101541E+007            NaN   0.00000     
  1416.66        2500.00        1.14284       -341567.       0.331406        231729.        0.00000        2.87696        2.87696        0.00000                 NaN   2799.71       -460835.        45.8412       0.572842E-004  0.445347E-005   84.1893       0.161734        31.9961       -27.7674      -0.123012        11.8809       0.411114E-002 -0.899666E-004 -0.909847E-004   0.00000       0.673459E-004  0.673799E-004   0.00000        1.02672        100.000        100.000        100.000       0.269615       0.275185E-002  0.441183E-001  0.160041E-003  0.681022E-001   0.00000       0.529220E-001  0.519339E-001  0.157872E-001  0.125582E-002  0.382365E-012  0.605217E-003  -968148.      -0.103911E+007 -0.176935E+007 -0.131322E+007  -380266.                 NaN  -677270.       -795837.       -885115.      -0.101496E+007            NaN   0.00000     
