|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.25/Y98/Y98_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q              hed           
  1487.18        2500.00        99.9901                 NaN            NaN  0.985720E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.96        2500.00        99.2466                 NaN            NaN  0.516929       0.236459                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.74        2500.00        99.1782                 NaN            NaN  0.550394       0.271454                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.52        2500.00        99.1840                 NaN            NaN  0.545738       0.270250                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.30        2500.00        99.1890                 NaN            NaN  0.542887       0.268070                 NaN            NaN  0.306875E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1481.07        2500.00        99.7072                 NaN            NaN  0.188940       0.101449                 NaN            NaN  0.244410E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1479.85        2500.00        98.6962                 NaN            NaN  0.912461       0.339677                 NaN            NaN  0.516381E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1478.63        2500.00        99.2086                 NaN            NaN  0.251565       0.532092                 NaN            NaN  0.775762E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1477.41        2500.00        99.1839                 NaN            NaN  0.545900       0.270176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        99.2450                 NaN            NaN  0.505680       0.247648                 NaN            NaN  0.164529E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1474.97        2500.00        99.2250                 NaN            NaN  0.530242       0.223887                 NaN            NaN  0.208763E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1473.75        2500.00        99.2309                 NaN            NaN  0.525732       0.223216                 NaN            NaN  0.201667E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1472.53        2500.00        99.2361                 NaN            NaN  0.203326       0.528057                 NaN            NaN  0.325506E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1471.31        2500.00        99.2366                 NaN            NaN  0.243774       0.513788                 NaN            NaN  0.586861E-002            NaN            NaN            NaN            NaN            NaN            NaN
