|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.5/Y98/Y98_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q             
  1490.38        2500.00        97.6281                 NaN  0.433226        1.66228                 NaN            NaN  0.276443                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.15        2500.00        99.1425                 NaN  0.280378       0.577100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.92        2500.00        99.1468                 NaN  0.574701       0.278491                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.69        2500.00        99.1544                 NaN  0.569093       0.276468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.46        2500.00        99.1472                 NaN  0.574659       0.278141                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.23        2500.00        99.8890                 NaN  0.706752E-001  0.233260E-001            NaN            NaN            NaN  0.170443E-001            NaN            NaN            NaN            NaN            NaN
  1483.01        2500.00        98.4633                 NaN  0.488765        1.04678                 NaN            NaN            NaN            NaN  0.116698E-002            NaN            NaN            NaN            NaN
  1481.78        2500.00        99.1782                 NaN  0.548442       0.272034                 NaN            NaN            NaN            NaN  0.127596E-002            NaN            NaN            NaN            NaN
  1480.55        2500.00        99.1825                 NaN  0.545401       0.270838                 NaN            NaN            NaN            NaN  0.123774E-002            NaN            NaN            NaN            NaN
  1479.32        2500.00        99.1886                 NaN  0.541778       0.268471                 NaN            NaN            NaN            NaN  0.119315E-002            NaN            NaN            NaN            NaN
  1478.09        2500.00        99.1938                 NaN  0.266889       0.538146                 NaN            NaN            NaN            NaN  0.116018E-002            NaN            NaN            NaN            NaN
  1476.86        2500.00        99.1985                 NaN  0.535294       0.265124                 NaN            NaN            NaN            NaN  0.112177E-002            NaN            NaN            NaN            NaN
  1475.63        2500.00        99.1993                 NaN  0.264941       0.534691                 NaN            NaN            NaN            NaN  0.107762E-002            NaN            NaN            NaN            NaN
  1474.40        2500.00        99.8171                 NaN  0.118221       0.644506E-001            NaN            NaN            NaN            NaN  0.243213E-003            NaN            NaN            NaN            NaN
  1473.17        2500.00        98.6147                 NaN  0.929871       0.453676                 NaN            NaN            NaN            NaN  0.179636E-002            NaN            NaN            NaN            NaN
  1471.94        2500.00        99.2193                 NaN  0.257553       0.522139                 NaN            NaN            NaN            NaN  0.977035E-003            NaN            NaN            NaN            NaN
  1470.72        2500.00        99.2250                 NaN  0.517884       0.256154                 NaN            NaN            NaN            NaN  0.930468E-003            NaN            NaN            NaN            NaN
  1469.49        2500.00        99.2292                 NaN  0.515366       0.254536                 NaN            NaN            NaN            NaN  0.890201E-003            NaN            NaN            NaN            NaN
  1468.26        2500.00        99.2337                 NaN  0.512188       0.253208                 NaN            NaN            NaN            NaN  0.861732E-003            NaN            NaN            NaN            NaN
  1467.03        2500.00        99.2384                 NaN  0.509293       0.251461                 NaN            NaN            NaN            NaN  0.832448E-003            NaN            NaN            NaN            NaN
  1465.80        2500.00        99.1589                 NaN  0.277608       0.562658                 NaN            NaN            NaN  0.327568E-005  0.868430E-003            NaN            NaN            NaN            NaN
  1464.57        2500.00        99.3325                 NaN  0.446915       0.219876                 NaN            NaN            NaN            NaN  0.680242E-003            NaN            NaN            NaN            NaN
  1463.34        2500.00        99.2507                 NaN  0.246324       0.502283                 NaN            NaN            NaN            NaN  0.738113E-003            NaN            NaN            NaN            NaN
  1462.11        2500.00        99.2569                 NaN  0.244320       0.498017                 NaN            NaN            NaN  0.117691E-004  0.701475E-003            NaN            NaN            NaN            NaN
  1460.88        2500.00        99.1469                 NaN  0.280005       0.572275                 NaN            NaN            NaN            NaN  0.781796E-003            NaN            NaN            NaN            NaN
  1459.65        2500.00        99.3760                 NaN  0.418480       0.205008                 NaN            NaN            NaN  0.816024E-006  0.549673E-003            NaN            NaN            NaN            NaN
  1458.43        2500.00        99.2692                 NaN  0.494247       0.229979                 NaN            NaN            NaN  0.599182E-002  0.605420E-003            NaN            NaN            NaN            NaN
  1457.20        2500.00        99.2712                 NaN  0.489572       0.238630                 NaN            NaN            NaN            NaN  0.598125E-003            NaN            NaN            NaN            NaN
  1455.97        2500.00        99.2771                 NaN  0.489149       0.227908                 NaN            NaN            NaN  0.527623E-002  0.560507E-003            NaN            NaN            NaN            NaN
  1454.74        2500.00        99.2814                 NaN  0.489720       0.218036                 NaN            NaN            NaN  0.103536E-001  0.518366E-003            NaN            NaN            NaN            NaN
