|6.6.6
Archiving\03_Data\eqfrac/QFM_m3/TIS/TIS_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          57
T(K)           P(bar)         V,J/bar/mol    H,J/mol        Gruneisen_T    Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        vp/vs          rho,kg/m3      G,J/mol        cp,J/K/mol     alpha,1/K      beta,1/bar     S,J/K/mol      n,mol          N,g            Ks_{T},bar/K   Gs_{T},bar/K   Ks_{P}         Gs_P           v0_{T}         vp_{T}         vs_{T}         v0_{P}         vp_P           vs_{P}         cp/cv          vol,%          wt,%           mol,%          SiO2,mol,pfu   TiO2,mol,pfu   Al2O3,mol,pfu  Cr2O3,mol,pfu  FeO,mol,pfu    MnO,mol,pfu    MgO,mol,pfu    CaO,mol,pfu    Na2O,mol,pfu   K2O,mol,pfu    NiO,mol,pfu    O2,mol,pfu     mu[SiO2],J/mol mu[TiO2],J/mol mu[Al2O3],J/mo mu[Cr2O3],J/mo mu[FeO],J/mol  mu[MnO],J/mol  mu[MgO],J/mol  mu[CaO],J/mol  mu[Na2O],J/mol mu[K2O],J/mol  mu[NiO],J/mol  nom_ox        
  1461.54        2500.00        1.14714       -342510.       0.358881        242033.        0.00000        2.90531        2.90531        0.00000                 NaN   2867.42       -470322.        47.7364       0.616980E-004  0.426997E-005   87.4506       0.171181        32.8934       -29.1708      -0.203055E-001   11.4274       0.642444E-003 -0.854534E-004 -0.856159E-004   0.00000       0.623833E-004  0.623885E-004   0.00000        1.03232        100.000        100.000        100.000       0.267126       0.325545E-002  0.381518E-001  0.328969E-003  0.787818E-001   0.00000       0.704645E-001  0.617009E-001  0.103261E-001  0.212323E-003  0.287119E-012  0.730547E-003  -974506.      -0.104707E+007 -0.178596E+007 -0.131843E+007  -388057.                 NaN  -681095.       -801003.       -908024.      -0.107264E+007            NaN   0.00000     
  1460.38        2500.00        1.14528       -342370.       0.362100        244261.        0.00000        2.91760        2.91760        0.00000                 NaN   2869.47       -469829.        47.6266       0.615597E-004  0.425487E-005   87.2776       0.170806        32.8636       -29.6537      -0.191135        11.3903       0.643792E-002 -0.872975E-004 -0.888195E-004   0.00000       0.618192E-004  0.618704E-004   0.00000        1.03229        100.000        100.000        100.000       0.266949       0.325465E-002  0.381279E-001  0.305100E-003  0.786990E-001   0.00000       0.703605E-001  0.616509E-001  0.103252E-001  0.212303E-003  0.701170E-012  0.728384E-003  -974348.      -0.104661E+007 -0.178543E+007 -0.131834E+007  -387856.                 NaN  -680987.       -800862.       -907588.      -0.107254E+007            NaN   0.00000     
  1459.23        2500.00        1.13709       -339911.       0.361861        244129.        0.00000        2.91696        2.91696        0.00000                 NaN   2869.18       -466296.        47.2651       0.615231E-004  0.425736E-005   86.6105       0.169539        32.6251       -29.6261      -0.186734        11.3915       0.625876E-002 -0.872622E-004 -0.887497E-004   0.00000       0.618461E-004  0.618960E-004   0.00000        1.03222        100.000        100.000        100.000       0.264904       0.323805E-002  0.380702E-001  0.297345E-003  0.781880E-001   0.00000       0.693680E-001  0.611220E-001  0.103152E-001  0.212050E-003  0.284796E-012  0.724760E-003  -974187.      -0.104636E+007 -0.178488E+007 -0.131830E+007  -387632.       -503180.       -680896.       -800716.       -907321.      -0.107108E+007  -510744.        0.00000     
  1458.07        2500.00        1.12900       -337492.       0.361549        243959.        0.00000        2.91612        2.91612        0.00000                 NaN   2868.84       -462815.        46.9083       0.614863E-004  0.425992E-005   85.9512       0.168269        32.3892       -29.6045      -0.185478        11.3949       0.621682E-002 -0.872852E-004 -0.887633E-004   0.00000       0.618920E-004  0.619415E-004   0.00000        1.03215        100.000        100.000        100.000       0.262908       0.322324E-002  0.380152E-001  0.289880E-003  0.776604E-001   0.00000       0.683654E-001  0.606042E-001  0.103056E-001  0.211810E-003  0.282374E-012  0.721174E-003  -974025.      -0.104601E+007 -0.178444E+007 -0.131819E+007  -387392.                 NaN  -680817.       -800569.       -906750.      -0.107153E+007            NaN   0.00000     
  1456.91        2500.00        1.12101       -335106.       0.361269        243812.        0.00000        2.91541        2.91541        0.00000                 NaN   2868.50       -459380.        46.5553       0.614478E-004  0.426232E-005   85.2996       0.167013        32.1562       -29.5892      -0.185897        11.3978       0.623127E-002 -0.873355E-004 -0.888174E-004   0.00000       0.619319E-004  0.619816E-004   0.00000        1.03207        100.000        100.000        100.000       0.260937       0.320857E-002  0.379602E-001  0.282578E-003  0.771373E-001   0.00000       0.673790E-001  0.600931E-001  0.102961E-001  0.211574E-003  0.478651E-011  0.717626E-003  -973864.      -0.104584E+007 -0.178388E+007 -0.131814E+007  -387191.       -502859.       -680712.       -800429.       -906389.      -0.107095E+007  -512299.        0.00000     
  1455.76        2500.00        1.11375       -332654.       0.358057        241616.        0.00000        2.90333        2.90333        0.00000                 NaN   2866.37       -455960.        46.2622       0.615361E-004  0.427777E-005   84.7023       0.165919        31.9241       -29.1575      -0.404838E-001   11.4371       0.135711E-002 -0.858527E-004 -0.861770E-004   0.00000       0.625058E-004  0.625167E-004   0.00000        1.03202        100.000        100.000        100.000       0.258976       0.319366E-002  0.379045E-001  0.275377E-003  0.766142E-001   0.00000       0.663998E-001  0.595839E-001  0.102866E-001  0.211335E-003  0.284596E-012  0.715548E-003  -973702.      -0.104564E+007 -0.178340E+007 -0.131801E+007  -386990.       -502699.       -680609.       -800293.       -905784.      -0.106840E+007  -488584.        0.00000     
  1454.60        2500.00        1.11061       -332325.       0.363670        245573.        0.00000        2.92520        2.92520        0.00000                 NaN   2869.93       -455142.        46.0735       0.612807E-004  0.425255E-005   84.4334       0.165343        31.8737       -29.9576      -0.322456        11.3672       0.108100E-001 -0.887939E-004 -0.913546E-004   0.00000       0.614817E-004  0.615675E-004   0.00000        1.03195        100.000        100.000        100.000       0.258551       0.319039E-002  0.378923E-001  0.273830E-003  0.765006E-001   0.00000       0.661886E-001  0.594736E-001  0.102845E-001  0.211285E-003  0.277492E-012  0.711952E-003  -973550.      -0.104521E+007 -0.178284E+007 -0.131802E+007  -386750.       -502529.       -680523.       -800130.       -905569.      -0.106964E+007  -501305.        0.00000     
  1453.44        2500.00        1.09765       -328122.       0.360300        243285.        0.00000        2.91281        2.91281        0.00000                 NaN   2867.41       -449331.        45.5255       0.613375E-004  0.427004E-005   83.3944       0.163341        31.4741       -29.5278      -0.181093        11.4083       0.607309E-002 -0.874336E-004 -0.888791E-004   0.00000       0.620759E-004  0.621244E-004   0.00000        1.03186        100.000        100.000        100.000       0.255177       0.316392E-002  0.377934E-001  0.261633E-003  0.755957E-001   0.00000       0.645134E-001  0.585967E-001  0.102682E-001  0.210857E-003  0.255785E-010  0.707260E-003  -973379.      -0.104503E+007 -0.178239E+007 -0.131792E+007  -386512.       -502378.       -680452.       -799997.       -905102.      -0.106963E+007  -486601.        0.00000     
  1452.29        2500.00        1.09005       -325851.       0.359983        243115.        0.00000        2.91199        2.91199        0.00000                 NaN   2867.04       -446063.        45.1905       0.612999E-004  0.427259E-005   82.7744       0.162148        31.2521       -29.5069      -0.179384        11.4115       0.601367E-002 -0.874617E-004 -0.888942E-004   0.00000       0.621216E-004  0.621696E-004   0.00000        1.03179        100.000        100.000        100.000       0.253303       0.314902E-002  0.377377E-001  0.254944E-003  0.750911E-001   0.00000       0.635888E-001  0.581098E-001  0.102591E-001  0.210627E-003  0.271612E-012  0.703866E-003  -973227.      -0.104471E+007 -0.178183E+007 -0.131790E+007  -386308.       -502207.       -680342.       -799843.       -904731.      -0.106908E+007  -522386.        0.00000     
  1451.13        2500.00        1.08255       -323614.       0.359674        242953.        0.00000        2.91120        2.91120        0.00000                 NaN   2866.67       -442843.        44.8600       0.612618E-004  0.427507E-005   82.1627       0.160968        31.0332       -29.4891      -0.178754        11.4149       0.599453E-002 -0.875050E-004 -0.889329E-004   0.00000       0.621670E-004  0.622149E-004   0.00000        1.03172        100.000        100.000        100.000       0.251459       0.313422E-002  0.376820E-001  0.248416E-003  0.745912E-001   0.00000       0.626780E-001  0.576297E-001  0.102501E-001  0.210405E-003  0.269543E-012  0.700519E-003  -973071.      -0.104435E+007 -0.178136E+007 -0.131783E+007  -386082.       -502042.       -680253.       -799691.       -904238.      -0.106844E+007  -522502.        0.00000     
