|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.75/ALH/ALH_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           an             San(TH)        ilm            q              hed           
  1567.31        2500.00       0.269701E-001   99.8803                 NaN            NaN  0.573059E-001  0.354064E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.89        2500.00                 NaN   99.3621                 NaN            NaN  0.574461       0.634230E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.47        2500.00                 NaN   99.3624                 NaN            NaN  0.577229       0.603553E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.04        2500.00                 NaN   99.3712                 NaN            NaN  0.567054       0.617602E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.62        2500.00                 NaN   99.3748                 NaN            NaN  0.565036       0.601231E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        2500.00                 NaN   99.3778                 NaN            NaN  0.563194       0.590168E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.78        2500.00                 NaN   99.3831                 NaN            NaN  0.558597       0.582940E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.36        2500.00                 NaN   99.3895                 NaN            NaN  0.551582       0.589105E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.94        2500.00                 NaN   99.3809                 NaN            NaN  0.560800       0.583315E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.51        2500.00                 NaN   99.4101                 NaN            NaN  0.533917       0.559959E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.09        2500.00                 NaN   99.4012                 NaN            NaN  0.542541       0.562975E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.67        2500.00                 NaN   99.4049                 NaN            NaN  0.539674       0.554522E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.25        2500.00                 NaN   99.3697                 NaN            NaN  0.569258       0.610182E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.83        2500.00                 NaN   99.4562                 NaN            NaN  0.493062       0.507869E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.40        2500.00                 NaN   99.9961                 NaN            NaN            NaN  0.388215E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.98        2500.00                 NaN   98.8420                 NaN            NaN   1.05587       0.102088                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.56        2500.00                 NaN   99.4333                 NaN            NaN  0.513482       0.532630E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.14        2500.00                 NaN   99.4293                 NaN            NaN  0.518575       0.520799E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.72        2500.00                 NaN   99.4346                 NaN            NaN  0.514868       0.505730E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.30        2500.00                 NaN   99.4363                 NaN            NaN  0.513595       0.500942E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.87        2500.00                 NaN   99.3788                 NaN            NaN  0.562286       0.589295E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
