|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.75/Y98/Y98_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          iron           an             San(TH)        ilm            q             
  1490.38        2500.00       0.894551E-002   97.4201                 NaN   1.62249       0.948509                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.15        2500.00       0.229254E-002   99.0349                 NaN  0.647861       0.314917                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.92        2500.00       0.221578E-002   99.0414                 NaN  0.643478       0.312864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.69        2500.00       0.214166E-002   99.0475                 NaN  0.310824       0.639567                 NaN            NaN  0.104411E-005            NaN            NaN            NaN            NaN            NaN
  1485.46        2500.00       0.212131E-002   99.0337                 NaN  0.647967       0.316193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.23        2500.00       0.194941E-002   99.0825                 NaN  0.615687       0.299857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.01        2500.00       0.194934E-002   99.0656                 NaN  0.305009       0.627465                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.78        2500.00       0.185890E-002   99.0743                 NaN  0.302936       0.620861                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.55        2500.00       0.180785E-002   99.0806                 NaN  0.298829       0.617589                 NaN            NaN  0.116348E-002            NaN            NaN            NaN            NaN            NaN
  1479.32        2500.00       0.172425E-002   99.0868                 NaN  0.289246       0.616610                 NaN            NaN  0.562379E-002            NaN            NaN            NaN            NaN            NaN
  1478.09        2500.00       0.164763E-002   99.0930                 NaN  0.283435       0.613610                 NaN            NaN  0.831708E-002            NaN            NaN            NaN            NaN            NaN
  1476.86        2500.00       0.159048E-002   99.0992                 NaN  0.609449       0.281592                 NaN            NaN  0.821439E-002            NaN            NaN            NaN            NaN            NaN
  1475.63        2500.00       0.146770E-002   99.1071                 NaN  0.612641       0.255598                 NaN            NaN  0.231552E-001            NaN            NaN            NaN            NaN            NaN
  1474.40        2500.00       0.137200E-002   99.1147                 NaN  0.612986       0.237849                 NaN            NaN  0.331190E-001            NaN            NaN            NaN            NaN            NaN
  1473.17        2500.00       0.140348E-002   99.1159                 NaN  0.271283       0.600536                 NaN            NaN  0.109076E-001            NaN            NaN            NaN            NaN            NaN
  1471.94        2500.00       0.131280E-002   99.1228                 NaN  0.254153       0.600763                 NaN            NaN  0.209533E-001            NaN            NaN            NaN            NaN            NaN
  1470.72        2500.00       0.125985E-002   99.1286                 NaN  0.597098       0.252717                 NaN            NaN  0.203702E-001            NaN            NaN            NaN            NaN            NaN
  1469.49        2500.00       0.121246E-002   99.1318                 NaN  0.594559       0.253275                 NaN            NaN  0.191630E-001            NaN            NaN            NaN            NaN            NaN
  1468.26        2500.00       0.116453E-002   99.1399                 NaN  0.589023       0.250573                 NaN            NaN  0.193523E-001            NaN            NaN            NaN            NaN            NaN
  1467.03        2500.00       0.111921E-002   99.1424                 NaN  0.587486       0.250718                 NaN            NaN  0.182789E-001            NaN            NaN            NaN            NaN            NaN
  1465.80        2500.00       0.119567E-002   99.0508                 NaN  0.649747       0.278535                 NaN            NaN  0.196732E-001            NaN            NaN            NaN            NaN            NaN
  1464.57        2500.00       0.271900E-003   99.7632                 NaN  0.164374       0.640743E-001            NaN            NaN  0.803416E-002            NaN            NaN            NaN            NaN            NaN
  1463.34        2500.00       0.164439E-002   98.6402                 NaN  0.929489       0.405467                 NaN            NaN  0.231828E-001            NaN            NaN            NaN            NaN            NaN
  1462.11        2500.00       0.951696E-003   99.1617                 NaN  0.573396       0.248271                 NaN            NaN  0.156553E-001            NaN            NaN            NaN            NaN            NaN
  1460.88        2500.00       0.908656E-003   99.1649                 NaN  0.571201       0.247948                 NaN            NaN  0.150186E-001            NaN            NaN            NaN            NaN            NaN
  1459.65        2500.00       0.871866E-003   99.1691                 NaN  0.568641       0.247033                 NaN            NaN  0.143728E-001            NaN            NaN            NaN            NaN            NaN
  1458.43        2500.00       0.809493E-003   99.1292                 NaN  0.561490       0.293947                 NaN            NaN  0.807435E-002  0.648341E-002            NaN            NaN            NaN            NaN
  1457.20        2500.00                 NaN   98.0721                 NaN   1.40680       0.420529                 NaN            NaN  0.253223E-001  0.752697E-001            NaN            NaN            NaN            NaN
  1455.97        2500.00       0.276307E-004   99.9933                 NaN  0.176060E-002  0.463067E-002            NaN            NaN  0.199489E-004  0.251473E-003            NaN            NaN            NaN            NaN
  1454.74        2500.00       0.209667E-003   99.9905                 NaN  0.607173E-002  0.291169E-002            NaN            NaN            NaN  0.299538E-003            NaN            NaN            NaN            NaN
  1453.51        2500.00                 NaN   98.4276                 NaN   1.10904       0.402194                 NaN            NaN            NaN  0.611453E-001            NaN            NaN            NaN            NaN
  1452.28        2500.00       0.344463E-003   98.4676                 NaN  0.769845       0.438561                 NaN            NaN            NaN  0.785809E-001  0.245071                 NaN            NaN            NaN
  1451.05        2500.00                 NaN   96.1341                 NaN   1.19584        1.29937                 NaN            NaN            NaN  0.237656        1.13300                 NaN            NaN            NaN
  1449.82        2500.00                 NaN   96.2816                 NaN   1.25265        1.14742                 NaN            NaN            NaN  0.227793        1.09058                 NaN            NaN            NaN
  1448.59        2500.00                 NaN   96.4157                 NaN   1.20996        1.10414                 NaN            NaN            NaN  0.218583        1.05162                 NaN            NaN            NaN
  1447.36        2500.00                 NaN   96.5602                 NaN   1.05811        1.16362                 NaN            NaN            NaN  0.208822        1.00920                 NaN            NaN            NaN
  1446.14        2500.00                 NaN   96.6758                 NaN   1.02153        1.12606                 NaN            NaN            NaN  0.200917       0.975662                 NaN            NaN            NaN
  1444.91        2500.00                 NaN   96.7896                 NaN   1.08961       0.985043                 NaN            NaN            NaN  0.193287       0.942435                 NaN            NaN            NaN
  1443.68        2500.00                 NaN   96.8951                 NaN   1.05605       0.950994                 NaN            NaN            NaN  0.186117       0.911767                 NaN            NaN            NaN
  1442.45        2500.00                 NaN   96.9981                 NaN  0.918948        1.02212                 NaN            NaN            NaN  0.179176       0.881691                 NaN            NaN            NaN
  1441.22        2500.00                 NaN   97.0906                 NaN  0.992763       0.888462                 NaN            NaN            NaN  0.173078       0.855059                 NaN            NaN            NaN
  1439.99        2500.00                 NaN   97.1797                 NaN  0.861850       0.963033                 NaN            NaN            NaN  0.166874       0.828513                 NaN            NaN            NaN
  1438.76        2500.00                 NaN   97.2686                 NaN  0.834112       0.933824                 NaN            NaN            NaN  0.160879       0.802573                 NaN            NaN            NaN
  1437.53        2500.00                 NaN   97.3456                 NaN  0.908313       0.810219                 NaN            NaN            NaN  0.155642       0.780182                 NaN            NaN            NaN
  1436.30        2500.00                 NaN   97.4200                 NaN  0.787123       0.884141                 NaN            NaN            NaN  0.150365       0.758322                 NaN            NaN            NaN
  1435.07        2500.00                 NaN   97.4930                 NaN  0.859972       0.764648                 NaN            NaN            NaN  0.145419       0.736966                 NaN            NaN            NaN
  1433.84        2500.00                 NaN   97.5606                 NaN  0.743007       0.838408                 NaN            NaN            NaN  0.140861       0.717113                 NaN            NaN            NaN
  1432.62        2500.00                 NaN   97.6258                 NaN  0.815970       0.723830                 NaN            NaN            NaN  0.136472       0.697975                 NaN            NaN            NaN
  1431.39        2500.00                 NaN   97.6874                 NaN  0.795379       0.705090                 NaN            NaN            NaN  0.132185       0.679954                 NaN            NaN            NaN
  1430.16        2500.00                 NaN   97.7451                 NaN  0.688251       0.775583                 NaN            NaN            NaN  0.128156       0.662930                 NaN            NaN            NaN
  1428.93        2500.00                 NaN   97.8020                 NaN  0.670175       0.757227                 NaN            NaN            NaN  0.124259       0.646319                 NaN            NaN            NaN
  1427.70        2500.00                 NaN   97.8555                 NaN  0.654827       0.738702                 NaN            NaN            NaN  0.120711       0.630309                 NaN            NaN            NaN
  1426.47        2500.00                 NaN   97.9079                 NaN  0.638442       0.721645                 NaN            NaN            NaN  0.117054       0.615006                 NaN            NaN            NaN
  1425.24        2500.00                 NaN   97.9554                 NaN  0.705803       0.624111                 NaN            NaN            NaN  0.113707       0.600989                 NaN            NaN            NaN
  1424.01        2500.00                 NaN   98.0023                 NaN  0.610593       0.689471                 NaN            NaN            NaN  0.110386       0.587265                 NaN            NaN            NaN
  1422.78        2500.00                 NaN   98.0467                 NaN  0.596417       0.675126                 NaN            NaN            NaN  0.107577       0.574204                 NaN            NaN            NaN
  1421.55        2500.00                 NaN   98.0905                 NaN  0.659407       0.584658                 NaN            NaN            NaN  0.104268       0.561133                 NaN            NaN            NaN
  1420.33        2500.00                 NaN   98.1320                 NaN  0.571765       0.645917                 NaN            NaN            NaN  0.101525       0.548833                 NaN            NaN            NaN
