|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.75/YM20/YM20_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          57
T(K)           P(bar)         V,J/bar/mol    H,J/mol        Gruneisen_T    Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        vp/vs          rho,kg/m3      G,J/mol        cp,J/K/mol     alpha,1/K      beta,1/bar     S,J/K/mol      n,mol          N,g            Ks_{T},bar/K   Gs_{T},bar/K   Ks_{P}         Gs_P           v0_{T}         vp_{T}         vs_{T}         v0_{P}         vp_P           vs_{P}         cp/cv          vol,%          wt,%           mol,%          SiO2,mol,pfu   TiO2,mol,pfu   Al2O3,mol,pfu  Cr2O3,mol,pfu  FeO,mol,pfu    MnO,mol,pfu    MgO,mol,pfu    CaO,mol,pfu    Na2O,mol,pfu   K2O,mol,pfu    NiO,mol,pfu    O2,mol,pfu     mu[SiO2],J/mol mu[TiO2],J/mol mu[Al2O3],J/mo mu[Cr2O3],J/mo mu[FeO],J/mol  mu[MnO],J/mol  mu[MgO],J/mol  mu[CaO],J/mol  mu[Na2O],J/mol mu[K2O],J/mol  mu[NiO],J/mol  nom_ox        
  1583.33        2500.00        1.29125       -396387.       0.339976        243586.        0.00000        2.94297        2.94297        0.00000                 NaN   2812.43       -556843.        55.7604       0.602406E-004  0.424605E-005   101.341       0.184443        36.3157       -30.0067      -0.646867E-001   11.3923       0.223086E-002 -0.926247E-004 -0.931458E-004   0.00000       0.625721E-004  0.625900E-004   0.00000        1.03235        100.000        100.000        100.000       0.316224       0.212857E-002  0.309922E-001  0.986907E-003  0.569289E-001   0.00000       0.158297       0.486831E-001  0.951935E-002  0.424646E-003  0.337920E-012  0.177031E-003  -992266.      -0.107943E+007 -0.182870E+007 -0.134209E+007  -414370.       -520374.       -691009.       -825368.       -948073.      -0.110179E+007  -508944.        0.00000     
  1581.87        2500.00        1.28792       -395671.       0.341850        244986.        0.00000        2.95082        2.95082        0.00000                 NaN   2813.56       -555488.        55.5737       0.601362E-004  0.423524E-005   101.030       0.184097        36.2363       -30.4156      -0.213879        11.3820       0.747891E-002 -0.944506E-004 -0.961680E-004   0.00000       0.622986E-004  0.623587E-004   0.00000        1.03231        100.000        100.000        100.000       0.315562       0.212848E-002  0.309793E-001  0.980062E-003  0.567834E-001   0.00000       0.157649       0.486714E-001  0.951915E-002  0.424646E-003  0.337116E-012  0.176257E-003  -992096.      -0.107846E+007 -0.182809E+007 -0.134045E+007  -414067.                 NaN  -690840.       -824886.       -947731.      -0.110088E+007            NaN   0.00000     
  1580.41        2500.00        1.27955       -393122.       0.342260        245285.        0.00000        2.95287        2.95287        0.00000                 NaN   2813.08       -551645.        55.1649       0.600600E-004  0.423427E-005   100.305       0.183064        35.9948       -30.4246      -0.228460        11.3769       0.791885E-002 -0.944590E-004 -0.962926E-004   0.00000       0.622292E-004  0.622927E-004   0.00000        1.03224        100.000        100.000        100.000       0.313446       0.212811E-002  0.309317E-001  0.955141E-003  0.563794E-001   0.00000       0.155812       0.486268E-001  0.951840E-002  0.424646E-003  0.334692E-012  0.174852E-003  -991885.      -0.107768E+007 -0.182788E+007 -0.133959E+007  -413782.       -519909.       -690691.       -824430.       -946756.      -0.109714E+007 -0.249616E+007   0.00000     
  1578.94        2500.00        1.27040       -390240.       0.341087        244475.        0.00000        2.94851        2.94851        0.00000                 NaN   2812.10       -547387.        54.7506       0.600737E-004  0.423930E-005   99.5269       0.181690        35.7249       -30.2960      -0.193511        11.4020       0.681923E-002 -0.941296E-004 -0.956855E-004   0.00000       0.625075E-004  0.625623E-004   0.00000        1.03219        100.000        100.000        100.000       0.311154       0.212774E-002  0.308850E-001  0.930435E-003  0.558987E-001   0.00000       0.153665       0.485820E-001  0.951763E-002  0.424646E-003   0.00000       0.174125E-003  -991643.      -0.107771E+007 -0.182701E+007 -0.133992E+007  -413560.       -519729.       -690564.       -824207.       -946640.      -0.109871E+007  -419239.        0.00000     
  1577.48        2500.00        1.26316       -388068.       0.341538        244753.        0.00000        2.95026        2.95026        0.00000                 NaN   2811.95       -544087.        54.4055       0.600331E-004  0.423779E-005   98.9035       0.180772        35.5193       -30.3189      -0.211834        11.4011       0.742227E-002 -0.941757E-004 -0.958780E-004   0.00000       0.624632E-004  0.625229E-004   0.00000        1.03215        100.000        100.000        100.000       0.309297       0.212738E-002  0.308393E-001  0.906636E-003  0.555753E-001   0.00000       0.152177       0.485384E-001  0.951690E-002  0.424646E-003  0.757024E-012  0.173167E-003  -991444.      -0.107710E+007 -0.182648E+007 -0.134013E+007  -413299.                 NaN  -690387.       -823849.       -945943.      -0.109805E+007            NaN   0.00000     
  1576.02        2500.00        1.25514       -385605.       0.341512        244713.        0.00000        2.95029        2.95029        0.00000                 NaN   2811.43       -540395.        54.0275       0.599994E-004  0.423854E-005   98.2155       0.179713        35.2874       -30.2768      -0.207991        11.4054       0.727252E-002 -0.940023E-004 -0.956740E-004   0.00000       0.624999E-004  0.625584E-004   0.00000        1.03209        100.000        100.000        100.000       0.307249       0.212700E-002  0.307919E-001  0.882401E-003  0.551926E-001   0.00000       0.150438       0.484924E-001  0.951614E-002  0.424646E-003  0.193882E-011  0.172154E-003  -991215.      -0.107691E+007 -0.182604E+007 -0.134033E+007  -413018.       -519312.       -690250.       -823491.       -945351.      -0.109753E+007  -566579.        0.00000     
  1574.56        2500.00        1.24723       -383176.       0.341424        244642.        0.00000        2.95014        2.95014        0.00000                 NaN   2810.90       -536752.        53.6546       0.599658E-004  0.423940E-005   97.5358       0.178655        35.0583       -30.2402      -0.205997        11.4112       0.720231E-002 -0.938795E-004 -0.955356E-004   0.00000       0.625506E-004  0.626085E-004   0.00000        1.03204        100.000        100.000        100.000       0.305239       0.212661E-002  0.307467E-001  0.859543E-003  0.548069E-001   0.00000       0.148702       0.484479E-001  0.951542E-002  0.424646E-003  0.123967E-011  0.171165E-003  -991003.      -0.107655E+007 -0.182544E+007 -0.134015E+007  -412753.       -519102.       -690098.       -823145.       -944890.      -0.109687E+007  -550748.        0.00000     
  1573.10        2500.00        1.23943       -380784.       0.341341        244575.        0.00000        2.95001        2.95001        0.00000                 NaN   2810.37       -533164.        53.2872       0.599323E-004  0.424022E-005   96.8662       0.177613        34.8328       -30.2067      -0.204554        11.4170       0.715184E-002 -0.937730E-004 -0.954179E-004   0.00000       0.626003E-004  0.626578E-004   0.00000        1.03199        100.000        100.000        100.000       0.303262       0.212624E-002  0.307020E-001  0.837066E-003  0.544265E-001   0.00000       0.146994       0.484035E-001  0.951470E-002  0.424646E-003  0.343090E-012  0.170187E-003  -990782.      -0.107610E+007 -0.182492E+007 -0.134019E+007  -412518.       -518900.       -689944.       -822826.       -944181.      -0.109630E+007  -556430.        0.00000     
  1571.63        2500.00        1.23175       -378424.       0.341247        244499.        0.00000        2.94984        2.94984        0.00000                 NaN   2809.84       -529623.        52.9251       0.598993E-004  0.424110E-005   96.2054       0.176585        34.6101       -30.1700      -0.202167        11.4228       0.706793E-002 -0.936508E-004 -0.952769E-004   0.00000       0.626516E-004  0.627084E-004   0.00000        1.03193        100.000        100.000        100.000       0.301309       0.212587E-002  0.306579E-001  0.815134E-003  0.540501E-001   0.00000       0.145310       0.483591E-001  0.951399E-002  0.424646E-003  0.344635E-012  0.169226E-003  -990566.      -0.107573E+007 -0.182444E+007 -0.133998E+007  -412233.       -518695.       -689801.       -822451.       -943614.      -0.109578E+007  -574953.        0.00000     
  1570.17        2500.00        1.22419       -376106.       0.341162        244432.        0.00000        2.94970        2.94970        0.00000                 NaN   2809.32       -526144.        52.5690       0.598659E-004  0.424192E-005   95.5555       0.175574        34.3913       -30.1341      -0.200457        11.4285       0.700792E-002 -0.935299E-004 -0.951426E-004   0.00000       0.627009E-004  0.627573E-004   0.00000        1.03188        100.000        100.000        100.000       0.299390       0.212549E-002  0.306147E-001  0.793738E-003  0.536791E-001   0.00000       0.143658       0.483148E-001  0.951329E-002  0.424646E-003  0.766395E-012  0.168276E-003  -990352.      -0.107529E+007 -0.182387E+007 -0.133980E+007  -411955.                 NaN  -689654.       -822127.       -943065.      -0.109499E+007            NaN   0.00000     
  1568.71        2500.00        1.21673       -373820.       0.341074        244361.        0.00000        2.94956        2.94956        0.00000                 NaN   2808.79       -522714.        52.2179       0.598327E-004  0.424275E-005   94.9146       0.174578        34.1755       -30.0989      -0.198528        11.4341       0.693988E-002 -0.934143E-004 -0.950119E-004   0.00000       0.627506E-004  0.628064E-004   0.00000        1.03182        100.000        100.000        100.000       0.297498       0.212510E-002  0.305719E-001  0.772651E-003  0.533120E-001   0.00000       0.142030       0.482709E-001  0.951259E-002  0.424646E-003  0.344182E-012  0.167339E-003  -990128.      -0.107491E+007 -0.182341E+007 -0.133998E+007  -411725.       -518290.       -689502.       -821772.       -942411.      -0.109468E+007  -562617.        0.00000     
  1567.25        2500.00        1.20939       -371570.       0.340988        244293.        0.00000        2.94942        2.94942        0.00000                 NaN   2808.26       -519335.        51.8722       0.597998E-004  0.424356E-005   94.2831       0.173596        33.9630       -30.0659      -0.197146        11.4399       0.689219E-002 -0.933098E-004 -0.948966E-004   0.00000       0.628004E-004  0.628559E-004   0.00000        1.03177        100.000        100.000        100.000       0.295635       0.212472E-002  0.305297E-001  0.752050E-003  0.529501E-001   0.00000       0.140427       0.482270E-001  0.951190E-002  0.424646E-003  0.503821E-012  0.166421E-003  -989914.      -0.107457E+007 -0.182284E+007 -0.133979E+007  -411453.       -518082.       -689355.       -821463.       -941820.      -0.109337E+007  -556660.        0.00000     
  1565.79        2500.00        1.20215       -369350.       0.340907        244227.        0.00000        2.94929        2.94929        0.00000                 NaN   2807.75       -516002.        51.5312       0.597669E-004  0.424436E-005   93.6600       0.172627        33.7533       -30.0314      -0.195673        11.4455       0.684044E-002 -0.931950E-004 -0.947703E-004   0.00000       0.628491E-004  0.629041E-004   0.00000        1.03172        100.000        100.000        100.000       0.293795       0.212433E-002  0.304881E-001  0.732027E-003  0.525929E-001   0.00000       0.138849       0.481831E-001  0.951123E-002  0.424646E-003  0.312214E-012  0.165511E-003  -989704.      -0.107416E+007 -0.182231E+007 -0.133944E+007  -411170.       -517871.       -689208.       -821111.       -941259.      -0.109263E+007 -0.128851E+007   0.00000     
  1564.32        2500.00        1.19517       -367140.       0.340124        243651.        0.00000        2.94630        2.94630        0.00000                 NaN   2806.82       -512713.        51.2135       0.597668E-004  0.424888E-005   93.0583       0.171658        33.5464       -29.8556      -0.143591        11.4564       0.501950E-002 -0.924655E-004 -0.936231E-004   0.00000       0.630075E-004  0.630480E-004   0.00000        1.03166        100.000        100.000        100.000       0.291979       0.212394E-002  0.304472E-001  0.712530E-003  0.522392E-001   0.00000       0.137294       0.481392E-001  0.951056E-002  0.424646E-003  0.320736E-012  0.164754E-003  -989436.      -0.107381E+007 -0.182192E+007 -0.134156E+007  -411015.       -517718.       -689065.       -820783.       -940905.      -0.109323E+007 -0.103218E+008   0.00000     
  1562.86        2500.00        1.18958       -365603.       0.341481        244638.        0.00000        2.95200        2.95200        0.00000                 NaN   2807.32       -510278.        50.9303       0.596775E-004  0.424176E-005   92.5704       0.170987        33.3955       -30.1181      -0.244758        11.4498       0.855744E-002 -0.936302E-004 -0.955992E-004   0.00000       0.628205E-004  0.628893E-004   0.00000        1.03162        100.000        100.000        100.000       0.290654       0.212365E-002  0.304177E-001  0.698533E-003  0.519807E-001   0.00000       0.136161       0.481063E-001  0.951007E-002  0.424646E-003  0.328207E-012  0.163809E-003  -989267.      -0.107339E+007 -0.182131E+007 -0.133968E+007  -410716.                 NaN  -688896.       -820345.       -940286.      -0.109239E+007            NaN   0.00000     
