|6.6.6
Archiving\03_Data\eqfrac/QFM_m4/GRV/GRV_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1596.15        2500.00        99.3160                 NaN  0.683528       0.510577E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        2500.00        99.1661                 NaN  0.833890       0.231598E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        2500.00        99.1723                 NaN  0.824759       0.289969E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        2500.00        99.1792                 NaN  0.793700       0.270824E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        2500.00        99.1824                 NaN  0.792323       0.252551E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00        97.4911                 NaN   2.39771       0.108402       0.281757E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        2500.00        99.9968                 NaN  0.317403E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        2500.00        99.3436                 NaN  0.656395                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        2500.00        99.2142                 NaN  0.777249       0.854975E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        2500.00        99.2144                 NaN  0.767351       0.182570E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        2500.00        99.2190                 NaN  0.763039       0.179205E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
