|6.6.6
Archiving\03_Data\eqfrac/QFM_m4/LAR/LAR_6.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  1426.28        2500.00        3330.80     
  1425.21        2500.00        3342.88     
  1424.14        2500.00        3335.70     
  1423.07        2500.00        3336.19     
  1422.01        2500.00        3337.49     
  1420.94        2500.00        3338.63     
  1419.87        2500.00        3339.20     
  1418.80        2500.00        3340.06     
  1417.73        2500.00        3340.77     
  1416.66        2500.00        3346.08     
  1415.60        2500.00        3152.88     
  1414.53        2500.00        3156.01     
  1413.46        2500.00        3154.23     
  1412.39        2500.00        3155.13     
  1411.32        2500.00        3156.26     
  1410.25        2500.00        3157.30     
  1409.19        2500.00        3159.11     
  1408.12        2500.00        3160.14     
  1407.05        2500.00        3161.77     
  1405.98        2500.00        3163.10     
  1404.91        2500.00        3164.20     
  1403.84        2500.00        3165.55     
  1402.78        2500.00        3166.79     
  1401.71        2500.00        3168.09     
  1400.64        2500.00        3169.62     
  1399.57        2500.00        3170.94     
  1398.50        2500.00        3172.16     
  1397.43        2500.00        3173.12     
  1396.37        2500.00        3174.43     
  1395.30        2500.00        3175.73     
  1394.23        2500.00        3177.57     
  1393.16        2500.00        3179.51     
  1392.09        2500.00        3361.99     
  1391.02        2500.00        3181.35     
  1389.96        2500.00        3182.68     
  1388.89        2500.00        3183.62     
  1387.82        2500.00        3185.42     
  1386.75        2500.00        3186.26     
  1385.68        2500.00        3188.13     
  1384.61        2500.00        3189.25     
  1383.55        2500.00        3190.41     
  1382.48        2500.00        3191.96     
  1381.41        2500.00        3193.16     
  1380.34        2500.00        3194.51     
  1379.27        2500.00        3195.93     
  1378.20        2500.00        3196.99     
  1377.13        2500.00        3198.57     
  1376.07        2500.00        3199.76     
  1375.00        2500.00        3201.18     
  1373.93        2500.00        3202.22     
  1372.86        2500.00        3203.79     
  1371.79        2500.00        3204.88     
  1370.72        2500.00        3205.82     
  1369.66        2500.00        3207.46     
  1368.59        2500.00        3208.23     
  1367.52        2500.00        3209.88     
  1366.45        2500.00        3210.96     
  1365.38        2500.00        3212.20     
  1364.31        2500.00        3213.45     
  1363.25        2500.00        3214.62     
  1362.18        2500.00        3216.94     
  1361.11        2500.00        3217.53     
  1360.04        2500.00        3218.36     
  1358.97        2500.00        3219.50     
  1357.90        2500.00        3220.59     
  1356.84        2500.00        3221.67     
  1355.77        2500.00        3223.06     
  1354.70        2500.00        3224.17     
  1353.63        2500.00        3225.31     
  1352.56        2500.00        3226.32     
  1351.49        2500.00        3227.48     
  1350.43        2500.00        3228.57     
  1349.36        2500.00        3229.42     
  1348.29        2500.00        3230.75     
  1347.22        2500.00        3231.61     
  1346.15        2500.00        3232.79     
  1345.08        2500.00        3233.71     
  1344.02        2500.00        3234.66     
  1342.95        2500.00        3235.74     
  1341.88        2500.00        3236.77     
  1340.81        2500.00        3237.88     
  1339.74        2500.00        3238.35     
  1338.67        2500.00        3239.46     
  1337.61        2500.00        3240.55     
  1336.54        2500.00        3241.39     
  1335.47        2500.00        3242.14     
  1334.40        2500.00        3242.96     
  1333.33        2500.00        3243.87     
  1332.26        2500.00        3244.97     
  1331.19        2500.00        3245.76     
  1330.13        2500.00        3245.79     
  1329.06        2500.00        3222.91     
  1327.99        2500.00        3251.94     
  1326.92        2500.00        3250.86     
  1325.85        2500.00        3252.34     
  1324.78        2500.00        3253.27     
  1323.72        2500.00        3253.97     
  1322.65        2500.00        3232.26     
  1321.58        2500.00        3255.82     
  1320.51        2500.00        3256.53     
  1319.44        2500.00        3255.55     
  1318.37        2500.00        3248.92     
  1317.31        2500.00        3258.82     
  1316.24        2500.00        3258.04     
  1315.17        2500.00        3257.17     
  1314.10        2500.00        3258.92     
  1313.03        2500.00        3257.52     
  1311.96        2500.00        3256.46     
  1310.90        2500.00        3260.75     
  1309.83        2500.00        3259.39     
  1308.76        2500.00        3255.69     
  1307.69        2500.00        2800.58     
  1306.62        2500.00        2799.62     
  1305.55        2500.00        2802.07     
  1304.49        2500.00        2804.23     
  1303.42        2500.00        2806.66     
  1302.35        2500.00        2808.63     
  1301.28        2500.00        2810.88     
  1300.21        2500.00        2812.83     
  1299.14        2500.00        2814.98     
  1298.08        2500.00        2817.06     
  1297.01        2500.00        2818.90     
  1295.94        2500.00        2820.74     
  1294.87        2500.00        2832.39     
  1293.80        2500.00        2837.85     
  1292.73        2500.00        2838.52     
  1291.67        2500.00        2839.27     
  1290.60        2500.00        2839.48     
  1289.53        2500.00        2839.42     
  1288.46        2500.00        2839.07     
  1287.39        2500.00        2838.30     
  1286.32        2500.00        2837.06     
  1285.26        2500.00        2834.80     
  1284.19        2500.00        2832.16     
  1283.12        2500.00        2823.96     
  1282.05        2500.00        2829.28     
  1280.98        2500.00        2823.83     
  1279.91        2500.00        2819.29     
  1278.84        2500.00        2822.57     
  1277.78        2500.00        2831.75     
  1276.71        2500.00        2849.25     
  1275.64        2500.00        2856.43     
  1274.57        2500.00        2879.15     
  1273.50        2500.00        2830.79     
  1272.43        2500.00        2833.52     
  1271.37        2500.00        2843.99     
  1270.30        2500.00        2882.37     
  1269.23        2500.00        2831.96     
  1268.16        2500.00        2839.69     
  1267.09        2500.00        2929.33     
  1266.02        2500.00        2792.67     
  1264.96        2500.00        2854.60     
  1263.89        2500.00        2857.84     
  1262.82        2500.00        2846.76     
  1261.75        2500.00        2815.84     
  1260.68        2500.00        2839.44     
  1259.61        2500.00        2855.27     
  1258.55        2500.00        2735.45     
  1257.48        2500.00        2654.84     
  1256.41        2500.00        2923.25     
  1255.34        2500.00        2993.22     
  1254.27        2500.00        2858.51     
  1253.20        2500.00        2819.89     
  1252.14        2500.00        2764.59     
  1251.07        2500.00        3196.85     
  1250.00        2500.00        2916.65     
  1248.93        2500.00        2792.39     
  1247.86        2500.00        2911.22     
  1246.79        2500.00        2842.49     
  1245.73        2500.00        2793.81     
  1244.66        2500.00        2832.57     
  1243.59        2500.00        2722.65     
  1242.52        2500.00        2937.14     
  1241.45        2500.00        2881.79     
  1240.38        2500.00        2812.52     
  1239.32        2500.00        2780.12     
  1238.25        2500.00        2999.64     
  1237.18        2500.00        3008.76     
  1236.11        2500.00        2744.96     
  1235.04        2500.00        2878.27     
  1233.97        2500.00        3280.18     
  1232.90        2500.00        2866.47     
  1231.84        2500.00        3648.66     
  1230.77        2500.00        2686.54     
  1229.70        2500.00        2673.60     
  1228.63        2500.00        2673.66     
  1227.56        2500.00        2673.71     
  1226.49        2500.00        2673.77     
  1225.43        2500.00        2673.70     
  1224.36        2500.00        2673.88     
  1223.29        2500.00        2674.02     
  1222.22        2500.00        2673.98     
  1221.15        2500.00        2674.04     
  1220.08        2500.00        2674.16     
  1219.02        2500.00        2674.23     
  1217.95        2500.00        2674.20     
  1216.88        2500.00        2674.33     
  1215.81        2500.00        2674.31     
  1214.74        2500.00        2674.44     
  1213.67        2500.00        2674.41     
  1212.61        2500.00        2674.55     
  1211.54        2500.00        2674.52     
  1210.47        2500.00        2674.58     
  1209.40        2500.00        2674.63     
  1208.33        2500.00        2674.57     
  1207.26        2500.00        2674.74     
  1206.20        2500.00        2674.67     
  1205.13        2500.00        2674.84     
  1204.06        2500.00        2674.90     
  1202.99        2500.00        2674.96     
  1201.92        2500.00        2675.01     
  1200.85        2500.00        2675.07     
  1199.79        2500.00        2675.12     
  1198.72        2500.00        2675.17     
  1197.65        2500.00        2675.23     
  1196.58        2500.00        2675.26     
  1195.51        2500.00        2675.30     
  1194.44        2500.00        2675.39     
  1193.38        2500.00        2675.43     
  1192.31        2500.00        2675.48     
  1191.24        2500.00        2675.53     
  1190.17        2500.00        2675.57     
  1189.10        2500.00        2675.53     
  1188.03        2500.00        2675.59     
  1186.96        2500.00        2675.64     
  1185.90        2500.00        2675.70     
  1184.83        2500.00        2675.57     
  1183.76        2500.00        2675.80     
  1182.69        2500.00        2675.86     
  1181.62        2500.00        2675.91     
  1180.55        2500.00        2675.97     
  1179.49        2500.00        2676.02     
  1178.42        2500.00        2676.07     
  1177.35        2500.00        2676.13     
  1176.28        2500.00        2676.18     
  1175.21        2500.00        2676.23     
  1174.14        2500.00        2676.29     
  1173.08        2500.00        2676.34     
  1172.01        2500.00        2676.40     
  1170.94        2500.00        2676.45     
  1169.87        2500.00        2676.33     
  1168.80        2500.00        2676.56     
  1167.73        2500.00        2676.61     
  1166.67        2500.00        2676.67     
  1165.60        2500.00        2676.54     
  1164.53        2500.00        2676.78     
  1163.46        2500.00        2676.83     
  1162.39        2500.00        2676.88     
  1161.32        2500.00        2676.93     
  1160.26        2500.00        2676.99     
  1159.19        2500.00        2677.04     
  1158.12        2500.00        2677.10     
  1157.05        2500.00        2677.15     
  1155.98        2500.00        2677.21     
  1154.91        2500.00        2677.25     
  1153.85        2500.00        2677.30     
  1152.78        2500.00        2677.19     
  1151.71        2500.00        2677.31     
  1150.64        2500.00        2677.29     
  1149.57        2500.00        2677.42     
  1148.50        2500.00        2677.47     
  1147.44        2500.00        2677.46     
  1146.37        2500.00        2677.51     
  1145.30        2500.00        2677.56     
  1144.23        2500.00        2677.62     
  1143.16        2500.00        2677.67     
  1142.09        2500.00        2677.88     
  1141.02        2500.00        2677.84     
  1139.96        2500.00        2677.99     
  1138.89        2500.00        2677.95     
  1137.82        2500.00        2678.10     
  1136.75        2500.00        2678.06     
  1135.68        2500.00        2678.20     
  1134.61        2500.00        2678.17     
  1133.55        2500.00        2678.31     
  1132.48        2500.00        2678.27     
  1131.41        2500.00        2678.26     
  1130.34        2500.00        2678.38     
  1129.27        2500.00        2678.43     
  1128.20        2500.00        2678.49     
  1127.14        2500.00        2678.47     
  1126.07        2500.00        2678.59     
  1125.00        2500.00        2678.63     
  1123.93        2500.00        2678.63     
  1122.86        2500.00        2678.69     
  1121.79        2500.00        2678.74     
  1120.73        2500.00        2678.79     
  1119.66        2500.00        2678.85     
  1118.59        2500.00        2678.90     
  1117.52        2500.00        2678.95     
  1116.45        2500.00        2679.01     
  1115.38        2500.00        2679.06     
  1114.32        2500.00        2679.11     
  1113.25        2500.00        2679.17     
  1112.18        2500.00        2679.40     
  1111.11        2500.00        2679.27     
  1110.04        2500.00        2679.54     
  1108.97        2500.00        2679.38     
  1107.91        2500.00        2679.43     
  1106.84        2500.00        2679.49     
  1105.77        2500.00        2679.54     
  1104.70        2500.00        2679.70     
  1103.63        2500.00        2679.76     
  1102.56        2500.00        2679.91     
  1101.50        2500.00        2679.75     
  1100.43        2500.00        2679.91     
  1099.36        2500.00        2680.08     
  1098.29        2500.00        2680.14     
  1097.22        2500.00        2680.18     
  1096.15        2500.00        2680.26     
  1095.09        2500.00        2680.31     
  1094.02        2500.00        2680.34     
  1092.95        2500.00        2680.39     
  1091.88        2500.00        2680.44     
  1090.81        2500.00        2680.50     
  1089.74        2500.00        2680.60     
  1088.67        2500.00        2680.43     
  1087.61        2500.00        2680.70     
  1086.54        2500.00        2680.76     
  1085.47        2500.00        2680.58     
  1084.40        2500.00        2680.64     
  1083.33        2500.00        2680.92     
  1082.26        2500.00        2680.96     
  1081.20        2500.00        2681.02     
  1080.13        2500.00        2680.85     
  1079.06        2500.00        2681.09     
  1077.99        2500.00        2681.14     
  1076.92        2500.00        2681.19     
  1075.85        2500.00        2681.25     
  1074.79        2500.00        2681.30     
  1073.72        2500.00        2681.35     
  1072.65        2500.00        2681.40     
  1071.58        2500.00        2681.46     
  1070.51        2500.00        2681.51     
  1069.44        2500.00        2681.56     
  1068.38        2500.00        2681.61     
  1067.31        2500.00        2681.67     
  1066.24        2500.00        2681.72     
  1065.17        2500.00        2681.77     
  1064.10        2500.00        2681.83     
  1063.03        2500.00        2681.88     
  1061.97        2500.00        2681.93     
  1060.90        2500.00        2681.98     
  1059.83        2500.00        2682.04     
  1058.76        2500.00        2682.09     
  1057.69        2500.00        2682.14     
  1056.62        2500.00        2682.19     
  1055.56        2500.00        2682.25     
  1054.49        2500.00        2682.30     
  1053.42        2500.00        2682.35     
  1052.35        2500.00        2682.40     
  1051.28        2500.00        2682.46     
  1050.21        2500.00        2682.51     
  1049.15        2500.00        2682.56     
  1048.08        2500.00        2682.61     
  1047.01        2500.00        2682.67     
  1045.94        2500.00        2682.72     
  1044.87        2500.00        2682.77     
  1043.80        2500.00        2682.82     
  1042.73        2500.00        2682.88     
  1041.67        2500.00        2682.93     
  1040.60        2500.00        2682.98     
  1039.53        2500.00        2683.03     
  1038.46        2500.00        2683.09     
  1037.39        2500.00        2683.14     
  1036.32        2500.00        2683.19     
  1035.26        2500.00        2683.24     
  1034.19        2500.00        2683.29     
  1033.12        2500.00        2683.35     
  1032.05        2500.00        2683.40     
  1030.98        2500.00        2683.45     
  1029.91        2500.00        2683.50     
  1028.85        2500.00        2683.59     
  1027.78        2500.00        2683.64     
  1026.71        2500.00        2683.69     
  1025.64        2500.00        2683.74     
  1024.57        2500.00        2683.80     
  1023.50        2500.00        2683.85     
  1022.44        2500.00        2683.90     
  1021.37        2500.00        2683.95     
  1020.30        2500.00        2684.00     
  1019.23        2500.00        2684.06     
  1018.16        2500.00        2684.11     
  1017.09        2500.00        2684.16     
  1016.03        2500.00        2684.21     
  1014.96        2500.00        2684.26     
  1013.89        2500.00        2684.32     
  1012.82        2500.00        2684.37     
  1011.75        2500.00        2684.42     
  1010.68        2500.00        2684.47     
  1009.62        2500.00        2684.52     
  1008.55        2500.00        2684.58     
  1007.48        2500.00        2684.63     
  1006.41        2500.00        2684.68     
  1005.34        2500.00        2684.73     
  1004.27        2500.00        2684.78     
  1003.21        2500.00        2684.84     
  1002.14        2500.00        2684.64     
  1001.07        2500.00        2684.71     
