|6.6.6
Archiving\03_Data\eqfrac/QFM_m5/YM20/YM20_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1583.33        2500.00        99.8077       0.158177       0.340893E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.87        2500.00        99.4165       0.573802       0.974426E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.41        2500.00        98.4582        1.40038       0.141442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.94        2500.00        99.9956       0.369107E-002  0.674847E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.48        2500.00        99.8093       0.172233       0.184927E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00        99.9276       0.652326E-001  0.713834E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.56        2500.00        99.0153       0.873857       0.110817                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.10        2500.00        98.9684       0.923231       0.108355                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.63        2500.00        99.8875       0.100792       0.116694E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.17        2500.00        99.4752       0.471649       0.531693E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.71        2500.00        99.4613       0.483549       0.551479E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.25        2500.00        99.4644       0.482235       0.534010E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.79        2500.00        99.4705       0.476540       0.529646E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.32        2500.00        99.4743       0.472843       0.528773E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.86        2500.00        99.4764       0.472600       0.510041E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.3726       0.568566       0.587857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.94        2500.00        99.5975       0.362332       0.401222E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.48        2500.00        99.8258       0.155244       0.186506E-001  0.295503E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.01        2500.00        99.1627       0.757962       0.793671E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.55        2500.00        99.5000       0.452276       0.477074E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.09        2500.00        99.4716       0.477949       0.504890E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.63        2500.00        99.5387       0.417808       0.435204E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.17        2500.00        99.5098       0.444085       0.461420E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        2500.00        99.5148       0.441236       0.440072E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.24        2500.00        99.4518       0.500219       0.480032E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        2500.00        99.5870       0.374999       0.380235E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.32        2500.00        99.5249       0.432539       0.425685E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.5300       0.427479       0.425523E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.39        2500.00        99.5332       0.421832       0.449543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.93        2500.00        99.5358       0.426008       0.382030E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.47        2500.00        99.5389       0.421777       0.393643E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
