|6.6.6
Archiving\03_Data\Deqfrac/QFM_m0.25/YM20/YM20_5.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         pcr     usp     imt     ispTH     iherc     nmt     nsp     nherc    
  1608.97        2500.00       0.703627       0.128076E-003  0.175554       0.949411E-001 -0.313870E-001 -0.824949E-001 -0.311973       0.451605     
  1607.44        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1605.92        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.39        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.87        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.34        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.81        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.29        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.76        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.23        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.71        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.18        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.66        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.13        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.60        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.08        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.55        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.02        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.50        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.97        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.45        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.39        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.87        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.34        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.81        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.29        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.24        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.71        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.18        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.66        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.13        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.60        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.08        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.55        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.03        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.50        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.97        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.45        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.92        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.39        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.87        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.34        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.82        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.29        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
