|6.6.6
Archiving\03_Data\Deqfrac/QFM_m0.25/YM20/YM20_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1608.97        2500.00       0.102267E-001            NaN   99.4323       0.557454                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.44        2500.00                 NaN            NaN   99.0704       0.896990       0.326372E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1605.92        2500.00                 NaN            NaN   99.0618       0.811174       0.127025                 NaN            NaN            NaN            NaN            NaN            NaN
  1604.39        2500.00                 NaN            NaN   98.2953        1.48125       0.223462                 NaN            NaN            NaN            NaN            NaN            NaN
  1602.87        2500.00                 NaN            NaN   99.8789       0.121125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.34        2500.00                 NaN            NaN   99.0977       0.825487       0.768231E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1599.81        2500.00                 NaN            NaN   99.1052       0.791580       0.103194                 NaN            NaN            NaN            NaN            NaN            NaN
  1598.29        2500.00                 NaN            NaN   99.1064       0.791100       0.102536                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.76        2500.00                 NaN            NaN   99.1222       0.777434       0.100318                 NaN            NaN            NaN            NaN            NaN            NaN
  1595.23        2500.00                 NaN            NaN   99.1283       0.771819       0.998473E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1593.71        2500.00                 NaN            NaN   99.1359       0.766523       0.975363E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1592.18        2500.00                 NaN            NaN   99.1423       0.760786       0.969501E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1590.66        2500.00                 NaN            NaN   99.1510       0.753298       0.957314E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1589.13        2500.00                 NaN            NaN   99.1583       0.747373       0.943308E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1587.60        2500.00                 NaN            NaN   99.1646       0.743212       0.921449E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1586.08        2500.00                 NaN            NaN   99.1742       0.733612       0.921558E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1584.55        2500.00                 NaN            NaN   99.1797       0.729069       0.912354E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1583.02        2500.00                 NaN            NaN   99.1883       0.722702       0.889635E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1581.50        2500.00                 NaN            NaN   99.3409       0.583151       0.759923E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1579.97        2500.00                 NaN            NaN   99.0586       0.840261       0.101176                 NaN            NaN            NaN            NaN            NaN            NaN
  1578.45        2500.00                 NaN            NaN   99.2071       0.708259       0.846201E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00                 NaN            NaN   99.2141       0.701928       0.840145E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1575.39        2500.00                 NaN            NaN   99.2223       0.694481       0.832261E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1573.87        2500.00                 NaN            NaN   99.2284       0.689589       0.819672E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1572.34        2500.00                 NaN            NaN   99.2315       0.687667       0.808330E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1570.81        2500.00                 NaN            NaN   99.2428       0.677726       0.795145E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1569.29        2500.00                 NaN            NaN   99.2458       0.676134       0.780942E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        2500.00                 NaN            NaN   99.2514       0.672391       0.761806E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1566.24        2500.00                 NaN            NaN   99.2585       0.665624       0.759020E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1564.71        2500.00                 NaN            NaN   99.2639       0.661759       0.743196E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.18        2500.00                 NaN            NaN   97.7777        1.98932       0.232983                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.66        2500.00                 NaN            NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.13        2500.00                 NaN            NaN   99.9943                 NaN  0.571845E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1558.60        2500.00                 NaN            NaN   99.3720       0.567955       0.600339E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1557.08        2500.00                 NaN            NaN   99.9123                 NaN  0.877393E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1555.55        2500.00                 NaN            NaN   98.6748        1.27934       0.458945E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1554.03        2500.00                 NaN            NaN   99.3019       0.631415       0.667249E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1552.50        2500.00                 NaN            NaN   99.3073       0.627291       0.654181E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1550.97        2500.00                 NaN            NaN   99.3114       0.624648       0.639552E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1549.45        2500.00                 NaN            NaN   99.3174       0.618745       0.638259E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1547.92        2500.00                 NaN            NaN   99.3211       0.612821       0.661103E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1546.39        2500.00                 NaN            NaN   99.3264       0.616108       0.574973E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1544.87        2500.00                 NaN            NaN   99.3292       0.610620       0.601586E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1543.34        2500.00                 NaN            NaN   99.3351       0.606800       0.580541E-001            NaN            NaN            NaN            NaN            NaN            NaN
