|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2.25/T13/T13_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1631.41        2500.00       0.148133E-004   99.2884       0.691284       0.203201E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.83        2500.00       0.204466E-003   99.7475       0.219128       0.331701E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.25        2500.00                 NaN   98.3458        1.44199       0.212251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.66        2500.00                 NaN   99.0684       0.812373       0.119247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00                 NaN   99.0723       0.809647       0.118081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.50        2500.00                 NaN   99.0854       0.797780       0.116828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.92        2500.00                 NaN   99.0943       0.791565       0.114093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.33        2500.00                 NaN   99.1046       0.781282       0.114142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.75        2500.00                 NaN   99.0397       0.841485       0.118818                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.17        2500.00                 NaN   99.1965       0.702117       0.101416                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.59        2500.00                 NaN   99.1157       0.774462       0.109809                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.00        2500.00                 NaN   99.1574       0.736336       0.106255                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.42        2500.00                 NaN   99.1485       0.746935       0.104545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.84        2500.00                 NaN   99.1582       0.734607       0.107149                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.26        2500.00                 NaN   99.1725       0.724665       0.102813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00                 NaN   98.8866       0.978012       0.135410                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.09        2500.00                 NaN   99.4464       0.485547       0.680823E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.51        2500.00                 NaN   99.2245       0.680054       0.954791E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.93        2500.00                 NaN   99.1997       0.702701       0.976356E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.34        2500.00                 NaN   99.2124       0.691783       0.958060E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.76        2500.00                 NaN   99.2183       0.686718       0.949621E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00                 NaN   99.2248       0.681932       0.932518E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.60        2500.00                 NaN   99.2334       0.674770       0.918609E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        2500.00                 NaN   99.0859       0.807167       0.106976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.43        2500.00                 NaN   99.4030       0.525742       0.712141E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        2500.00                 NaN   99.2548       0.656386       0.888627E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.27        2500.00                 NaN   99.2614       0.651888       0.867482E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00                 NaN   99.2704       0.643340       0.862266E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.10        2500.00                 NaN   99.2533       0.659831       0.868732E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00                 NaN   99.6606       0.301440       0.379886E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.94        2500.00                 NaN   98.9347       0.940552       0.124797                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00                 NaN   99.2974       0.620997       0.816475E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.77        2500.00                 NaN   99.3028       0.617288       0.798712E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        2500.00                 NaN   99.3076       0.613674       0.787253E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.61        2500.00                 NaN   99.3146       0.607973       0.773861E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00                 NaN   99.3214       0.602595       0.760510E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.44        2500.00                 NaN   99.3252       0.598854       0.759134E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.86        2500.00                 NaN   99.3361       0.591597       0.723280E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.28        2500.00                 NaN   99.3386       0.588427       0.730182E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        2500.00                 NaN   99.3449       0.583461       0.715985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.11        2500.00                 NaN   99.3501       0.578878       0.709913E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.53        2500.00                 NaN   99.3561       0.573819       0.700846E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.95        2500.00                 NaN   99.3600       0.572552       0.674962E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.36        2500.00                 NaN   99.3611       0.570565       0.683533E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.78        2500.00                 NaN   99.3796       0.553020       0.674152E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        2500.00                 NaN   99.3749       0.558950       0.661681E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.62        2500.00                 NaN   99.3839       0.552146       0.639347E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        2500.00                 NaN   99.3866       0.549914       0.634737E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.45        2500.00                 NaN   99.3922       0.545389       0.623775E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        2500.00                 NaN   99.3955       0.544200       0.603493E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.29        2500.00                 NaN   99.3993       0.541298       0.594511E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.70        2500.00                 NaN   99.4051       0.534306       0.605692E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.12        2500.00                 NaN   99.4138       0.528617       0.575628E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.54        2500.00                 NaN   99.6388       0.326578       0.346040E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.96        2500.00                 NaN   99.1888       0.737091       0.740777E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.37        2500.00                 NaN   99.0593       0.847639       0.931079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.79        2500.00                 NaN   99.7980       0.183549       0.184329E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.21        2500.00                 NaN   99.4320       0.514362       0.536451E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.63        2500.00                 NaN   99.4315       0.518561       0.499623E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.04        2500.00                 NaN   99.4431       0.505118       0.517670E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.46        2500.00                 NaN   99.4441       0.505858       0.500148E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.88        2500.00                 NaN   99.4484       0.501768       0.498780E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.30        2500.00                 NaN   99.4495       0.503420       0.470671E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.71        2500.00                 NaN   99.4579       0.493449       0.486866E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.13        2500.00                 NaN   99.4588       0.494874       0.463169E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.55        2500.00                 NaN   99.4632       0.490667       0.461124E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.97        2500.00                 NaN   99.4659       0.489832       0.442630E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.38        2500.00                 NaN   99.4673       0.489497       0.432253E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.80        2500.00                 NaN   99.4753       0.482406       0.423379E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        2500.00                 NaN   99.5498       0.414947       0.352954E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.64        2500.00                 NaN   99.4056       0.547054       0.473048E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.05        2500.00                 NaN   99.4789       0.484867       0.362673E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.47        2500.00                 NaN   99.4723       0.358381       0.169345                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.89        2500.00                 NaN   99.5142       0.485839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.31        2500.00                 NaN   99.4882       0.504113       0.767620E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.72        2500.00                 NaN   99.4932       0.501269       0.548397E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.14        2500.00                 NaN   99.4970       0.498799       0.418665E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.56        2500.00                 NaN   99.3758       0.219466E-001  0.249454E-002  0.599714                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.98        2500.00                 NaN   99.3427       0.703461E-001  0.401931E-003  0.586521                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.39        2500.00                 NaN   99.3363                 NaN            NaN  0.663656                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.81        2500.00                 NaN   99.3352                 NaN            NaN  0.664813                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.23        2500.00                 NaN   99.4929                 NaN            NaN  0.507134                 NaN            NaN            NaN            NaN            NaN            NaN
