|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2.5/T13/T13_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1631.41        2500.00        99.3290       0.667104       0.390738E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.83        2500.00        99.0474       0.828891       0.123512       0.237961E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.25        2500.00        99.0565       0.822604       0.120878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.66        2500.00        99.0664       0.814530       0.119079                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00        99.0603       0.819641       0.120022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.50        2500.00        99.1044       0.782288       0.113319                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.92        2500.00        99.0952       0.791915       0.112855                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.33        2500.00        98.4026        1.39877       0.198588                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.75        2500.00        99.7970       0.176924       0.261180E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.17        2500.00        99.1559       0.737901       0.106238                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.59        2500.00        99.1352       0.756387       0.108448                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.00        2500.00        99.1460       0.747431       0.106538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.42        2500.00        99.1037       0.784981       0.111309                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.84        2500.00        99.2139       0.689034       0.970757E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.26        2500.00        99.1696       0.724795       0.105652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00        98.8799       0.985544       0.134538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.09        2500.00        99.4180       0.511393       0.706133E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.51        2500.00        99.8672       0.116703       0.161141E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.93        2500.00        98.6091        1.22274       0.168112                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.34        2500.00        99.2138       0.691878       0.943218E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.76        2500.00        99.1466       0.751083       0.102340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00        99.7927       0.183731       0.235414E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.60        2500.00        98.7465        1.10332       0.150224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        2500.00        99.2443       0.665878       0.898137E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.43        2500.00        99.2515       0.659624       0.889069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        2500.00        99.2583       0.654104       0.875464E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.27        2500.00        99.2648       0.649492       0.856795E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00        99.2722       0.642391       0.854233E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.10        2500.00        99.2699       0.644611       0.855251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
