|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2.5/YM20/YM20_5.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         pcr     usp     imt     ispTH     iherc     nmt     nsp     nherc    
  1615.38        2500.00       0.734440       0.167027E-003  0.505409E-001  0.425443E-001  0.356794E-001 -0.248857E-001 -0.338009       0.499523     
  1613.84        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.30        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.75        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.21        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.13        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.58        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.04        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.96        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.41        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.87        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.33        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.79        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.25        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.70        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.16        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.62        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.08        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.53        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.99        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.36        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.82        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.28        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.20        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.65        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.11        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.03        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.48        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.94        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.31        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.77        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.23        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.69        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.15        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.60        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.06        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.52        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.98        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.43        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.81        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.26        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.72        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.18        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.64        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.55        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.01        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.47        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.38        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.84        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.76        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.21        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.67        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.13        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.59        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.05        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.50        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.42        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.88        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.33        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.79        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.71        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.16        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.62        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.08        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.54        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.00        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.45        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.91        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.37        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.83        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.28        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.74        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.20        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.66        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.11        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.57        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.03        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.49        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.95        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.40        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.86        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.32        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.78        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.23        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.69        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.15        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.61        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.06        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.52        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.98        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.90        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.35        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.81        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.27        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.73        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.18        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.64        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.10        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.56        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.01        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.47        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.39        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.85        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.30        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1428.76        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1427.22        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.68        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.13        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.59        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1421.05        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.51        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.96        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1416.42        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1414.88        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1413.34        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1411.80        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1410.25        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1408.71        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1407.17        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1405.63        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1404.08        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1402.54        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1399.46        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1397.91        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1396.37        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1394.83        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1393.29        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1391.75        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1390.20        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
