|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2.5/YM20/YM20_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1615.38        2500.00       0.157279E-002   99.9716                 NaN  0.268448E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.84        2500.00                 NaN   99.4166                 NaN  0.368484E-001  0.546557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.30        2500.00                 NaN   99.1713                 NaN  0.934899E-001  0.735242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.75        2500.00                 NaN   99.1808                 NaN  0.923519E-001  0.726889                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.21        2500.00                 NaN   99.1874                 NaN  0.905381E-001  0.722059                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00                 NaN   99.1968                 NaN  0.901112E-001  0.713051                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.13        2500.00                 NaN   99.2006                 NaN  0.882434E-001  0.711136                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.58        2500.00                 NaN   99.2164                 NaN  0.871996E-001  0.696398                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.04        2500.00                 NaN   99.2199                 NaN  0.857935E-001  0.694353                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00                 NaN   99.2267                 NaN  0.848712E-001  0.688476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.96        2500.00                 NaN   99.2304                 NaN  0.857433E-001  0.683827                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.41        2500.00                 NaN   99.2514                 NaN  0.819069E-001  0.666732                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.87        2500.00                 NaN   99.2039                 NaN  0.911431E-001  0.704985                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.33        2500.00                 NaN   99.3091                 NaN  0.761180E-001  0.614827                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.79        2500.00                 NaN   99.2655                 NaN  0.797020E-001  0.654843                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.25        2500.00                 NaN   99.2689                 NaN  0.792029E-001  0.651946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.70        2500.00                 NaN   99.2242                 NaN  0.840844E-001  0.691748                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.16        2500.00                 NaN   99.3421                 NaN  0.678348E-001  0.590064                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.62        2500.00                 NaN   99.2881                 NaN  0.743723E-001  0.637509                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.08        2500.00                 NaN   99.3004                 NaN  0.731551E-001  0.626419                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.53        2500.00                 NaN   99.3045                 NaN  0.724548E-001  0.623039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.99        2500.00                 NaN   99.3098                 NaN  0.710929E-001  0.619094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00                 NaN   99.3166                 NaN  0.707005E-001  0.612670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        2500.00                 NaN   99.3222                 NaN  0.689956E-001  0.608785                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.36        2500.00                 NaN   99.3291                 NaN  0.687009E-001  0.602212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
