|6.6.6
Archiving\03_Data\Deqfrac/QFM_m4.25/K22/K22_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1631.41        2500.00        99.4656       0.531228       0.315028E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.83        2500.00        99.0577       0.852334       0.899939E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.25        2500.00        99.0688       0.842260       0.889867E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.66        2500.00        98.1949        1.62332       0.179084       0.267117E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00        99.9855       0.743798E-002  0.701678E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.50        2500.00        99.1134       0.804162       0.824144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.92        2500.00        99.1113       0.804649       0.840425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.33        2500.00        99.1189       0.798858       0.822509E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.75        2500.00        99.1301       0.789198       0.806624E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.17        2500.00        99.1384       0.781766       0.798292E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.59        2500.00        99.1439       0.777128       0.789317E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.00        2500.00        99.1601       0.762575       0.772968E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.42        2500.00        99.1676       0.756717       0.756600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.84        2500.00        99.1746       0.752478       0.728800E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.26        2500.00        99.1837       0.740670       0.756752E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00        99.1904       0.736550       0.730412E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.09        2500.00        99.2036       0.746984       0.493793E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.51        2500.00        99.2081       0.697120       0.947841E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.93        2500.00        99.2039       0.727053       0.690572E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.34        2500.00        99.2362       0.696960       0.668641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.76        2500.00        99.2127       0.718913       0.684201E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00        99.7098       0.264198       0.259852E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.60        2500.00        98.7896        1.10762       0.102777                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        2500.00        99.2218       0.727513       0.507309E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.43        2500.00        99.3003       0.626710       0.730329E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        2500.00        99.2689       0.668286       0.628380E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.27        2500.00        99.2742       0.665171       0.606431E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00        99.2835       0.656472       0.600754E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.10        2500.00        99.1806       0.748134       0.712339E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00        99.4093       0.542108       0.485744E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.94        2500.00        99.3023       0.641748       0.559494E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00        99.3086       0.635719       0.556362E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.77        2500.00        99.3135       0.631510       0.549939E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        2500.00        99.3163       0.630643       0.530213E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.61        2500.00        99.3353       0.612615       0.520367E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00        98.6614        1.23485       0.103713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.44        2500.00        99.9851       0.845058E-002  0.648276E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.86        2500.00        99.3909       0.569710       0.393946E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.28        2500.00        99.8383       0.122673       0.390521E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
