|6.6.6
Archiving\03_Data\Deqfrac/QFM_m4.25/WD94/WD94_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1634.62        2500.00       0.136498E-001   99.5287       0.380244       0.773695E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1633.03        2500.00                 NaN   99.0326       0.844626       0.122803                 NaN            NaN            NaN            NaN            NaN            NaN
  1631.44        2500.00                 NaN   99.0415       0.838496       0.120025                 NaN            NaN            NaN            NaN            NaN            NaN
  1629.85        2500.00                 NaN   99.0546       0.825930       0.119439                 NaN            NaN            NaN            NaN            NaN            NaN
  1628.26        2500.00                 NaN   99.0585       0.821835       0.119654                 NaN            NaN            NaN            NaN            NaN            NaN
  1626.67        2500.00                 NaN   99.3265       0.588768       0.847683E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00                 NaN   98.8407        1.01429       0.145005                 NaN            NaN            NaN            NaN            NaN            NaN
  1623.49        2500.00                 NaN   99.0971       0.789894       0.112986                 NaN            NaN            NaN            NaN            NaN            NaN
  1621.90        2500.00                 NaN   99.1054       0.784153       0.110439                 NaN            NaN            NaN            NaN            NaN            NaN
  1620.31        2500.00                 NaN   99.1119       0.777975       0.110113                 NaN            NaN            NaN            NaN            NaN            NaN
  1618.71        2500.00                 NaN   99.1113       0.779245       0.109477                 NaN            NaN            NaN            NaN            NaN            NaN
  1617.12        2500.00                 NaN   99.1536       0.741067       0.105299                 NaN            NaN            NaN            NaN            NaN            NaN
  1615.53        2500.00                 NaN   99.1444       0.750180       0.105425                 NaN            NaN            NaN            NaN            NaN            NaN
  1613.94        2500.00                 NaN   99.1706       0.726792       0.102649                 NaN            NaN            NaN            NaN            NaN            NaN
  1612.35        2500.00                 NaN   99.1454       0.750526       0.104050                 NaN            NaN            NaN            NaN            NaN            NaN
  1610.76        2500.00                 NaN   99.1705       0.728560       0.100979                 NaN            NaN            NaN            NaN            NaN            NaN
  1609.17        2500.00                 NaN   99.1803       0.720357       0.993458E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1607.58        2500.00                 NaN   99.1842       0.718299       0.975235E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1605.99        2500.00                 NaN   98.0049        1.75817       0.236972                 NaN            NaN            NaN            NaN            NaN            NaN
  1604.40        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.81        2500.00                 NaN   99.5225       0.420426       0.570678E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1601.22        2500.00                 NaN   99.8882       0.100398       0.113741E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1599.63        2500.00                 NaN   98.6608        1.18052       0.158631                 NaN            NaN            NaN            NaN            NaN            NaN
  1598.04        2500.00                 NaN   99.2381       0.670996       0.908647E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1596.45        2500.00                 NaN   99.1985       0.705121       0.964232E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1594.86        2500.00                 NaN   99.2994       0.618485       0.821060E-001            NaN            NaN            NaN            NaN            NaN            NaN
