|6.6.6
Archiving\03_Data\Deqfrac/QFM_m4.75/WD94/WD94_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q             
  1637.82        2500.00        99.7841                 NaN  0.388165E-001  0.177065                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.22        2500.00        98.8862                 NaN  0.969796       0.143963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.62        2500.00        98.8983                 NaN  0.958982       0.142746                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1633.02        2500.00        98.9035                 NaN  0.957167       0.139335                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.43        2500.00        98.9286                 NaN  0.933028       0.138359                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.83        2500.00        99.3773                 NaN  0.546948       0.757254E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.23        2500.00        98.5033                 NaN   1.30177       0.194956                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.63        2500.00        98.9598                 NaN  0.906638       0.133515                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.03        2500.00        98.9714                 NaN  0.896888       0.131724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.43        2500.00        98.9796                 NaN  0.890894       0.129533                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.83        2500.00        98.9935                 NaN  0.878775       0.127763                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.24        2500.00        99.0018                 NaN  0.870965       0.127192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.64        2500.00        99.0162                 NaN  0.853547       0.130296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.04        2500.00        99.0255                 NaN  0.856903       0.117631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.44        2500.00        99.0343                 NaN  0.844753       0.120925                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.84        2500.00        99.0440                 NaN  0.836440       0.119525                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.24        2500.00        99.0546                 NaN  0.827798       0.117587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.64        2500.00        99.0642                 NaN  0.818065       0.117771                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.05        2500.00        99.0742                 NaN  0.811363       0.114464                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.45        2500.00        99.0829                 NaN  0.804381       0.112689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1605.85        2500.00        99.0926                 NaN  0.795894       0.111547                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.25        2500.00        99.1015                 NaN  0.788473       0.110032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.65        2500.00        99.1099                 NaN  0.781944       0.108146                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.05        2500.00        99.1174                 NaN  0.775704       0.106866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.45        2500.00        99.1294                 NaN  0.765115       0.105444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1597.86        2500.00        99.1291                 NaN  0.769513       0.101387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.26        2500.00        99.1478                 NaN  0.750003       0.102175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        2500.00        99.1518                 NaN  0.746957       0.101257                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.06        2500.00        99.1620                 NaN  0.737906       0.100124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        2500.00        99.1680                 NaN  0.734213       0.978160E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.86        2500.00        99.1670                 NaN  0.732505       0.100486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
