|6.6.6
Archiving\03_Data\Deqfrac/QFM_m4/T13/T13_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1634.62        2500.00       0.596563E-002   99.2601       0.726314       0.765781E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1633.03        2500.00                 NaN   98.9183       0.978051       0.103648                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.44        2500.00                 NaN   98.9268       0.934262       0.138967                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.85        2500.00                 NaN   98.9358       0.926030       0.138163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.26        2500.00                 NaN   98.9540       0.909528       0.136440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.67        2500.00                 NaN   98.9589       0.908700       0.132397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00                 NaN   98.9751       0.892138       0.132765                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.49        2500.00                 NaN   98.9869       0.881959       0.131180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.90        2500.00                 NaN   98.9978       0.873688       0.128504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.31        2500.00                 NaN   99.0068       0.865923       0.127281                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.71        2500.00                 NaN   99.0180       0.856790       0.125175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.12        2500.00                 NaN   98.2195        1.55705       0.223460                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.53        2500.00                 NaN   99.8313       0.147095       0.215846E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.94        2500.00                 NaN   99.0667       0.815354       0.117906                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.35        2500.00                 NaN   99.0492       0.830599       0.120177                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.76        2500.00                 NaN   99.0762       0.806734       0.117080                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.17        2500.00                 NaN   98.9920       0.884394       0.123566                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.58        2500.00                 NaN   99.1658       0.730799       0.103432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1605.99        2500.00                 NaN   99.0959       0.791958       0.112148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.40        2500.00                 NaN   99.0753       0.813056       0.111638                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.81        2500.00                 NaN   99.1408       0.753868       0.105323                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.22        2500.00                 NaN   99.1215       0.770870       0.107649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.63        2500.00                 NaN   99.1303       0.763545       0.106143                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.04        2500.00                 NaN   98.1277        1.65296       0.219326                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.45        2500.00                 NaN   99.9809                 NaN  0.190694E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.86        2500.00                 NaN   99.3337       0.599040       0.672319E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.27        2500.00                 NaN   99.1627       0.736175       0.101101                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.68        2500.00                 NaN   99.1725       0.727923       0.995278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.09        2500.00                 NaN   99.1792       0.723103       0.976603E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        2500.00                 NaN   99.1874       0.739175       0.734344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.90        2500.00                 NaN   99.1902       0.691315       0.118502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.31        2500.00                 NaN   99.2032       0.703611       0.932057E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.72        2500.00                 NaN   99.1366       0.763141       0.100224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.13        2500.00                 NaN   99.2857       0.631577       0.827012E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.54        2500.00                 NaN   99.2228       0.686105       0.911358E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00                 NaN   99.2296       0.681386       0.889662E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.36        2500.00                 NaN   99.2365       0.676353       0.871931E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.77        2500.00                 NaN   99.2424       0.671127       0.864635E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.18        2500.00                 NaN   99.2487       0.667203       0.841019E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.59        2500.00                 NaN   99.2545       0.662331       0.831889E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.00        2500.00                 NaN   99.2628       0.655030       0.821621E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.41        2500.00                 NaN   99.2681       0.650578       0.813320E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.82        2500.00                 NaN   99.2728       0.647018       0.801386E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.23        2500.00                 NaN   99.2804       0.641087       0.785537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.64        2500.00                 NaN   99.2862       0.636742       0.770106E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.05        2500.00                 NaN   99.2897       0.633411       0.768559E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.46        2500.00                 NaN   99.2931       0.629666       0.772203E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.87        2500.00                 NaN   98.5179        1.32814       0.153951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.27        2500.00                 NaN  100.0000                 NaN  0.180798E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        2500.00                 NaN   99.4182       0.521843       0.599763E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.09        2500.00                 NaN   99.3177       0.612507       0.697514E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.50        2500.00                 NaN   99.3064       0.621068       0.725563E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.91        2500.00                 NaN   99.3487       0.586232       0.650771E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
