|6.6.6
Archiving\03_Data\eqfracLP/QFM/ALH/ALH_3.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1516.03        500.000       0.109986E-001            NaN   99.9173       0.212573E-001  0.504033E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1514.74        500.000                 NaN            NaN   99.5257       0.426940       0.474084E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1513.44        500.000       0.397074E-002            NaN   99.5463       0.409976       0.397749E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1512.15        500.000                 NaN            NaN   99.5260       0.473958                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.86        500.000                 NaN            NaN   99.5199       0.480122                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.56        500.000                 NaN            NaN   99.7366       0.263422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.27        500.000                 NaN            NaN   99.3251       0.674866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.98        500.000                 NaN            NaN   99.5321       0.467864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.68        500.000                 NaN            NaN   99.5236       0.476389                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.39        500.000                 NaN            NaN   99.7018       0.298160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.10        500.000                 NaN            NaN   99.3862       0.613808                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.80        500.000                 NaN            NaN   99.5455       0.452749       0.173257E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1500.51        500.000                 NaN            NaN   99.5456       0.454404                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.22        500.000                 NaN            NaN   99.8318       0.140724       0.275200E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1497.92        500.000                 NaN            NaN   99.2719       0.728068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.63        500.000                 NaN            NaN   99.5532       0.446833       0.278570E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1495.34        500.000                 NaN            NaN   99.5424       0.427800       0.297988E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1494.04        500.000                 NaN            NaN   99.5759       0.424093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.75        500.000                 NaN            NaN   99.5594       0.431800       0.879004E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1491.46        500.000                 NaN            NaN   99.5643       0.435691       0.118911E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1490.16        500.000                 NaN            NaN   99.2407       0.685414       0.739104E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1488.87        500.000                 NaN            NaN   99.9211       0.788802E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.58        500.000                 NaN            NaN   99.5691       0.430852                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.28        500.000                 NaN            NaN   99.5723       0.427743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.99        500.000                 NaN            NaN   99.5691       0.430896                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.70        500.000                 NaN            NaN   99.5803       0.419708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.40        500.000                 NaN            NaN   99.5781       0.421948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.11        500.000                 NaN            NaN   99.5793       0.420723                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.82        500.000                 NaN            NaN   99.5801       0.419935       0.657953E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1478.52        500.000                 NaN            NaN   99.5838       0.416191                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.23        500.000                 NaN            NaN   99.5839       0.416145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.94        500.000                 NaN            NaN   99.4052       0.578110       0.166477E-001            NaN            NaN            NaN            NaN            NaN            NaN
