|6.6.6
Archiving\03_Data\eqfracLP/QFM/GRV/GRV_6.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  1551.28        500.000        3260.06     
  1549.90        500.000        3246.87     
  1548.52        500.000        3239.78     
  1547.14        500.000        3241.13     
  1545.75        500.000        3242.91     
  1544.37        500.000        3241.73     
  1542.99        500.000        3242.46     
  1541.61        500.000        3243.01     
  1540.23        500.000        3243.42     
  1538.85        500.000        3244.25     
  1537.46        500.000        3247.98     
  1536.08        500.000        3245.66     
  1534.70        500.000        3246.08     
  1533.32        500.000        3246.78     
  1531.94        500.000        3247.40     
  1530.56        500.000        3247.56     
  1529.17        500.000        3248.46     
  1527.79        500.000        3249.36     
  1526.41        500.000        3250.55     
  1525.03        500.000        3250.55     
  1523.65        500.000        3250.62     
  1522.27        500.000        3250.97     
  1520.88        500.000        3242.39     
  1519.50        500.000        3234.61     
  1518.12        500.000        3235.80     
  1516.74        500.000        3237.27     
  1515.36        500.000        3238.37     
  1513.98        500.000        3239.50     
  1512.59        500.000        3240.87     
  1511.21        500.000        3242.27     
  1509.83        500.000        3243.50     
  1508.45        500.000        3244.83     
  1507.07        500.000        3246.15     
  1505.69        500.000        3247.72     
  1504.30        500.000        3248.77     
  1502.92        500.000        3250.10     
  1501.54        500.000        3251.34     
  1500.16        500.000        3252.70     
  1498.78        500.000        3253.70     
  1497.40        500.000        3255.23     
  1496.01        500.000        3256.43     
  1494.63        500.000        3257.77     
  1493.25        500.000        3259.09     
  1491.87        500.000        3260.51     
  1490.49        500.000        3261.43     
  1489.11        500.000        3262.70     
  1487.72        500.000        3264.15     
  1486.34        500.000        3265.30     
  1484.96        500.000        3266.84     
  1483.58        500.000        3267.82     
  1482.20        500.000        3269.25     
  1480.82        500.000        3270.25     
  1479.43        500.000        3271.91     
  1478.05        500.000        3272.98     
  1476.67        500.000        3274.28     
  1475.29        500.000        3275.32     
  1473.91        500.000        3276.87     
  1472.53        500.000        3278.30     
  1471.14        500.000        3279.28     
  1469.76        500.000        3280.36     
  1468.38        500.000        3281.86     
  1467.00        500.000        3283.20     
  1465.62        500.000        3284.33     
  1464.24        500.000        3285.67     
  1462.85        500.000        3286.91     
  1461.47        500.000        3288.34     
  1460.09        500.000        3289.36     
  1458.71        500.000        3290.69     
  1457.33        500.000        3292.11     
  1455.95        500.000        3293.34     
  1454.56        500.000        3294.88     
  1453.18        500.000        3295.99     
  1451.80        500.000        3297.16     
  1450.42        500.000        3298.56     
  1449.04        500.000        3299.70     
  1447.66        500.000        3301.20     
  1446.27        500.000        3302.42     
  1444.89        500.000        3303.67     
  1443.51        500.000        3304.85     
  1442.13        500.000        3306.13     
  1440.75        500.000        3309.01     
  1439.37        500.000        3308.71     
  1437.98        500.000        3309.34     
  1436.60        500.000        3310.17     
  1435.22        500.000        3311.96     
  1433.84        500.000        3312.81     
  1432.46        500.000        3314.05     
  1431.08        500.000        3315.76     
  1429.69        500.000        3317.78     
  1428.31        500.000        3324.50     
  1426.93        500.000        3320.24     
  1425.55        500.000        3321.70     
  1424.17        500.000        3323.22     
  1422.79        500.000        3324.73     
  1421.40        500.000        3326.29     
  1420.02        500.000        3327.79     
  1418.64        500.000        3329.32     
  1417.26        500.000        3330.85     
  1415.88        500.000        3332.35     
  1414.50        500.000        3333.85     
  1413.11        500.000        3335.30     
  1411.73        500.000        3336.93     
  1410.35        500.000        3338.63     
  1408.97        500.000        3340.14     
  1407.59        500.000        3341.27     
  1406.21        500.000        3343.35     
  1404.82        500.000        3344.64     
  1403.44        500.000        3346.40     
  1402.06        500.000        3347.88     
  1400.68        500.000        3349.48     
  1399.30        500.000        3350.68     
  1397.92        500.000        3352.78     
  1396.53        500.000        3354.06     
  1395.15        500.000        3355.93     
  1393.77        500.000        3357.40     
  1392.39        500.000        3359.01     
  1391.01        500.000        3360.64     
  1389.63        500.000        3362.69     
  1388.24        500.000        3363.96     
  1386.86        500.000        3365.48     
  1385.48        500.000        3367.44     
  1384.10        500.000        3368.97     
  1382.72        500.000        3397.36     
  1381.34        500.000        3380.70     
  1379.95        500.000        3373.91     
  1378.57        500.000        3375.71     
  1377.19        500.000        3212.35     
  1375.81        500.000        3190.29     
  1374.43        500.000        3205.44     
  1373.05        500.000        3218.13     
  1371.66        500.000        3221.00     
  1370.28        500.000        3223.64     
  1368.90        500.000        3226.05     
  1367.52        500.000        3229.76     
  1366.14        500.000        3232.01     
  1364.76        500.000        3235.03     
  1363.38        500.000        3237.95     
  1361.99        500.000        3240.53     
  1360.61        500.000        3243.23     
  1359.23        500.000        3247.70     
  1357.85        500.000        3236.61     
  1356.47        500.000        3270.18     
  1355.09        500.000        3273.98     
  1353.70        500.000        3275.34     
  1352.32        500.000        3282.15     
  1350.94        500.000        3292.97     
  1349.56        500.000        3305.94     
  1348.18        500.000        3324.04     
  1346.80        500.000        3341.43     
  1345.41        500.000        3357.94     
  1344.03        500.000        3371.08     
  1342.65        500.000        3378.98     
  1341.27        500.000        3385.32     
  1339.89        500.000        3389.25     
  1338.51        500.000        3392.11     
  1337.12        500.000        3394.72     
  1335.74        500.000        3396.12     
  1334.36        500.000        3398.07     
  1332.98        500.000        3399.46     
  1331.60        500.000        3400.71     
  1330.22        500.000        3401.68     
  1328.83        500.000        3402.71     
  1327.45        500.000        3403.69     
  1326.07        500.000        3404.69     
  1324.69        500.000        3405.33     
  1323.31        500.000        3406.30     
  1321.93        500.000        3406.86     
  1320.54        500.000        3407.74     
  1319.16        500.000        3408.57     
  1317.78        500.000        3408.55     
  1316.40        500.000        3410.18     
  1315.02        500.000        3410.24     
  1313.64        500.000        3410.97     
  1312.25        500.000        3411.36     
  1310.87        500.000        3412.01     
  1309.49        500.000        3412.59     
  1308.11        500.000        3412.96     
  1306.73        500.000        3413.33     
  1305.35        500.000        3413.97     
  1303.96        500.000        3414.23     
  1302.58        500.000        3414.55     
  1301.20        500.000        3414.94     
  1299.82        500.000        3415.34     
  1298.44        500.000        3415.62     
  1297.06        500.000        3415.92     
  1295.67        500.000        3416.18     
  1294.29        500.000        3416.37     
  1292.91        500.000        3416.61     
  1291.53        500.000        3416.71     
  1290.15        500.000        3417.08     
  1288.77        500.000        3417.11     
  1287.38        500.000        3417.35     
  1286.00        500.000        3417.31     
  1284.62        500.000        3417.46     
  1283.24        500.000        3417.49     
  1281.86        500.000        3417.67     
  1280.48        500.000        3417.30     
  1279.09        500.000        3417.62     
  1277.71        500.000        3417.58     
  1276.33        500.000        3417.52     
  1274.95        500.000        3417.39     
