|6.6.6
Archiving\03_Data\eqfracLP/QFM/TIS/TIS_4.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),m3     
  1423.08        500.000                 NaN
  1422.02        500.000                 NaN
  1420.96        500.000                 NaN
  1419.90        500.000                 NaN
  1418.84        500.000                 NaN
  1417.78        500.000                 NaN
  1416.72        500.000                 NaN
  1415.66        500.000                 NaN
  1414.60        500.000                 NaN
  1413.54        500.000                 NaN
  1412.48        500.000                 NaN
  1411.42        500.000                 NaN
  1410.36        500.000                 NaN
  1409.30        500.000                 NaN
  1408.24        500.000                 NaN
  1407.17        500.000                 NaN
  1406.11        500.000                 NaN
  1405.05        500.000                 NaN
  1403.99        500.000       0.230771E-005
  1402.93        500.000       0.266594E-005
  1401.87        500.000       0.563018E-005
  1400.81        500.000       0.547796E-005
  1399.75        500.000       0.148045E-005
  1398.69        500.000       0.869299E-005
  1397.63        500.000       0.524279E-005
  1396.57        500.000       0.390428E-005
  1395.51        500.000       0.284072E-005
  1394.45        500.000       0.181669E-006
  1393.39        500.000       0.189874E-006
  1392.33        500.000       0.228289E-006
  1391.27        500.000       0.332170E-004
  1390.21        500.000                 NaN
  1389.15        500.000                 NaN
  1388.09        500.000                 NaN
  1387.03        500.000                 NaN
  1385.97        500.000                 NaN
  1384.91        500.000                 NaN
  1383.85        500.000                 NaN
  1382.79        500.000                 NaN
  1381.73        500.000                 NaN
  1380.67        500.000                 NaN
  1379.61        500.000                 NaN
  1378.55        500.000                 NaN
  1377.48        500.000                 NaN
  1376.42        500.000                 NaN
  1375.36        500.000                 NaN
  1374.30        500.000                 NaN
  1373.24        500.000                 NaN
  1372.18        500.000                 NaN
  1371.12        500.000                 NaN
  1370.06        500.000                 NaN
  1369.00        500.000       0.543535E-004
  1367.94        500.000                 NaN
  1366.88        500.000                 NaN
  1365.82        500.000                 NaN
  1364.76        500.000                 NaN
  1363.70        500.000                 NaN
  1362.64        500.000                 NaN
  1361.58        500.000                 NaN
  1360.52        500.000                 NaN
  1359.46        500.000                 NaN
  1358.40        500.000       0.358318E-004
  1357.34        500.000       0.755664E-004
  1356.28        500.000       0.996673E-004
  1355.22        500.000       0.127784E-003
  1354.16        500.000       0.170192E-003
  1353.10        500.000       0.224396E-003
  1352.04        500.000       0.291232E-003
  1350.98        500.000       0.373316E-003
  1349.92        500.000       0.476994E-003
  1348.86        500.000       0.580628E-003
  1347.80        500.000       0.664299E-003
  1346.73        500.000       0.730062E-003
  1345.67        500.000       0.773373E-003
  1344.61        500.000       0.795129E-003
  1343.55        500.000       0.810856E-003
  1342.49        500.000       0.818035E-003
  1341.43        500.000       0.811558E-003
  1340.37        500.000       0.802882E-003
  1339.31        500.000       0.792042E-003
  1338.25        500.000       0.777412E-003
  1337.19        500.000       0.767046E-003
  1336.13        500.000       0.750644E-003
  1335.07        500.000       0.737158E-003
  1334.01        500.000       0.719149E-003
  1332.95        500.000       0.704283E-003
  1331.89        500.000       0.688485E-003
  1330.83        500.000       0.672613E-003
  1329.77        500.000       0.657420E-003
  1328.71        500.000       0.642669E-003
  1327.65        500.000       0.627793E-003
  1326.59        500.000       0.613765E-003
  1325.53        500.000       0.599835E-003
  1324.47        500.000       0.586412E-003
  1323.41        500.000       0.573150E-003
  1322.35        500.000       0.560293E-003
  1321.29        500.000       0.547848E-003
  1320.23        500.000       0.535586E-003
  1319.17        500.000       0.523418E-003
  1318.11        500.000       0.511743E-003
  1317.04        500.000       0.501382E-003
  1315.98        500.000       0.489969E-003
  1314.92        500.000       0.479201E-003
  1313.86        500.000       0.468509E-003
  1312.80        500.000       0.459056E-003
  1311.74        500.000       0.448850E-003
  1310.68        500.000       0.439244E-003
  1309.62        500.000       0.429523E-003
  1308.56        500.000       0.421112E-003
  1307.50        500.000       0.412254E-003
  1306.44        500.000       0.403217E-003
  1305.38        500.000       0.394900E-003
  1304.32        500.000       0.386697E-003
  1303.26        500.000       0.378627E-003
  1302.20        500.000       0.371014E-003
  1301.14        500.000       0.362632E-003
  1300.08        500.000       0.355812E-003
  1299.02        500.000       0.348261E-003
  1297.96        500.000       0.341502E-003
  1296.90        500.000       0.334092E-003
  1295.84        500.000       0.327645E-003
  1294.78        500.000       0.320920E-003
  1293.72        500.000       0.314008E-003
  1292.66        500.000       0.308292E-003
  1291.60        500.000       0.301907E-003
  1290.54        500.000       0.295738E-003
  1289.48        500.000       0.289973E-003
  1288.42        500.000       0.284007E-003
  1287.36        500.000       0.278544E-003
  1286.29        500.000       0.273101E-003
  1285.23        500.000       0.267133E-003
  1284.17        500.000       0.262697E-003
  1283.11        500.000       0.255832E-003
  1282.05        500.000       0.253850E-003
  1280.99        500.000       0.245197E-003
  1279.93        500.000       0.242056E-003
  1278.87        500.000       0.237209E-003
  1277.81        500.000       0.232526E-003
  1276.75        500.000       0.228176E-003
  1275.69        500.000       0.223703E-003
  1274.63        500.000       0.218481E-003
  1273.57        500.000       0.214723E-003
  1272.51        500.000       0.210746E-003
  1271.45        500.000       0.206760E-003
  1270.39        500.000       0.849632E-003
  1269.33        500.000       0.954811E-003
  1268.27        500.000       0.815049E-003
  1267.21        500.000       0.707775E-003
  1266.15        500.000       0.622253E-003
  1265.09        500.000       0.553524E-003
  1264.03        500.000       0.496875E-003
  1262.97        500.000       0.450546E-003
  1261.91        500.000       0.410504E-003
  1260.85        500.000       0.377593E-003
  1259.79        500.000       0.347692E-003
  1258.73        500.000       0.322475E-003
  1257.67        500.000       0.300241E-003
  1256.60        500.000       0.280515E-003
  1255.54        500.000       0.263024E-003
  1254.48        500.000       0.247335E-003
  1253.42        500.000       0.233608E-003
  1252.36        500.000       0.220173E-003
  1251.30        500.000       0.208664E-003
  1250.24        500.000       0.197834E-003
  1249.18        500.000       0.188128E-003
  1248.12        500.000       0.179011E-003
  1247.06        500.000       0.170690E-003
  1246.00        500.000       0.443254E-003
  1244.94        500.000       0.159594E-003
  1243.88        500.000       0.156790E-005
  1242.82        500.000                 NaN
  1241.76        500.000       0.589362E-004
  1240.70        500.000       0.840248E-004
  1239.64        500.000       0.119137E-003
  1238.58        500.000       0.156492E-003
  1237.52        500.000       0.922500E-004
  1236.46        500.000       0.487569E-004
  1235.40        500.000       0.517725E-004
  1234.34        500.000       0.560412E-004
  1233.28        500.000       0.600401E-004
  1232.22        500.000       0.270772E-003
  1231.16        500.000       0.296633E-005
  1230.10        500.000       0.941564E-004
  1229.04        500.000                 NaN
  1227.98        500.000                 NaN
  1226.92        500.000                 NaN
  1225.85        500.000                 NaN
  1224.79        500.000                 NaN
  1223.73        500.000       0.880729E-004
  1222.67        500.000       0.457486E-004
  1221.61        500.000       0.164973E-004
  1220.55        500.000       0.258845E-008
  1219.49        500.000       0.857892E-004
  1218.43        500.000                 NaN
  1217.37        500.000       0.338863E-004
  1216.31        500.000       0.804839E-004
  1215.25        500.000       0.123445E-003
  1214.19        500.000       0.495771E-003
  1213.13        500.000       0.888242E-009
  1212.07        500.000                 NaN
  1211.01        500.000       0.541763E-003
  1209.95        500.000       0.200827E-003
  1208.89        500.000       0.420220E-004
  1207.83        500.000       0.102448E-003
  1206.77        500.000       0.834832E-004
  1205.71        500.000       0.237808E-004
  1204.65        500.000       0.516373E-004
  1203.59        500.000       0.406525E-004
  1202.53        500.000       0.210755E-004
  1201.47        500.000       0.275457E-004
  1200.41        500.000       0.261805E-004
  1199.35        500.000       0.222530E-004
  1198.29        500.000       0.219282E-004
  1197.23        500.000       0.176559E-004
  1196.16        500.000       0.182976E-004
  1195.10        500.000       0.162881E-004
  1194.04        500.000       0.309961E-004
  1192.98        500.000                 NaN
  1191.92        500.000       0.961451E-005
  1190.86        500.000       0.123419E-004
  1189.80        500.000       0.120776E-004
  1188.74        500.000       0.128452E-004
  1187.68        500.000       0.173166E-004
  1186.62        500.000       0.281285E-004
  1185.56        500.000       0.634868E-004
  1184.50        500.000       0.634084E-004
  1183.44        500.000       0.632858E-004
  1182.38        500.000       0.635128E-004
  1181.32        500.000       0.631021E-004
  1180.26        500.000       0.630209E-004
  1179.20        500.000       0.628557E-004
  1178.14        500.000       0.629961E-004
  1177.08        500.000       0.627565E-004
  1176.02        500.000       0.625803E-004
  1174.96        500.000       0.624878E-004
  1173.90        500.000       0.623770E-004
  1172.84        500.000       0.622797E-004
  1171.78        500.000       0.621885E-004
  1170.72        500.000       0.621161E-004
  1169.66        500.000       0.620219E-004
  1168.60        500.000       0.618894E-004
  1167.54        500.000       0.618099E-004
  1166.48        500.000       0.617578E-004
  1165.41        500.000       0.615795E-004
  1164.35        500.000       0.614923E-004
  1163.29        500.000       0.613500E-004
  1162.23        500.000       0.613109E-004
  1161.17        500.000       0.612028E-004
  1160.11        500.000       0.610687E-004
  1159.05        500.000       0.611099E-004
  1157.99        500.000       0.610119E-004
  1156.93        500.000       0.609354E-004
  1155.87        500.000       0.609376E-004
  1154.81        500.000       0.608282E-004
  1153.75        500.000       0.607516E-004
  1152.69        500.000       0.606760E-004
  1151.63        500.000       0.602567E-004
  1150.57        500.000       0.604518E-004
  1149.51        500.000       0.601517E-004
  1148.45        500.000       0.600511E-004
  1147.39        500.000       0.599668E-004
  1146.33        500.000       0.598757E-004
  1145.27        500.000       0.597251E-004
  1144.21        500.000       0.596901E-004
  1143.15        500.000       0.598227E-004
  1142.09        500.000       0.595092E-004
  1141.03        500.000       0.594193E-004
  1139.97        500.000       0.593279E-004
  1138.91        500.000       0.592398E-004
  1137.85        500.000       0.590893E-004
  1136.79        500.000       0.590628E-004
  1135.72        500.000       0.590596E-004
  1134.66        500.000       0.588854E-004
  1133.60        500.000       0.588001E-004
  1132.54        500.000       0.587587E-004
  1131.48        500.000       0.587580E-004
  1130.42        500.000       0.585392E-004
  1129.36        500.000       0.584619E-004
  1128.30        500.000       0.583705E-004
  1127.24        500.000       0.582943E-004
  1126.18        500.000       0.581975E-004
  1125.12        500.000       0.580364E-004
  1124.06        500.000       0.580265E-004
  1123.00        500.000       0.580211E-004
  1121.94        500.000       0.578714E-004
  1120.88        500.000       0.577811E-004
  1119.82        500.000       0.576799E-004
  1118.76        500.000       0.576096E-004
  1117.70        500.000       0.575367E-004
  1116.64        500.000       0.574489E-004
  1115.58        500.000       0.573588E-004
  1114.52        500.000       0.572739E-004
  1113.46        500.000       0.574950E-004
  1112.40        500.000       0.576115E-004
  1111.34        500.000       0.571019E-004
  1110.28        500.000       0.570848E-004
  1109.22        500.000       0.569841E-004
  1108.16        500.000       0.568351E-004
  1107.10        500.000       0.567922E-004
  1106.04        500.000       0.567117E-004
  1104.97        500.000       0.565974E-004
  1103.91        500.000       0.565526E-004
  1102.85        500.000       0.564838E-004
  1101.79        500.000       0.564151E-004
  1100.73        500.000       0.563095E-004
  1099.67        500.000       0.562567E-004
  1098.61        500.000       0.562105E-004
  1097.55        500.000       0.561330E-004
  1096.49        500.000       0.560560E-004
  1095.43        500.000       0.559807E-004
  1094.37        500.000       0.559387E-004
  1093.31        500.000       0.558417E-004
  1092.25        500.000       0.557737E-004
  1091.19        500.000       0.557029E-004
  1090.13        500.000       0.556420E-004
  1089.07        500.000       0.555763E-004
  1088.01        500.000       0.555122E-004
  1086.95        500.000       0.554085E-004
  1085.89        500.000       0.553589E-004
  1084.83        500.000       0.553087E-004
  1083.77        500.000       0.553057E-004
