|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/EETA/EETA_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Sp(TH)         Sp(TH)         an             O(HP)          San(TH)        ilm            q             
  1419.87        500.000        99.9847       0.550978E-002  0.978046E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.82        500.000        99.4311       0.420084       0.148775                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.77        500.000        99.3581       0.378138       0.263775                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1416.71        500.000        98.9492       0.618258       0.432503                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.66        500.000        99.7622       0.132311       0.101408       0.411025E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1414.61        500.000        99.3843       0.252671       0.363047                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1413.56        500.000        99.3724       0.369490       0.258086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1412.50        500.000        99.3735       0.369052       0.257497                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1411.45        500.000        99.3730       0.369405       0.257545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1410.40        500.000        99.3821       0.253225       0.364669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1409.35        500.000        99.3831       0.253217       0.363662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1408.29        500.000        98.8076       0.705579       0.486823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1407.24        500.000        99.9529       0.271299E-001  0.199534E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1406.19        500.000        99.8172       0.747210E-001  0.108055                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1405.14        500.000        98.9887       0.596144       0.415189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1404.09        500.000        99.3954       0.247929       0.356663                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1403.03        500.000        99.3974       0.247517       0.354625       0.460512E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1401.98        500.000        99.4025       0.352495       0.245019                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1400.93        500.000        99.4041       0.244348       0.351514                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1399.88        500.000        99.4071       0.243109       0.349819                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1398.82        500.000        99.3394       0.389110       0.271093       0.361641E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1397.77        500.000        99.1673       0.353420       0.331325                 NaN            NaN  0.147992                 NaN            NaN            NaN            NaN
  1396.72        500.000        98.7137       0.401753       0.554344       0.115173E-003            NaN  0.330048                 NaN            NaN            NaN            NaN
  1395.67        500.000        98.7270       0.397554       0.549088                 NaN            NaN  0.326374                 NaN            NaN            NaN            NaN
  1394.61        500.000        98.7439       0.542007       0.391787       0.370358E-003            NaN  0.321928                 NaN            NaN            NaN            NaN
  1393.56        500.000        98.7523       0.538115       0.390096                 NaN            NaN  0.319479                 NaN            NaN            NaN            NaN
  1392.51        500.000        98.7716       0.381399       0.531526       0.144686E-002            NaN  0.314072                 NaN            NaN            NaN            NaN
  1391.46        500.000        98.7814       0.381050       0.525968                 NaN            NaN  0.311602                 NaN            NaN            NaN            NaN
  1390.41        500.000        98.7932       0.377402       0.521034                 NaN            NaN  0.308399                 NaN            NaN            NaN            NaN
  1389.35        500.000        98.8039       0.516842       0.373740                 NaN            NaN  0.305513                 NaN            NaN            NaN            NaN
  1388.30        500.000        98.8176       0.510743       0.369793                 NaN            NaN  0.301913                 NaN            NaN            NaN            NaN
  1387.25        500.000        98.8308       0.505512       0.365631                 NaN            NaN  0.298098                 NaN            NaN            NaN            NaN
  1386.20        500.000        98.8404       0.501777       0.362551                 NaN            NaN  0.295246                 NaN            NaN            NaN            NaN
  1385.14        500.000        98.8513       0.354132       0.499802       0.295226E-002            NaN  0.291843                 NaN            NaN            NaN            NaN
  1384.09        500.000        98.8657       0.354875       0.491051                 NaN            NaN  0.288354                 NaN            NaN            NaN            NaN
  1383.04        500.000        98.8728       0.352572       0.488284                 NaN            NaN  0.286360                 NaN            NaN            NaN            NaN
  1381.99        500.000        98.8829       0.351960       0.466116                 NaN            NaN  0.285574       0.134245E-001            NaN            NaN            NaN
  1380.93        500.000        98.8915       0.361272       0.377774                 NaN            NaN  0.293008       0.764939E-001            NaN            NaN            NaN
  1379.88        500.000        98.8999       0.371683       0.283763                 NaN            NaN  0.300963       0.143668                 NaN            NaN            NaN
  1378.83        500.000        98.9093       0.369092       0.277991                 NaN            NaN  0.298773       0.144870                 NaN            NaN            NaN
  1377.78        500.000        98.9219       0.365339       0.272274                 NaN            NaN  0.295420       0.145097                 NaN            NaN            NaN
  1376.73        500.000        98.9304       0.363589       0.267132                 NaN            NaN  0.292793       0.146095                 NaN            NaN            NaN
  1375.67        500.000        98.9388       0.361635       0.261366                 NaN            NaN  0.290936       0.147227                 NaN            NaN            NaN
  1374.62        500.000        98.9504       0.255736       0.357986                 NaN            NaN  0.287697       0.148190                 NaN            NaN            NaN
  1373.57        500.000        98.8269       0.400771       0.282527                 NaN            NaN  0.322511       0.167335                 NaN            NaN            NaN
  1372.52        500.000        99.1034       0.307059       0.212517                 NaN            NaN  0.245956       0.131111                 NaN            NaN            NaN
  1371.46        500.000        98.9765       0.350738       0.240598                 NaN            NaN  0.281035       0.151138                 NaN            NaN            NaN
  1370.41        500.000        98.9862       0.236001       0.348165                 NaN            NaN  0.278199       0.151420                 NaN            NaN            NaN
  1369.36        500.000        98.6986       0.299581       0.447223                 NaN            NaN  0.357010       0.197563                 NaN            NaN            NaN
  1368.31        500.000        99.2982       0.158249       0.242717                 NaN            NaN  0.192478       0.108367                 NaN            NaN            NaN
  1367.25        500.000        99.0114       0.341333       0.221394                 NaN            NaN  0.271581       0.154245                 NaN            NaN            NaN
  1366.20        500.000        99.0190       0.339732       0.216319                 NaN            NaN  0.269558       0.155354                 NaN            NaN            NaN
  1365.15        500.000        99.0286       0.212171       0.336659                 NaN            NaN  0.266946       0.155578                 NaN            NaN            NaN
  1364.10        500.000        99.0366       0.334891       0.205827                 NaN            NaN  0.265250       0.157455                 NaN            NaN            NaN
  1363.05        500.000        99.0446       0.203754       0.332358                 NaN            NaN  0.262619       0.156699                 NaN            NaN            NaN
  1361.99        500.000        99.0519       0.198506       0.330572                 NaN            NaN  0.260815       0.158195                 NaN            NaN            NaN
  1360.94        500.000        99.0590       0.328857       0.193919                 NaN            NaN  0.258972       0.159228                 NaN            NaN            NaN
  1359.89        500.000        99.0666       0.326668       0.190412                 NaN            NaN  0.256726       0.159561                 NaN            NaN            NaN
  1358.84        500.000        99.0735       0.186153       0.324923                 NaN            NaN  0.255009       0.160431                 NaN            NaN            NaN
  1357.78        500.000        99.0822       0.322337       0.181400                 NaN            NaN  0.252740       0.161352                 NaN            NaN            NaN
  1356.73        500.000        99.0879       0.321261       0.177565                 NaN            NaN  0.251176       0.162142                 NaN            NaN            NaN
  1355.68        500.000        99.0970       0.318307       0.174105                 NaN            NaN  0.248489       0.162051                 NaN            NaN            NaN
  1354.63        500.000        99.0965       0.170897       0.319021                 NaN            NaN  0.248978       0.164606                 NaN            NaN            NaN
  1353.57        500.000        99.1149       0.312779       0.165755                 NaN            NaN  0.243856       0.162739                 NaN            NaN            NaN
  1352.52        500.000        99.1171       0.313189       0.162396                 NaN            NaN  0.243104       0.164230                 NaN            NaN            NaN
  1351.47        500.000        99.2401       0.137395       0.269305                 NaN            NaN  0.209650       0.143576                 NaN            NaN            NaN
  1350.42        500.000        99.0123       0.351708       0.177119                 NaN            NaN  0.271811       0.187071                 NaN            NaN            NaN
  1349.37        500.000        99.1353       0.308542       0.151413                 NaN            NaN  0.238252       0.166482                 NaN            NaN            NaN
  1348.31        500.000        99.1427       0.306119       0.148770                 NaN            NaN  0.236087       0.166284                 NaN            NaN            NaN
  1347.26        500.000        99.1485       0.144897       0.304746                 NaN            NaN  0.234618       0.167285                 NaN            NaN            NaN
  1346.21        500.000        99.1553       0.302965       0.141418                 NaN            NaN  0.232713       0.167569                 NaN            NaN            NaN
  1345.16        500.000        99.1565       0.138818       0.302448                 NaN            NaN  0.232838       0.169440                 NaN            NaN            NaN
  1344.10        500.000        99.1703       0.299335       0.135233                 NaN            NaN  0.228101       0.167075                 NaN            NaN            NaN
  1343.05        500.000        99.1731       0.298224       0.131996                 NaN            NaN  0.227771       0.168951                 NaN            NaN            NaN
  1342.00        500.000        99.1784       0.129189       0.296904                 NaN            NaN  0.226243       0.169247                 NaN            NaN            NaN
  1340.95        500.000        99.1841       0.126376       0.295340                 NaN            NaN  0.224657       0.169503                 NaN            NaN            NaN
  1339.89        500.000        99.1850       0.124014       0.295645                 NaN            NaN  0.224334       0.171010                 NaN            NaN            NaN
  1338.84        500.000        99.1988       0.291227       0.121155                 NaN            NaN  0.220241       0.168604                 NaN            NaN            NaN
  1337.79        500.000        99.2010       0.117890       0.290943                 NaN            NaN  0.219863       0.170340                 NaN            NaN            NaN
  1336.74        500.000        99.2061       0.289462       0.115623                 NaN            NaN  0.218370       0.170482                 NaN            NaN            NaN
  1335.69        500.000        99.2120       0.287917       0.112409                 NaN            NaN  0.216794       0.170852                 NaN            NaN            NaN
  1334.63        500.000        99.2171       0.286462       0.110123                 NaN            NaN  0.215279       0.171010                 NaN            NaN            NaN
  1333.58        500.000        99.2225       0.285148       0.107882                 NaN            NaN  0.213682       0.170811                 NaN            NaN            NaN
  1332.53        500.000        99.2252       0.284764       0.104468                 NaN            NaN  0.213263       0.172348                 NaN            NaN            NaN
  1331.48        500.000        99.2345       0.104025       0.281572                 NaN            NaN  0.210001       0.169943                 NaN            NaN            NaN
  1330.42        500.000        99.2368       0.280958       0.101596                 NaN            NaN  0.209541       0.171076                 NaN            NaN            NaN
  1329.37        500.000        99.2235       0.279226       0.118918       0.150952E-001            NaN  0.210140       0.153087                 NaN            NaN            NaN
  1328.32        500.000        99.2028       0.281063       0.139299       0.339912E-001            NaN  0.211729       0.131159                 NaN            NaN            NaN
  1327.27        500.000        99.1954       0.145732       0.283335       0.422140E-001            NaN  0.211768       0.121571                 NaN            NaN            NaN
  1326.21        500.000        99.1824       0.155368       0.288179       0.537128E-001            NaN  0.212340       0.108046                 NaN            NaN            NaN
  1325.16        500.000        99.1707       0.292829       0.163591       0.647276E-001            NaN  0.212770       0.953744E-001            NaN            NaN            NaN
  1324.11        500.000        99.1564       0.175069       0.298057       0.762891E-001            NaN  0.213524       0.806641E-001            NaN            NaN            NaN
  1323.06        500.000        99.1379       0.185110       0.307375       0.916627E-001            NaN  0.214538       0.634306E-001            NaN            NaN            NaN
  1322.01        500.000        99.1292       0.310752       0.193180       0.100568                 NaN  0.214577       0.516904E-001            NaN            NaN            NaN
  1320.95        500.000        99.1113       0.220570       0.313156       0.113257                 NaN  0.214779       0.269036E-001            NaN            NaN            NaN
  1319.90        500.000        99.1108       0.325755       0.193663       0.120828                 NaN  0.215288       0.336826E-001            NaN            NaN            NaN
  1318.85        500.000        99.1032       0.325196       0.211068       0.127732                 NaN  0.214612       0.181838E-001            NaN            NaN            NaN
  1317.80        500.000        99.0972       0.328746       0.217914       0.135055                 NaN  0.214085       0.696732E-002            NaN            NaN            NaN
  1316.74        500.000        99.1016       0.209761       0.329332       0.136603                 NaN  0.213318       0.934407E-002            NaN            NaN            NaN
  1315.69        500.000        99.1027       0.328443       0.216840       0.140241                 NaN  0.211805                 NaN            NaN            NaN            NaN
  1314.64        500.000        99.1086       0.212811       0.327667       0.140672                 NaN  0.210278       0.107711E-005            NaN            NaN            NaN
  1313.59        500.000        99.1119       0.328557       0.207638       0.142507                 NaN  0.209443                 NaN            NaN            NaN            NaN
  1312.53        500.000        99.1182       0.326319       0.205054       0.142217                 NaN  0.208164                 NaN            NaN            NaN            NaN
  1311.48        500.000        99.1269       0.200833       0.324202       0.142080                 NaN  0.205968                 NaN            NaN            NaN            NaN
  1310.43        500.000        99.1325       0.323068       0.197492       0.142126                 NaN  0.204783                 NaN            NaN            NaN            NaN
  1309.38        500.000        99.1408       0.319981       0.195014       0.141185                 NaN  0.202986                 NaN            NaN            NaN            NaN
  1308.33        500.000        99.1486       0.192038       0.317613       0.140526                 NaN  0.201266                 NaN            NaN            NaN            NaN
  1307.27        500.000        99.1560       0.189369       0.315157       0.139816                 NaN  0.199633                 NaN            NaN            NaN            NaN
  1306.22        500.000        99.1831       0.832289E-001  0.327888       0.126746                 NaN  0.202710       0.763440E-001            NaN            NaN            NaN
  1305.17        500.000        99.1722       0.308541       0.185811       0.137301                 NaN  0.196110       0.414078E-005            NaN            NaN            NaN
  1304.12        500.000        99.1823       0.305668       0.181355       0.136817                 NaN  0.193874                 NaN            NaN            NaN            NaN
  1303.06        500.000        99.1905       0.301666       0.180895       0.134779                 NaN  0.192207                 NaN            NaN            NaN            NaN
  1302.01        500.000        99.1977       0.299059       0.178779       0.133828                 NaN  0.190627                 NaN            NaN            NaN            NaN
  1300.96        500.000        99.2061       0.176791       0.295737       0.132512                 NaN  0.188820                 NaN            NaN            NaN            NaN
  1299.91        500.000        99.2144       0.292470       0.174776       0.131326                 NaN  0.187029                 NaN            NaN            NaN            NaN
  1298.85        500.000        99.2224       0.289275       0.173122       0.129837                 NaN  0.185317                 NaN            NaN            NaN            NaN
  1297.80        500.000        99.2304       0.285893       0.171490       0.128636                 NaN  0.183553                 NaN            NaN            NaN            NaN
  1296.75        500.000        99.2383       0.282588       0.169805       0.127376                 NaN  0.181927                 NaN            NaN            NaN            NaN
  1295.70        500.000        99.2458       0.279880       0.167964       0.126081                 NaN  0.180269                 NaN            NaN            NaN            NaN
  1294.65        500.000        99.2539       0.276140       0.166742       0.124656                 NaN  0.178520                 NaN            NaN            NaN            NaN
  1293.59        500.000        99.2612       0.165043       0.273344       0.123476                 NaN  0.176904                 NaN            NaN            NaN            NaN
  1292.54        500.000        99.2692       0.269905       0.163516       0.122139                 NaN  0.175265                 NaN            NaN            NaN            NaN
  1291.49        500.000        99.2762       0.267355       0.161922       0.120872                 NaN  0.173690                 NaN            NaN            NaN            NaN
  1290.44        500.000        99.2838       0.264072       0.160572       0.119520                 NaN  0.172053                 NaN            NaN            NaN            NaN
  1289.38        500.000        99.2894       0.262054       0.158547       0.119049                 NaN  0.170913                 NaN            NaN            NaN            NaN
  1288.33        500.000        99.2996       0.257468       0.157780       0.116618                 NaN  0.168551                 NaN            NaN            NaN            NaN
  1287.28        500.000        99.3055       0.254812       0.156901       0.115423                 NaN  0.167380                 NaN            NaN            NaN            NaN
  1286.23        500.000        99.3124       0.252028       0.155194       0.114529                 NaN  0.165893                 NaN            NaN            NaN            NaN
  1285.17        500.000        99.3190       0.249141       0.154293       0.113096                 NaN  0.164464                 NaN            NaN            NaN            NaN
  1284.12        500.000        99.3270       0.152457       0.246204       0.111707                 NaN  0.162678                 NaN            NaN            NaN            NaN
  1283.07        500.000        99.3335       0.243281       0.151296       0.110640                 NaN  0.161299                 NaN            NaN            NaN            NaN
  1282.02        500.000        99.3402       0.240521       0.150119       0.109309                 NaN  0.159815                 NaN            NaN            NaN            NaN
  1280.97        500.000        99.3469       0.237634       0.149108       0.108016                 NaN  0.158391                 NaN            NaN            NaN            NaN
  1279.91        500.000        99.3521       0.234688       0.149184       0.106539                 NaN  0.157514                 NaN            NaN            NaN            NaN
  1278.86        500.000        99.3613       0.232017       0.145971       0.105664                 NaN  0.154998                 NaN            NaN            NaN            NaN
  1277.81        500.000        99.3664       0.145830       0.229320       0.104323                 NaN  0.154154                 NaN            NaN            NaN            NaN
  1276.76        500.000        99.3731       0.144734       0.226458       0.103040                 NaN  0.152661                 NaN            NaN            NaN            NaN
  1275.70        500.000        99.3792       0.223883       0.143542       0.101926                 NaN  0.151412                 NaN            NaN            NaN            NaN
  1274.65        500.000        99.3857       0.220791       0.143054       0.100463                 NaN  0.149956                 NaN            NaN            NaN            NaN
  1273.60        500.000        99.3918       0.218616       0.141630       0.993983E-001            NaN  0.148580                 NaN            NaN            NaN            NaN
  1272.55        500.000        99.3977       0.216073       0.140722       0.981966E-001            NaN  0.147330                 NaN            NaN            NaN            NaN
  1271.49        500.000        93.3792       0.938227       0.980915       0.495409                 NaN  0.816463                 NaN   3.38982                 NaN            NaN
  1270.44        500.000        89.7353        1.43016        1.42553       0.723185                 NaN   1.21900                 NaN   5.46685                 NaN            NaN
  1269.39        500.000        90.8577        1.27664        1.27154       0.643483                 NaN   1.09122                 NaN   4.85942                 NaN            NaN
  1268.34        500.000        91.7619        1.14790        1.15076       0.580408                 NaN  0.988077                 NaN   4.37096                 NaN            NaN
  1267.29        500.000        92.5028        1.04529        1.04759       0.529426                 NaN  0.903132                 NaN   3.97175                 NaN            NaN
  1266.23        500.000        93.1184       0.964909       0.956359       0.487623                 NaN  0.832416                 NaN   3.64028                 NaN            NaN
  1265.18        500.000        93.6390       0.895307       0.879576       0.452656                 NaN  0.772437                 NaN   3.36107                 NaN            NaN
  1264.13        500.000        94.0825       0.836393       0.813788       0.423283                 NaN  0.721009                 NaN   3.12301                 NaN            NaN
  1263.08        500.000        94.4707       0.753741       0.785622       0.398135                 NaN  0.676223                 NaN   2.91560                 NaN            NaN
  1262.02        500.000        94.8090       0.741118       0.701774       0.376337                 NaN  0.636642                 NaN   2.73511                 NaN            NaN
  1260.97        500.000        95.1081       0.654002       0.702677       0.357497                 NaN  0.601707                 NaN   2.57598                 NaN            NaN
  1259.92        500.000        95.3748       0.668110       0.611954       0.340537                 NaN  0.570392                 NaN   2.43425                 NaN            NaN
  1258.87        500.000        95.6105       0.637631       0.573846       0.325827                 NaN  0.542746                 NaN   2.30942                 NaN            NaN
  1257.81        500.000        95.8243       0.539119       0.610356       0.312325                 NaN  0.517255                 NaN   2.19663                 NaN            NaN
  1256.76        500.000        96.0189       0.507005       0.585567       0.300233                 NaN  0.494153                 NaN   2.09415                 NaN            NaN
  1255.71        500.000        96.1946       0.477046       0.563628       0.289568                 NaN  0.473198                 NaN   2.00192                 NaN            NaN
  1254.66        500.000        96.3559       0.450719       0.543022       0.279476                 NaN  0.453990                 NaN   1.91691                 NaN            NaN
  1253.61        500.000        96.5043       0.425885       0.523909       0.270240                 NaN  0.436208                 NaN   1.83947                 NaN            NaN
  1252.55        500.000        96.6410       0.506767       0.402529       0.261857                 NaN  0.419380                 NaN   1.76842                 NaN            NaN
  1251.50        500.000        96.7674       0.491699       0.379827       0.254243                 NaN  0.404239                 NaN   1.70258                 NaN            NaN
