|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/KHA22/KHA22_6.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  1548.08        500.000        3215.29     
  1546.71        500.000        3215.39     
  1545.33        500.000        3216.41     
  1543.96        500.000        3217.91     
  1542.59        500.000        3218.93     
  1541.21        500.000        3219.11     
  1539.84        500.000        3219.16     
  1538.46        500.000        3219.08     
  1537.09        500.000        3219.83     
  1535.72        500.000        3220.11     
  1534.34        500.000        3220.43     
  1532.97        500.000        3220.30     
  1531.60        500.000        3220.94     
  1530.22        500.000        3220.86     
  1528.85        500.000        3221.50     
  1527.48        500.000        3221.79     
  1526.10        500.000        3219.77     
  1524.73        500.000        3222.44     
  1523.35        500.000        3222.79     
  1521.98        500.000        3222.00     
  1520.61        500.000        3223.29     
  1519.23        500.000        3223.42     
  1517.86        500.000        3224.23     
  1516.49        500.000        3224.03     
  1515.11        500.000        3223.41     
  1513.74        500.000        3226.35     
  1512.37        500.000        3225.11     
  1510.99        500.000        3225.43     
  1509.62        500.000        3230.54     
  1508.24        500.000        3224.99     
  1506.87        500.000        3225.65     
  1505.50        500.000        3225.92     
  1504.12        500.000        3226.51     
  1502.75        500.000        3226.49     
  1501.38        500.000        3226.77     
  1500.00        500.000        3229.60     
  1498.63        500.000        3228.58     
  1497.26        500.000        3228.69     
  1495.88        500.000        3228.98     
  1494.51        500.000        3229.03     
  1493.13        500.000        3228.97     
  1491.76        500.000        3229.94     
  1490.39        500.000        3229.78     
  1489.01        500.000        3230.32     
  1487.64        500.000        3230.60     
  1486.27        500.000        3230.90     
  1484.89        500.000        3231.32     
  1483.52        500.000        3231.49     
  1482.15        500.000        3232.44     
  1480.77        500.000        3232.28     
  1479.40        500.000        3233.35     
  1478.02        500.000        3233.36     
  1476.65        500.000        3233.65     
  1475.28        500.000        3272.93     
  1473.90        500.000        3234.55     
  1472.53        500.000        3235.28     
  1471.16        500.000        3235.44     
  1469.78        500.000        3235.87     
  1468.41        500.000        3235.78     
  1467.04        500.000        3236.48     
  1465.66        500.000        3236.03     
  1464.29        500.000        3237.08     
  1462.91        500.000        3238.30     
  1461.54        500.000        3238.96     
  1460.17        500.000        3238.88     
  1458.79        500.000        3238.75     
  1457.42        500.000        3239.45     
  1456.05        500.000        3239.41     
  1454.67        500.000        3240.78     
  1453.30        500.000        3240.49     
  1451.93        500.000        3240.84     
  1450.55        500.000        3230.61     
  1449.18        500.000        3224.94     
  1447.80        500.000        3225.72     
  1446.43        500.000        3226.61     
  1445.06        500.000        3225.05     
  1443.68        500.000        3223.38     
  1442.31        500.000        3224.22     
  1440.94        500.000        3230.50     
  1439.56        500.000        3224.01     
  1438.19        500.000        3227.98     
  1436.82        500.000        3226.09     
  1435.44        500.000        3227.09     
  1434.07        500.000        3227.96     
  1432.69        500.000        3229.38     
  1431.32        500.000        3231.24     
  1429.95        500.000        3231.60     
  1428.57        500.000        3232.61     
  1427.20        500.000        3233.48     
  1425.83        500.000        3234.35     
  1424.45        500.000        3247.23     
  1423.08        500.000        3236.02     
  1421.71        500.000        3236.88     
  1420.33        500.000        3237.86     
  1418.96        500.000        3238.34     
  1417.58        500.000        3238.76     
  1416.21        500.000        3231.34     
  1414.84        500.000        3241.61     
  1413.46        500.000        3242.08     
  1412.09        500.000        3243.25     
  1410.72        500.000        3244.05     
  1409.34        500.000        3096.92     
  1407.97        500.000        3080.09     
  1406.60        500.000        3080.92     
  1405.22        500.000        3081.92     
  1403.85        500.000        3082.66     
  1402.47        500.000        3083.76     
  1401.10        500.000        3084.51     
  1399.73        500.000        3085.33     
  1398.35        500.000        3088.17     
  1396.98        500.000        3087.12     
  1395.61        500.000        3088.05     
  1394.23        500.000        3088.96     
  1392.86        500.000        3089.90     
  1391.49        500.000        3090.68     
  1390.11        500.000        3091.84     
  1388.74        500.000        3092.52     
  1387.36        500.000        3093.52     
  1385.99        500.000        3094.39     
  1384.62        500.000        3095.25     
  1383.24        500.000        3096.11     
  1381.87        500.000        3097.07     
  1380.50        500.000        3097.86     
  1379.12        500.000        3099.04     
  1377.75        500.000        3099.80     
  1376.38        500.000        3100.72     
  1375.00        500.000        3101.53     
  1373.63        500.000        3102.39     
  1372.25        500.000        3103.39     
  1370.88        500.000        3104.34     
  1369.51        500.000        3105.16     
  1368.13        500.000        3106.16     
  1366.76        500.000        3106.92     
  1365.39        500.000        3108.00     
  1364.01        500.000        3108.75     
  1362.64        500.000        3109.89     
  1361.27        500.000        3110.70     
  1359.89        500.000        3111.55     
  1358.52        500.000        3112.54     
  1357.14        500.000        3113.29     
  1355.77        500.000        3114.32     
  1354.40        500.000        3115.03     
  1353.02        500.000        3115.95     
  1351.65        500.000        3116.97     
  1350.28        500.000        3118.01     
  1348.90        500.000        3118.22     
  1347.53        500.000        3122.23     
  1346.16        500.000        3128.30     
  1344.78        500.000        3129.86     
  1343.41        500.000        3130.77     
  1342.03        500.000        3145.07     
  1340.66        500.000        3127.91     
  1339.29        500.000        3126.44     
  1337.91        500.000        3135.01     
  1336.54        500.000        3136.27     
  1335.17        500.000        3137.23     
  1333.79        500.000        3138.50     
  1332.42        500.000        3139.56     
  1331.05        500.000        3141.25     
  1329.67        500.000        3141.49     
  1328.30        500.000        3142.76     
  1326.92        500.000        3143.91     
  1325.55        500.000        3144.97     
  1324.18        500.000        3146.23     
  1322.80        500.000        3147.56     
  1321.43        500.000        3148.32     
  1320.06        500.000        3149.48     
  1318.68        500.000        3150.53     
  1317.31        500.000        3151.50     
  1315.94        500.000        3152.70     
  1314.56        500.000        3153.86     
  1313.19        500.000        3154.86     
  1311.81        500.000        3156.01     
  1310.44        500.000        3157.09     
  1309.07        500.000        3158.15     
  1307.69        500.000        3159.07     
  1306.32        500.000        3160.19     
  1304.95        500.000        3161.36     
  1303.57        500.000        3162.50     
  1302.20        500.000        3163.63     
  1300.83        500.000        3164.55     
  1299.45        500.000        3165.57     
  1298.08        500.000        3166.86     
  1296.70        500.000        3167.84     
  1295.33        500.000        3168.48     
  1293.96        500.000        3169.66     
  1292.58        500.000        3170.65     
  1291.21        500.000        3171.73     
  1289.84        500.000        3172.73     
  1288.46        500.000        3173.63     
  1287.09        500.000        2757.24     
  1285.72        500.000        2758.56     
  1284.34        500.000        2762.31     
  1282.97        500.000        2765.96     
  1281.59        500.000        2769.50     
  1280.22        500.000        2773.07     
  1278.85        500.000        2776.45     
  1277.47        500.000        2779.71     
  1276.10        500.000        2782.99     
  1274.73        500.000        2786.06     
  1273.35        500.000        2789.44     
  1271.98        500.000        2792.53     
  1270.61        500.000        2795.57     
  1269.23        500.000        2798.56     
  1267.86        500.000        2801.61     
  1266.49        500.000        2804.43     
  1265.11        500.000        2807.31     
  1263.74        500.000        2847.00     
  1262.36        500.000        2850.10     
  1260.99        500.000        2850.33     
  1259.62        500.000        2850.54     
  1258.24        500.000        2850.70     
  1256.87        500.000        2850.85     
  1255.50        500.000        2850.94     
  1254.12        500.000        2850.98     
  1252.75        500.000        2846.38     
  1251.38        500.000        2854.08     
  1250.00        500.000        2844.69     
  1248.63        500.000        2837.76     
  1247.25        500.000        2912.82     
  1245.88        500.000        2862.95     
  1244.51        500.000        2786.09     
  1243.13        500.000        2845.94     
  1241.76        500.000        2808.84     
  1240.39        500.000        2851.21     
  1239.01        500.000        2949.12     
  1237.64        500.000        2848.54     
  1236.27        500.000        2864.58     
  1234.89        500.000        2840.08     
  1233.52        500.000        2801.07     
  1232.14        500.000        2871.52     
  1230.77        500.000        2843.17     
  1229.40        500.000        2838.92     
  1228.02        500.000        2848.28     
  1226.65        500.000        2868.78     
  1225.28        500.000        2870.27     
  1223.90        500.000        2799.03     
  1222.53        500.000        2610.19     
  1221.16        500.000        2836.86     
  1219.78        500.000        2877.08     
  1218.41        500.000        2726.48     
  1217.03        500.000        2831.25     
  1215.66        500.000        2829.17     
  1214.29        500.000        2851.73     
  1212.91        500.000        2911.02     
  1211.54        500.000        2801.69     
  1210.17        500.000        2699.66     
  1208.79        500.000        2813.78     
  1207.42        500.000        2888.13     
  1206.05        500.000        2704.23     
  1204.67        500.000        2755.45     
  1203.30        500.000        2785.16     
  1201.92        500.000        2707.08     
  1200.55        500.000        2838.59     
  1199.18        500.000        2813.52     
  1197.80        500.000        3357.62     
  1196.43        500.000        2639.04     
  1195.06        500.000        2938.86     
  1193.68        500.000        2812.39     
  1192.31        500.000        2724.04     
  1190.94        500.000        2424.44     
  1189.56        500.000        2789.84     
  1188.19        500.000        2809.57     
  1186.81        500.000        2634.08     
  1185.44        500.000        2626.84     
  1184.07        500.000        2626.90     
  1182.69        500.000        2626.96     
  1181.32        500.000        2627.02     
  1179.95        500.000        2627.08     
  1178.57        500.000        2627.14     
  1177.20        500.000        2627.20     
  1175.83        500.000        2627.26     
  1174.45        500.000        2627.32     
  1173.08        500.000        2627.38     
  1171.70        500.000        2627.44     
  1170.33        500.000        2627.50     
  1168.96        500.000        2627.57     
  1167.58        500.000        2627.63     
  1166.21        500.000        2627.69     
  1164.84        500.000        2627.75     
  1163.46        500.000        2627.81     
  1162.09        500.000        2627.86     
  1160.72        500.000        2627.93     
  1159.34        500.000        2627.99     
  1157.97        500.000        2628.05     
  1156.59        500.000        2628.15     
  1155.22        500.000        2628.21     
  1153.85        500.000        2628.27     
  1152.47        500.000        2628.33     
  1151.10        500.000        2628.39     
  1149.73        500.000        2628.45     
  1148.35        500.000        2628.51     
  1146.98        500.000        2628.57     
  1145.61        500.000        2628.63     
  1144.23        500.000        2628.69     
  1142.86        500.000        2628.75     
  1141.48        500.000        2628.81     
  1140.11        500.000        2628.87     
  1138.74        500.000        2628.93     
  1137.36        500.000        2628.99     
  1135.99        500.000        2629.05     
  1134.62        500.000        2629.11     
  1133.24        500.000        2629.17     
  1131.87        500.000        2629.23     
  1130.50        500.000        2629.84     
  1129.12        500.000        2629.90     
  1127.75        500.000        2629.96     
  1126.37        500.000        2630.02     
  1125.00        500.000        2630.08     
  1123.63        500.000        2630.14     
  1122.25        500.000        2630.37     
  1120.88        500.000        2630.43     
  1119.51        500.000        2630.49     
  1118.13        500.000        2630.55     
  1116.76        500.000        2630.61     
  1115.39        500.000        2630.66     
  1114.01        500.000        2630.87     
  1112.64        500.000        2630.99     
  1111.26        500.000        2631.12     
  1109.89        500.000        2631.18     
  1108.52        500.000        2631.40     
  1107.14        500.000        2631.51     
  1105.77        500.000        2631.57     
