|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/TAY13/TAY13_2.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),kg     
  1554.49        500.000       0.185277E-005
  1553.10        500.000                 NaN
  1551.71        500.000                 NaN
  1550.32        500.000                 NaN
  1548.93        500.000                 NaN
  1547.54        500.000                 NaN
  1546.15        500.000                 NaN
  1544.76        500.000                 NaN
  1543.37        500.000                 NaN
  1541.98        500.000                 NaN
  1540.59        500.000                 NaN
  1539.20        500.000                 NaN
  1537.81        500.000                 NaN
  1536.42        500.000                 NaN
  1535.03        500.000                 NaN
  1533.64        500.000                 NaN
  1532.25        500.000                 NaN
  1530.87        500.000                 NaN
  1529.48        500.000                 NaN
  1528.09        500.000                 NaN
  1526.70        500.000                 NaN
  1525.31        500.000                 NaN
  1523.92        500.000                 NaN
  1522.53        500.000                 NaN
  1521.14        500.000                 NaN
  1519.75        500.000                 NaN
  1518.36        500.000                 NaN
  1516.97        500.000                 NaN
  1515.58        500.000                 NaN
  1514.19        500.000                 NaN
  1512.80        500.000                 NaN
  1511.41        500.000                 NaN
  1510.02        500.000                 NaN
  1508.63        500.000                 NaN
  1507.24        500.000                 NaN
  1505.85        500.000                 NaN
  1504.46        500.000                 NaN
  1503.07        500.000                 NaN
  1501.68        500.000                 NaN
  1500.29        500.000                 NaN
  1498.90        500.000                 NaN
  1497.51        500.000                 NaN
  1496.12        500.000                 NaN
  1494.73        500.000                 NaN
  1493.34        500.000                 NaN
  1491.95        500.000                 NaN
  1490.56        500.000                 NaN
  1489.17        500.000                 NaN
  1487.78        500.000                 NaN
  1486.39        500.000                 NaN
  1485.01        500.000                 NaN
  1483.62        500.000                 NaN
  1482.23        500.000                 NaN
  1480.84        500.000                 NaN
  1479.45        500.000                 NaN
  1478.06        500.000                 NaN
  1476.67        500.000                 NaN
  1475.28        500.000                 NaN
  1473.89        500.000                 NaN
  1472.50        500.000                 NaN
  1471.11        500.000                 NaN
  1469.72        500.000                 NaN
  1468.33        500.000                 NaN
  1466.94        500.000                 NaN
  1465.55        500.000                 NaN
  1464.16        500.000                 NaN
  1462.77        500.000                 NaN
  1461.38        500.000                 NaN
  1459.99        500.000                 NaN
  1458.60        500.000                 NaN
  1457.21        500.000                 NaN
  1455.82        500.000                 NaN
  1454.43        500.000                 NaN
  1453.04        500.000                 NaN
  1451.65        500.000                 NaN
  1450.26        500.000                 NaN
  1448.87        500.000                 NaN
  1447.48        500.000                 NaN
  1446.09        500.000                 NaN
  1444.70        500.000                 NaN
  1443.31        500.000                 NaN
  1441.92        500.000                 NaN
  1440.53        500.000                 NaN
  1439.14        500.000                 NaN
  1437.76        500.000                 NaN
  1436.37        500.000                 NaN
  1434.98        500.000                 NaN
  1433.59        500.000                 NaN
  1432.20        500.000                 NaN
  1430.81        500.000                 NaN
  1429.42        500.000                 NaN
  1428.03        500.000                 NaN
  1426.64        500.000                 NaN
  1425.25        500.000                 NaN
  1423.86        500.000                 NaN
  1422.47        500.000                 NaN
  1421.08        500.000                 NaN
  1419.69        500.000                 NaN
  1418.30        500.000                 NaN
  1416.91        500.000                 NaN
  1415.52        500.000                 NaN
  1414.13        500.000                 NaN
  1412.74        500.000                 NaN
  1411.35        500.000                 NaN
  1409.96        500.000                 NaN
  1408.57        500.000                 NaN
  1407.18        500.000                 NaN
  1405.79        500.000                 NaN
  1404.40        500.000                 NaN
  1403.01        500.000                 NaN
  1401.62        500.000                 NaN
  1400.23        500.000                 NaN
  1398.84        500.000                 NaN
  1397.45        500.000                 NaN
  1396.06        500.000                 NaN
  1394.67        500.000                 NaN
  1393.28        500.000                 NaN
  1391.90        500.000                 NaN
  1390.51        500.000                 NaN
  1389.12        500.000                 NaN
  1387.73        500.000                 NaN
  1386.34        500.000                 NaN
  1384.95        500.000                 NaN
  1383.56        500.000                 NaN
  1382.17        500.000                 NaN
  1380.78        500.000                 NaN
  1379.39        500.000                 NaN
  1378.00        500.000                 NaN
  1376.61        500.000                 NaN
  1375.22        500.000                 NaN
  1373.83        500.000                 NaN
  1372.44        500.000                 NaN
  1371.05        500.000                 NaN
  1369.66        500.000                 NaN
  1368.27        500.000                 NaN
  1366.88        500.000                 NaN
  1365.49        500.000                 NaN
  1364.10        500.000                 NaN
  1362.71        500.000                 NaN
  1361.32        500.000                 NaN
  1359.93        500.000                 NaN
  1358.54        500.000                 NaN
  1357.15        500.000                 NaN
  1355.76        500.000                 NaN
  1354.37        500.000                 NaN
  1352.98        500.000                 NaN
  1351.59        500.000                 NaN
  1350.20        500.000                 NaN
  1348.81        500.000                 NaN
  1347.42        500.000                 NaN
  1346.04        500.000                 NaN
  1344.65        500.000                 NaN
  1343.26        500.000                 NaN
  1341.87        500.000                 NaN
  1340.48        500.000                 NaN
  1339.09        500.000                 NaN
  1337.70        500.000                 NaN
  1336.31        500.000                 NaN
  1334.92        500.000                 NaN
  1333.53        500.000                 NaN
  1332.14        500.000                 NaN
  1330.75        500.000                 NaN
  1329.36        500.000                 NaN
  1327.97        500.000                 NaN
  1326.58        500.000                 NaN
  1325.19        500.000                 NaN
  1323.80        500.000                 NaN
  1322.41        500.000                 NaN
  1321.02        500.000                 NaN
  1319.63        500.000                 NaN
  1318.24        500.000                 NaN
  1316.85        500.000                 NaN
  1315.46        500.000                 NaN
  1314.07        500.000                 NaN
  1312.68        500.000                 NaN
  1311.29        500.000                 NaN
  1309.90        500.000                 NaN
  1308.51        500.000                 NaN
  1307.12        500.000                 NaN
  1305.73        500.000                 NaN
  1304.34        500.000                 NaN
  1302.95        500.000                 NaN
  1301.56        500.000                 NaN
  1300.18        500.000                 NaN
  1298.79        500.000                 NaN
  1297.40        500.000                 NaN
  1296.01        500.000                 NaN
  1294.62        500.000                 NaN
  1293.23        500.000                 NaN
  1291.84        500.000                 NaN
  1290.45        500.000                 NaN
  1289.06        500.000                 NaN
  1287.67        500.000                 NaN
  1286.28        500.000                 NaN
  1284.89        500.000                 NaN
  1283.50        500.000                 NaN
  1282.11        500.000                 NaN
  1280.72        500.000                 NaN
  1279.33        500.000                 NaN
  1277.94        500.000                 NaN
  1276.55        500.000                 NaN
  1275.16        500.000                 NaN
  1273.77        500.000                 NaN
  1272.38        500.000                 NaN
  1270.99        500.000                 NaN
  1269.60        500.000                 NaN
  1268.21        500.000                 NaN
  1266.82        500.000                 NaN
  1265.43        500.000       0.975282E-005
  1264.04        500.000       0.202377E-004
  1262.65        500.000       0.170691E-004
  1261.26        500.000       0.146242E-004
  1259.87        500.000       0.127016E-004
  1258.48        500.000       0.111774E-004
  1257.09        500.000       0.992448E-005
  1255.70        500.000       0.889808E-005
  1254.31        500.000       0.802570E-005
  1252.93        500.000       0.728802E-005
  1251.54        500.000       0.666202E-005
  1250.15        500.000       0.612971E-005
  1248.76        500.000       0.564560E-005
  1247.37        500.000       0.522782E-005
  1245.98        500.000       0.487160E-005
  1244.59        500.000       0.451825E-005
  1243.20        500.000       0.422014E-005
  1241.81        500.000       0.396240E-005
  1240.42        500.000       0.371201E-005
  1239.03        500.000       0.614494E-005
  1237.64        500.000       0.648168E-006
  1236.25        500.000       0.313398E-005
  1234.86        500.000       0.289190E-005
  1233.47        500.000       0.431010E-005
  1232.08        500.000       0.401994E-005
  1230.69        500.000       0.225144E-005
  1229.30        500.000                 NaN
  1227.91        500.000       0.203446E-006
  1226.52        500.000       0.385604E-005
  1225.13        500.000       0.332259E-005
  1223.74        500.000       0.313474E-006
  1222.35        500.000       0.299618E-005
  1220.96        500.000       0.922568E-006
  1219.57        500.000       0.252539E-005
  1218.18        500.000       0.586580E-006
  1216.79        500.000       0.197768E-005
  1215.40        500.000       0.239370E-006
  1214.01        500.000       0.281596E-005
  1212.62        500.000       0.262422E-010
  1211.23        500.000       0.695401E-010
  1209.84        500.000       0.136709E-005
  1208.45        500.000       0.176738E-005
  1207.07        500.000       0.141783E-005
  1205.68        500.000       0.901085E-007
  1204.29        500.000                 NaN
  1202.90        500.000       0.157130E-005
  1201.51        500.000       0.108474E-005
  1200.12        500.000                 NaN
  1198.73        500.000       0.418904E-005
  1197.34        500.000       0.218260E-005
  1195.95        500.000       0.291195E-005
  1194.56        500.000       0.698212E-006
  1193.17        500.000       0.460006E-005
  1191.78        500.000       0.306093E-005
  1190.39        500.000       0.883008E-006
  1189.00        500.000       0.457707E-006
  1187.61        500.000       0.399537E-005
  1186.22        500.000       0.294331E-005
  1184.83        500.000       0.972935E-005
  1183.44        500.000       0.978089E-005
  1182.05        500.000       0.990487E-005
  1180.66        500.000       0.990663E-005
  1179.27        500.000       0.989872E-005
  1177.88        500.000       0.991162E-005
  1176.49        500.000       0.100171E-004
  1175.10        500.000       0.988239E-005
  1173.71        500.000       0.989475E-005
  1172.32        500.000       0.990495E-005
  1170.93        500.000       0.989002E-005
  1169.54        500.000       0.977855E-005
  1168.15        500.000       0.979390E-005
  1166.76        500.000       0.979099E-005
  1165.37        500.000       0.981433E-005
  1163.98        500.000       0.995512E-005
  1162.59        500.000       0.996064E-005
  1161.21        500.000       0.996379E-005
  1159.82        500.000       0.996777E-005
  1158.43        500.000       0.997239E-005
  1157.04        500.000       0.997675E-005
  1155.65        500.000       0.102618E-004
  1154.26        500.000       0.998545E-005
  1152.87        500.000       0.984618E-005
  1151.48        500.000       0.990171E-005
  1150.09        500.000       0.985582E-005
  1148.70        500.000       0.986262E-005
  1147.31        500.000       0.987696E-005
  1145.92        500.000       0.987966E-005
  1144.53        500.000       0.995680E-005
  1143.14        500.000       0.102519E-004
  1141.75        500.000       0.989779E-005
  1140.36        500.000       0.100146E-004
  1138.97        500.000       0.989242E-005
  1137.58        500.000       0.990611E-005
  1136.19        500.000       0.992586E-005
  1134.80        500.000       0.100160E-004
  1133.41        500.000       0.990902E-005
  1132.02        500.000       0.991680E-005
  1130.63        500.000       0.993153E-005
  1129.24        500.000       0.993657E-005
  1127.85        500.000       0.994083E-005
  1126.46        500.000       0.994431E-005
  1125.07        500.000       0.994849E-005
  1123.68        500.000       0.995319E-005
  1122.29        500.000       0.995209E-005
  1120.90        500.000       0.994958E-005
  1119.51        500.000       0.996405E-005
  1118.12        500.000       0.998373E-005
  1116.73        500.000       0.996090E-005
  1115.35        500.000       0.996484E-005
  1113.96        500.000       0.996941E-005
  1112.57        500.000       0.997430E-005
  1111.18        500.000       0.997806E-005
  1109.79        500.000       0.998261E-005
  1108.40        500.000       0.998812E-005
  1107.01        500.000       0.999041E-005
  1105.62        500.000       0.998606E-005
  1104.23        500.000       0.999772E-005
  1102.84        500.000       0.100601E-004
  1101.45        500.000       0.100004E-004
  1100.06        500.000       0.100145E-004
  1098.67        500.000       0.100110E-004
  1097.28        500.000       0.100642E-004
  1095.89        500.000       0.100245E-004
  1094.50        500.000       0.100287E-004
  1093.11        500.000       0.100299E-004
  1091.72        500.000       0.100350E-004
  1090.33        500.000       0.100400E-004
  1088.94        500.000       0.100439E-004
  1087.55        500.000       0.100478E-004
  1086.16        500.000       0.100517E-004
  1084.77        500.000       0.100557E-004
  1083.38        500.000       0.100611E-004
  1081.99        500.000       0.100407E-004
  1080.60        500.000       0.100248E-004
  1079.21        500.000       0.100147E-004
  1077.82        500.000       0.999085E-005
  1076.43        500.000       0.996945E-005
  1075.04        500.000       0.995563E-005
  1073.65        500.000       0.994401E-005
  1072.26        500.000       0.992823E-005
  1070.87        500.000       0.990430E-005
  1069.48        500.000       0.997031E-005
  1068.10        500.000       0.993985E-005
  1066.71        500.000       0.992983E-005
  1065.32        500.000       0.984500E-005
  1063.93        500.000       0.967016E-005
  1062.54        500.000       0.981514E-005
  1061.15        500.000       0.969374E-005
  1059.76        500.000       0.950850E-005
  1058.37        500.000       0.909796E-005
  1056.98        500.000       0.867312E-005
  1055.59        500.000       0.812527E-005
  1054.20        500.000       0.772337E-005
  1052.81        500.000       0.724034E-005
  1051.42        500.000       0.644796E-005
  1050.03        500.000       0.608823E-005
  1048.64        500.000       0.596092E-005
  1047.25        500.000       0.528272E-005
  1045.86        500.000       0.471438E-005
  1044.47        500.000       0.474768E-005
  1043.08        500.000       0.431023E-005
  1041.69        500.000       0.386258E-005
  1040.30        500.000       0.340416E-005
  1038.91        500.000       0.293753E-005
  1037.52        500.000       0.452344E-006
  1036.13        500.000       0.199551E-005
  1034.74        500.000                 NaN
  1033.35        500.000                 NaN
  1031.96        500.000                 NaN
  1030.57        500.000       0.771961E-006
  1029.18        500.000                 NaN
  1027.79        500.000                 NaN
  1026.40        500.000                 NaN
  1025.01        500.000                 NaN
  1023.62        500.000                 NaN
  1022.24        500.000                 NaN
  1020.85        500.000                 NaN
  1019.46        500.000                 NaN
  1018.07        500.000                 NaN
  1016.68        500.000                 NaN
  1015.29        500.000                 NaN
  1013.90        500.000                 NaN
  1012.51        500.000                 NaN
  1011.12        500.000                 NaN
  1009.73        500.000                 NaN
  1008.34        500.000                 NaN
  1006.95        500.000                 NaN
  1005.56        500.000                 NaN
  1004.17        500.000                 NaN
  1002.78        500.000                 NaN
  1001.39        500.000                 NaN
  1000.00        500.000                 NaN
