|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.75/Y98/Y98_5.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         pcr     usp     imt     ispTH     iherc     nmt     nsp     nherc    
  1451.92        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.79        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.65        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.39        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.26        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.12        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.86        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.73        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.59        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.46        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.33        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.20        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.06        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.80        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.67        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.53        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.40        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1429.27        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1428.13        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1427.00        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.87        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.74        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.60        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.47        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1421.34        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.21        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.07        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.94        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1416.81        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.68        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1414.54        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1413.41        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1412.28        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1411.15        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1410.01        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1408.88        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1407.75        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1406.61        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1405.48        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1404.35        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1403.22        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1402.08        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1400.95        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1399.82        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1398.69        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1397.55        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1396.42        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1395.29        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1394.16        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1393.02        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1391.89        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1390.76        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1389.63        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1388.49        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1387.36        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1386.23        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1385.09        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1383.96        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1382.83        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1381.70        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1380.56        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1379.43        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1378.30        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1377.17        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1376.03        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1374.90        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1373.77        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1372.64        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1371.50        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1370.37        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1369.24        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1368.11        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1366.97        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1365.84        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1364.71        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1363.57        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1362.44        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1361.31        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1360.18        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1359.04        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1357.91        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1356.78        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1355.65        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1354.51        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1353.38        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1352.25        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1351.12        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1349.98        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1348.85        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1347.72        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1346.59        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1345.45        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1344.32        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1343.19        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1342.05        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1340.92        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1339.79        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1338.66        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1337.52        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1336.39        500.000       0.224871E-001  0.710377       0.186928       0.864837E-002  0.447400E-001  0.306294E-001  0.796805E-001 -0.834901E-001
  1335.26        500.000       0.182795E-001  0.716568       0.185198       0.844242E-002  0.443610E-001  0.315430E-001  0.830169E-001 -0.874082E-001
  1334.13        500.000       0.132183E-001  0.723066       0.183580       0.804392E-002  0.441007E-001  0.331302E-001  0.861936E-001 -0.913328E-001
  1332.99        500.000       0.138497E-001  0.721292       0.184177       0.795668E-002  0.443047E-001  0.335090E-001  0.851305E-001 -0.902194E-001
  1331.86        500.000       0.119860E-001  0.723390       0.183668       0.777396E-002  0.442482E-001  0.342929E-001  0.861169E-001 -0.914755E-001
  1330.73        500.000       0.101916E-001  0.725423       0.183162       0.760669E-002  0.441871E-001  0.350375E-001  0.871016E-001 -0.927096E-001
  1329.60        500.000       0.862576E-002  0.726720       0.182939       0.738889E-002  0.442220E-001  0.359624E-001  0.875541E-001 -0.934120E-001
  1328.46        500.000       0.764610E-002  0.727199       0.182929       0.721268E-002  0.442965E-001  0.367414E-001  0.876178E-001 -0.936429E-001
  1327.33        500.000       0.647016E-002  0.727912       0.182861       0.701974E-002  0.443597E-001  0.375982E-001  0.877711E-001 -0.939915E-001
  1326.20        500.000       0.529722E-002  0.728677       0.182761       0.683592E-002  0.444076E-001  0.384309E-001  0.879558E-001 -0.943657E-001
  1325.07        500.000       0.525241E-002  0.727368       0.183330       0.665980E-002  0.446355E-001  0.392437E-001  0.870065E-001 -0.934950E-001
  1323.93        500.000       0.431919E-002  0.727732       0.183345       0.647963E-002  0.447051E-001  0.400745E-001  0.869308E-001 -0.935861E-001
  1322.80        500.000       0.411914E-002  0.726896       0.183727       0.634590E-002  0.448692E-001  0.407692E-001  0.863668E-001 -0.930932E-001
  1321.67        500.000       0.367175E-002  0.726435       0.183996       0.619111E-002  0.450011E-001  0.415396E-001  0.859156E-001 -0.927505E-001
  1320.53        500.000       0.331626E-002  0.725835       0.184278       0.600808E-002  0.451446E-001  0.423673E-001  0.851765E-001 -0.921260E-001
  1319.40        500.000       0.296842E-002  0.724887       0.184849       0.594233E-002  0.453147E-001  0.430533E-001  0.851570E-001 -0.921722E-001
  1318.27        500.000       0.246223E-002  0.724599       0.184972       0.572203E-002  0.454349E-001  0.439697E-001  0.842997E-001 -0.914595E-001
  1317.14        500.000       0.222242E-002  0.723593       0.185437       0.556212E-002  0.456150E-001  0.448305E-001  0.835348E-001 -0.907943E-001
  1316.00        500.000       0.204239E-002  0.723104       0.185637       0.548241E-002  0.457002E-001  0.453382E-001  0.832345E-001 -0.905381E-001
  1314.87        500.000       0.201590E-002  0.721425       0.186361       0.529519E-002  0.459544E-001  0.463550E-001  0.820325E-001 -0.894389E-001
  1313.74        500.000       0.202301E-002  0.719954       0.186976       0.514642E-002  0.461675E-001  0.472162E-001  0.810385E-001 -0.885222E-001
  1312.61        500.000       0.165005E-002  0.719656       0.187133       0.505143E-002  0.462404E-001  0.478273E-001  0.808007E-001 -0.883589E-001
  1311.47        500.000       0.147315E-002  0.718575       0.187609       0.491160E-002  0.464084E-001  0.486715E-001  0.800293E-001 -0.876780E-001
  1310.34        500.000       0.129435E-002  0.717573       0.188047       0.478355E-002  0.465617E-001  0.494739E-001  0.793287E-001 -0.870617E-001
  1309.21        500.000       0.128739E-002  0.716359       0.188539       0.467292E-002  0.467272E-001  0.502066E-001  0.785657E-001 -0.863578E-001
  1308.08        500.000       0.100062E-002  0.715929       0.188732       0.458995E-002  0.468023E-001  0.508014E-001  0.782875E-001 -0.861432E-001
  1306.94        500.000       0.112023E-002  0.714303       0.189385       0.446609E-002  0.470125E-001  0.516309E-001  0.772710E-001 -0.851880E-001
  1305.81        500.000       0.955564E-003  0.713323       0.189803       0.435340E-002  0.471517E-001  0.524087E-001  0.766176E-001 -0.846133E-001
  1304.68        500.000       0.972991E-003  0.711961       0.190355       0.424116E-002  0.473275E-001  0.532026E-001  0.757663E-001 -0.838271E-001
