|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.25/YM20/YM20_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1541.67        500.000        99.9714       0.285703E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.31        500.000        99.4093       0.581652       0.905137E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.95        500.000        99.4143       0.580487       0.516527E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.60        500.000        99.4174       0.581591       0.100278E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.24        500.000        99.4254       0.546963       0.276588E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.88        500.000        99.4293       0.543563       0.271266E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.52        500.000        99.4321       0.542345       0.255061E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.17        500.000        99.4363       0.539011       0.247147E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.81        500.000        99.4417       0.533525       0.247302E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.45        500.000        99.4440       0.541555       0.144068E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.09        500.000        99.5119       0.452909       0.352194E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.74        500.000        99.3933       0.583349       0.233532E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.38        500.000        99.4179       0.559451       0.226197E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.02        500.000        99.9281       0.695493E-001  0.231383E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.66        500.000        99.6998       0.288276       0.119146E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.31        500.000        98.7197        1.22587       0.543954E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.95        500.000        99.5653       0.417105       0.175837E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.59        500.000        99.4739       0.506533       0.196017E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.23        500.000        99.4811       0.501858       0.170874E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
