|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.5/Y98/Y98_5.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         pcr     usp     imt     ispTH     iherc     nmt     nsp     nherc    
  1439.10        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.00        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.90        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1435.80        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.70        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.60        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.50        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.40        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.30        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1429.20        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1428.09        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1426.99        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.89        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.79        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.69        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.59        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1421.49        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.39        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.29        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.19        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.09        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.99        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1414.89        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1413.79        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1412.69        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
