T(K)	P(bar)	SiO2	TiO2	Al2O3	Cr2O3	FeO	MnO	MgO	CaO	Na2O	K2O	NiO
  1525.64      500.000     0.301504     0.488313E-02 0.268654E-01 0.830369E-03 0.705050E-01  0.00000     0.119967     0.559944E-01 0.758321E-02 0.318485E-03  0.00000    
  1524.32      500.000     0.299907     0.488259E-02 0.268343E-01 0.812995E-03 0.701141E-01  0.00000     0.118726     0.559421E-01 0.758266E-02 0.318485E-03  0.00000    
  1523.01      500.000     0.298197     0.488199E-02 0.267995E-01 0.793758E-03 0.697165E-01  0.00000     0.117454     0.558829E-01 0.758205E-02 0.318485E-03  0.00000    
  1521.69      500.000     0.296501     0.488137E-02 0.267650E-01 0.774838E-03 0.693219E-01  0.00000     0.116195     0.558235E-01 0.758143E-02 0.318485E-03  0.00000    
  1520.37      500.000     0.294827     0.488076E-02 0.267310E-01 0.756170E-03 0.689310E-01  0.00000     0.114954     0.557638E-01 0.758082E-02 0.318485E-03  0.00000    
  1519.05      500.000     0.293154     0.488010E-02 0.266972E-01 0.738262E-03 0.685411E-01  0.00000     0.113721     0.557044E-01 0.758023E-02 0.318485E-03  0.00000    
  1517.74      500.000     0.291329     0.487937E-02 0.266587E-01 0.717541E-03 0.681101E-01  0.00000     0.112371     0.556387E-01 0.757960E-02 0.318485E-03  0.00000    
  1516.42      500.000     0.289918     0.487880E-02 0.266301E-01 0.702253E-03 0.677793E-01  0.00000     0.111330     0.555869E-01 0.757908E-02 0.318485E-03  0.00000    
  1515.10      500.000     0.288304     0.487816E-02 0.265974E-01 0.684852E-03 0.674006E-01  0.00000     0.110143     0.555267E-01 0.757847E-02 0.318485E-03  0.00000    
  1513.78      500.000     0.286739     0.487753E-02 0.265658E-01 0.668085E-03 0.670331E-01  0.00000     0.108994     0.554671E-01 0.757789E-02 0.318485E-03  0.00000    
  1512.47      500.000     0.285179     0.487689E-02 0.265345E-01 0.651651E-03 0.666625E-01  0.00000     0.107843     0.554073E-01 0.757731E-02 0.318485E-03  0.00000    
  1511.15      500.000     0.282726     0.487581E-02 0.264844E-01 0.625300E-03 0.660878E-01  0.00000     0.106055     0.553111E-01 0.757638E-02 0.318485E-03  0.00000    
  1509.83      500.000     0.282040     0.487551E-02 0.264706E-01 0.618094E-03 0.659252E-01  0.00000     0.105552     0.552841E-01 0.757611E-02 0.318485E-03  0.00000    
  1508.51      500.000     0.281067     0.487508E-02 0.264509E-01 0.607923E-03 0.656947E-01  0.00000     0.104844     0.552448E-01 0.757575E-02 0.318485E-03  0.00000    
  1507.20      500.000     0.279093     0.487422E-02 0.264113E-01 0.587918E-03 0.652234E-01  0.00000     0.103403     0.551652E-01 0.757501E-02 0.318485E-03  0.00000    
  1505.88      500.000     0.277746     0.487370E-02 0.263884E-01 0.576236E-03 0.648366E-01  0.00000     0.102267     0.551188E-01 0.757458E-02 0.318485E-03  0.00000    
  1504.56      500.000     0.276250     0.487301E-02 0.263582E-01 0.561050E-03 0.644814E-01  0.00000     0.101185     0.550568E-01 0.757401E-02 0.318485E-03  0.00000    
  1503.24      500.000     0.274841     0.487233E-02 0.263297E-01 0.546679E-03 0.641467E-01  0.00000     0.100166     0.549974E-01 0.757346E-02 0.318485E-03  0.00000    
  1501.93      500.000     0.273409     0.487164E-02 0.263009E-01 0.532351E-03 0.638062E-01  0.00000     0.991322E-01 0.549360E-01 0.757290E-02 0.318485E-03  0.00000    
  1500.61      500.000     0.271991     0.487093E-02 0.262727E-01 0.518550E-03 0.634675E-01  0.00000     0.981096E-01 0.548749E-01 0.757234E-02 0.318485E-03  0.00000    
  1499.29      500.000     0.270590     0.487023E-02 0.262445E-01 0.504809E-03 0.631317E-01  0.00000     0.971014E-01 0.548139E-01 0.757179E-02 0.318485E-03  0.00000    
  1497.97      500.000     0.269210     0.486952E-02 0.262174E-01 0.491741E-03 0.627959E-01  0.00000     0.960987E-01 0.547535E-01 0.757125E-02 0.318485E-03  0.00000    
  1496.66      500.000     0.267837     0.486879E-02 0.261899E-01 0.478514E-03 0.624651E-01  0.00000     0.951138E-01 0.546919E-01 0.757071E-02 0.318485E-03  0.00000    
