|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2/ALH/ALH_6.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  1525.64        500.000        3838.89     
  1524.32        500.000        3266.85     
  1523.01        500.000        3274.31     
  1521.69        500.000        3268.98     
  1520.37        500.000        3268.26     
  1519.05        500.000        3269.73     
  1517.74        500.000        3270.02     
  1516.42        500.000        3271.22     
  1515.10        500.000        3270.15     
  1513.78        500.000        3272.49     
  1512.47        500.000        3271.48     
  1511.15        500.000        3271.02     
  1509.83        500.000        3272.37     
  1508.51        500.000        3273.10     
  1507.20        500.000        3273.30     
  1505.88        500.000        3276.64     
  1504.56        500.000        3274.15     
  1503.24        500.000        3278.49     
  1501.93        500.000        3283.72     
  1500.61        500.000        3275.99     
  1499.29        500.000        3276.23     
  1497.97        500.000        3276.81     
  1496.66        500.000        3281.65     
  1495.34        500.000        3277.57     
  1494.02        500.000        3268.57     
  1492.71        500.000        3261.14     
  1491.39        500.000        3261.54     
  1490.07        500.000        3262.46     
  1488.75        500.000        3263.73     
  1487.44        500.000        3270.91     
  1486.12        500.000        3265.93     
  1484.80        500.000        3269.73     
  1483.48        500.000        3266.26     
  1482.17        500.000        3267.42     
  1480.85        500.000        3268.05     
  1479.53        500.000        3268.92     
  1478.21        500.000        3269.42     
  1476.90        500.000        3270.31     
  1475.58        500.000        3271.22     
  1474.26        500.000        3271.50     
  1472.94        500.000        3272.44     
  1471.63        500.000        3273.45     
  1470.31        500.000        3292.54     
  1468.99        500.000        3267.73     
  1467.67        500.000        3259.26     
  1466.36        500.000        3260.27     
  1465.04        500.000        3261.52     
  1463.72        500.000        3262.16     
  1462.41        500.000        3263.70     
  1461.09        500.000        3264.74     
  1459.77        500.000        3265.81     
  1458.45        500.000        3267.12     
  1457.14        500.000        3268.43     
  1455.82        500.000        3269.31     
  1454.50        500.000        3270.57     
  1453.18        500.000        3271.62     
  1451.87        500.000        3272.71     
  1450.55        500.000        3274.59     
  1449.23        500.000        3276.71     
  1447.91        500.000        3278.60     
  1446.60        500.000        3279.70     
  1445.28        500.000        3280.62     
  1443.96        500.000        3282.02     
  1442.64        500.000        3282.95     
  1441.33        500.000        3283.84     
  1440.01        500.000        3284.79     
  1438.69        500.000        3285.96     
  1437.37        500.000        3286.88     
  1436.06        500.000        3288.12     
  1434.74        500.000        3289.64     
  1433.42        500.000        3290.21     
  1432.11        500.000        3291.32     
  1430.79        500.000        3292.60     
  1429.47        500.000        3293.61     
  1428.15        500.000        3294.68     
  1426.84        500.000        3295.85     
  1425.52        500.000        3296.92     
  1424.20        500.000        3298.03     
  1422.88        500.000        3299.11     
  1421.57        500.000        3300.40     
  1420.25        500.000        3301.49     
  1418.93        500.000        3302.68     
  1417.61        500.000        3304.28     
  1416.30        500.000        3304.85     
  1414.98        500.000        3306.07     
  1413.66        500.000        3262.85     
  1412.34        500.000        3155.73     
  1411.03        500.000        3127.28     
  1409.71        500.000        3128.81     
  1408.39        500.000        3130.16     
  1407.07        500.000        3132.14     
  1405.76        500.000        3132.82     
  1404.44        500.000        3134.26     
  1403.12        500.000        3135.55     
  1401.81        500.000        3136.91     
  1400.49        500.000        3138.30     
  1399.17        500.000        3139.66     
  1397.85        500.000        3141.10     
  1396.54        500.000        3142.41     
