|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2/YM20/YM20_6.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  1544.87        500.000        3238.90     
  1543.50        500.000        3232.18     
  1542.14        500.000        3228.35     
  1540.77        500.000        3228.89     
  1539.41        500.000        3242.20     
  1538.04        500.000        3229.68     
  1536.68        500.000        3230.55     
  1535.31        500.000        3230.93     
  1533.95        500.000        3231.71     
  1532.58        500.000        3230.32     
  1531.21        500.000        3231.52     
  1529.85        500.000        3235.47     
  1528.48        500.000        3233.70     
  1527.12        500.000        3235.38     
  1525.75        500.000        2764.73     
  1524.39        500.000        3236.42     
  1523.02        500.000        3236.63     
  1521.65        500.000        3238.19     
  1520.29        500.000        3237.04     
  1518.92        500.000        3237.12     
  1517.56        500.000        3238.28     
  1516.19        500.000        3237.47     
  1514.83        500.000        3237.62     
  1513.46        500.000        3237.96     
  1512.10        500.000        3238.90     
  1510.73        500.000        3238.31     
  1509.36        500.000        3239.13     
  1508.00        500.000        3239.23     
  1506.63        500.000        3238.55     
  1505.27        500.000        3240.21     
  1503.90        500.000        3242.89     
  1502.54        500.000        3239.12     
  1501.17        500.000        3239.74     
  1499.81        500.000        3259.62     
  1498.44        500.000        3239.62     
  1497.07        500.000        3239.80     
  1495.71        500.000        3240.11     
  1494.34        500.000        3240.14     
  1492.98        500.000        3242.27     
  1491.61        500.000        3240.93     
  1490.25        500.000        3241.71     
  1488.88        500.000        3241.45     
  1487.52        500.000        3242.34     
  1486.15        500.000        3242.03     
  1484.78        500.000        3242.99     
  1483.42        500.000        3243.24     
  1482.05        500.000        3244.00     
  1480.69        500.000        3243.99     
  1479.32        500.000        3244.35     
  1477.96        500.000        3244.51     
  1476.59        500.000        3245.36     
  1475.22        500.000        3245.64     
  1473.86        500.000        3246.37     
  1472.49        500.000        3245.98     
  1471.13        500.000        3246.63     
  1469.76        500.000        3247.54     
  1468.40        500.000        3247.47     
  1467.03        500.000        3247.17     
  1465.67        500.000        3248.42     
  1464.30        500.000        3233.77     
  1462.93        500.000        3238.82     
  1461.57        500.000        3235.12     
  1460.20        500.000        3235.21     
  1458.84        500.000        3236.26     
  1457.47        500.000        3236.95     
  1456.11        500.000        3237.73     
  1454.74        500.000        3231.06     
  1453.38        500.000        3229.29     
  1452.01        500.000        3230.27     
  1450.64        500.000        3276.77     
  1449.28        500.000        3232.41     
  1447.91        500.000        3232.38     
  1446.55        500.000        3233.44     
  1445.18        500.000        3234.36     
  1443.82        500.000        3235.31     
  1442.45        500.000        3236.39     
  1441.09        500.000        3236.97     
  1439.72        500.000        3238.06     
  1438.35        500.000        3239.31     
  1436.99        500.000        3239.74     
  1435.62        500.000        3240.65     
  1434.26        500.000        3241.50     
  1432.89        500.000        3242.41     
  1431.53        500.000        3243.50     
  1430.16        500.000        3244.38     
  1428.79        500.000        3245.04     
  1427.43        500.000        3246.08     
  1426.06        500.000        3112.23     
  1424.70        500.000        3078.12     
  1423.33        500.000        3078.82     
  1421.97        500.000        3080.00     
  1420.60        500.000        3080.97     
  1419.24        500.000        3082.02     
  1417.87        500.000        3082.94     
  1416.50        500.000        3084.02     
  1415.14        500.000        3084.87     
  1413.77        500.000        3085.70     
  1412.41        500.000        3086.82     
  1411.04        500.000        3087.81     
  1409.68        500.000        3088.92     
  1408.31        500.000        3089.69     
  1406.95        500.000        3090.78     
  1405.58        500.000        3091.58     
  1404.21        500.000        3092.45     
  1402.85        500.000        3093.68     
  1401.48        500.000        3094.68     
  1400.12        500.000        3095.71     
  1398.75        500.000        3096.58     
  1397.39        500.000        3097.59     
  1396.02        500.000        3098.64     
  1394.66        500.000        3099.49     
  1393.29        500.000        3100.47     
  1391.92        500.000        3101.48     
  1390.56        500.000        3102.41     
  1389.19        500.000        3103.42     
  1387.83        500.000        3104.28     
  1386.46        500.000        3105.46     
  1385.10        500.000        3106.28     
  1383.73        500.000        3107.37     
  1382.36        500.000        3108.18     
  1381.00        500.000        3109.38     
  1379.63        500.000        3086.49     
  1378.27        500.000        3122.11     
  1376.90        500.000        3112.16     
  1375.54        500.000        3113.10     
  1374.17        500.000        3114.06     
  1372.81        500.000        3115.10     
  1371.44        500.000        3116.40     
  1370.07        500.000        3096.29     
  1368.71        500.000        3136.41     
  1367.34        500.000        3132.08     
  1365.98        500.000        3119.96     
  1364.61        500.000        3120.98     
  1363.25        500.000        3121.85     
  1361.88        500.000        3123.02     
  1360.52        500.000        3123.82     
  1359.15        500.000        3124.82     
  1357.78        500.000        3138.24     
  1356.42        500.000        3132.75     
  1355.05        500.000        3127.70     
  1353.69        500.000        3128.93     
  1352.32        500.000        3140.19     
  1350.96        500.000        3141.45     
  1349.59        500.000        3142.78     
  1348.23        500.000        3143.39     
  1346.86        500.000        3145.83     
  1345.49        500.000        3146.44     
  1344.13        500.000        3147.64     
  1342.76        500.000        3148.88     
  1341.40        500.000        3150.35     
  1340.03        500.000        3151.29     
  1338.67        500.000        3152.59     
  1337.30        500.000        3153.76     
  1335.93        500.000        3154.74     
  1334.57        500.000        3156.15     
  1333.20        500.000        3157.31     
  1331.84        500.000        3158.50     
  1330.47        500.000        3159.77     
  1329.11        500.000        3161.03     
  1327.74        500.000        3162.21     
  1326.38        500.000        3163.33     
