|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.25/EETA/EETA_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          Sp(TH)         San(TH)        ilm            q             
  1423.08        500.000        99.9865       0.134561E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.02        500.000        99.5184       0.177923       0.303667                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.96        500.000        99.4087       0.384223       0.207040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.90        500.000        99.4136       0.381144       0.205211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.84        500.000        99.4161       0.204191       0.379758                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.78        500.000        99.4080       0.208552       0.378616                 NaN            NaN  0.485818E-002            NaN            NaN            NaN            NaN            NaN
  1416.72        500.000        98.4107       0.480628       0.663260                 NaN            NaN  0.445460                 NaN            NaN            NaN            NaN            NaN
  1415.66        500.000        98.4285       0.656102       0.474924                 NaN            NaN  0.440499                 NaN            NaN            NaN            NaN            NaN
  1414.60        500.000        98.4313       0.654338       0.474944                 NaN            NaN  0.439464       0.201507E-005            NaN            NaN            NaN            NaN
  1413.54        500.000        98.4996       0.453638       0.626354                 NaN            NaN  0.420358       0.368725E-004            NaN            NaN            NaN            NaN
  1412.48        500.000        98.4944       0.454627       0.628897                 NaN            NaN  0.421813       0.224830E-003            NaN            NaN            NaN            NaN
  1411.42        500.000        98.5141       0.620483       0.449170                 NaN            NaN  0.416245                 NaN            NaN            NaN            NaN            NaN
  1410.36        500.000        98.4900       0.629896       0.457287                 NaN            NaN  0.422786                 NaN            NaN            NaN            NaN            NaN
  1409.30        500.000        98.5950       0.424652       0.586916                 NaN            NaN  0.393398                 NaN            NaN            NaN            NaN            NaN
  1408.24        500.000        98.5492       0.427078       0.617507                 NaN            NaN  0.406173                 NaN            NaN            NaN            NaN            NaN
  1407.17        500.000        98.5990       0.575819       0.432651                 NaN            NaN  0.392535                 NaN            NaN            NaN            NaN            NaN
  1406.11        500.000        98.6161       0.578439       0.418744                 NaN            NaN  0.386753                 NaN            NaN            NaN            NaN            NaN
  1405.05        500.000        98.6196       0.541226       0.426202                 NaN            NaN  0.389636       0.233822E-001            NaN            NaN            NaN            NaN
  1403.99        500.000        98.6489       0.452950       0.384968                 NaN            NaN  0.394525       0.118645                 NaN            NaN            NaN            NaN
  1402.93        500.000        98.6615       0.451351       0.375713                 NaN            NaN  0.391196       0.120273                 NaN            NaN            NaN            NaN
  1401.87        500.000        98.5071       0.509369       0.411259                 NaN            NaN  0.436098       0.136205                 NaN            NaN            NaN            NaN
  1400.81        500.000        98.8633       0.405997       0.230218                 NaN            NaN  0.340207       0.160250                 NaN            NaN            NaN            NaN
  1399.75        500.000        98.7116       0.435508       0.415914                 NaN            NaN  0.369486       0.674668E-001            NaN            NaN            NaN            NaN
  1398.69        500.000        98.7276       0.342386       0.433669                 NaN            NaN  0.372861       0.123519                 NaN            NaN            NaN            NaN
  1397.63        500.000        98.7426       0.430611       0.333763                 NaN            NaN  0.368556       0.124446                 NaN            NaN            NaN            NaN
  1396.57        500.000        99.4533       0.143457       0.187392                 NaN            NaN  0.160595       0.552606E-001            NaN            NaN            NaN            NaN
  1395.51        500.000        98.0769       0.503841       0.660402                 NaN            NaN  0.563725       0.195130                 NaN            NaN            NaN            NaN
  1394.45        500.000        98.7863       0.311323       0.419397                 NaN            NaN  0.356341       0.126591                 NaN            NaN            NaN            NaN
  1393.39        500.000        98.8011       0.303638       0.415704                 NaN            NaN  0.352202       0.127396                 NaN            NaN            NaN            NaN
  1392.33        500.000        98.8152       0.296345       0.411847                 NaN            NaN  0.348337       0.128252                 NaN            NaN            NaN            NaN
  1391.27        500.000        98.8281       0.409221       0.289043                 NaN            NaN  0.344640       0.129005                 NaN            NaN            NaN            NaN
  1390.21        500.000        98.8404       0.282269       0.406081                 NaN            NaN  0.341258       0.129997                 NaN            NaN            NaN            NaN
  1389.15        500.000        98.6107       0.341886       0.483433                 NaN            NaN  0.408981       0.154746       0.273090E-003            NaN            NaN            NaN
  1388.09        500.000        99.1063       0.211070       0.315571                 NaN            NaN  0.263015       0.104089                 NaN            NaN            NaN            NaN
  1387.03        500.000        98.8805       0.442371       0.869005E-001            NaN            NaN  0.346295       0.243896                 NaN            NaN            NaN            NaN
  1385.97        500.000        98.8955       0.342196       0.433483                 NaN            NaN  0.309476       0.193675E-001            NaN            NaN            NaN            NaN
  1384.91        500.000        98.9037       0.390608       0.249190                 NaN            NaN  0.323328       0.133150                 NaN            NaN            NaN            NaN
  1383.85        500.000        98.9151       0.388766       0.242019                 NaN            NaN  0.320132       0.134011                 NaN            NaN            NaN            NaN
  1382.79        500.000        98.9284       0.384956       0.236739                 NaN            NaN  0.316110       0.133835                 NaN            NaN            NaN            NaN
  1381.73        500.000        98.9335       0.228639       0.385028                 NaN            NaN  0.315513       0.137325                 NaN            NaN            NaN            NaN
  1380.67        500.000        98.9574       0.376573       0.225128                 NaN            NaN  0.307509       0.133392                 NaN            NaN            NaN            NaN
  1379.61        500.000        99.1958       0.293357       0.165604                 NaN            NaN  0.238135       0.107078                 NaN            NaN            NaN            NaN
  1378.55        500.000        98.7381       0.459440       0.263959                 NaN            NaN  0.372511       0.165947                 NaN            NaN            NaN            NaN
  1377.48        500.000        98.9826       0.205903       0.373046                 NaN            NaN  0.300910       0.137544                 NaN            NaN            NaN            NaN
  1376.42        500.000        98.9945       0.201093       0.369407                 NaN            NaN  0.297512       0.137503                 NaN            NaN            NaN            NaN
  1375.36        500.000        99.0012       0.194274       0.368803                 NaN            NaN  0.295862       0.139904                 NaN            NaN            NaN            NaN
  1374.30        500.000        99.0177       0.191156       0.363359                 NaN            NaN  0.290472       0.137353                 NaN            NaN            NaN            NaN
  1373.24        500.000        99.0244       0.362857       0.184644                 NaN            NaN  0.288888       0.139178                 NaN            NaN            NaN            NaN
  1372.18        500.000        99.0346       0.179010       0.360588                 NaN            NaN  0.286014       0.139790                 NaN            NaN            NaN            NaN
  1371.12        500.000        99.0433       0.174440       0.358645                 NaN            NaN  0.283419       0.140147                 NaN            NaN            NaN            NaN
  1370.06        500.000        99.0538       0.355766       0.169682                 NaN            NaN  0.280403       0.140337                 NaN            NaN            NaN            NaN
  1369.00        500.000        99.0637       0.354365       0.162770                 NaN            NaN  0.277836       0.141366                 NaN            NaN            NaN            NaN
  1367.94        500.000        99.0732       0.351362       0.159839                 NaN            NaN  0.274776       0.140820                 NaN            NaN            NaN            NaN
  1366.88        500.000        99.0813       0.350106       0.154705                 NaN            NaN  0.272410       0.141472                 NaN            NaN            NaN            NaN
  1365.82        500.000        99.0903       0.150385       0.347506                 NaN            NaN  0.269892       0.141956                 NaN            NaN            NaN            NaN
  1364.76        500.000        99.0975       0.346064       0.146473                 NaN            NaN  0.267886       0.142102                 NaN            NaN            NaN            NaN
  1363.70        500.000        99.1097       0.141861       0.343091                 NaN            NaN  0.263903       0.141453                 NaN            NaN            NaN            NaN
  1362.64        500.000        99.1150       0.342078       0.137979                 NaN            NaN  0.262503       0.142424                 NaN            NaN            NaN            NaN
  1361.58        500.000        99.1179       0.342856       0.134848                 NaN            NaN  0.261697       0.142720                 NaN            NaN            NaN            NaN
  1360.52        500.000        99.1389       0.126688       0.336339                 NaN            NaN  0.255407       0.142662                 NaN            NaN            NaN            NaN
  1359.46        500.000        99.1416       0.335881       0.125464                 NaN            NaN  0.254659       0.142417                 NaN            NaN            NaN            NaN
  1358.40        500.000        99.1489       0.334836       0.120863                 NaN            NaN  0.252506       0.142855                 NaN            NaN            NaN            NaN
  1357.34        500.000        99.1571       0.332711       0.116652                 NaN            NaN  0.250197       0.143327                 NaN            NaN            NaN            NaN
  1356.28        500.000        99.1630       0.112722       0.332699                 NaN            NaN  0.248302       0.143277                 NaN            NaN            NaN            NaN
  1355.22        500.000        99.1740       0.109857       0.328810                 NaN            NaN  0.244923       0.142416                 NaN            NaN            NaN            NaN
  1354.16        500.000        99.1787       0.329161       0.104258                 NaN            NaN  0.243883       0.144012                 NaN            NaN            NaN            NaN
  1353.10        500.000        99.1850       0.323617       0.108792                 NaN            NaN  0.241659       0.140961                 NaN            NaN            NaN            NaN
  1352.04        500.000        99.1984       0.323378       0.978625E-001            NaN            NaN  0.237461       0.142943                 NaN            NaN            NaN            NaN
  1350.98        500.000        99.2022       0.969536E-001  0.322069                 NaN            NaN  0.236538       0.142255                 NaN            NaN            NaN            NaN
  1349.92        500.000        99.2097       0.936979E-001  0.320257                 NaN            NaN  0.234298       0.142080                 NaN            NaN            NaN            NaN
  1348.86        500.000        99.2165       0.318861       0.905514E-001            NaN            NaN  0.232183       0.141875                 NaN            NaN            NaN            NaN
  1347.80        500.000        99.2236       0.873464E-001  0.317239                 NaN            NaN  0.230077       0.141782                 NaN            NaN            NaN            NaN
  1346.73        500.000        99.2302       0.315305       0.851644E-001            NaN            NaN  0.227981       0.141308                 NaN            NaN            NaN            NaN
  1345.67        500.000        99.2367       0.313907       0.821833E-001            NaN            NaN  0.225994       0.141189                 NaN            NaN            NaN            NaN
  1344.61        500.000        99.2438       0.311879       0.799989E-001            NaN            NaN  0.223785       0.140492                 NaN            NaN            NaN            NaN
  1343.55        500.000        99.2504       0.768087E-001  0.310725                 NaN            NaN  0.221810       0.140283                 NaN            NaN            NaN            NaN
  1342.49        500.000        99.2558       0.309654       0.744168E-001            NaN            NaN  0.220041       0.140068                 NaN            NaN            NaN            NaN
  1341.43        500.000        99.2611       0.728723E-001  0.308408                 NaN            NaN  0.218366       0.139273                 NaN            NaN            NaN            NaN
  1340.37        500.000        99.2694       0.722465E-001  0.304900                 NaN            NaN  0.215656       0.137783                 NaN            NaN            NaN            NaN
  1339.31        500.000        99.2754       0.672547E-001  0.305102                 NaN            NaN  0.213905       0.138371                 NaN            NaN            NaN            NaN
  1338.25        500.000        99.2823       0.302925       0.652922E-001            NaN            NaN  0.211745       0.137719                 NaN            NaN            NaN            NaN
  1337.19        500.000        99.2884       0.301172       0.630523E-001            NaN            NaN  0.209982       0.137406                 NaN            NaN            NaN            NaN
  1336.13        500.000        99.2937       0.299454       0.623248E-001            NaN            NaN  0.208177       0.136321                 NaN            NaN            NaN            NaN
  1335.07        500.000        99.3003       0.596846E-001  0.297410                 NaN            NaN  0.206261       0.136305                 NaN            NaN            NaN            NaN
  1334.01        500.000        99.3054       0.295381       0.604199E-001            NaN            NaN  0.204385       0.134405                 NaN            NaN            NaN            NaN
  1332.95        500.000        99.3106       0.294712       0.579057E-001            NaN            NaN  0.202758       0.134014                 NaN            NaN            NaN            NaN
  1331.89        500.000        99.3173       0.552231E-001  0.293120                 NaN            NaN  0.200718       0.133620                 NaN            NaN            NaN            NaN
