|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.5/WD94/WD94_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1570.51        500.000       0.167583E-001   99.4865       0.388106       0.108653                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.08        500.000                 NaN   99.2832       0.680162       0.366672E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.65        500.000                 NaN   99.2872       0.677455       0.353177E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.22        500.000                 NaN   99.2936       0.672153       0.342247E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.79        500.000                 NaN   99.2920       0.677482       0.304863E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.36        500.000                 NaN   99.3176       0.647954       0.344194E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.93        500.000                 NaN   99.3127       0.654753       0.325757E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.50        500.000                 NaN   99.3213       0.646437       0.322446E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.07        500.000                 NaN   99.3258       0.642566       0.316616E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.64        500.000                 NaN   99.3322       0.636139       0.316582E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.21        500.000                 NaN   99.3376       0.633263       0.291048E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.78        500.000                 NaN   98.8060        1.13786       0.561732E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.35        500.000                 NaN   99.8908       0.105017       0.413685E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.92        500.000                 NaN   99.3542       0.619812       0.259720E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.49        500.000                 NaN   99.3494       0.629300       0.212836E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.06        500.000                 NaN   99.3709       0.603536       0.255275E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.63        500.000                 NaN   99.3554       0.620032       0.245643E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.20        500.000                 NaN   99.4119       0.564983       0.230799E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.77        500.000                 NaN   99.3506       0.626926       0.224719E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.34        500.000                 NaN   99.3935       0.581614       0.248623E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.91        500.000                 NaN   99.3820       0.594465       0.235774E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.48        500.000                 NaN   99.4040       0.575409       0.205870E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.05        500.000                 NaN   99.3995       0.580480       0.199812E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.62        500.000                 NaN   99.4048       0.574677       0.205523E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.19        500.000                 NaN   99.4093       0.572066       0.186485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.76        500.000                 NaN   99.4148       0.555508       0.296470E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.33        500.000                 NaN   99.4159       0.584112                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.90        500.000                 NaN   99.4234       0.554118       0.224873E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.47        500.000                 NaN   99.3986       0.584852       0.165715E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.04        500.000                 NaN   99.4595       0.525372       0.151222E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.61        500.000                 NaN   99.4347       0.551040       0.142567E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.18        500.000                 NaN   99.4389       0.547886       0.132277E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.75        500.000                 NaN   99.4422       0.546326       0.115031E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.32        500.000                 NaN   99.4489       0.533910       0.172186E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.90        500.000                 NaN   99.4506       0.542990       0.638334E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.47        500.000                 NaN   99.4557       0.532923       0.113402E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.04        500.000                 NaN   99.4571       0.533534       0.938729E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.61        500.000                 NaN   99.4633       0.527801       0.887584E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.18        500.000                 NaN   99.4674       0.522888       0.971065E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.75        500.000                 NaN   99.4688       0.525136       0.603391E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.32        500.000                 NaN   99.3289       0.669776       0.128441E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.89        500.000                 NaN   99.8752       0.124270       0.509756E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.46        500.000                 NaN   99.3435       0.643838       0.127086E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.03        500.000                 NaN   99.3666       0.626886       0.654349E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.60        500.000                 NaN   99.4309       0.562325       0.674797E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.17        500.000                 NaN   99.5504       0.430317       0.192428E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.74        500.000                 NaN   99.4925       0.507450                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.31        500.000                 NaN   99.4988       0.499461       0.173258E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.88        500.000                 NaN   99.4992       0.497852       0.299416E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.45        500.000                 NaN   99.5060       0.471938       0.220199E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.02        500.000                 NaN   99.5063       0.493729                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.59        500.000                 NaN   99.5088       0.489421       0.177387E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.16        500.000                 NaN   99.4013       0.588053       0.106699E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.73        500.000                 NaN   99.6375       0.311319       0.511842E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
