|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.75/Y98/Y98_6.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  1455.13        500.000        3290.66     
  1453.99        500.000        3274.20     
  1452.85        500.000        3274.03     
  1451.71        500.000        3274.91     
  1450.57        500.000        3275.52     
  1449.43        500.000        3277.20     
  1448.29        500.000        3277.75     
  1447.15        500.000        3278.98     
  1446.00        500.000        3279.57     
  1444.86        500.000        3280.97     
  1443.72        500.000        3281.89     
  1442.58        500.000        3282.92     
  1441.44        500.000        3283.81     
  1440.30        500.000        3284.71     
  1439.16        500.000        3285.88     
  1438.02        500.000        3287.79     
  1436.88        500.000        3171.48     
  1435.74        500.000        3110.29     
  1434.60        500.000        3111.62     
  1433.46        500.000        3112.85     
  1432.32        500.000        3114.20     
  1431.18        500.000        3115.68     
  1430.04        500.000        3117.03     
  1428.89        500.000        3118.33     
  1427.75        500.000        3119.72     
  1426.61        500.000        3121.11     
  1425.47        500.000        3122.30     
  1424.33        500.000        3123.85     
  1423.19        500.000        3125.05     
  1422.05        500.000        3126.41     
  1420.91        500.000        3127.78     
  1419.77        500.000        3131.24     
  1418.63        500.000        3130.63     
  1417.49        500.000        3132.26     
  1416.35        500.000        3138.30     
  1415.21        500.000        3140.54     
  1414.07        500.000        3141.99     
  1412.92        500.000        3143.60     
  1411.78        500.000        3145.18     
  1410.64        500.000        3146.71     
  1409.50        500.000        3148.36     
  1408.36        500.000        3149.90     
  1407.22        500.000        3151.52     
  1406.08        500.000        3152.82     
  1404.94        500.000        3154.93     
  1403.80        500.000        3156.08     
  1402.66        500.000        3157.99     
  1401.52        500.000        3159.65     
  1400.38        500.000        3159.80     
  1399.24        500.000        3165.03     
  1398.10        500.000        3164.50     
  1396.96        500.000        3166.31     
  1395.81        500.000        3167.80     
  1394.67        500.000        3169.88     
  1393.53        500.000        3172.43     
  1392.39        500.000        3171.11     
  1391.25        500.000        3174.13     
  1390.11        500.000        3176.28     
  1388.97        500.000        3178.04     
  1387.83        500.000        3179.74     
  1386.69        500.000        3181.40     
  1385.55        500.000        3183.32     
  1384.41        500.000        3184.49     
  1383.27        500.000        3186.41     
  1382.13        500.000        3188.40     
  1380.99        500.000        3189.99     
  1379.85        500.000        3191.55     
  1378.70        500.000        3193.37     
  1377.56        500.000        3195.23     
  1376.42        500.000        3196.79     
  1375.28        500.000        3198.31     
  1374.14        500.000        3200.27     
  1373.00        500.000        3201.85     
  1371.86        500.000        3202.80     
  1370.72        500.000        3206.56     
  1369.58        500.000        3207.29     
  1368.44        500.000        3208.84     
  1367.30        500.000        3210.55     
  1366.16        500.000        3212.26     
  1365.02        500.000        3214.00     
  1363.88        500.000        3215.63     
  1362.74        500.000        3217.32     
  1361.59        500.000        3219.07     
  1360.45        500.000        3220.51     
  1359.31        500.000        3222.18     
  1358.17        500.000        3224.11     
  1357.03        500.000        3225.76     
  1355.89        500.000        3227.32     
  1354.75        500.000        3228.74     
  1353.61        500.000        3230.76     
  1352.47        500.000        3224.31     
  1351.33        500.000        3241.22     
  1350.19        500.000        3237.72     
  1349.05        500.000        3237.81     
  1347.91        500.000        3238.47     
  1346.77        500.000        3240.43     
  1345.63        500.000        3241.46     
  1344.48        500.000        3243.44     
  1343.34        500.000        3245.02     
  1342.20        500.000        3246.40     
  1341.06        500.000        3247.87     
  1339.92        500.000        3249.36     
  1338.78        500.000        3250.81     
  1337.64        500.000        3252.28     
  1336.50        500.000        3253.67     
  1335.36        500.000        3255.08     
  1334.22        500.000        3256.35     
  1333.08        500.000        3257.83     
  1331.94        500.000        3259.06     
  1330.80        500.000        3259.58     
  1329.66        500.000        3262.49     
  1328.51        500.000        3262.98     
  1327.37        500.000        3264.18     
  1326.23        500.000        3265.49     
  1325.09        500.000        3266.04     
  1323.95        500.000        3268.20     
  1322.81        500.000        3268.68     
  1321.67        500.000        3269.19     
  1320.53        500.000        3271.95     
  1319.39        500.000        3271.96     
  1318.25        500.000        3272.93     
  1317.11        500.000        3273.85     
  1315.97        500.000        3274.63     
  1314.83        500.000        3244.53     
  1313.69        500.000        3278.99     
  1312.55        500.000        3278.85     
  1311.40        500.000        3279.56     
  1310.26        500.000        3280.92     
  1309.12        500.000        3281.08     
  1307.98        500.000        3267.06     
  1306.84        500.000        3280.94     
  1305.70        500.000        3326.12     
  1304.56        500.000        3326.07     
  1303.42        500.000        3327.00     
  1302.28        500.000        3326.45     
  1301.14        500.000        3327.88     
  1300.00        500.000        3328.71     
  1298.86        500.000        3328.98     
  1297.72        500.000        3329.93     
  1296.58        500.000        3330.12     
  1295.44        500.000        3332.34     
  1294.29        500.000        3330.80     
  1293.15        500.000        3332.04     
  1292.01        500.000        3333.22     
  1290.87        500.000        3333.76     
  1289.73        500.000        3334.16     
  1288.59        500.000        3333.55     
  1287.45        500.000        3335.57     
  1286.31        500.000        3335.40     
  1285.17        500.000        3335.48     
  1284.03        500.000        3335.77     
  1282.89        500.000        3336.60     
  1281.75        500.000        3337.08     
  1280.61        500.000        3336.55     
  1279.47        500.000        3337.40     
  1278.33        500.000        3337.49     
  1277.18        500.000        2833.80     
  1276.04        500.000        2832.36     
  1274.90        500.000        2834.55     
  1273.76        500.000        2836.92     
  1272.62        500.000        2838.59     
  1271.48        500.000        2840.34     
  1270.34        500.000        2842.20     
  1269.20        500.000        2843.70     
  1268.06        500.000        2845.43     
  1266.92        500.000        2847.08     
  1265.78        500.000        2848.43     
  1264.64        500.000        2849.88     
  1263.50        500.000        2851.33     
  1262.36        500.000        2852.51     
  1261.21        500.000        2786.21     
  1260.07        500.000        2910.02     
  1258.93        500.000        2849.32     
  1257.79        500.000        2851.16     
  1256.65        500.000        2853.66     
  1255.51        500.000        2855.34     
  1254.37        500.000        2857.51     
  1253.23        500.000        2859.26     
  1252.09        500.000        2861.50     
  1250.95        500.000        2861.94     
  1249.81        500.000        2862.82     
  1248.67        500.000        2863.22     
  1247.53        500.000        2864.00     
  1246.39        500.000        2864.86     
  1245.25        500.000        2865.16     
  1244.10        500.000        2865.91     
  1242.96        500.000        2866.08     
  1241.82        500.000        2867.11     
  1240.68        500.000        2868.69     
  1239.54        500.000        2867.87     
  1238.40        500.000        2867.76     
  1237.26        500.000        2869.94     
  1236.12        500.000        2869.28     
  1234.98        500.000        2869.49     
  1233.84        500.000        2791.34     
  1232.70        500.000        2945.77     
  1231.56        500.000        2921.27     
  1230.42        500.000        2797.36     
  1229.28        500.000        2869.17     
  1228.14        500.000        2906.82     
  1226.99        500.000        2987.90     
  1225.85        500.000        2844.23     
  1224.71        500.000        3000.45     
  1223.57        500.000        2816.14     
  1222.43        500.000        3020.53     
  1221.29        500.000        2824.28     
  1220.15        500.000        2883.67     
  1219.01        500.000        2842.34     
  1217.87        500.000        2886.54     
  1216.73        500.000        2856.44     
  1215.59        500.000        2681.19     
  1214.45        500.000        3077.32     
  1213.31        500.000        2726.53     
  1212.17        500.000        2666.91     
  1211.03        500.000        2686.50     
  1209.88        500.000        2685.95     
  1208.74        500.000        2686.51     
  1207.60        500.000        3001.15     
  1206.46        500.000        2681.18     
  1205.32        500.000        2628.46     
  1204.18        500.000        2676.53     
  1203.04        500.000        2680.44     
  1201.90        500.000        2690.94     
  1200.76        500.000        2627.89     
  1199.62        500.000        2674.22     
  1198.48        500.000        2670.46     
  1197.34        500.000        2655.30     
  1196.20        500.000        2676.39     
  1195.06        500.000        2649.30     
  1193.92        500.000        2670.08     
  1192.77        500.000        2649.82     
  1191.63        500.000        2640.16     
  1190.49        500.000        2634.64     
  1189.35        500.000        2627.65     
  1188.21        500.000        2627.70     
  1187.07        500.000        2626.72     
  1185.93        500.000        2627.80     
