|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3/ALH/ALH_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             ilm            San(TH)        q             
  1528.85        500.000        99.9825       0.175461E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.52        500.000        99.4802       0.401370E-001  0.479640                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.20        500.000        99.4381       0.719406E-002  0.554729                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        500.000        99.4406       0.437411E-002  0.555021                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.55        500.000        99.4429       0.413865E-002  0.552938                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        500.000        99.4485       0.428475E-002  0.547196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.90        500.000        99.4509       0.208044E-002  0.546986                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        500.000        99.4544       0.676536E-002  0.538821                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.25        500.000        99.4544       0.193333E-001  0.526261                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.92        500.000        99.4751       0.531753E-001  0.471724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.60        500.000        99.4669       0.157010E-001  0.517359                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.27        500.000        99.4672                 NaN  0.532773                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.94        500.000        99.4707                 NaN  0.529287                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.62        500.000        99.4828       0.533963E-001  0.463762                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        500.000        99.4365                 NaN  0.563528                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.97        500.000        99.5238                 NaN  0.476204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.64        500.000        99.4870                 NaN  0.513045                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.32        500.000        99.4879                 NaN  0.512088                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.99        500.000        99.4912                 NaN  0.508797                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.67        500.000        99.4936                 NaN  0.506449                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.34        500.000        99.5088       0.894524E-001  0.401736                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.02        500.000        99.5017                 NaN  0.498254                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.69        500.000        99.3931                 NaN  0.824894E-001  0.524384                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
