|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.25/LAR/LAR_6.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  1400.64        500.000        3519.80     
  1399.64        500.000        3143.12     
  1398.63        500.000        3131.43     
  1397.63        500.000        3135.79     
  1396.62        500.000        3138.20     
  1395.62        500.000        3137.06     
  1394.62        500.000        3138.20     
  1393.61        500.000        3139.32     
  1392.61        500.000        3140.36     
  1391.60        500.000        3141.49     
  1390.60        500.000        3142.84     
  1389.59        500.000        3143.73     
  1388.59        500.000        3144.87     
  1387.59        500.000        3145.89     
  1386.58        500.000        3147.18     
  1385.58        500.000        3148.37     
  1384.57        500.000        3149.39     
  1383.57        500.000        3150.49     
  1382.57        500.000        3151.37     
  1381.56        500.000        3152.68     
  1380.56        500.000        3153.98     
  1379.55        500.000        3155.22     
  1378.55        500.000        3156.33     
  1377.55        500.000        3157.58     
  1376.54        500.000        3158.40     
  1375.54        500.000        3159.78     
  1374.53        500.000        3160.24     
  1373.53        500.000        3162.08     
  1372.52        500.000        3163.19     
  1371.52        500.000        3164.38     
  1370.52        500.000        3165.85     
  1369.51        500.000        3166.79     
  1368.51        500.000        3168.10     
  1367.50        500.000        3169.05     
  1366.50        500.000        3171.47     
  1365.50        500.000        2688.33     
  1364.49        500.000        3176.88     
  1363.49        500.000        3173.83     
  1362.48        500.000        3175.00     
  1361.48        500.000        3176.13     
  1360.48        500.000        3177.36     
  1359.47        500.000        3178.63     
  1358.47        500.000        3179.69     
  1357.46        500.000        3180.74     
  1356.46        500.000        3181.95     
  1355.46        500.000        3183.21     
  1354.45        500.000        3184.35     
  1353.45        500.000        3185.45     
  1352.44        500.000        3187.14     
  1351.44        500.000        3191.62     
  1350.43        500.000        3188.14     
  1349.43        500.000        3189.94     
  1348.43        500.000        3191.43     
  1347.42        500.000        3192.28     
  1346.42        500.000        3193.72     
  1345.41        500.000        3194.53     
  1344.41        500.000        3196.21     
  1343.41        500.000        3197.08     
  1342.40        500.000        3197.87     
  1341.40        500.000        3199.17     
  1340.39        500.000        3200.21     
  1339.39        500.000        3201.17     
  1338.39        500.000        3202.53     
  1337.38        500.000        3206.56     
  1336.38        500.000        3201.22     
  1335.37        500.000        3205.94     
  1334.37        500.000        3206.34     
  1333.36        500.000        3207.01     
  1332.36        500.000        3209.49     
  1331.36        500.000        3209.75     
  1330.35        500.000        3211.03     
  1329.35        500.000        3211.54     
  1328.34        500.000        3212.67     
  1327.34        500.000        3214.22     
  1326.34        500.000        3214.61     
  1325.33        500.000        3215.15     
  1324.33        500.000        3216.66     
  1323.32        500.000        3217.65     
  1322.32        500.000        3218.29     
  1321.32        500.000        3219.56     
  1320.31        500.000        3220.22     
  1319.31        500.000        3221.19     
  1318.30        500.000        3222.01     
  1317.30        500.000        3222.94     
  1316.29        500.000        3221.56     
  1315.29        500.000        3201.90     
  1314.29        500.000        3238.65     
  1313.28        500.000        3234.28     
  1312.28        500.000        3226.89     
  1311.27        500.000        3227.64     
  1310.27        500.000        3228.88     
  1309.27        500.000        3228.59     
  1308.26        500.000        3229.67     
  1307.26        500.000        3230.51     
  1306.25        500.000        3230.95     
  1305.25        500.000        3231.71     
  1304.25        500.000        3232.39     
  1303.24        500.000        3232.75     
  1302.24        500.000        3235.68     
  1301.23        500.000        3231.83     
  1300.23        500.000        3234.58     
  1299.22        500.000        3235.07     
  1298.22        500.000        3235.58     
  1297.22        500.000        3234.30     
  1296.21        500.000        3237.20     
  1295.21        500.000        3238.22     
  1294.20        500.000        3237.10     
  1293.20        500.000        3237.46     
  1292.20        500.000        3237.94     
  1291.19        500.000        3239.75     
  1290.19        500.000        3236.86     
  1289.18        500.000        3238.71     
  1288.18        500.000        3238.82     
  1287.18        500.000        3239.10     
  1286.17        500.000        3239.26     
  1285.17        500.000        2817.23     
  1284.16        500.000        2777.33     
  1283.16        500.000        2779.38     
  1282.15        500.000        2781.52     
  1281.15        500.000        2783.38     
  1280.15        500.000        2785.61     
  1279.14        500.000        2787.54     
  1278.14        500.000        2789.45     
  1277.13        500.000        2791.31     
  1276.13        500.000        2793.05     
  1275.13        500.000        2794.67     
  1274.12        500.000        2796.28     
  1273.12        500.000        2798.13     
  1272.11        500.000        2799.40     
  1271.11        500.000        2801.02     
  1270.11        500.000        2802.24     
  1269.10        500.000        2804.02     
  1268.10        500.000        2805.29     
  1267.09        500.000        2813.61     
  1266.09        500.000        2820.57     
  1265.09        500.000        2821.43     
  1264.08        500.000        2822.49     
  1263.08        500.000        2823.07     
  1262.07        500.000        2823.76     
  1261.07        500.000        2824.07     
