|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.75/GRV/GRV_6.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  1564.10        500.000        3467.01     
  1562.69        500.000        3241.66     
  1561.27        500.000        3242.90     
  1559.86        500.000        3243.48     
  1558.44        500.000        3249.28     
  1557.03        500.000        3244.52     
  1555.62        500.000        3254.61     
  1554.20        500.000        3245.85     
  1552.79        500.000        3246.83     
  1551.38        500.000        3246.76     
  1549.96        500.000        3247.55     
  1548.55        500.000        3247.68     
  1547.13        500.000        3248.89     
  1545.72        500.000        3248.31     
  1544.31        500.000        3249.42     
  1542.89        500.000        3250.61     
  1541.48        500.000        3233.75     
  1540.07        500.000        2834.18     
  1538.65        500.000        2834.44     
  1537.24        500.000        3246.43     
  1535.82        500.000        3247.65     
  1534.41        500.000        3248.40     
  1533.00        500.000        3249.23     
  1531.58        500.000        3249.93     
  1530.17        500.000        3240.11     
  1528.76        500.000        3236.12     
  1527.34        500.000        3243.68     
  1525.93        500.000        3241.67     
  1524.51        500.000        3243.01     
  1523.10        500.000        3244.20     
  1521.69        500.000        3245.07     
  1520.27        500.000        3246.34     
  1518.86        500.000        3247.49     
  1517.45        500.000        3248.77     
  1516.03        500.000        3249.65     
  1514.62        500.000        3249.13     
  1513.20        500.000        3250.14     
  1511.79        500.000        3251.21     
  1510.38        500.000        3252.49     
  1508.96        500.000        3253.69     
  1507.55        500.000        3254.69     
  1506.13        500.000        3256.07     
  1504.72        500.000        3257.00     
  1503.31        500.000        3258.19     
  1501.89        500.000        3259.20     
  1500.48        500.000        3260.49     
  1499.07        500.000        3261.93     
  1497.65        500.000        3262.76     
  1496.24        500.000        3263.99     
  1494.82        500.000        3265.08     
  1493.41        500.000        3266.16     
  1492.00        500.000        3267.03     
  1490.58        500.000        3270.66     
  1489.17        500.000        3272.71     
  1487.76        500.000        3274.08     
  1486.34        500.000        3274.37     
  1484.93        500.000        3275.74     
  1483.51        500.000        3277.14     
  1482.10        500.000        3278.35     
  1480.69        500.000        3279.43     
  1479.27        500.000        3280.68     
  1477.86        500.000        3281.86     
  1476.45        500.000        3283.17     
  1475.03        500.000        3284.19     
  1473.62        500.000        3327.98     
  1472.20        500.000        3333.94     
  1470.79        500.000        3334.17     
  1469.38        500.000        3334.61     
  1467.96        500.000        3334.84     
  1466.55        500.000        3335.16     
  1465.14        500.000        3335.48     
  1463.72        500.000        3335.90     
  1462.31        500.000        3336.10     
  1460.89        500.000        3336.47     
  1459.48        500.000        3336.77     
  1458.07        500.000        3336.94     
  1456.65        500.000        3337.54     
  1455.24        500.000        3337.73     
  1453.82        500.000        3338.15     
  1452.41        500.000        3338.57     
  1451.00        500.000        3338.78     
  1449.58        500.000        3339.14     
  1448.17        500.000        3339.40     
  1446.76        500.000        3339.81     
  1445.34        500.000        3340.10     
  1443.93        500.000        3340.44     
  1442.51        500.000        3340.75     
  1441.10        500.000        3341.14     
  1439.69        500.000        3341.53     
  1438.27        500.000        3341.64     
  1436.86        500.000        3342.24     
  1435.45        500.000        3342.29     
  1434.03        500.000        3342.68     
  1432.62        500.000        3343.11     
  1431.20        500.000        3343.49     
  1429.79        500.000        3343.80     
  1428.38        500.000        3344.25     
  1426.96        500.000        3344.48     
  1425.55        500.000        3344.82     
  1424.14        500.000        3345.19     
  1422.72        500.000        3345.52     
  1421.31        500.000        3345.95     
  1419.89        500.000        3346.16     
  1418.48        500.000        3346.56     
  1417.07        500.000        3346.82     
  1415.65        500.000        3347.31     
  1414.24        500.000        3347.69     
  1412.83        500.000        3347.87     
  1411.41        500.000        3348.19     
  1410.00        500.000        3348.62     
  1408.58        500.000        3217.73     
  1407.17        500.000        3204.54     
  1405.76        500.000        3204.85     
  1404.34        500.000        3205.21     
  1402.93        500.000        3205.67     
  1401.51        500.000        3205.98     
  1400.10        500.000        3206.34     
  1398.69        500.000        3206.69     
  1397.27        500.000        3207.09     
  1395.86        500.000        3207.44     
  1394.45        500.000        3207.76     
  1393.03        500.000        3208.15     
  1391.62        500.000        3208.54     
  1390.20        500.000        3208.90     
  1388.79        500.000        3209.24     
  1387.38        500.000        3209.61     
  1385.96        500.000        3209.99     
  1384.55        500.000        3210.32     
  1383.14        500.000        3210.67     
  1381.72        500.000        3210.99     
  1380.31        500.000        3211.33     
  1378.89        500.000        3211.71     
  1377.48        500.000        3212.02     
  1376.07        500.000        3212.31     
  1374.65        500.000        3231.23     
  1373.24        500.000        3233.96     
  1371.83        500.000        3232.37     
  1370.41        500.000        3230.83     
  1369.00        500.000        3229.44     
  1367.58        500.000        3227.89     
  1366.17        500.000        3226.60     
  1364.76        500.000        3225.45     
  1363.34        500.000        3205.35     
  1361.93        500.000        3223.28     
  1360.52        500.000        3222.91     
  1359.10        500.000        3221.88     
  1357.69        500.000        2968.76     
  1356.27        500.000        3119.74     
  1354.86        500.000        3147.00     
  1353.45        500.000        3140.37     
  1352.03        500.000        3139.21     
  1350.62        500.000        2587.46     
  1349.20        500.000        2587.61     
  1347.79        500.000        2587.77     
  1346.38        500.000        2587.92     
  1344.96        500.000        2588.08     
  1343.55        500.000        2588.23     
  1342.14        500.000        2588.39     
  1340.72        500.000        2588.54     
  1339.31        500.000        2588.70     
  1337.89        500.000        2588.85     
  1336.48        500.000        2589.01     
  1335.07        500.000        2589.16     
  1333.65        500.000        2589.32     
  1332.24        500.000        2589.47     
  1330.83        500.000        2589.63     
  1329.41        500.000        2589.78     
  1328.00        500.000        2589.94     
  1326.58        500.000        3014.98     
  1325.17        500.000        2590.23     
  1323.76        500.000        2590.39     
  1322.34        500.000        2590.54     
  1320.93        500.000        3195.69     
  1319.52        500.000        3196.41     
  1318.10        500.000        2589.39     
  1316.69        500.000        2589.55     
  1315.27        500.000        2589.70     
  1313.86        500.000        2589.85     
  1312.45        500.000        3459.18     
  1311.03        500.000        2585.36     
  1309.62        500.000        2585.51     
  1308.21        500.000        2585.67     
  1306.79        500.000        4217.44     
  1305.38        500.000        3539.42     
  1303.96        500.000        3684.00     
  1302.55        500.000        3234.91     
  1301.14        500.000        3233.11     
  1299.72        500.000        3232.62     
  1298.31        500.000        3229.23     
  1296.89        500.000        3226.93     
  1295.48        500.000        3224.33     
  1294.07        500.000        3224.56     
  1292.65        500.000        3226.68     
  1291.24        500.000        3218.38     
  1289.83        500.000        3218.06     
  1288.41        500.000        3221.87     
  1287.00        500.000        3226.54     
  1285.58        500.000        3229.65     
  1284.17        500.000        3234.52     
  1282.76        500.000        3236.21     
  1281.34        500.000        3241.08     
  1279.93        500.000        3243.58     
  1278.52        500.000        3247.07     
  1277.10        500.000        3217.13     
  1275.69        500.000        3261.08     
  1274.27        500.000        3257.60     
  1272.86        500.000        3544.83     
  1271.45        500.000        3260.81     
  1270.03        500.000        3258.77     
  1268.62        500.000        3260.28     
  1267.21        500.000        3266.40     
  1265.79        500.000        3309.74     
  1264.38        500.000        3333.87     
  1262.96        500.000        3332.11     
  1261.55        500.000        3329.33     
  1260.14        500.000        3305.89     
  1258.72        500.000        2830.95     
  1257.31        500.000        2811.91     
  1255.89        500.000        2811.89     
  1254.48        500.000        2811.63     
  1253.07        500.000        2811.40     
  1251.65        500.000        2811.12     
  1250.24        500.000        2810.95     
  1248.83        500.000        2811.28     
  1247.41        500.000        2810.79     
  1246.00        500.000        2811.01     
  1244.58        500.000        2810.84     
  1243.17        500.000        2810.61     
  1241.76        500.000        2809.33     
  1240.34        500.000        2809.85     
  1238.93        500.000        2809.84     
  1237.52        500.000        2809.51     
  1236.10        500.000        2809.76     
  1234.69        500.000        2808.79     
  1233.27        500.000        2808.63     
  1231.86        500.000        2807.83     
  1230.45        500.000        2808.14     
  1229.03        500.000        2807.70     
  1227.62        500.000        2807.78     
  1226.21        500.000        2807.20     
  1224.79        500.000        2806.88     
  1223.38        500.000        2673.82     
  1221.96        500.000        2658.87     
  1220.55        500.000        2664.34     
  1219.14        500.000        2669.97     
  1217.72        500.000        2675.21     
  1216.31        500.000        2678.88     
  1214.90        500.000        2681.33     
  1213.48        500.000        2683.57     
  1212.07        500.000        2683.51     
  1210.65        500.000        2681.59     
  1209.24        500.000        2663.74     
  1207.83        500.000        2676.03     
  1206.41        500.000        2516.39     
  1205.00        500.000        2622.51     
  1203.58        500.000        2749.53     
  1202.17        500.000        2998.58     
  1200.76        500.000        3610.31     
  1199.34        500.000        2704.24     
  1197.93        500.000        2967.15     
  1196.52        500.000        2697.08     
  1195.10        500.000        2726.14     
  1193.69        500.000        2650.96     
  1192.27        500.000        2638.44     
  1190.86        500.000        2625.29     
  1189.45        500.000        2625.64     
  1188.03        500.000        2625.70     
  1186.62        500.000        2625.76     
  1185.21        500.000        2625.82     
  1183.79        500.000        2625.88     
  1182.38        500.000        2625.95     
  1180.96        500.000        2626.01     
  1179.55        500.000        2626.07     
  1178.14        500.000        2626.11     
  1176.72        500.000        2626.17     
  1175.31        500.000        2626.23     
  1173.90        500.000        2626.29     
  1172.48        500.000        2626.09     
  1171.07        500.000        2626.45     
  1169.65        500.000        2626.23     
  1168.24        500.000        2626.55     
  1166.83        500.000        2626.60     
  1165.41        500.000        2626.66     
  1164.00        500.000        2626.72     
  1162.59        500.000        2626.54     
  1161.17        500.000        2626.60     
  1159.76        500.000        2626.66     
  1158.34        500.000        2626.72     
  1156.93        500.000        2627.08     
  1155.52        500.000        2627.14     
  1154.10        500.000        2627.20     
  1152.69        500.000        2627.26     
  1151.27        500.000        2627.03     
  1149.86        500.000        2627.09     
  1148.45        500.000        2627.38     
  1147.03        500.000        2627.21     
  1145.62        500.000        2627.27     
  1144.21        500.000        2627.33     
  1142.79        500.000        2627.40     
  1141.38        500.000        2627.46     
  1139.96        500.000        2627.52     
  1138.55        500.000        2627.58     
  1137.14        500.000        2627.64     
  1135.72        500.000        2627.70     
  1134.31        500.000        2627.76     
  1132.90        500.000        2627.82     
  1131.48        500.000        2627.88     
  1130.07        500.000        2627.94     
  1128.65        500.000        2628.00     
  1127.24        500.000        2628.06     
  1125.83        500.000        2628.11     
  1124.41        500.000        2628.18     
  1123.00        500.000        2628.24     
  1121.59        500.000        2628.30     
  1120.17        500.000        2628.36     
  1118.76        500.000        2628.42     
  1117.34        500.000        2628.75     
  1115.93        500.000        2628.82     
  1114.52        500.000        2628.64     
  1113.10        500.000        2628.70     
  1111.69        500.000        2628.76     
  1110.28        500.000        2628.89     
  1108.86        500.000        2628.95     
  1107.45        500.000        2629.01     
  1106.03        500.000        2629.07     
  1104.62        500.000        2629.13     
  1103.21        500.000        2629.19     
  1101.79        500.000        2629.25     
  1100.38        500.000        2629.31     
  1098.96        500.000        2629.37     
  1097.55        500.000        2629.43     
  1096.14        500.000        2629.49     
  1094.72        500.000        2629.55     
  1093.31        500.000        2629.61     
  1091.90        500.000        2629.67     
  1090.48        500.000        2629.73     
  1089.07        500.000        2629.79     
  1087.65        500.000        2629.85     
  1086.24        500.000        2629.91     
  1084.83        500.000        2629.97     
  1083.41        500.000        2630.03     
  1082.00        500.000        2630.09     
  1080.59        500.000        2630.15     
  1079.17        500.000        2630.21     
  1077.76        500.000        2630.27     
  1076.34        500.000        2630.33     
  1074.93        500.000        2630.39     
  1073.52        500.000        2630.45     
  1072.10        500.000        2630.51     
  1070.69        500.000        2630.57     
  1069.28        500.000        2630.63     
  1067.86        500.000        2630.69     
  1066.45        500.000        2630.75     
  1065.03        500.000        2630.81     
  1063.62        500.000        2630.87     
  1062.21        500.000        2630.93     
  1060.79        500.000        2630.99     
  1059.38        500.000        2631.05     
  1057.97        500.000        2631.11     
  1056.55        500.000        2631.17     
  1055.14        500.000        2631.23     
  1053.72        500.000        2631.29     
  1052.31        500.000        2631.35     
  1050.90        500.000        2631.41     
  1049.48        500.000        2631.47     
  1048.07        500.000        2631.53     
  1046.65        500.000        2631.59     
  1045.24        500.000        2631.65     
  1043.83        500.000        2631.71     
  1042.41        500.000        2631.77     
  1041.00        500.000        2631.83     
  1039.59        500.000        2630.39     
  1038.17        500.000        2630.45     
  1036.76        500.000        2630.51     
  1035.34        500.000        2630.57     
  1033.93        500.000        2630.63     
  1032.52        500.000        2630.69     
  1031.10        500.000        2630.75     
  1029.69        500.000        2630.80     
  1028.28        500.000        2630.86     
  1026.86        500.000        2630.92     
  1025.45        500.000        2630.36     
  1024.03        500.000        2631.04     
  1022.62        500.000        2629.97     
  1021.21        500.000        2630.01     
  1019.79        500.000        2630.43     
  1018.38        500.000        2629.85     
  1016.97        500.000        2629.90     
  1015.55        500.000        2629.96     
  1014.14        500.000        2630.21     
  1012.72        500.000        2630.56     
  1011.31        500.000        2630.08     
  1009.90        500.000        2630.14     
  1008.48        500.000        2630.20     
  1007.07        500.000        2630.23     
  1005.66        500.000        2630.26     
  1004.24        500.000        2630.32     
  1002.83        500.000        2630.38     
  1001.41        500.000        2630.44     
  1000.00        500.000        2630.49     
