|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4/KHA22/KHA22_6.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  1554.49        500.000        3241.72     
  1553.10        500.000        3215.72     
  1551.71        500.000        3216.47     
  1550.32        500.000        3216.54     
  1548.93        500.000        3216.47     
  1547.54        500.000        3218.01     
  1546.15        500.000        3227.69     
  1544.76        500.000        3218.17     
  1543.37        500.000        3218.06     
  1541.98        500.000        3224.92     
  1540.59        500.000        3218.29     
  1539.20        500.000        3220.40     
  1537.81        500.000        3218.32     
  1536.42        500.000        3219.64     
  1535.03        500.000        3223.39     
  1533.64        500.000        3220.77     
  1532.25        500.000        3220.05     
  1530.87        500.000        3220.31     
  1529.48        500.000        3221.17     
  1528.09        500.000        3221.78     
  1526.70        500.000        3224.53     
  1525.31        500.000        3221.85     
  1523.92        500.000        3221.57     
  1522.53        500.000        3221.84     
  1521.14        500.000        3225.72     
  1519.75        500.000        3222.74     
  1518.36        500.000        3223.17     
  1516.97        500.000        3225.64     
  1515.58        500.000        3227.40     
  1514.19        500.000        3224.93     
  1512.80        500.000        3223.93     
  1511.41        500.000        3225.00     
  1510.02        500.000        3225.00     
  1508.63        500.000        3225.27     
  1507.24        500.000        3231.85     
  1505.85        500.000        3225.53     
  1504.46        500.000        3225.90     
  1503.07        500.000        3225.89     
  1501.68        500.000        3226.55     
  1500.29        500.000        3226.69     
  1498.90        500.000        3227.00     
  1497.51        500.000        3229.56     
  1496.12        500.000        3227.65     
  1494.73        500.000        3227.81     
  1493.34        500.000        3228.37     
  1491.95        500.000        3228.63     
  1490.56        500.000        3228.91     
  1489.17        500.000        3233.02     
  1487.78        500.000        3229.06     
  1486.39        500.000        3228.72     
  1485.01        500.000        3229.59     
  1483.62        500.000        3230.44     
  1482.23        500.000        3231.11     
  1480.84        500.000        3231.40     
  1479.45        500.000        3231.48     
  1478.06        500.000        3231.87     
  1476.67        500.000        3228.58     
  1475.28        500.000        3224.34     
  1473.89        500.000        3218.64     
  1472.50        500.000        3217.44     
  1471.11        500.000        3218.25     
  1469.72        500.000        3218.30     
  1468.33        500.000        3232.25     
  1466.94        500.000        3219.60     
  1465.55        500.000        3220.26     
  1464.16        500.000        3228.83     
  1462.77        500.000        3221.53     
  1461.38        500.000        3222.65     
  1459.99        500.000        3222.71     
  1458.60        500.000        3223.47     
  1457.21        500.000        3224.25     
  1455.82        500.000        3224.50     
  1454.43        500.000        3226.30     
  1453.04        500.000        3223.73     
  1451.65        500.000        3219.14     
  1450.26        500.000        3219.89     
  1448.87        500.000        3220.59     
