|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/ALH/ALH_5.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         pcr     usp     imt     ispTH     iherc     nmt     nsp     nherc    
  1541.67        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.31        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.95        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.60        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.24        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.88        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.52        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.17        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.81        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.45        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.09        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.74        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.38        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.02        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.66        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.31        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.95        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.59        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.23        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.88        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.52        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.16        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.80        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.45        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.09        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.73        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.37        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.02        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.66        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.30        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.94        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.59        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.23        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.87        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.51        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.16        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.80        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.44        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.08        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.72        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.37        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.01        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.65        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.29        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.94        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.58        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.22        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.86        500.000       0.682193       0.173377E-002  0.107037E-001  0.190392E-001  0.668959E-001 -0.532561E-002 -0.351188       0.575947     
  1476.51        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.15        500.000       0.672747       0.172511E-002  0.104720E-001  0.194124E-001  0.682680E-001 -0.520944E-002 -0.340942       0.573527     
  1473.79        500.000       0.669334       0.172891E-002  0.103666E-001  0.194104E-001  0.688728E-001 -0.515668E-002 -0.338129       0.573573     
  1472.43        500.000       0.665066       0.171271E-002  0.102411E-001  0.194258E-001  0.696513E-001 -0.509382E-002 -0.334538       0.573535     
  1471.08        500.000       0.661313       0.172780E-002  0.101255E-001  0.194600E-001  0.702888E-001 -0.503598E-002 -0.331208       0.573329     
  1469.72        500.000       0.657520       0.176216E-002  0.100336E-001  0.194303E-001  0.709902E-001 -0.498977E-002 -0.328344       0.573597     
