|6.6.6
Archiving\03_Data\DeqfracLP/QFM/K22/K22_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1586.54        500.000       0.124750E-001   99.6653       0.322253                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.07        500.000       0.163620E-002   99.1732       0.825204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.60        500.000                 NaN   99.1697       0.830261                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.13        500.000                 NaN   99.1255       0.861488       0.129852E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1580.66        500.000                 NaN   99.2387       0.761320       0.137890E-004            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        500.000                 NaN   99.1949       0.805067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.72        500.000                 NaN   97.9705        2.01550       0.139642E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1576.25        500.000                 NaN   99.9999                 NaN  0.137160E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1574.78        500.000                 NaN   99.6344       0.362650       0.292630E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1573.31        500.000                 NaN   99.2631       0.712845       0.240324E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1571.84        500.000                 NaN   99.2339       0.741535       0.245222E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1570.37        500.000                 NaN   99.2400       0.737051       0.229558E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1568.90        500.000                 NaN   99.2508       0.726249       0.229476E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1567.43        500.000                 NaN   99.2549       0.723257       0.217953E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1565.96        500.000                 NaN   99.2610       0.718560       0.204565E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1564.49        500.000                 NaN   99.2648       0.714124       0.210928E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.02        500.000                 NaN   99.2495       0.728862       0.216078E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1561.55        500.000                 NaN   99.3125       0.686831       0.697278E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1560.08        500.000                 NaN   99.2889       0.675223       0.359222E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1558.61        500.000                 NaN   99.2965       0.686175       0.173231E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1557.14        500.000                 NaN   99.3016       0.681533       0.168645E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1555.67        500.000                 NaN   99.3064       0.678790       0.147606E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        500.000                 NaN   99.3136       0.671622       0.147582E-001            NaN            NaN            NaN            NaN            NaN            NaN
