|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m0.5/YM20/YM20_2.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),kg     
  1576.92        500.000       0.385280E-005
  1575.47        500.000                 NaN
  1574.03        500.000                 NaN
  1572.58        500.000                 NaN
  1571.14        500.000                 NaN
  1569.69        500.000                 NaN
  1568.24        500.000                 NaN
  1566.80        500.000                 NaN
  1565.35        500.000                 NaN
  1563.91        500.000                 NaN
  1562.46        500.000                 NaN
  1561.01        500.000                 NaN
  1559.57        500.000                 NaN
  1558.12        500.000                 NaN
  1556.68        500.000                 NaN
  1555.23        500.000                 NaN
  1553.79        500.000                 NaN
  1552.34        500.000                 NaN
  1550.89        500.000                 NaN
  1549.45        500.000                 NaN
  1548.00        500.000                 NaN
  1546.56        500.000                 NaN
  1545.11        500.000                 NaN
  1543.66        500.000                 NaN
  1542.22        500.000                 NaN
  1540.77        500.000                 NaN
  1539.33        500.000                 NaN
  1537.88        500.000                 NaN
  1536.43        500.000                 NaN
  1534.99        500.000                 NaN
  1533.54        500.000                 NaN
  1532.10        500.000                 NaN
  1530.65        500.000                 NaN
  1529.20        500.000                 NaN
  1527.76        500.000                 NaN
  1526.31        500.000                 NaN
  1524.87        500.000                 NaN
  1523.42        500.000                 NaN
  1521.98        500.000                 NaN
  1520.53        500.000                 NaN
  1519.08        500.000                 NaN
  1517.64        500.000                 NaN
  1516.19        500.000                 NaN
  1514.75        500.000                 NaN
  1513.30        500.000                 NaN
  1511.85        500.000                 NaN
  1510.41        500.000                 NaN
  1508.96        500.000                 NaN
  1507.52        500.000                 NaN
  1506.07        500.000                 NaN
  1504.62        500.000                 NaN
  1503.18        500.000                 NaN
  1501.73        500.000                 NaN
  1500.29        500.000                 NaN
  1498.84        500.000                 NaN
  1497.39        500.000                 NaN
  1495.95        500.000                 NaN
  1494.50        500.000                 NaN
  1493.06        500.000                 NaN
  1491.61        500.000                 NaN
  1490.17        500.000                 NaN
  1488.72        500.000                 NaN
  1487.27        500.000                 NaN
  1485.83        500.000                 NaN
  1484.38        500.000                 NaN
  1482.94        500.000                 NaN
  1481.49        500.000                 NaN
  1480.04        500.000                 NaN
  1478.60        500.000                 NaN
  1477.15        500.000                 NaN
  1475.71        500.000                 NaN
  1474.26        500.000                 NaN
  1472.81        500.000                 NaN
  1471.37        500.000                 NaN
  1469.92        500.000                 NaN
  1468.48        500.000                 NaN
  1467.03        500.000                 NaN
  1465.58        500.000                 NaN
  1464.14        500.000                 NaN
  1462.69        500.000                 NaN
  1461.25        500.000                 NaN
  1459.80        500.000                 NaN
  1458.35        500.000                 NaN
  1456.91        500.000                 NaN
  1455.46        500.000                 NaN
  1454.02        500.000                 NaN
  1452.57        500.000                 NaN
  1451.13        500.000                 NaN
  1449.68        500.000                 NaN
  1448.23        500.000                 NaN
