|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m2.5/K22/K22_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1596.15        500.000        99.4101                 NaN  0.589853                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        500.000        99.0282                 NaN  0.960212       0.115527E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        500.000        99.0389                 NaN  0.941485       0.195792E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        500.000        99.0491                 NaN  0.921993       0.288881E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        500.000        99.0498                 NaN  0.922787       0.274025E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        500.000        99.0781                 NaN  0.893353       0.285113E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        500.000        99.0796                 NaN  0.891575       0.288210E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        500.000        99.0856                 NaN  0.889760       0.245922E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        500.000        99.0481                 NaN  0.926846       0.250368E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        500.000        99.1517                 NaN  0.820553       0.277668E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        500.000        99.1173                 NaN  0.864133       0.185743E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        500.000        99.1242                 NaN  0.853584       0.222363E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        500.000        99.1316                 NaN  0.847299       0.210600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        500.000        99.1413                 NaN  0.837844       0.208389E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        500.000        99.1380                 NaN  0.841784       0.201816E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        500.000        98.7206                 NaN   1.24734       0.320828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        500.000        99.6067                 NaN  0.383937       0.937112E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        500.000        99.1828                 NaN  0.800107       0.170664E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.26        500.000        99.1804                 NaN  0.803712       0.159252E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        500.000        99.1878                 NaN  0.796645       0.155827E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        500.000        99.1952                 NaN  0.790597       0.142506E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        500.000        99.3699                 NaN  0.619224       0.108343E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        500.000        99.0381                 NaN  0.947371       0.144839E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        500.000        99.2143                 NaN  0.776612       0.905292E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
