|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m2/K22/K22_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1596.15        500.000        99.4051                 NaN  0.594876                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        500.000        99.0245                 NaN  0.890866       0.846602E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        500.000        99.0333                 NaN  0.966720                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        500.000        99.0434                 NaN  0.956638                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        500.000        99.0473                 NaN  0.944289       0.845099E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        500.000        99.0646                 NaN  0.934818       0.568791E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        500.000        99.0722                 NaN  0.905065       0.227124E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        500.000        98.7664                 NaN   1.19700       0.365948E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        500.000        99.4021                 NaN  0.578924       0.190152E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        500.000        99.1053                 NaN  0.870403       0.243026E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        500.000        99.0977                 NaN  0.877772       0.244789E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        500.000        99.1288                 NaN  0.846807       0.244218E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        500.000        99.1250                 NaN  0.852760       0.222446E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        500.000        99.3550                 NaN  0.629455       0.155693E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        500.000        98.9236                 NaN   1.04797       0.283889E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        500.000        99.1489                 NaN  0.831757       0.193143E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        500.000        99.1605                 NaN  0.820863       0.186544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        500.000        99.1668                 NaN  0.814110       0.190784E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.26        500.000        99.1751                 NaN  0.806881       0.179928E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        500.000        99.1822                 NaN  0.800931       0.168346E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        500.000        99.1632                 NaN  0.822644       0.141336E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        500.000        99.3828                 NaN  0.603778       0.133899E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        500.000        99.0424                 NaN  0.942378       0.152641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        500.000        99.2108                 NaN  0.775778       0.134079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        500.000        99.1022                 NaN  0.870704       0.271218E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        500.000        99.8158                 NaN  0.183249       0.905502E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        500.000        98.7682                 NaN   1.21276       0.190558E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.81        500.000        99.2038                 NaN  0.763956       0.322610E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
