|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m4.5/WD94/WD94_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1602.56        500.000        99.3898       0.451823       0.158394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.05        500.000        99.5208       0.425953       0.488460E-001  0.442989E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.54        500.000        98.7756        1.15960       0.647600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.03        500.000        99.1452       0.811345       0.434875E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.52        500.000        99.1326       0.824235       0.431483E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        500.000        99.1863       0.772518       0.411541E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.50        500.000        99.1739       0.785240       0.408185E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.99        500.000        99.1793       0.781478       0.392139E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.48        500.000        99.1949       0.765143       0.399595E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.1991       0.763608       0.372944E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.46        500.000        99.2074       0.756236       0.363771E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        500.000        99.2176       0.745791       0.365937E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.44        500.000        99.1987       0.766177       0.351369E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        500.000        99.7287       0.260571       0.107194E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.42        500.000        98.7668        1.17965       0.535468E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
