|6.6.6
Archiving\03_Data\frac/QFM/Y98/Y98_6.tab                                  
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        2500.00        3577.05     
  1997.49        2500.00        2858.40     
  1994.99        2500.00        2858.90     
  1992.48        2500.00        2859.40     
  1989.97        2500.00        2859.90     
  1987.47        2500.00        2860.40     
  1984.96        2500.00        2860.90     
  1982.46        2500.00        2861.40     
  1979.95        2500.00        2861.90     
  1977.44        2500.00        2862.40     
  1974.94        2500.00        2862.90     
  1972.43        2500.00        2863.41     
  1969.92        2500.00        2863.91     
  1967.42        2500.00        2864.41     
  1964.91        2500.00        2864.91     
  1962.41        2500.00        2865.41     
  1959.90        2500.00        2865.91     
  1957.39        2500.00        2866.41     
  1954.89        2500.00        2866.92     
  1952.38        2500.00        2867.42     
  1949.87        2500.00        2867.92     
  1947.37        2500.00        2868.42     
  1944.86        2500.00        2868.92     
  1942.36        2500.00        2869.42     
  1939.85        2500.00        2869.93     
  1937.34        2500.00        2870.43     
  1934.84        2500.00        2870.93     
  1932.33        2500.00        2871.43     
  1929.82        2500.00        2871.93     
  1927.32        2500.00        2872.44     
  1924.81        2500.00        2872.94     
  1922.31        2500.00        2873.44     
  1919.80        2500.00        2873.94     
  1917.29        2500.00        2874.44     
  1914.79        2500.00        2874.94     
  1912.28        2500.00        2875.45     
  1909.77        2500.00        2875.95     
  1907.27        2500.00        2876.45     
  1904.76        2500.00        2876.95     
  1902.26        2500.00        2877.46     
  1899.75        2500.00        2877.96     
  1897.24        2500.00        2878.46     
  1894.74        2500.00        2878.96     
  1892.23        2500.00        2879.46     
  1889.72        2500.00        2879.97     
  1887.22        2500.00        2880.47     
  1884.71        2500.00        2880.97     
  1882.21        2500.00        2881.47     
  1879.70        2500.00        2881.98     
  1877.19        2500.00        2882.48     
  1874.69        2500.00        2882.98     
  1872.18        2500.00        2883.48     
  1869.67        2500.00        2883.99     
  1867.17        2500.00        2884.49     
  1864.66        2500.00        2884.99     
