|6.6.6
Archiving\03_Data\frac/QFM_m0.25/YM20/YM20_4.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),m3     
  2000.00        2500.00                 NaN
  1997.49        2500.00                 NaN
  1994.99        2500.00                 NaN
  1992.48        2500.00                 NaN
  1989.97        2500.00                 NaN
  1987.47        2500.00                 NaN
  1984.96        2500.00                 NaN
  1982.46        2500.00                 NaN
  1979.95        2500.00                 NaN
  1977.44        2500.00                 NaN
  1974.94        2500.00                 NaN
  1972.43        2500.00                 NaN
  1969.92        2500.00                 NaN
  1967.42        2500.00                 NaN
  1964.91        2500.00                 NaN
  1962.41        2500.00                 NaN
  1959.90        2500.00                 NaN
  1957.39        2500.00                 NaN
  1954.89        2500.00                 NaN
  1952.38        2500.00                 NaN
  1949.87        2500.00                 NaN
  1947.37        2500.00                 NaN
  1944.86        2500.00                 NaN
  1942.36        2500.00                 NaN
  1939.85        2500.00                 NaN
  1937.34        2500.00                 NaN
  1934.84        2500.00                 NaN
  1932.33        2500.00                 NaN
  1929.82        2500.00                 NaN
  1927.32        2500.00                 NaN
  1924.81        2500.00                 NaN
  1922.31        2500.00                 NaN
  1919.80        2500.00                 NaN
  1917.29        2500.00                 NaN
  1914.79        2500.00                 NaN
  1912.28        2500.00                 NaN
  1909.77        2500.00                 NaN
  1907.27        2500.00                 NaN
  1904.76        2500.00                 NaN
  1902.26        2500.00                 NaN
  1899.75        2500.00                 NaN
  1897.24        2500.00                 NaN
  1894.74        2500.00       0.158493E-003
  1892.23        2500.00       0.396607E-003
  1889.72        2500.00       0.393121E-003
  1887.22        2500.00       0.391750E-003
  1884.71        2500.00       0.349286E-003
  1882.21        2500.00       0.341929E-003
  1879.70        2500.00       0.338669E-003
  1877.19        2500.00       0.335618E-003
  1874.69        2500.00       0.332075E-003
  1872.18        2500.00       0.329893E-003
  1869.67        2500.00       0.325530E-003
  1867.17        2500.00       0.324868E-003
  1864.66        2500.00       0.322497E-003
  1862.16        2500.00       0.313879E-003
  1859.65        2500.00       0.315719E-003
  1857.14        2500.00       0.311016E-003
  1854.64        2500.00       0.310192E-003
  1852.13        2500.00       0.305667E-003
  1849.62        2500.00       0.305812E-003
  1847.12        2500.00       0.298910E-003
  1844.61        2500.00       0.298756E-003
  1842.11        2500.00       0.296305E-003
  1839.60        2500.00       0.292915E-003
  1837.09        2500.00       0.290933E-003
  1834.59        2500.00       0.288311E-003
  1832.08        2500.00       0.286218E-003
  1829.57        2500.00       0.283432E-003
  1827.07        2500.00       0.281924E-003
  1824.56        2500.00       0.278996E-003
  1822.06        2500.00       0.275703E-003
  1819.55        2500.00       0.274444E-003
  1817.04        2500.00       0.271743E-003
  1814.54        2500.00       0.270597E-003
  1812.03        2500.00       0.266955E-003
  1809.52        2500.00       0.265046E-003
  1807.02        2500.00       0.257563E-003
  1804.51        2500.00       0.266385E-003
  1802.01        2500.00       0.258464E-003
  1799.50        2500.00       0.256728E-003
  1796.99        2500.00       0.254939E-003
  1794.49        2500.00       0.253140E-003
  1791.98        2500.00       0.250431E-003
  1789.47        2500.00       0.249162E-003
  1786.97        2500.00       0.246031E-003
  1784.46        2500.00       0.245192E-003
  1781.95        2500.00       0.241633E-003
  1779.45        2500.00       0.240364E-003
  1776.94        2500.00       0.239708E-003
  1774.44        2500.00       0.236740E-003
  1771.93        2500.00       0.234622E-003
  1769.42        2500.00       0.233345E-003
  1766.92        2500.00       0.224481E-003
  1764.41        2500.00       0.236473E-003
  1761.90        2500.00       0.227837E-003
  1759.40        2500.00       0.225654E-003
  1756.89        2500.00       0.230817E-003
  1754.39        2500.00       0.404272E-004
  1751.88        2500.00       0.397479E-003
  1749.37        2500.00       0.219102E-003
  1746.87        2500.00       0.217571E-003
  1744.36        2500.00       0.215678E-003
  1741.85        2500.00       0.214315E-003
  1739.35        2500.00       0.282213E-003
  1736.84        2500.00       0.122318E-003
  1734.34        2500.00       0.860562E-004
  1731.83        2500.00       0.351263E-003
  1729.32        2500.00       0.204789E-003
  1726.82        2500.00       0.204323E-003
  1724.31        2500.00       0.203375E-003
  1721.80        2500.00       0.200679E-003
  1719.30        2500.00       0.199629E-003
  1716.79        2500.00       0.198399E-003
  1714.29        2500.00       0.196540E-003
  1711.78        2500.00       0.194856E-003
  1709.27        2500.00       0.193533E-003
  1706.77        2500.00       0.192225E-003
  1704.26        2500.00       0.190219E-003
  1701.75        2500.00       0.188992E-003
  1699.25        2500.00       0.187900E-003
  1696.74        2500.00       0.186145E-003
  1694.24        2500.00       0.184386E-003
  1691.73        2500.00       0.183067E-003
  1689.22        2500.00       0.181867E-003
  1686.72        2500.00       0.180695E-003
