|6.6.6
Archiving\03_Data\frac/QFM_m2.25/EETA/EETA_6.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        2500.00        3627.41     
  1997.49        2500.00        3627.79     
  1994.99        2500.00        3628.17     
  1992.48        2500.00        3628.54     
  1989.97        2500.00        3628.92     
  1987.47        2500.00        3629.30     
  1984.96        2500.00        3629.68     
  1982.46        2500.00        3630.05     
  1979.95        2500.00        3630.43     
  1977.44        2500.00        3630.81     
  1974.94        2500.00        3631.18     
  1972.43        2500.00        3631.56     
  1969.92        2500.00        3631.93     
  1967.42        2500.00        3632.31     
  1964.91        2500.00        3632.69     
  1962.41        2500.00        3633.06     
  1959.90        2500.00        3633.44     
  1957.39        2500.00        3633.81     
  1954.89        2500.00        3634.19     
  1952.38        2500.00        3634.56     
  1949.87        2500.00        3634.94     
  1947.37        2500.00        3635.31     
  1944.86        2500.00        3635.69     
  1942.36        2500.00        3636.06     
  1939.85        2500.00        3636.44     
  1937.34        2500.00        3636.81     
  1934.84        2500.00        3637.18     
  1932.33        2500.00        3637.56     
  1929.82        2500.00        3637.93     
  1927.32        2500.00        3638.31     
  1924.81        2500.00        3638.68     
  1922.31        2500.00        3639.05     
  1919.80        2500.00        3639.43     
  1917.29        2500.00        3639.80     
  1914.79        2500.00        3640.17     
  1912.28        2500.00        3640.55     
  1909.77        2500.00        3640.92     
  1907.27        2500.00        3641.29     
  1904.76        2500.00        3641.66     
  1902.26        2500.00        3642.04     
  1899.75        2500.00        3642.41     
  1897.24        2500.00        3642.78     
  1894.74        2500.00        3643.15     
  1892.23        2500.00        3643.53     
  1889.72        2500.00        3643.90     
  1887.22        2500.00        3644.27     
  1884.71        2500.00        3644.64     
  1882.21        2500.00        3645.01     
  1879.70        2500.00        3645.38     
  1877.19        2500.00        3645.75     
  1874.69        2500.00        3646.13     
  1872.18        2500.00        3646.50     
  1869.67        2500.00        3646.87     
  1867.17        2500.00        3647.24     
  1864.66        2500.00        3647.61     
  1862.16        2500.00        3647.98     
  1859.65        2500.00        3648.35     
  1857.14        2500.00        3648.72     
  1854.64        2500.00        3649.09     
  1852.13        2500.00        3649.46     
  1849.62        2500.00        3649.83     
  1847.12        2500.00        3650.20     
  1844.61        2500.00        3650.57     
  1842.11        2500.00        3650.94     
  1839.60        2500.00        3651.31     
  1837.09        2500.00        3651.68     
  1834.59        2500.00        3652.05     
  1832.08        2500.00        3652.42     
  1829.57        2500.00        3652.78     
  1827.07        2500.00        3653.15     
  1824.56        2500.00        3653.52     
  1822.06        2500.00        3653.89     
  1819.55        2500.00        3654.26     
  1817.04        2500.00        3654.63     
  1814.54        2500.00        3654.99     
  1812.03        2500.00        3655.36     
  1809.52        2500.00        3655.73     
  1807.02        2500.00        3656.10     
  1804.51        2500.00        3656.47     
  1802.01        2500.00        3656.83     
  1799.50        2500.00        3657.20     
  1796.99        2500.00        3657.57     
  1794.49        2500.00        3657.93     
  1791.98        2500.00        3658.30     
  1789.47        2500.00        3658.67     
  1786.97        2500.00        3659.04     
  1784.46        2500.00        3659.40     
  1781.95        2500.00        3659.77     
  1779.45        2500.00        3660.13     
  1776.94        2500.00        3660.50     
  1774.44        2500.00        3660.87     
  1771.93        2500.00        3661.23     
  1769.42        2500.00        3661.60     
  1766.92        2500.00        3661.96     
  1764.41        2500.00        3662.33     
  1761.90        2500.00        3662.70     
  1759.40        2500.00        3663.06     
  1756.89        2500.00        3663.43     
  1754.39        2500.00        3663.79     
  1751.88        2500.00        3664.16     
  1749.37        2500.00        3664.52     
  1746.87        2500.00        3664.89     
  1744.36        2500.00        3665.25     
  1741.85        2500.00        3665.62     
  1739.35        2500.00        3665.98     
  1736.84        2500.00        3666.34     
  1734.34        2500.00        3666.71     
  1731.83        2500.00        3667.07     
  1729.32        2500.00        3667.44     
  1726.82        2500.00        3667.80     
  1724.31        2500.00        3668.16     
  1721.80        2500.00        3668.53     
  1719.30        2500.00        3668.89     
  1716.79        2500.00        3669.25     
  1714.29        2500.00        3669.62     
  1711.78        2500.00        3669.98     
  1709.27        2500.00        3670.34     
  1706.77        2500.00        3670.71     
  1704.26        2500.00        3671.07     
  1701.75        2500.00        3671.43     
  1699.25        2500.00        3671.79     
  1696.74        2500.00        3672.16     
  1694.24        2500.00        3672.52     
  1691.73        2500.00        3672.88     
  1689.22        2500.00        3673.24     
  1686.72        2500.00        3673.60     
  1684.21        2500.00        3673.97     
  1681.70        2500.00        3674.33     
  1679.20        2500.00        3674.69     
  1676.69        2500.00        3675.05     
  1674.19        2500.00        3675.41     
  1671.68        2500.00        3675.77     
  1669.17        2500.00        3676.13     
  1666.67        2500.00        3678.78     
  1664.16        2500.00        3676.85     
  1661.65        2500.00        3677.22     
  1659.15        2500.00        3678.68     
  1656.64        2500.00        3684.99     
  1654.14        2500.00        3686.87     
  1651.63        2500.00        3686.93     
  1649.12        2500.00        3687.35     
  1646.62        2500.00        3687.64     
  1644.11        2500.00        3687.92     
  1641.60        2500.00        3688.22     
  1639.10        2500.00        3651.36     
  1636.59        2500.00        4512.25     
  1634.09        2500.00        4512.38     
  1631.58        2500.00        4510.94     
  1629.07        2500.00        4511.37     
  1626.57        2500.00        4512.60     
  1624.06        2500.00        4512.76     
  1621.55        2500.00        4512.44     
  1619.05        2500.00        4512.97     
  1616.54        2500.00        3415.16     
  1614.04        2500.00        3412.09     
  1611.53        2500.00        3413.49     
  1609.02        2500.00        3419.63     
  1606.52        2500.00        3417.14     
  1604.01        2500.00        3418.72     
  1601.50        2500.00        3422.14     
  1599.00        2500.00        3423.66     
  1596.49        2500.00        3424.95     
  1593.98        2500.00        3427.43     
  1591.48        2500.00        3357.25     
  1588.97        2500.00        3293.49     
  1586.47        2500.00        3294.78     
  1583.96        2500.00        3297.21     
  1581.45        2500.00        3296.71     
  1578.95        2500.00        3298.34     
  1576.44        2500.00        3300.24     
  1573.93        2500.00        3300.62     
  1571.43        2500.00        3298.36     
  1568.92        2500.00        3309.80     
  1566.42        2500.00        3301.55     
  1563.91        2500.00        3307.90     
  1561.40        2500.00        3306.45     
  1558.90        2500.00        3308.05     
  1556.39        2500.00        3310.27     
  1553.88        2500.00        3310.28     
  1551.38        2500.00        3310.42     
  1548.87        2500.00        3312.95     
  1546.37        2500.00        3313.96     
  1543.86        2500.00        3315.34     
  1541.35        2500.00        3315.84     
  1538.85        2500.00        3317.04     
  1536.34        2500.00        3318.76     
  1533.83        2500.00        3319.70     
  1531.33        2500.00        3320.91     
  1528.82        2500.00        3322.01     
  1526.32        2500.00        3299.62     
  1523.81        2500.00        3296.75     
  1521.30        2500.00        3311.43     
  1518.80        2500.00        3295.85     
  1516.29        2500.00        3298.18     
  1513.78        2500.00        3299.02     
  1511.28        2500.00        3301.44     
  1508.77        2500.00        3303.36     
  1506.27        2500.00        3303.91     
  1503.76        2500.00        3305.79     
  1501.25        2500.00        3307.10     
  1498.75        2500.00        3308.74     
  1496.24        2500.00        3309.38     
  1493.73        2500.00        3298.78     
  1491.23        2500.00        3292.91     
  1488.72        2500.00        3295.36     
  1486.22        2500.00        3297.74     
  1483.71        2500.00        3300.56     
  1481.20        2500.00        3303.35     
  1478.70        2500.00        3307.18     
  1476.19        2500.00        3309.31     
  1473.68        2500.00        3311.77     
  1471.18        2500.00        3314.11     
  1468.67        2500.00        3316.25     
  1466.17        2500.00        3318.78     
  1463.66        2500.00        3320.92     
  1461.15        2500.00        3331.38     
  1458.65        2500.00        3337.38     
  1456.14        2500.00        3339.49     
  1453.63        2500.00        3341.76     
  1451.13        2500.00        3344.00     
  1448.62        2500.00        3346.28     
  1446.12        2500.00        3348.03     
  1443.61        2500.00        3350.87     
  1441.10        2500.00        3353.06     
  1438.60        2500.00        3355.35     
  1436.09        2500.00        3357.68     
  1433.58        2500.00        3359.96     
  1431.08        2500.00        3362.17     
  1428.57        2500.00        3364.51     
  1426.07        2500.00        3366.79     
  1423.56        2500.00        3369.25     
  1421.05        2500.00        3362.32     
  1418.55        2500.00        3187.65     
  1416.04        2500.00        3191.60     
  1413.53        2500.00        3196.09     
  1411.03        2500.00        3195.60     
  1408.52        2500.00        3213.61     
  1406.02        2500.00        3211.32     
  1403.51        2500.00        3215.31     
  1401.00        2500.00        3219.48     
  1398.50        2500.00        3223.06     
  1395.99        2500.00        3226.62     
  1393.48        2500.00        3230.86     
  1390.98        2500.00        3235.44     
  1388.47        2500.00        3240.26     
  1385.96        2500.00        3243.89     
  1383.46        2500.00        3247.63     
  1380.95        2500.00        3251.60     
  1378.45        2500.00        3255.28     
  1375.94        2500.00        3259.07     
  1373.43        2500.00        3263.24     
  1370.93        2500.00        3267.01     
  1368.42        2500.00        3270.22     
  1365.91        2500.00        3274.16     
  1363.41        2500.00        3277.71     
  1360.90        2500.00        3281.34     
  1358.40        2500.00        3284.85     
  1355.89        2500.00        3288.52     
  1353.38        2500.00        3291.53     
  1350.88        2500.00        3294.99     
  1348.37        2500.00        3297.34     
  1345.86        2500.00        3302.39     
  1343.36        2500.00        3304.37     
  1340.85        2500.00        3326.34     
  1338.35        2500.00        3352.79     
  1335.84        2500.00        3356.32     
  1333.33        2500.00        3356.59     
  1330.83        2500.00        3358.44     
  1328.32        2500.00        3360.12     
  1325.81        2500.00        3361.65     
  1323.31        2500.00        3363.31     
  1320.80        2500.00        3364.22     
  1318.30        2500.00        3365.98     
  1315.79        2500.00        3366.79     
  1313.28        2500.00        3368.18     
  1310.78        2500.00        3368.83     
  1308.27        2500.00        3369.16     
  1305.76        2500.00        3370.28     
  1303.26        2500.00        3370.67     
  1300.75        2500.00        3370.76     
  1298.25        2500.00        3371.19     
  1295.74        2500.00        2878.66     
  1293.23        2500.00        2882.51     
  1290.73        2500.00        2889.14     
  1288.22        2500.00        2894.66     
  1285.71        2500.00        2899.30     
  1283.21        2500.00        2903.11     
  1280.70        2500.00        2906.80     
  1278.20        2500.00        2901.87     
  1275.69        2500.00        2930.99     
  1273.18        2500.00        2908.07     
  1270.68        2500.00        2920.66     
  1268.17        2500.00        2903.99     
  1265.66        2500.00        2921.01     
  1263.16        2500.00        2920.80     
  1260.65        2500.00        2902.97     
  1258.15        2500.00        2934.87     
  1255.64        2500.00        2886.03     
  1253.13        2500.00        2962.23     
  1250.63        2500.00        2884.14     
  1248.12        2500.00        3129.25     
  1245.61        2500.00        2814.71     
  1243.11        2500.00        2859.16     
  1240.60        2500.00        2925.96     
  1238.10        2500.00        3549.08     
  1235.59        2500.00        3071.65     
  1233.08        2500.00        2742.84     
  1230.58        2500.00        2713.90     
  1228.07        2500.00        2685.73     
  1225.56        2500.00        2679.32     
  1223.06        2500.00        2685.99     
  1220.55        2500.00        2686.12     
  1218.05        2500.00        2679.67     
  1215.54        2500.00        2686.38     
  1213.03        2500.00        2687.13     
  1210.53        2500.00        2686.64     
  1208.02        2500.00        2687.14     
  1205.51        2500.00        2687.08     
  1203.01        2500.00        2687.37     
  1200.50        2500.00        2687.51     
  1197.99        2500.00        2687.65     
  1195.49        2500.00        2687.84     
  1192.98        2500.00        2687.59     
  1190.48        2500.00        2688.03     
  1187.97        2500.00        2687.85     
