|6.6.6
Archiving\03_Data\frac/QFM_m2.75/YM20/YM20_6.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        2500.00        5154.70     
  1997.49        2500.00        5155.46     
  1994.99        2500.00        5156.21     
  1992.48        2500.00        5156.95     
  1989.97        2500.00        5157.70     
  1987.47        2500.00        5158.45     
  1984.96        2500.00        5159.20     
  1982.46        2500.00        5159.95     
  1979.95        2500.00        5160.70     
  1977.44        2500.00        5161.44     
  1974.94        2500.00        5162.19     
  1972.43        2500.00        5162.94     
  1969.92        2500.00        5163.68     
  1967.42        2500.00        5164.43     
  1964.91        2500.00        5165.17     
  1962.41        2500.00        5165.92     
  1959.90        2500.00        5166.66     
  1957.39        2500.00        5167.40     
  1954.89        2500.00        5168.15     
  1952.38        2500.00        5168.89     
  1949.87        2500.00        5169.63     
  1947.37        2500.00        5170.37     
  1944.86        2500.00        5171.12     
  1942.36        2500.00        5171.86     
  1939.85        2500.00        5172.60     
  1937.34        2500.00        5173.34     
  1934.84        2500.00        5174.08     
  1932.33        2500.00        5174.82     
  1929.82        2500.00        5175.56     
  1927.32        2500.00        5176.30     
  1924.81        2500.00        5177.03     
  1922.31        2500.00        5177.77     
  1919.80        2500.00        5178.51     
  1917.29        2500.00        5179.25     
  1914.79        2500.00        5179.98     
  1912.28        2500.00        5180.72     
  1909.77        2500.00        5181.46     
  1907.27        2500.00        5102.16     
  1904.76        2500.00        2922.15     
  1902.26        2500.00        2922.72     
  1899.75        2500.00        3158.58     
  1897.24        2500.00        3157.21     
  1894.74        2500.00        3158.81     
  1892.23        2500.00        3160.42     
  1889.72        2500.00        3161.75     
  1887.22        2500.00        3163.37     
  1884.71        2500.00        3165.25     
  1882.21        2500.00        3167.19     
  1879.70        2500.00        3168.48     
  1877.19        2500.00        3173.84     
  1874.69        2500.00        3193.67     
  1872.18        2500.00        3195.19     
  1869.67        2500.00        3196.58     
  1867.17        2500.00        3198.56     
  1864.66        2500.00        3200.00     
  1862.16        2500.00        3201.27     
  1859.65        2500.00        3203.09     
  1857.14        2500.00        3204.75     
  1854.64        2500.00        3206.40     
  1852.13        2500.00        3207.79     
  1849.62        2500.00        3209.01     
  1847.12        2500.00        3210.69     
  1844.61        2500.00        3212.86     
  1842.11        2500.00        3214.19     
  1839.60        2500.00        3216.12     
  1837.09        2500.00        3217.38     
  1834.59        2500.00        3220.38     
  1832.08        2500.00        3221.01     
  1829.57        2500.00        3222.02     
  1827.07        2500.00        3224.04     
  1824.56        2500.00        3225.79     
  1822.06        2500.00        3227.44     
  1819.55        2500.00        3228.90     
  1817.04        2500.00        3231.27     
  1814.54        2500.00        3233.23     
  1812.03        2500.00        3234.66     
  1809.52        2500.00        3215.50     
  1807.02        2500.00        3215.39     
  1804.51        2500.00        3239.35     
  1802.01        2500.00        3240.85     
  1799.50        2500.00        3242.00     
  1796.99        2500.00        3243.70     
  1794.49        2500.00        3246.70     
  1791.98        2500.00        3247.04     
  1789.47        2500.00        3248.53     
  1786.97        2500.00        3250.23     
  1784.46        2500.00        3251.91     
  1781.95        2500.00        3253.47     
  1779.45        2500.00        3255.36     
  1776.94        2500.00        3256.89     
  1774.44        2500.00        3258.15     
  1771.93        2500.00        3258.96     
  1769.42        2500.00        3261.55     
  1766.92        2500.00        3262.10     
  1764.41        2500.00        3265.32     
  1761.90        2500.00        3266.82     
  1759.40        2500.00        3268.02     
  1756.89        2500.00        3269.56     
  1754.39        2500.00        3273.34     
  1751.88        2500.00        3273.57     
  1749.37        2500.00        3274.70     
  1746.87        2500.00        3276.34     
  1744.36        2500.00        3278.07     
  1741.85        2500.00        3279.01     
  1739.35        2500.00        3281.20     
  1736.84        2500.00        3282.35     
  1734.34        2500.00        3284.26     
  1731.83        2500.00        3286.21     
  1729.32        2500.00        3290.39     
  1726.82        2500.00        3288.90     
  1724.31        2500.00        3291.05     
  1721.80        2500.00        3292.29     
  1719.30        2500.00        3294.06     
  1716.79        2500.00        3295.39     
  1714.29        2500.00        3297.16     
  1711.78        2500.00        3298.51     
  1709.27        2500.00        3301.03     
  1706.77        2500.00        3301.68     
  1704.26        2500.00        3307.04     
  1701.75        2500.00        3308.34     
  1699.25        2500.00        3288.12     
  1696.74        2500.00        3301.77     
  1694.24        2500.00        3309.88     
  1691.73        2500.00        3311.23     
  1689.22        2500.00        3312.75     
  1686.72        2500.00        3314.60     
  1684.21        2500.00        3315.84     
  1681.70        2500.00        3317.86     
  1679.20        2500.00        3318.56     
  1676.69        2500.00        3323.57     
  1674.19        2500.00        3326.39     
  1671.68        2500.00        3323.55     
  1669.17        2500.00        3324.91     
  1666.67        2500.00        3326.52     
  1664.16        2500.00        3327.62     
  1661.65        2500.00        3329.60     
  1659.15        2500.00        3329.70     
  1656.64        2500.00        3332.46     
  1654.14        2500.00        3340.90     
  1651.63        2500.00        3334.51     
  1649.12        2500.00        3336.45     
  1646.62        2500.00        3338.71     
  1644.11        2500.00        3339.77     
  1641.60        2500.00        3340.85     
  1639.10        2500.00        3342.13     
  1636.59        2500.00        3344.02     
  1634.09        2500.00        3253.44     
  1631.58        2500.00        3248.36     
  1629.07        2500.00        3249.29     
  1626.57        2500.00        3261.03     
  1624.06        2500.00        3250.86     
  1621.55        2500.00        3251.98     
  1619.05        2500.00        3252.59     
  1616.54        2500.00        3253.87     
  1614.04        2500.00        3255.00     
  1611.53        2500.00        3255.84     
  1609.02        2500.00        3256.88     
  1606.52        2500.00        3257.51     
  1604.01        2500.00        3260.03     
  1601.50        2500.00        3260.24     
  1599.00        2500.00        3260.54     
  1596.49        2500.00        3261.55     
  1593.98        2500.00        3262.55     
  1591.48        2500.00        3263.25     
  1588.97        2500.00        3263.89     
  1586.47        2500.00        3264.72     
  1583.96        2500.00        3265.63     
  1581.45        2500.00        3266.74     
  1578.95        2500.00        3268.75     
  1576.44        2500.00        3269.26     
  1573.93        2500.00        3269.56     
  1571.43        2500.00        3270.75     
  1568.92        2500.00        3270.84     
  1566.42        2500.00        3272.70     
  1563.91        2500.00        3273.12     
  1561.40        2500.00        3274.33     
  1558.90        2500.00        3275.24     
  1556.39        2500.00        3276.41     
  1553.88        2500.00        3276.73     
  1551.38        2500.00        3277.97     
  1548.87        2500.00        3278.65     
  1546.37        2500.00        3279.81     
  1543.86        2500.00        3280.05     
  1541.35        2500.00        3281.54     
  1538.85        2500.00        3282.01     
  1536.34        2500.00        3282.98     
  1533.83        2500.00        3284.40     
  1531.33        2500.00        3284.75     
  1528.82        2500.00        3285.96     
  1526.32        2500.00        3285.48     
  1523.81        2500.00        3286.50     
  1521.30        2500.00        3288.56     
  1518.80        2500.00        3288.48     
  1516.29        2500.00        3289.10     
  1513.78        2500.00        3290.01     
  1511.28        2500.00        3290.90     
  1508.77        2500.00        3290.96     
  1506.27        2500.00        3291.67     
  1503.76        2500.00        3273.21     
  1501.25        2500.00        3274.71     
  1498.75        2500.00        3273.40     
  1496.24        2500.00        3274.20     
  1493.73        2500.00        3275.75     
  1491.23        2500.00        3277.69     
  1488.72        2500.00        3278.84     
  1486.22        2500.00        3280.20     
  1483.71        2500.00        3281.93     
