|6.6.6
Archiving\03_Data\frac/QFM_m4.75/NWA1068/NWA1068_6.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        2500.00        5668.47     
  1997.49        2500.00        5680.70     
  1994.99        2500.00        5692.72     
  1992.48        2500.00        5704.56     
  1989.97        2500.00        5716.20     
  1987.47        2500.00        5727.74     
  1984.96        2500.00        5738.98     
  1982.46        2500.00        5750.08     
  1979.95        2500.00        5761.00     
  1977.44        2500.00        5771.81     
  1974.94        2500.00        5782.38     
  1972.43        2500.00        5792.83     
  1969.92        2500.00        5803.13     
  1967.42        2500.00        5813.27     
  1964.91        2500.00        5823.28     
  1962.41        2500.00        5833.14     
  1959.90        2500.00        5842.84     
  1957.39        2500.00        5852.41     
  1954.89        2500.00        5874.81     
  1952.38        2500.00        5871.16     
  1949.87        2500.00        5880.36     
  1947.37        2500.00        5889.39     
  1944.86        2500.00        5898.32     
  1942.36        2500.00        5902.77     
  1939.85        2500.00        5915.83     
  1937.34        2500.00        5924.41     
  1934.84        2500.00        5932.84     
  1932.33        2500.00        5941.21     
  1929.82        2500.00        5949.43     
  1927.32        2500.00        5957.57     
  1924.81        2500.00        5965.60     
  1922.31        2500.00        5973.53     
  1919.80        2500.00        5981.37     
  1917.29        2500.00        5989.08     
  1914.79        2500.00        5996.72     
  1912.28        2500.00        6004.25     
  1909.77        2500.00        6011.72     
  1907.27        2500.00        6019.06     
  1904.76        2500.00        6026.32     
  1902.26        2500.00        6033.51     
  1899.75        2500.00        6040.60     
  1897.24        2500.00        6047.63     
  1894.74        2500.00        6054.55     
  1892.23        2500.00        6061.39     
  1889.72        2500.00        6068.15     
  1887.22        2500.00        6074.83     
  1884.71        2500.00        6081.45     
  1882.21        2500.00        6087.98     
  1879.70        2500.00        6094.46     
  1877.19        2500.00        6100.84     
  1874.69        2500.00        6107.17     
  1872.18        2500.00        6113.41     
  1869.67        2500.00        6119.60     
  1867.17        2500.00        6125.71     
  1864.66        2500.00        6131.76     
  1862.16        2500.00        6137.74     
  1859.65        2500.00        6143.65     
  1857.14        2500.00        6149.51     
  1854.64        2500.00        6155.31     
  1852.13        2500.00        6161.05     
  1849.62        2500.00        6167.25     
  1847.12        2500.00        6172.32     
  1844.61        2500.00        6177.88     
  1842.11        2500.00        6183.38     
  1839.60        2500.00        6188.82     
  1837.09        2500.00        6194.21     
  1834.59        2500.00        6199.54     
  1832.08        2500.00        6204.82     
  1829.57        2500.00        6210.05     
  1827.07        2500.00        6215.22     
  1824.56        2500.00        6220.35     
  1822.06        2500.00        6225.42     
  1819.55        2500.00        6230.45     
  1817.04        2500.00        6235.43     
  1814.54        2500.00        6240.36     
  1812.03        2500.00        6245.23     
  1809.52        2500.00        6250.07     
  1807.02        2500.00        6254.88     
  1804.51        2500.00        6259.61     
  1802.01        2500.00        6264.30     
  1799.50        2500.00        6268.98     
  1796.99        2500.00        6273.56     
  1794.49        2500.00        6278.13     
  1791.98        2500.00        6282.70     
  1789.47        2500.00        6287.15     
  1786.97        2500.00        6291.59     
  1784.46        2500.00        6296.05     
  1781.95        2500.00        6300.38     
  1779.45        2500.00        6304.70     
  1776.94        2500.00        6308.98     
  1774.44        2500.00        6313.23     
  1771.93        2500.00        6317.44     
  1769.42        2500.00        6321.61     
  1766.92        2500.00        6329.53     
  1764.41        2500.00        6329.86     
  1761.90        2500.00        6333.92     
  1759.40        2500.00        6337.96     
  1756.89        2500.00        6341.98     
  1754.39        2500.00        6345.92     
  1751.88        2500.00        6349.88     
  1749.37        2500.00        6353.75     
  1746.87        2500.00        6357.61     
  1744.36        2500.00        6361.45     
  1741.85        2500.00        6365.25     
  1739.35        2500.00        6369.01     
  1736.84        2500.00        6372.75     
  1734.34        2500.00        6376.45     
  1731.83        2500.00        6380.12     
  1729.32        2500.00        6383.76     
  1726.82        2500.00        6387.38     
  1724.31        2500.00        6390.97     
  1721.80        2500.00        6393.33     
  1719.30        2500.00        6398.05     
  1716.79        2500.00        6401.56     
  1714.29        2500.00        6405.02     
  1711.78        2500.00        6408.46     
  1709.27        2500.00        6411.88     
  1706.77        2500.00        6415.27     
  1704.26        2500.00        6418.65     
  1701.75        2500.00        6421.97     
  1699.25        2500.00        6425.28     
  1696.74        2500.00        6428.56     
  1694.24        2500.00        6434.60     
  1691.73        2500.00        6435.05     
  1689.22        2500.00        6438.26     
  1686.72        2500.00        6441.45     
  1684.21        2500.00        6444.60     
  1681.70        2500.00        6447.74     
  1679.20        2500.00        6450.85     
  1676.69        2500.00        6453.93     
  1674.19        2500.00        6457.00     
  1671.68        2500.00        6460.04     
  1669.17        2500.00        6463.07     
  1666.67        2500.00        6465.66     
  1664.16        2500.00        6462.48     
  1661.65        2500.00        6460.98     
  1659.15        2500.00        6473.91     
  1656.64        2500.00        6470.51     
  1654.14        2500.00        6473.93     
  1651.63        2500.00        6479.00     
  1649.12        2500.00        6472.22     
  1646.62        2500.00        6480.97     
  1644.11        2500.00        6483.41     
  1641.60        2500.00        6479.81     
  1639.10        2500.00        6489.15     
  1636.59        2500.00        6182.59     
  1634.09        2500.00        3374.18     
  1631.58        2500.00        3362.93     
  1629.07        2500.00        3364.03     
  1626.57        2500.00        3365.55     
  1624.06        2500.00        3367.52     
  1621.55        2500.00        3368.94     
  1619.05        2500.00        3370.21     
  1616.54        2500.00        3372.21     
  1614.04        2500.00        3373.92     
  1611.53        2500.00        3375.63     
  1609.02        2500.00        3375.43     
  1606.52        2500.00        3360.07     
  1604.01        2500.00        3382.48     
  1601.50        2500.00        3382.22     
  1599.00        2500.00        3383.43     
  1596.49        2500.00        3385.69     
  1593.98        2500.00        3386.71     
  1591.48        2500.00        3382.30     
  1588.97        2500.00        3391.74     
  1586.47        2500.00        3391.35     
  1583.96        2500.00        3394.53     
  1581.45        2500.00        3395.33     
  1578.95        2500.00        3396.58     
  1576.44        2500.00        3397.41     
  1573.93        2500.00        3399.26     
  1571.43        2500.00        3401.35     
  1568.92        2500.00        3404.96     
  1566.42        2500.00        3405.11     
  1563.91        2500.00        3406.47     
  1561.40        2500.00        3407.32     
  1558.90        2500.00        3300.91     
  1556.39        2500.00        3276.25     
  1553.88        2500.00        3276.66     
  1551.38        2500.00        3278.70     
  1548.87        2500.00        3279.67     
  1546.37        2500.00        3280.06     
  1543.86        2500.00        3281.19     
  1541.35        2500.00        3282.15     
  1538.85        2500.00        3261.43     
  1536.34        2500.00        3255.22     
  1533.83        2500.00        3256.60     
  1531.33        2500.00        3257.12     
  1528.82        2500.00        3258.48     
  1526.32        2500.00        3263.22     
  1523.81        2500.00        3269.53     
  1521.30        2500.00        3270.83     
  1518.80        2500.00        3272.30     
  1516.29        2500.00        3273.37     
  1513.78        2500.00        3274.67     
  1511.28        2500.00        3275.00     
  1508.77        2500.00        3276.33     
  1506.27        2500.00        3273.12     
  1503.76        2500.00        3260.51     
  1501.25        2500.00        3262.51     
  1498.75        2500.00        3264.23     
  1496.24        2500.00        3266.02     
  1493.73        2500.00        3268.01     
  1491.23        2500.00        3269.64     
  1488.72        2500.00        3271.55     
  1486.22        2500.00        3273.30     
  1483.71        2500.00        3275.47     
  1481.20        2500.00        3276.95     
  1478.70        2500.00        3278.83     
  1476.19        2500.00        3280.88     
  1473.68        2500.00        3282.71     
  1471.18        2500.00        3284.76     
  1468.67        2500.00        3286.75     
  1466.17        2500.00        3288.74     
  1463.66        2500.00        3290.48     
  1461.15        2500.00        3292.29     
  1458.65        2500.00        3294.12     
  1456.14        2500.00        3296.35     
  1453.63        2500.00        3298.17     
  1451.13        2500.00        3300.37     
  1448.62        2500.00        3302.18     
  1446.12        2500.00        3304.55     
  1443.61        2500.00        3308.82     
  1441.10        2500.00        3349.76     
  1438.60        2500.00        3367.64     
  1436.09        2500.00        3368.30     
  1433.58        2500.00        3369.12     
  1431.08        2500.00        3369.68     
  1428.57        2500.00        3370.42     
  1426.07        2500.00        3371.12     
  1423.56        2500.00        3344.60     
  1421.05        2500.00        3217.01     
  1418.55        2500.00        3217.06     
  1416.04        2500.00        3217.15     
  1413.53        2500.00        3217.20     
  1411.03        2500.00        3217.23     
  1408.52        2500.00        3217.31     
  1406.02        2500.00        3217.31     
  1403.51        2500.00        3217.29     
  1401.00        2500.00        3217.30     
  1398.50        2500.00        3217.29     
  1395.99        2500.00        3217.27     
  1393.48        2500.00        3217.22     
  1390.98        2500.00        3217.21     
  1388.47        2500.00        3217.14     
  1385.96        2500.00        3216.99     
  1383.46        2500.00        3216.93     
  1380.95        2500.00        3216.78     
  1378.45        2500.00        3216.61     
  1375.94        2500.00        3216.41     
  1373.43        2500.00        3216.25     
  1370.93        2500.00        3216.04     
  1368.42        2500.00        3215.74     
