T(K)	P(bar)	SiO2	TiO2	Al2O3	Cr2O3	FeO	MnO	MgO	CaO	Na2O	K2O	NiO
  1644.11      2500.00     0.768924     0.801340E-02 0.507972E-01 0.391587E-02 0.293668     0.747142E-02 0.434184     0.123402     0.119395E-01 0.212323E-03 0.267763E-03
  1641.60      2500.00     0.768924     0.801337E-02 0.507871E-01 0.386681E-02 0.293632     0.747142E-02 0.434160     0.123402     0.119395E-01 0.212323E-03 0.267763E-03
  1639.10      2500.00     0.768924     0.801334E-02 0.507769E-01 0.381810E-02 0.293596     0.747142E-02 0.434136     0.123402     0.119395E-01 0.212323E-03 0.267763E-03
  1636.59      2500.00     0.768924     0.801331E-02 0.507669E-01 0.377001E-02 0.293560     0.747142E-02 0.434112     0.123402     0.119395E-01 0.212323E-03 0.267763E-03
  1634.09      2500.00     0.768924     0.801329E-02 0.507568E-01 0.372209E-02 0.293524     0.747142E-02 0.434088     0.123402     0.119395E-01 0.212323E-03 0.267763E-03
  1631.58      2500.00     0.768924     0.801325E-02 0.507469E-01 0.367489E-02 0.293489     0.747142E-02 0.434065     0.123402     0.119395E-01 0.212323E-03 0.267763E-03
  1629.07      2500.00     0.768924     0.801320E-02 0.507293E-01 0.359214E-02 0.293427     0.747142E-02 0.434024     0.123402     0.119395E-01 0.212323E-03 0.267763E-03
  1626.57      2500.00     0.768924     0.801319E-02 0.507268E-01 0.358080E-02 0.293419     0.747142E-02 0.434019     0.123402     0.119395E-01 0.212323E-03 0.267763E-03
  1624.06      2500.00     0.768924     0.801318E-02 0.507229E-01 0.356272E-02 0.293405     0.747142E-02 0.434010     0.123402     0.119395E-01 0.212323E-03 0.267763E-03
  1621.55      2500.00     0.768924     0.801318E-02 0.507217E-01 0.355714E-02 0.293401     0.747142E-02 0.434007     0.123402     0.119395E-01 0.212323E-03 0.267763E-03
  1619.05      2500.00     0.768924     0.801310E-02 0.506969E-01 0.344494E-02 0.293316     0.747142E-02 0.433951     0.123402     0.119395E-01 0.212323E-03 0.267763E-03
  1616.54      2500.00     0.760663     0.801296E-02 0.506752E-01 0.339720E-02 0.150984      0.00000     0.433295     0.123384     0.119393E-01 0.212323E-03  0.00000    
  1614.04      2500.00     0.747987     0.801113E-02 0.504680E-01 0.326011E-02 0.148678      0.00000     0.423073     0.123084     0.119350E-01 0.212323E-03  0.00000    
  1611.53      2500.00     0.735722     0.800926E-02 0.502666E-01 0.312844E-02 0.146440      0.00000     0.413197     0.122787     0.119308E-01 0.212323E-03  0.00000    
  1609.02      2500.00     0.723833     0.800735E-02 0.500701E-01 0.300138E-02 0.144265      0.00000     0.403637     0.122491     0.119268E-01 0.212323E-03  0.00000    
  1606.52      2500.00     0.712300     0.800546E-02 0.498803E-01 0.287920E-02 0.142150      0.00000     0.394379     0.122195     0.119229E-01 0.212323E-03  0.00000    
  1604.01      2500.00     0.701086     0.800351E-02 0.496958E-01 0.276179E-02 0.140087      0.00000     0.385388     0.121899     0.119190E-01 0.212323E-03  0.00000    
  1601.50      2500.00     0.690238     0.800159E-02 0.495159E-01 0.264811E-02 0.138085      0.00000     0.376710     0.121607     0.119152E-01 0.212323E-03  0.00000    
  1599.00      2500.00     0.679723     0.799961E-02 0.493423E-01 0.253906E-02 0.136141      0.00000     0.368308     0.121313     0.119116E-01 0.212323E-03  0.00000    
  1596.49      2500.00     0.669498     0.799762E-02 0.491722E-01 0.243321E-02 0.134245      0.00000     0.360150     0.121021     0.119079E-01 0.212323E-03  0.00000    
  1593.98      2500.00     0.659542     0.799563E-02 0.490085E-01 0.233259E-02 0.132393      0.00000     0.352224     0.120729     0.119044E-01 0.212323E-03  0.00000    
  1591.48      2500.00     0.649962     0.799364E-02 0.488519E-01 0.223697E-02 0.130616      0.00000     0.344455     0.120446     0.119010E-01 0.212323E-03  0.00000    
  1588.97      2500.00     0.640713     0.799173E-02 0.487047E-01 0.214811E-02 0.128863      0.00000     0.336756     0.120174     0.118978E-01 0.212323E-03  0.00000    
  1586.47      2500.00     0.630190     0.798926E-02 0.485350E-01 0.204780E-02 0.126766      0.00000     0.328100     0.119855     0.118942E-01 0.212323E-03  0.00000    
  1583.96      2500.00     0.622988     0.798762E-02 0.484215E-01 0.198050E-02 0.125416      0.00000     0.322119     0.119633     0.118917E-01 0.212323E-03  0.00000    
  1581.45      2500.00     0.614519     0.798564E-02 0.482866E-01 0.190108E-02 0.123825      0.00000     0.315098     0.119363     0.118887E-01 0.212323E-03  0.00000    
  1578.95      2500.00     0.606436     0.798374E-02 0.481714E-01 0.183558E-02 0.122126      0.00000     0.307812     0.119130     0.118861E-01 0.212323E-03  0.00000    
  1576.44      2500.00     0.598338     0.798160E-02 0.480355E-01 0.175670E-02 0.120686      0.00000     0.301446     0.118844     0.118830E-01 0.212323E-03  0.00000    
  1573.93      2500.00     0.590351     0.797941E-02 0.479008E-01 0.167957E-02 0.119259      0.00000     0.295166     0.118554     0.118799E-01 0.212323E-03  0.00000    
  1571.43      2500.00     0.582579     0.797743E-02 0.477777E-01 0.160815E-02 0.117762      0.00000     0.288676     0.118281     0.118771E-01 0.212323E-03  0.00000    
  1568.92      2500.00     0.575272     0.797530E-02 0.476578E-01 0.154057E-02 0.116401      0.00000     0.282812     0.118008     0.118743E-01 0.212323E-03  0.00000    
  1566.42      2500.00     0.567992     0.797311E-02 0.475410E-01 0.147557E-02 0.115009      0.00000     0.276879     0.117734     0.118715E-01 0.212323E-03  0.00000    
  1563.91      2500.00     0.560897     0.797092E-02 0.474263E-01 0.141235E-02 0.113648      0.00000     0.271112     0.117461     0.118688E-01 0.212323E-03  0.00000    
  1561.40      2500.00     0.553965     0.796869E-02 0.473143E-01 0.135137E-02 0.112316      0.00000     0.265495     0.117185     0.118661E-01 0.212323E-03  0.00000    
  1558.90      2500.00     0.547199     0.796640E-02 0.472047E-01 0.129238E-02 0.111012      0.00000     0.260030     0.116910     0.118634E-01 0.212323E-03  0.00000    
  1556.39      2500.00     0.540583     0.796407E-02 0.470979E-01 0.123543E-02 0.109736      0.00000     0.254701     0.116632     0.118608E-01 0.212323E-03  0.00000    
  1553.88      2500.00     0.534119     0.796177E-02 0.469928E-01 0.117967E-02 0.108480      0.00000     0.249512     0.116353     0.118582E-01 0.212323E-03  0.00000    
  1551.38      2500.00     0.527803     0.795935E-02 0.468907E-01 0.112663E-02 0.107254      0.00000     0.244461     0.116073     0.118556E-01 0.212323E-03  0.00000    
  1548.87      2500.00     0.521625     0.795690E-02 0.467904E-01 0.107479E-02 0.106051      0.00000     0.239533     0.115792     0.118530E-01 0.212323E-03  0.00000    
  1546.37      2500.00     0.514404     0.789273E-02 0.466812E-01 0.105039E-02 0.104702      0.00000     0.234133     0.115330     0.118343E-01 0.211928E-03  0.00000    
  1543.86      2500.00     0.506571     0.779889E-02 0.465664E-01 0.103858E-02 0.103235      0.00000     0.228350     0.114761     0.118078E-01 0.211328E-03  0.00000    
  1541.35      2500.00     0.498786     0.769985E-02 0.464530E-01 0.103032E-02 0.101772      0.00000     0.222652     0.114153     0.117792E-01 0.210752E-03  0.00000    
  1538.85      2500.00     0.491101     0.760053E-02 0.463378E-01 0.102193E-02 0.100322      0.00000     0.217055     0.113529     0.117510E-01 0.210142E-03  0.00000    
  1536.34      2500.00     0.483461     0.750297E-02 0.462220E-01 0.101279E-02 0.988125E-01  0.00000     0.211533     0.112871     0.117229E-01 0.209468E-03  0.00000    
  1533.83      2500.00     0.475832     0.740586E-02 0.461048E-01 0.100333E-02 0.973187E-01  0.00000     0.206067     0.112170     0.116946E-01 0.208804E-03  0.00000    
  1531.33      2500.00     0.468213     0.730919E-02 0.459866E-01 0.993256E-03 0.958786E-01  0.00000     0.200656     0.111424     0.116656E-01 0.208147E-03  0.00000    
  1528.82      2500.00     0.460545     0.721211E-02 0.458653E-01 0.982633E-03 0.944328E-01  0.00000     0.195260     0.110620     0.116360E-01 0.207479E-03  0.00000    
  1526.32      2500.00     0.449557     0.712730E-02 0.457092E-01 0.950722E-03 0.921247E-01  0.00000     0.188545     0.108192     0.115900E-01 0.206479E-03  0.00000    
  1523.81      2500.00     0.437565     0.704878E-02 0.455374E-01 0.910973E-03 0.895669E-01  0.00000     0.181526     0.105157     0.115394E-01 0.205357E-03  0.00000    
  1521.30      2500.00     0.426143     0.697062E-02 0.453654E-01 0.873103E-03 0.871264E-01  0.00000     0.174850     0.102263     0.114913E-01 0.204321E-03  0.00000    
  1518.80      2500.00     0.415244     0.689209E-02 0.451916E-01 0.835930E-03 0.847933E-01  0.00000     0.168488     0.994994E-01 0.114457E-01 0.203312E-03  0.00000    
  1516.29      2500.00     0.404844     0.681373E-02 0.450175E-01 0.800154E-03 0.825632E-01  0.00000     0.162425     0.968592E-01 0.114022E-01 0.202348E-03  0.00000    
  1513.78      2500.00     0.394910     0.673558E-02 0.448432E-01 0.765969E-03 0.804289E-01  0.00000     0.156643     0.943339E-01 0.113608E-01 0.201416E-03  0.00000    
  1511.28      2500.00     0.385407     0.665702E-02 0.446678E-01 0.732766E-03 0.783835E-01  0.00000     0.151120     0.919149E-01 0.113214E-01 0.200524E-03  0.00000    
  1508.77      2500.00     0.376321     0.657860E-02 0.444927E-01 0.700895E-03 0.764245E-01  0.00000     0.145848     0.895994E-01 0.112835E-01 0.199689E-03  0.00000    
  1506.27      2500.00     0.367620     0.650054E-02 0.443169E-01 0.669969E-03 0.745446E-01  0.00000     0.140809     0.873789E-01 0.112474E-01 0.198897E-03  0.00000    
  1503.76      2500.00     0.359274     0.642262E-02 0.441407E-01 0.640150E-03 0.727378E-01  0.00000     0.135981     0.852453E-01 0.112129E-01 0.198144E-03  0.00000    
  1501.25      2500.00     0.351283     0.634483E-02 0.439646E-01 0.611702E-03 0.710046E-01  0.00000     0.131366     0.831987E-01 0.111798E-01 0.197443E-03  0.00000    
  1498.75      2500.00     0.343630     0.626769E-02 0.437890E-01 0.584075E-03 0.693419E-01  0.00000     0.126956     0.812370E-01 0.111482E-01 0.196736E-03  0.00000    
  1496.24      2500.00     0.336273     0.619080E-02 0.436131E-01 0.557326E-03 0.677401E-01  0.00000     0.122724     0.793477E-01 0.111177E-01 0.196071E-03  0.00000    
  1493.73      2500.00     0.329206     0.611421E-02 0.434368E-01 0.531433E-03 0.661982E-01  0.00000     0.118667     0.775298E-01 0.110885E-01 0.195432E-03  0.00000    
  1491.23      2500.00     0.322413     0.603804E-02 0.432610E-01 0.506593E-03 0.647133E-01  0.00000     0.114775     0.757794E-01 0.110604E-01 0.194816E-03  0.00000    
  1488.72      2500.00     0.315880     0.596219E-02 0.430852E-01 0.482832E-03 0.632823E-01  0.00000     0.111040     0.740924E-01 0.110335E-01 0.194207E-03  0.00000    
  1486.22      2500.00     0.309592     0.588629E-02 0.429094E-01 0.459827E-03 0.619019E-01  0.00000     0.107453     0.724656E-01 0.110074E-01 0.193630E-03  0.00000    
  1483.71      2500.00     0.303538     0.581143E-02 0.427345E-01 0.437545E-03 0.605702E-01  0.00000     0.104007     0.708970E-01 0.109822E-01 0.193073E-03  0.00000    
  1481.20      2500.00     0.297716     0.573711E-02 0.425599E-01 0.416355E-03 0.592873E-01  0.00000     0.100701     0.693855E-01 0.109581E-01 0.192552E-03  0.00000    
  1478.70      2500.00     0.292099     0.566305E-02 0.423855E-01 0.396040E-03 0.580465E-01  0.00000     0.975185E-01 0.679234E-01 0.109347E-01 0.192038E-03  0.00000    
  1476.19      2500.00     0.286673     0.558909E-02 0.422107E-01 0.376454E-03 0.568456E-01  0.00000     0.944517E-01 0.665078E-01 0.109120E-01 0.191547E-03  0.00000    
  1473.68      2500.00     0.281452     0.551611E-02 0.420370E-01 0.357851E-03 0.556876E-01  0.00000     0.915083E-01 0.651430E-01 0.108903E-01 0.191075E-03  0.00000    
  1471.18      2500.00     0.276405     0.544335E-02 0.418629E-01 0.339632E-03 0.545657E-01  0.00000     0.886695E-01 0.638207E-01 0.108692E-01 0.190624E-03  0.00000    
  1468.67      2500.00     0.271534     0.537127E-02 0.416898E-01 0.322299E-03 0.534807E-01  0.00000     0.859374E-01 0.625417E-01 0.108486E-01 0.190176E-03  0.00000    
  1466.17      2500.00     0.266823     0.529944E-02 0.415163E-01 0.305481E-03 0.524288E-01  0.00000     0.833022E-01 0.613018E-01 0.108288E-01 0.189739E-03  0.00000    
  1463.66      2500.00     0.262274     0.522869E-02 0.413439E-01 0.289511E-03 0.514111E-01  0.00000     0.807644E-01 0.601019E-01 0.108095E-01 0.189326E-03  0.00000    
  1461.15      2500.00     0.257871     0.515844E-02 0.411721E-01 0.274320E-03 0.504242E-01  0.00000     0.783163E-01 0.589377E-01 0.107907E-01 0.188919E-03  0.00000    
  1458.65      2500.00     0.253610     0.508864E-02 0.410000E-01 0.259540E-03 0.494667E-01  0.00000     0.759536E-01 0.578083E-01 0.107725E-01 0.188519E-03  0.00000    
  1456.14      2500.00     0.245381     0.496034E-02 0.399234E-01 0.239160E-03 0.475262E-01  0.00000     0.721518E-01 0.554260E-01 0.107436E-01 0.187892E-03  0.00000    
  1453.63      2500.00     0.232874     0.476920E-02 0.378378E-01 0.213836E-03 0.445207E-01  0.00000     0.668544E-01 0.516852E-01 0.107013E-01 0.186984E-03  0.00000    
  1451.13      2500.00     0.221746     0.459803E-02 0.359845E-01 0.192101E-03 0.418437E-01  0.00000     0.621634E-01 0.483582E-01 0.106613E-01 0.186131E-03  0.00000    
  1448.62      2500.00     0.211780     0.444323E-02 0.343268E-01 0.173549E-03 0.394433E-01  0.00000     0.579811E-01 0.453785E-01 0.106231E-01 0.185304E-03  0.00000    
  1446.12      2500.00     0.202809     0.430270E-02 0.328365E-01 0.157263E-03 0.372804E-01  0.00000     0.542341E-01 0.426982E-01 0.105867E-01 0.184525E-03  0.00000    
