|6.6.6
Archiving\03_Data\Dfrac/QFM_m0.25/WD94/WD94_2.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),kg     
  2000.00        2500.00                 NaN
  1997.49        2500.00                 NaN
  1994.99        2500.00                 NaN
  1992.48        2500.00                 NaN
  1989.97        2500.00                 NaN
  1987.47        2500.00                 NaN
  1984.96        2500.00                 NaN
  1982.46        2500.00                 NaN
  1979.95        2500.00                 NaN
  1977.44        2500.00                 NaN
  1974.94        2500.00                 NaN
  1972.43        2500.00                 NaN
  1969.92        2500.00                 NaN
  1967.42        2500.00                 NaN
  1964.91        2500.00                 NaN
  1962.41        2500.00                 NaN
  1959.90        2500.00                 NaN
  1957.39        2500.00                 NaN
  1954.89        2500.00                 NaN
  1952.38        2500.00                 NaN
  1949.87        2500.00                 NaN
  1947.37        2500.00                 NaN
  1944.86        2500.00                 NaN
  1942.36        2500.00                 NaN
  1939.85        2500.00                 NaN
  1937.34        2500.00                 NaN
  1934.84        2500.00                 NaN
  1932.33        2500.00                 NaN
  1929.82        2500.00                 NaN
  1927.32        2500.00                 NaN
  1924.81        2500.00                 NaN
  1922.31        2500.00                 NaN
  1919.80        2500.00                 NaN
  1917.29        2500.00                 NaN
  1914.79        2500.00                 NaN
  1912.28        2500.00                 NaN
  1909.77        2500.00                 NaN
  1907.27        2500.00       0.546503E-006
  1904.76        2500.00       0.485836E-005
  1902.26        2500.00       0.141684E-004
  1899.75        2500.00       0.139520E-004
  1897.24        2500.00       0.139208E-004
  1894.74        2500.00       0.137638E-004
  1892.23        2500.00       0.136298E-004
  1889.72        2500.00       0.134843E-004
  1887.22        2500.00       0.134027E-004
  1884.71        2500.00       0.132294E-004
  1882.21        2500.00       0.131412E-004
  1879.70        2500.00       0.130239E-004
  1877.19        2500.00       0.129368E-004
  1874.69        2500.00       0.127954E-004
  1872.18        2500.00       0.127065E-004
  1869.67        2500.00       0.126495E-004
  1867.17        2500.00       0.123854E-004
  1864.66        2500.00       0.124071E-004
  1862.16        2500.00       0.122221E-004
  1859.65        2500.00       0.121557E-004
  1857.14        2500.00       0.120506E-004
  1854.64        2500.00       0.120587E-004
  1852.13        2500.00       0.117763E-004
  1849.62        2500.00       0.117997E-004
  1847.12        2500.00       0.786899E-005
  1844.61        2500.00       0.153890E-004
  1842.11        2500.00       0.115050E-004
  1839.60        2500.00       0.113837E-004
  1837.09        2500.00       0.113124E-004
  1834.59        2500.00       0.112250E-004
  1832.08        2500.00       0.111792E-004
  1829.57        2500.00       0.110496E-004
  1827.07        2500.00       0.109490E-004
  1824.56        2500.00       0.108816E-004
  1822.06        2500.00       0.108040E-004
  1819.55        2500.00       0.107375E-004
  1817.04        2500.00       0.106772E-004
  1814.54        2500.00       0.106052E-004
  1812.03        2500.00       0.104456E-004
  1809.52        2500.00       0.104112E-004
  1807.02        2500.00       0.103347E-004
  1804.51        2500.00       0.102817E-004
  1802.01        2500.00       0.101806E-004
  1799.50        2500.00       0.101168E-004
  1796.99        2500.00       0.100524E-004
  1794.49        2500.00       0.997444E-005
  1791.98        2500.00       0.990888E-005
  1789.47        2500.00       0.985460E-005
  1786.97        2500.00       0.978106E-005
  1784.46        2500.00       0.975864E-005
  1781.95        2500.00       0.969292E-005
  1779.45        2500.00       0.943340E-005
  1776.94        2500.00       0.820512E-005
  1774.44        2500.00       0.107420E-004
  1771.93        2500.00       0.946511E-005
  1769.42        2500.00       0.923552E-005
  1766.92        2500.00       0.924561E-005
  1764.41        2500.00       0.917867E-005
  1761.90        2500.00       0.916657E-005
  1759.40        2500.00       0.902600E-005
  1756.89        2500.00       0.748083E-005
  1754.39        2500.00       0.104595E-004
  1751.88        2500.00       0.895208E-005
  1749.37        2500.00       0.873779E-005
  1746.87        2500.00       0.874498E-005
  1744.36        2500.00       0.870273E-005
  1741.85        2500.00       0.863345E-005
  1739.35        2500.00       0.858311E-005
  1736.84        2500.00       0.851170E-005
  1734.34        2500.00       0.855080E-005
  1731.83        2500.00       0.833009E-005
  1729.32        2500.00       0.834106E-005
  1726.82        2500.00       0.829214E-005
  1724.31        2500.00       0.835643E-005
  1721.80        2500.00       0.803351E-005
  1719.30        2500.00       0.810062E-005
  1716.79        2500.00       0.793436E-005
  1714.29        2500.00       0.812859E-005
  1711.78        2500.00       0.793648E-005
  1709.27        2500.00       0.788499E-005
  1706.77        2500.00       0.780497E-005
  1704.26        2500.00       0.777745E-005
  1701.75        2500.00       0.771380E-005
  1699.25        2500.00       0.762992E-005
  1696.74        2500.00       0.758953E-005
  1694.24        2500.00       0.755082E-005
  1691.73        2500.00       0.748714E-005
  1689.22        2500.00       0.107131E-004
