|6.6.6
Archiving\03_Data\Dfrac/QFM_m0.25/YM20/YM20_6.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        2500.00        3299.20     
  1997.49        2500.00        2919.10     
  1994.99        2500.00        2919.67     
  1992.48        2500.00        2920.25     
  1989.97        2500.00        2920.82     
  1987.47        2500.00        2921.40     
  1984.96        2500.00        2921.97     
  1982.46        2500.00        2922.55     
  1979.95        2500.00        2923.14     
  1977.44        2500.00        2923.70     
  1974.94        2500.00        2924.27     
  1972.43        2500.00        2924.85     
  1969.92        2500.00        2925.42     
  1967.42        2500.00        2926.00     
  1964.91        2500.00        2926.57     
  1962.41        2500.00        2927.15     
  1959.90        2500.00        2927.72     
  1957.39        2500.00        2928.30     
  1954.89        2500.00        2928.87     
  1952.38        2500.00        2929.45     
  1949.87        2500.00        2930.02     
  1947.37        2500.00        2930.60     
  1944.86        2500.00        2931.17     
  1942.36        2500.00        2931.75     
  1939.85        2500.00        2932.32     
  1937.34        2500.00        2932.90     
  1934.84        2500.00        2933.47     
  1932.33        2500.00        2934.05     
  1929.82        2500.00        2934.63     
  1927.32        2500.00        2935.20     
  1924.81        2500.00        2935.78     
  1922.31        2500.00        4274.95     
  1919.80        2500.00        4274.57     
  1917.29        2500.00        4273.01     
  1914.79        2500.00        4274.89     
  1912.28        2500.00        4274.46     
  1909.77        2500.00        3200.28     
  1907.27        2500.00        3161.96     
  1904.76        2500.00        3163.47     
  1902.26        2500.00        3164.91     
  1899.75        2500.00        3166.09     
  1897.24        2500.00        3168.26     
  1894.74        2500.00        3169.37     
  1892.23        2500.00        3171.26     
  1889.72        2500.00        3172.61     
  1887.22        2500.00        3174.11     
  1884.71        2500.00        3175.64     
  1882.21        2500.00        3177.42     
  1879.70        2500.00        3178.80     
  1877.19        2500.00        3180.34     
  1874.69        2500.00        3181.99     
  1872.18        2500.00        3183.57     
  1869.67        2500.00        3185.07     
  1867.17        2500.00        3186.32     
  1864.66        2500.00        3187.95     
  1862.16        2500.00        3189.86     
  1859.65        2500.00        3191.32     
  1857.14        2500.00        3193.25     
  1854.64        2500.00        3194.40     
  1852.13        2500.00        3195.56     
  1849.62        2500.00        3197.54     
  1847.12        2500.00        3199.50     
  1844.61        2500.00        3200.84     
  1842.11        2500.00        3201.65     
  1839.60        2500.00        3204.00     
  1837.09        2500.00        3205.32     
  1834.59        2500.00        3206.95     
  1832.08        2500.00        3208.61     
  1829.57        2500.00        3209.96     
  1827.07        2500.00        3211.96     
  1824.56        2500.00        3213.71     
  1822.06        2500.00        3215.62     
  1819.55        2500.00        3217.05     
  1817.04        2500.00        3218.19     
  1814.54        2500.00        3220.96     
  1812.03        2500.00        3221.40     
  1809.52        2500.00        3223.42     
  1807.02        2500.00        3225.15     
  1804.51        2500.00        3227.36     
  1802.01        2500.00        3227.92     
  1799.50        2500.00        3229.76     
  1796.99        2500.00        3230.61     
  1794.49        2500.00        3233.29     
  1791.98        2500.00        3233.85     
  1789.47        2500.00        3235.82     
  1786.97        2500.00        3238.03     
  1784.46        2500.00        3239.77     
  1781.95        2500.00        3241.08     
  1779.45        2500.00        3242.79     
  1776.94        2500.00        3244.41     
  1774.44        2500.00        3246.05     
  1771.93        2500.00        3247.76     
  1769.42        2500.00        3249.22     
  1766.92        2500.00        3250.46     
  1764.41        2500.00        3252.73     
  1761.90        2500.00        3255.43     
  1759.40        2500.00        3255.79     
  1756.89        2500.00        3257.53     
  1754.39        2500.00        3259.62     
  1751.88        2500.00        3325.42     
  1749.37        2500.00        3242.46     
  1746.87        2500.00        3246.93     
  1744.36        2500.00        3249.43     
  1741.85        2500.00        3252.20     
  1739.35        2500.00        3259.44     
  1736.84        2500.00        3262.52     
  1734.34        2500.00        3270.54     
  1731.83        2500.00        3273.98     
  1729.32        2500.00        3275.28     
  1726.82        2500.00        3277.24     
  1724.31        2500.00        3279.16     
  1721.80        2500.00        3281.01     
  1719.30        2500.00        3282.17     
  1716.79        2500.00        3283.91     
  1714.29        2500.00        3285.69     
  1711.78        2500.00        3287.89     
  1709.27        2500.00        3289.09     
  1706.77        2500.00        3291.00     
  1704.26        2500.00        3291.79     
  1701.75        2500.00        3294.16     
  1699.25        2500.00        3294.96     
  1696.74        2500.00        3297.48     
  1694.24        2500.00        3298.43     
  1691.73        2500.00        3300.17     
