|6.6.6
Archiving\03_Data\Dfrac/QFM_m1.25/T13/T13_5.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         pcr     usp     imt     ispTH     iherc     nmt     nsp     nherc    
  2000.00        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00       0.792449       0.264354E-004  0.216433       0.174901      -0.123783      -0.104025      -0.319874       0.363872     
  1904.76        2500.00       0.798870       0.849976E-004  0.218802       0.171663      -0.123349      -0.105158      -0.330716       0.369803     
  1902.26        2500.00       0.796701       0.909818E-004  0.216765       0.170186      -0.120872      -0.104162      -0.329158       0.370448     
  1899.75        2500.00       0.798290       0.822037E-004  0.217043       0.168120      -0.119537      -0.104274      -0.333203       0.373480     
  1897.24        2500.00       0.799352       0.829385E-004  0.217165       0.165931      -0.117885      -0.104300      -0.336970       0.376624     
  1894.74        2500.00       0.799648       0.761204E-004  0.216112       0.164076      -0.116045      -0.103794      -0.338494       0.378422     
  1892.23        2500.00       0.798143       0.760128E-004  0.214635       0.162036      -0.113367      -0.103046      -0.338818       0.380342     
  1889.72        2500.00       0.799632       0.991769E-004  0.215635       0.159526      -0.111736      -0.103461      -0.344332       0.384637     
  1887.22        2500.00       0.799815       0.755940E-004  0.214243       0.158337      -0.110422      -0.102824      -0.344466       0.385242     
  1884.71        2500.00       0.798510       0.165443E-004  0.214529       0.150782      -0.103110      -0.102587      -0.350417       0.392277     
  1882.21        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00       0.799989       0.749929E-004  0.211130       0.150687      -0.102777      -0.101253      -0.351904       0.394053     
  1874.69        2500.00       0.800639       0.817821E-004  0.211142       0.148735      -0.101189      -0.101225      -0.355081       0.396896     
  1872.18        2500.00       0.800211       0.807492E-004  0.210036       0.147091      -0.993196E-001 -0.100683      -0.355951       0.398535     
  1869.67        2500.00       0.800633       0.801308E-004  0.209491       0.144969      -0.973734E-001 -0.100396      -0.358679       0.401276     
  1867.17        2500.00       0.800806       0.751500E-004  0.208550       0.143155      -0.955616E-001 -0.999382E-001 -0.360382       0.403295     
  1864.66        2500.00       0.800971       0.658025E-004  0.208586       0.141283      -0.938962E-001 -0.999099E-001 -0.363221       0.406120     
  1862.16        2500.00       0.800582       0.764121E-004  0.207665       0.139602      -0.920497E-001 -0.994495E-001 -0.364432       0.408006     
  1859.65        2500.00       0.800517       0.758390E-004  0.206995       0.137640      -0.900810E-001 -0.990990E-001 -0.366554       0.410506     
  1857.14        2500.00       0.801064       0.712687E-004  0.206322       0.135876      -0.884884E-001 -0.987709E-001 -0.368765       0.412692     
  1854.64        2500.00       0.800954       0.775936E-004  0.206866       0.133957      -0.868017E-001 -0.989565E-001 -0.372084       0.415987     
  1852.13        2500.00       0.800964       0.755642E-004  0.204843       0.132186      -0.847594E-001 -0.980173E-001 -0.372618       0.417327     
  1849.62        2500.00       0.801520       0.818745E-004  0.204073       0.130446      -0.831756E-001 -0.976466E-001 -0.374763       0.419465     
  1847.12        2500.00       0.801884       0.784102E-004  0.203999       0.128589      -0.815598E-001 -0.975745E-001 -0.377700       0.422284     
  1844.61        2500.00       0.802312       0.686848E-004  0.203369       0.126573      -0.796921E-001 -0.972527E-001 -0.380386       0.425008     
  1842.11        2500.00       0.800801       0.702588E-004  0.202347       0.125088      -0.776799E-001 -0.967234E-001 -0.380593       0.426690     
  1839.60        2500.00       0.801803       0.724757E-004  0.202060       0.123445      -0.764205E-001 -0.965807E-001 -0.383436       0.429057     
  1837.09        2500.00       0.801521       0.725281E-004  0.201433       0.121698      -0.746048E-001 -0.962502E-001 -0.385293       0.431423     
  1834.59        2500.00       0.803557       0.730734E-004  0.201421       0.119820      -0.734796E-001 -0.962483E-001 -0.389515       0.434371     
  1832.08        2500.00       0.801666       0.764460E-004  0.201091       0.118412      -0.715718E-001 -0.960155E-001 -0.390083       0.436425     
  1829.57        2500.00       0.803000       0.823179E-004  0.200442       0.116365      -0.699428E-001 -0.957079E-001 -0.393546       0.439307     
  1827.07        2500.00       0.802448       0.754419E-004  0.199624       0.114837      -0.682184E-001 -0.952925E-001 -0.394751       0.441278     
  1824.56        2500.00       0.801578       0.842132E-004  0.198070       0.113406      -0.663564E-001 -0.945480E-001 -0.394886       0.442653     
