|6.6.6
Archiving\03_Data\Dfrac/QFM_m1/YM20/YM20_2.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),kg     
  2000.00        2500.00                 NaN
  1997.49        2500.00                 NaN
  1994.99        2500.00                 NaN
  1992.48        2500.00                 NaN
  1989.97        2500.00                 NaN
  1987.47        2500.00                 NaN
  1984.96        2500.00                 NaN
  1982.46        2500.00                 NaN
  1979.95        2500.00                 NaN
  1977.44        2500.00                 NaN
  1974.94        2500.00                 NaN
  1972.43        2500.00                 NaN
  1969.92        2500.00                 NaN
  1967.42        2500.00                 NaN
  1964.91        2500.00                 NaN
  1962.41        2500.00                 NaN
  1959.90        2500.00                 NaN
  1957.39        2500.00                 NaN
  1954.89        2500.00                 NaN
  1952.38        2500.00                 NaN
  1949.87        2500.00                 NaN
  1947.37        2500.00                 NaN
  1944.86        2500.00                 NaN
  1942.36        2500.00                 NaN
  1939.85        2500.00                 NaN
  1937.34        2500.00                 NaN
  1934.84        2500.00                 NaN
  1932.33        2500.00                 NaN
  1929.82        2500.00                 NaN
  1927.32        2500.00                 NaN
  1924.81        2500.00                 NaN
  1922.31        2500.00                 NaN
  1919.80        2500.00                 NaN
  1917.29        2500.00       0.130107E-004
  1914.79        2500.00                 NaN
  1912.28        2500.00       0.279675E-005
  1909.77        2500.00       0.149441E-004
  1907.27        2500.00       0.152132E-004
  1904.76        2500.00       0.142297E-004
  1902.26        2500.00       0.145490E-004
  1899.75        2500.00       0.144016E-004
  1897.24        2500.00       0.142700E-004
  1894.74        2500.00       0.140938E-004
  1892.23        2500.00       0.140382E-004
  1889.72        2500.00       0.144283E-004
  1887.22        2500.00       0.132501E-004
  1884.71        2500.00       0.136686E-004
  1882.21        2500.00       0.134689E-004
  1879.70        2500.00       0.151387E-004
  1877.19        2500.00       0.115786E-004
  1874.69        2500.00       0.131811E-004
  1872.18        2500.00       0.130328E-004
  1869.67        2500.00       0.154536E-004
  1867.17        2500.00       0.639178E-005
  1864.66        2500.00       0.167206E-004
  1862.16        2500.00       0.126378E-004
  1859.65        2500.00       0.125429E-004
  1857.14        2500.00       0.124484E-004
  1854.64        2500.00       0.235420E-004
  1852.13        2500.00       0.515286E-005
  1849.62        2500.00       0.862955E-005
  1847.12        2500.00       0.965218E-005
  1844.61        2500.00       0.136946E-004
  1842.11        2500.00       0.118492E-004
  1839.60        2500.00       0.117819E-004
  1837.09        2500.00       0.116926E-004
  1834.59        2500.00       0.116127E-004
  1832.08        2500.00       0.115022E-004
  1829.57        2500.00       0.114296E-004
  1827.07        2500.00       0.113406E-004
  1824.56        2500.00       0.113488E-004
  1822.06        2500.00       0.110931E-004
  1819.55        2500.00       0.111035E-004
  1817.04        2500.00       0.109988E-004
  1814.54        2500.00       0.110244E-004
  1812.03        2500.00       0.108323E-004
  1809.52        2500.00       0.108249E-004
  1807.02        2500.00       0.106691E-004
  1804.51        2500.00       0.106808E-004
  1802.01        2500.00       0.105039E-004
  1799.50        2500.00       0.104799E-004
  1796.99        2500.00       0.104718E-004
  1794.49        2500.00       0.102726E-004
  1791.98        2500.00       0.102638E-004
  1789.47        2500.00       0.101955E-004
  1786.97        2500.00       0.993960E-005
  1784.46        2500.00       0.102290E-004
  1781.95        2500.00       0.998057E-005
  1779.45        2500.00       0.221093E-004
  1776.94        2500.00                 NaN
  1774.44        2500.00       0.746993E-005
  1771.93        2500.00       0.978161E-005
  1769.42        2500.00       0.960590E-005
  1766.92        2500.00       0.755868E-005
  1764.41        2500.00       0.329253E-005
  1761.90        2500.00       0.178577E-004
  1759.40        2500.00       0.932795E-005
  1756.89        2500.00       0.913671E-005
  1754.39        2500.00       0.951123E-005
  1751.88        2500.00       0.923045E-005
  1749.37        2500.00       0.919106E-005
  1746.87        2500.00       0.905287E-005
  1744.36        2500.00       0.901944E-005
  1741.85        2500.00       0.131006E-004
  1739.35        2500.00       0.597878E-005
  1736.84        2500.00       0.770029E-005
  1734.34        2500.00       0.880803E-005
  1731.83        2500.00       0.893599E-005
  1729.32        2500.00       0.850798E-005
  1726.82        2500.00       0.858509E-005
  1724.31        2500.00       0.872097E-005
  1721.80        2500.00       0.834948E-005
  1719.30        2500.00       0.849746E-005
  1716.79        2500.00       0.835064E-005
  1714.29        2500.00       0.834440E-005
  1711.78        2500.00       0.827580E-005
  1709.27        2500.00       0.822274E-005
  1706.77        2500.00       0.815861E-005
  1704.26        2500.00       0.812575E-005
  1701.75        2500.00       0.805849E-005
  1699.25        2500.00       0.800946E-005
  1696.74        2500.00       0.792783E-005
  1694.24        2500.00       0.791174E-005
  1691.73        2500.00       0.195423E-004
  1689.22        2500.00                 NaN
