|6.6.6
Archiving\03_Data\fracLP/QFM/TAY13/TAY13_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          57
T(K)           P(bar)         V,J/bar/mol    H,J/mol        Gruneisen_T    Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        vp/vs          rho,kg/m3      G,J/mol        cp,J/K/mol     alpha,1/K      beta,1/bar     S,J/K/mol      n,mol          N,g            Ks_{T},bar/K   Gs_{T},bar/K   Ks_{P}         Gs_P           v0_{T}         vp_{T}         vs_{T}         v0_{P}         vp_P           vs_{P}         cp/cv          vol,%          wt,%           mol,%          SiO2,mol,pfu   TiO2,mol,pfu   Al2O3,mol,pfu  Cr2O3,mol,pfu  FeO,mol,pfu    MnO,mol,pfu    MgO,mol,pfu    CaO,mol,pfu    Na2O,mol,pfu   K2O,mol,pfu    NiO,mol,pfu    O2,mol,pfu     mu[SiO2],J/mol mu[TiO2],J/mol mu[Al2O3],J/mo mu[Cr2O3],J/mo mu[FeO],J/mol  mu[MnO],J/mol  mu[MgO],J/mol  mu[CaO],J/mol  mu[Na2O],J/mol mu[K2O],J/mol  mu[NiO],J/mol  nom_ox        
  2000.00        500.000        3.42363       -963080.       0.421579        241800.        0.00000        2.87738        2.87738        0.00000                 NaN   2920.55      -0.159142E+007   162.813       0.827156E-004  0.445485E-005   314.168       0.454590        99.9887       -37.8872      -0.109901        11.7515       0.324732E-002 -0.106423E-003 -0.107295E-003   0.00000       0.635112E-004  0.635370E-004   0.00000        1.06905        100.000        100.000        100.000       0.727315       0.175294E-002  0.298153E-001  0.480295E-002  0.251935       0.620269E-002  0.756749       0.433333E-001  0.855128E-002  0.424646E-003  0.401644E-003  0.964575E-002 -0.108134E+007 -0.120256E+007 -0.199098E+007 -0.149647E+007  -489433.       -570226.       -732836.       -919468.      -0.103670E+007 -0.119679E+007  -410437.        0.00000     
  1997.49        500.000        3.40782       -959889.       0.416447        239214.        0.00000        2.86463        2.86463        0.00000                 NaN   2915.08      -0.158391E+007   162.170       0.828447E-004  0.446843E-005   312.402       0.447115        99.3407       -37.5597        0.00000        11.8094        0.00000      -0.106232E-003 -0.106232E-003   0.00000       0.643096E-004  0.643096E-004   0.00000        1.06891        100.000        100.000        100.000       0.725987       0.175294E-002  0.298153E-001  0.480295E-002  0.251691        0.00000       0.754738       0.433333E-001  0.855128E-002  0.424646E-003   0.00000       0.965774E-002 -0.108088E+007 -0.120207E+007 -0.199006E+007 -0.149524E+007  -488926.       -569827.       -732507.       -918869.      -0.103569E+007 -0.119418E+007  -410333.        0.00000     
  1994.99        500.000        3.40712       -960296.       0.416510        239308.        0.00000        2.86489        2.86489        0.00000                 NaN   2915.68      -0.158313E+007   162.170       0.828420E-004  0.446636E-005   312.198       0.447120        99.3408       -37.5429        0.00000        11.8078        0.00000      -0.106057E-003 -0.106057E-003   0.00000       0.642811E-004  0.642811E-004   0.00000        1.06884        100.000        100.000        100.000       0.725987       0.175294E-002  0.298153E-001  0.480295E-002  0.251691        0.00000       0.754738       0.433333E-001  0.855128E-002  0.424646E-003   0.00000       0.965866E-002 -0.108059E+007 -0.120171E+007 -0.198927E+007 -0.149442E+007  -488368.       -569428.       -732043.       -917989.      -0.103403E+007 -0.119280E+007  -410384.        0.00000     
  1992.48        500.000        3.40646       -960714.       0.416568        239394.        0.00000        2.86512        2.86512        0.00000                 NaN   2916.27      -0.158236E+007   162.173       0.828414E-004  0.446443E-005   311.995       0.447218        99.3414       -37.5246        0.00000        11.8054        0.00000      -0.105876E-003 -0.105876E-003   0.00000       0.642493E-004  0.642493E-004   0.00000        1.06876        100.000        100.000        100.000       0.725987       0.175294E-002  0.298153E-001  0.480295E-002  0.251691        0.00000       0.754738       0.433333E-001  0.855128E-002  0.424646E-003   0.00000       0.967978E-002 -0.108014E+007 -0.120109E+007 -0.198840E+007 -0.149345E+007  -487836.       -569029.       -731676.       -917740.      -0.103445E+007 -0.119052E+007  -410497.        0.00000     
  1989.97        500.000        3.40579       -961129.       0.416628        239483.        0.00000        2.86536        2.86536        0.00000                 NaN   2916.86      -0.158158E+007   162.175       0.828400E-004  0.446245E-005   311.791       0.447283        99.3419       -37.5056        0.00000        11.8033        0.00000      -0.105690E-003 -0.105690E-003   0.00000       0.642187E-004  0.642187E-004   0.00000        1.06868        100.000        100.000        100.000       0.725987       0.175294E-002  0.298153E-001  0.480295E-002  0.251691        0.00000       0.754738       0.433333E-001  0.855128E-002  0.424646E-003   0.00000       0.969381E-002 -0.107957E+007 -0.119985E+007 -0.198721E+007 -0.149179E+007  -487419.       -568631.       -731431.       -917255.      -0.103355E+007 -0.119232E+007  -410301.        0.00000     
  1987.47        500.000        3.40511       -961542.       0.416689        239572.        0.00000        2.86561        2.86561        0.00000                 NaN   2917.45      -0.158081E+007   162.177       0.828385E-004  0.446046E-005   311.586       0.447340        99.3423       -37.4887        0.00000        11.8012        0.00000      -0.105516E-003 -0.105516E-003   0.00000       0.641883E-004  0.641883E-004   0.00000        1.06860        100.000        100.000        100.000       0.725987       0.175294E-002  0.298153E-001  0.480295E-002  0.251691        0.00000       0.754738       0.433333E-001  0.855128E-002  0.424646E-003   0.00000       0.970596E-002 -0.107912E+007 -0.119925E+007 -0.198685E+007 -0.149065E+007  -486888.       -568232.       -731077.       -916672.      -0.103192E+007 -0.119015E+007  -410324.        0.00000     
  1984.96        500.000        3.40442       -961954.       0.416749        239663.        0.00000        2.86586        2.86586        0.00000                 NaN   2918.04      -0.158003E+007   162.178       0.828366E-004  0.445846E-005   311.382       0.447385        99.3426       -37.4706        0.00000        11.7993        0.00000      -0.105335E-003 -0.105335E-003   0.00000       0.641585E-004  0.641585E-004   0.00000        1.06853        100.000        100.000        100.000       0.725987       0.175294E-002  0.298153E-001  0.480295E-002  0.251691        0.00000       0.754738       0.433333E-001  0.855128E-002  0.424646E-003   0.00000       0.971557E-002 -0.107872E+007 -0.119873E+007 -0.198509E+007 -0.148932E+007  -486253.       -567834.       -730757.       -916083.      -0.103258E+007 -0.118900E+007  -410115.        0.00000     
  1982.46        500.000        3.40375       -962369.       0.416809        239751.        0.00000        2.86609        2.86609        0.00000                 NaN   2918.63      -0.157926E+007   162.180       0.828354E-004  0.445649E-005   311.177       0.447454        99.3431       -37.4545        0.00000        11.7971        0.00000      -0.105167E-003 -0.105167E-003   0.00000       0.641277E-004  0.641277E-004   0.00000        1.06845        100.000        100.000        100.000       0.725987       0.175294E-002  0.298153E-001  0.480295E-002  0.251691        0.00000       0.754738       0.433333E-001  0.855128E-002  0.424646E-003   0.00000       0.973057E-002 -0.107830E+007 -0.119802E+007 -0.198456E+007 -0.148814E+007  -485831.       -567436.       -730329.       -915759.      -0.103112E+007 -0.119051E+007  -410416.        0.00000     
  1979.95        500.000        3.40308       -962782.       0.416869        239840.        0.00000        2.86633        2.86633        0.00000                 NaN   2919.22      -0.157849E+007   162.182       0.828338E-004  0.445451E-005   310.972       0.447511        99.3435       -37.4363        0.00000        11.7950        0.00000      -0.104987E-003 -0.104987E-003   0.00000       0.640974E-004  0.640974E-004   0.00000        1.06837        100.000        100.000        100.000       0.725987       0.175294E-002  0.298153E-001  0.480295E-002  0.251691        0.00000       0.754738       0.433333E-001  0.855128E-002  0.424646E-003   0.00000       0.974286E-002 -0.107787E+007 -0.119657E+007 -0.198365E+007 -0.148821E+007  -485334.       -567038.       -729972.       -915066.      -0.103028E+007 -0.119069E+007  -410455.        0.00000     
  1977.44        500.000        3.40240       -963196.       0.416928        239929.        0.00000        2.86657        2.86657        0.00000                 NaN   2919.82      -0.157772E+007   162.183       0.828324E-004  0.445254E-005   310.766       0.447572        99.3439       -37.4180        0.00000        11.7930        0.00000      -0.104805E-003 -0.104805E-003   0.00000       0.640671E-004  0.640671E-004   0.00000        1.06829        100.000        100.000        100.000       0.725987       0.175294E-002  0.298153E-001  0.480295E-002  0.251691        0.00000       0.754738       0.433333E-001  0.855128E-002  0.424646E-003   0.00000       0.975609E-002 -0.107736E+007 -0.119668E+007 -0.198254E+007 -0.148713E+007  -484867.       -566640.       -729670.       -914670.      -0.102977E+007 -0.118730E+007  -410439.        0.00000     
