|6.6.6
Archiving\03_Data\fracLP/QFM_m0.25/TAY13/TAY13_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          57
T(K)           P(bar)         V,J/bar/mol    H,J/mol        Gruneisen_T    Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        vp/vs          rho,kg/m3      G,J/mol        cp,J/K/mol     alpha,1/K      beta,1/bar     S,J/K/mol      n,mol          N,g            Ks_{T},bar/K   Gs_{T},bar/K   Ks_{P}         Gs_P           v0_{T}         vp_{T}         vs_{T}         v0_{P}         vp_P           vs_{P}         cp/cv          vol,%          wt,%           mol,%          SiO2,mol,pfu   TiO2,mol,pfu   Al2O3,mol,pfu  Cr2O3,mol,pfu  FeO,mol,pfu    MnO,mol,pfu    MgO,mol,pfu    CaO,mol,pfu    Na2O,mol,pfu   K2O,mol,pfu    NiO,mol,pfu    O2,mol,pfu     mu[SiO2],J/mol mu[TiO2],J/mol mu[Al2O3],J/mo mu[Cr2O3],J/mo mu[FeO],J/mol  mu[MnO],J/mol  mu[MgO],J/mol  mu[CaO],J/mol  mu[Na2O],J/mol mu[K2O],J/mol  mu[NiO],J/mol  nom_ox        
  2000.00        500.000        3.42061       -962589.       0.421795        242219.        0.00000        2.87911        2.87911        0.00000                 NaN   2922.08      -0.159078E+007   162.661       0.826092E-004  0.444705E-005   314.094       0.450253        99.9529       -37.9092      -0.110707        11.7921       0.327245E-002 -0.106381E-003 -0.107259E-003   0.00000       0.636807E-004  0.637066E-004   0.00000        1.06899        100.000        100.000        100.000       0.727315       0.175294E-002  0.298153E-001  0.480295E-002  0.251935       0.620269E-002  0.756749       0.433333E-001  0.855128E-002  0.424646E-003  0.401644E-003  0.852940E-002 -0.108147E+007 -0.120296E+007 -0.199096E+007 -0.149610E+007  -489071.       -570226.       -732754.       -919037.      -0.103598E+007 -0.119441E+007  -410646.        0.00000     
  1997.49        500.000        3.40469       -959360.       0.416634        239615.        0.00000        2.86628        2.86628        0.00000                 NaN   2916.61      -0.158321E+007   162.012       0.827390E-004  0.446072E-005   312.317       0.442748        99.3014       -37.5797        0.00000        11.8510        0.00000      -0.106188E-003 -0.106188E-003   0.00000       0.644881E-004  0.644881E-004   0.00000        1.06886        100.000        100.000        100.000       0.725964       0.175294E-002  0.298153E-001  0.480295E-002  0.251682        0.00000       0.754701       0.433333E-001  0.855128E-002  0.424646E-003   0.00000       0.853970E-002 -0.108099E+007 -0.120189E+007 -0.198971E+007 -0.149479E+007  -488553.       -569827.       -732437.       -918693.      -0.103551E+007 -0.119599E+007  -410555.        0.00000     
  1994.99        500.000        3.40401       -959773.       0.416695        239705.        0.00000        2.86652        2.86652        0.00000                 NaN   2917.20      -0.158244E+007   162.014       0.827375E-004  0.445873E-005   312.114       0.442802        99.3018       -37.5625        0.00000        11.8490        0.00000      -0.106012E-003 -0.106012E-003   0.00000       0.644578E-004  0.644578E-004   0.00000        1.06878        100.000        100.000        100.000       0.725964       0.175294E-002  0.298153E-001  0.480295E-002  0.251682        0.00000       0.754701       0.433333E-001  0.855128E-002  0.424646E-003   0.00000       0.855111E-002 -0.108059E+007 -0.120126E+007 -0.198895E+007 -0.149400E+007  -488047.       -569428.       -732046.       -918046.      -0.103463E+007 -0.119298E+007  -410594.        0.00000     
  1992.48        500.000        3.40333       -960185.       0.416756        239795.        0.00000        2.86677        2.86677        0.00000                 NaN   2917.79      -0.158166E+007   162.015       0.827359E-004  0.445673E-005   311.910       0.442854        99.3021       -37.5439        0.00000        11.8469        0.00000      -0.105828E-003 -0.105828E-003   0.00000       0.644272E-004  0.644272E-004   0.00000        1.06870        100.000        100.000        100.000       0.725964       0.175294E-002  0.298153E-001  0.480295E-002  0.251682        0.00000       0.754701       0.433333E-001  0.855128E-002  0.424646E-003   0.00000       0.856212E-002 -0.108023E+007 -0.120071E+007 -0.198807E+007 -0.149310E+007  -487510.       -569029.       -731625.       -917453.      -0.103354E+007 -0.119178E+007  -410674.        0.00000     
  1989.97        500.000        3.40265       -960597.       0.416818        239885.        0.00000        2.86702        2.86702        0.00000                 NaN   2918.39      -0.158089E+007   162.017       0.827343E-004  0.445473E-005   311.707       0.442904        99.3024       -37.5275        0.00000        11.8449        0.00000      -0.105657E-003 -0.105657E-003   0.00000       0.643969E-004  0.643969E-004   0.00000        1.06862        100.000        100.000        100.000       0.725964       0.175294E-002  0.298153E-001  0.480295E-002  0.251682        0.00000       0.754701       0.433333E-001  0.855128E-002  0.424646E-003   0.00000       0.857274E-002 -0.107968E+007 -0.119972E+007 -0.198698E+007 -0.149172E+007  -487022.       -568631.       -731369.       -916878.      -0.103319E+007 -0.119159E+007  -410486.        0.00000     
  1987.47        500.000        3.40197       -961010.       0.416879        239975.        0.00000        2.86726        2.86726        0.00000                 NaN   2918.98      -0.158011E+007   162.018       0.827328E-004  0.445274E-005   311.502       0.442955        99.3028       -37.5084        0.00000        11.8429        0.00000      -0.105470E-003 -0.105470E-003   0.00000       0.643667E-004  0.643667E-004   0.00000        1.06855        100.000        100.000        100.000       0.725964       0.175294E-002  0.298153E-001  0.480295E-002  0.251682        0.00000       0.754701       0.433333E-001  0.855128E-002  0.424646E-003   0.00000       0.858376E-002 -0.107924E+007 -0.120051E+007 -0.198596E+007 -0.149078E+007  -486541.       -568232.       -731012.       -916379.      -0.103184E+007 -0.119375E+007  -410508.        0.00000     
  1984.96        500.000        3.40129       -961422.       0.416939        240064.        0.00000        2.86751        2.86751        0.00000                 NaN   2919.57      -0.157934E+007   162.020       0.827313E-004  0.445076E-005   311.298       0.443011        99.3032       -37.4912        0.00000        11.8408        0.00000      -0.105295E-003 -0.105295E-003   0.00000       0.643363E-004  0.643363E-004   0.00000        1.06847        100.000        100.000        100.000       0.725964       0.175294E-002  0.298153E-001  0.480295E-002  0.251682        0.00000       0.754701       0.433333E-001  0.855128E-002  0.424646E-003   0.00000       0.859550E-002 -0.107881E+007 -0.119870E+007 -0.198537E+007 -0.148959E+007  -486021.       -567834.       -730635.       -915905.      -0.103150E+007 -0.118993E+007  -410633.        0.00000     
  1982.46        500.000        3.40061       -961835.       0.417000        240154.        0.00000        2.86775        2.86775        0.00000                 NaN   2920.17      -0.157856E+007   162.022       0.827298E-004  0.444878E-005   311.093       0.443064        99.3035       -37.4742        0.00000        11.8387        0.00000      -0.105121E-003 -0.105121E-003   0.00000       0.643060E-004  0.643060E-004   0.00000        1.06839        100.000        100.000        100.000       0.725964       0.175294E-002  0.298153E-001  0.480295E-002  0.251682        0.00000       0.754701       0.433333E-001  0.855128E-002  0.424646E-003   0.00000       0.860681E-002 -0.107842E+007 -0.119800E+007 -0.198409E+007 -0.148891E+007  -485505.       -567436.       -730251.       -915360.      -0.103116E+007 -0.118806E+007  -410691.        0.00000     
  1979.95        500.000        3.39994       -962247.       0.417060        240244.        0.00000        2.86799        2.86799        0.00000                 NaN   2920.76      -0.157779E+007   162.023       0.827282E-004  0.444679E-005   310.888       0.443118        99.3039       -37.4545        0.00000        11.8367        0.00000      -0.104932E-003 -0.104932E-003   0.00000       0.642758E-004  0.642758E-004   0.00000        1.06831        100.000        100.000        100.000       0.725964       0.175294E-002  0.298153E-001  0.480295E-002  0.251682        0.00000       0.754701       0.433333E-001  0.855128E-002  0.424646E-003   0.00000       0.861830E-002 -0.107792E+007 -0.119692E+007 -0.198346E+007 -0.148758E+007  -485014.       -567038.       -729934.       -914904.      -0.102995E+007 -0.118773E+007  -410713.        0.00000     
  1977.44        500.000        3.39926       -962660.       0.417121        240333.        0.00000        2.86824        2.86824        0.00000                 NaN   2921.35      -0.157702E+007   162.025       0.827267E-004  0.444482E-005   310.683       0.443172        99.3043       -37.4379        0.00000        11.8346        0.00000      -0.104760E-003 -0.104760E-003   0.00000       0.642455E-004  0.642455E-004   0.00000        1.06824        100.000        100.000        100.000       0.725964       0.175294E-002  0.298153E-001  0.480295E-002  0.251682        0.00000       0.754701       0.433333E-001  0.855128E-002  0.424646E-003   0.00000       0.862986E-002 -0.107758E+007 -0.119690E+007 -0.198246E+007 -0.148653E+007  -484445.       -566640.       -729518.       -914301.      -0.102910E+007 -0.118648E+007  -410846.        0.00000     
