|6.6.6
Archiving\03_Data\fracLP/QFM_m0.5/TAY13/TAY13_2.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),kg     
  2000.00        500.000                 NaN
  1997.49        500.000                 NaN
  1994.99        500.000                 NaN
  1992.48        500.000                 NaN
  1989.97        500.000                 NaN
  1987.47        500.000                 NaN
  1984.96        500.000                 NaN
  1982.46        500.000                 NaN
  1979.95        500.000                 NaN
  1977.44        500.000                 NaN
  1974.94        500.000                 NaN
  1972.43        500.000                 NaN
  1969.92        500.000                 NaN
  1967.42        500.000                 NaN
  1964.91        500.000                 NaN
  1962.41        500.000                 NaN
  1959.90        500.000                 NaN
  1957.39        500.000                 NaN
  1954.89        500.000                 NaN
  1952.38        500.000                 NaN
  1949.87        500.000                 NaN
  1947.37        500.000                 NaN
  1944.86        500.000                 NaN
  1942.36        500.000                 NaN
  1939.85        500.000                 NaN
  1937.34        500.000                 NaN
  1934.84        500.000                 NaN
  1932.33        500.000                 NaN
  1929.82        500.000                 NaN
  1927.32        500.000                 NaN
  1924.81        500.000                 NaN
  1922.31        500.000                 NaN
  1919.80        500.000                 NaN
  1917.29        500.000                 NaN
  1914.79        500.000                 NaN
  1912.28        500.000                 NaN
  1909.77        500.000                 NaN
  1907.27        500.000                 NaN
  1904.76        500.000                 NaN
  1902.26        500.000                 NaN
  1899.75        500.000                 NaN
  1897.24        500.000                 NaN
  1894.74        500.000                 NaN
  1892.23        500.000                 NaN
  1889.72        500.000                 NaN
  1887.22        500.000                 NaN
  1884.71        500.000                 NaN
  1882.21        500.000                 NaN
  1879.70        500.000                 NaN
  1877.19        500.000                 NaN
  1874.69        500.000                 NaN
  1872.18        500.000                 NaN
  1869.67        500.000       0.353478E-005
  1867.17        500.000       0.822404E-005
  1864.66        500.000       0.135418E-004
  1862.16        500.000       0.133990E-004
  1859.65        500.000       0.132814E-004
  1857.14        500.000       0.132066E-004
  1854.64        500.000       0.130417E-004
  1852.13        500.000       0.129295E-004
  1849.62        500.000       0.128107E-004
  1847.12        500.000       0.127292E-004
  1844.61        500.000       0.126080E-004
  1842.11        500.000       0.124933E-004
  1839.60        500.000       0.124311E-004
  1837.09        500.000       0.122651E-004
  1834.59        500.000       0.122096E-004
  1832.08        500.000       0.120813E-004
  1829.57        500.000       0.120019E-004
  1827.07        500.000       0.118883E-004
  1824.56        500.000       0.117849E-004
  1822.06        500.000       0.116892E-004
  1819.55        500.000       0.115732E-004
  1817.04        500.000       0.114887E-004
  1814.54        500.000       0.113959E-004
  1812.03        500.000       0.113214E-004
  1809.52        500.000       0.112178E-004
  1807.02        500.000       0.111031E-004
  1804.51        500.000       0.110448E-004
  1802.01        500.000       0.109430E-004
  1799.50        500.000       0.135141E-004
  1796.99        500.000       0.811165E-005
  1794.49        500.000       0.106804E-004
  1791.98        500.000       0.106162E-004
  1789.47        500.000       0.105275E-004
  1786.97        500.000       0.104286E-004
  1784.46        500.000       0.103859E-004
  1781.95        500.000       0.102363E-004
  1779.45        500.000       0.101880E-004
  1776.94        500.000       0.101190E-004
  1774.44        500.000       0.100799E-004
  1771.93        500.000       0.990723E-005
  1769.42        500.000       0.989122E-005
  1766.92        500.000       0.978415E-005
  1764.41        500.000       0.969756E-005
  1761.90        500.000       0.972090E-005
  1759.40        500.000       0.103397E-004
  1756.89        500.000       0.863695E-005
  1754.39        500.000       0.941977E-005
  1751.88        500.000       0.935136E-005
  1749.37        500.000       0.928869E-005
  1746.87        500.000       0.918111E-005
  1744.36        500.000       0.912847E-005
  1741.85        500.000       0.906309E-005
  1739.35        500.000       0.897933E-005
  1736.84        500.000       0.892983E-005
  1734.34        500.000       0.887140E-005
  1731.83        500.000       0.876169E-005
  1729.32        500.000       0.872825E-005
  1726.82        500.000       0.863698E-005
  1724.31        500.000       0.857597E-005
  1721.80        500.000       0.850054E-005
  1719.30        500.000       0.848717E-005
  1716.79        500.000       0.838234E-005
  1714.29        500.000       0.825697E-005
  1711.78        500.000       0.826329E-005
  1709.27        500.000       0.817812E-005
  1706.77        500.000       0.810750E-005
  1704.26        500.000       0.805315E-005
  1701.75        500.000       0.798015E-005
  1699.25        500.000       0.796028E-005
  1696.74        500.000       0.783427E-005
  1694.24        500.000       0.778034E-005
  1691.73        500.000       0.774788E-005
  1689.22        500.000       0.765496E-005
  1686.72        500.000       0.760150E-005
  1684.21        500.000       0.755406E-005
  1681.70        500.000       0.752531E-005
  1679.20        500.000       0.737345E-005
  1676.69        500.000       0.734912E-005
  1674.19        500.000       0.729328E-005
  1671.68        500.000       0.723320E-005
  1669.17        500.000       0.716679E-005
  1666.67        500.000       0.713792E-005
  1664.16        500.000       0.701469E-005
  1661.65        500.000       0.698377E-005
  1659.15        500.000       0.694782E-005
  1656.64        500.000       0.687068E-005
  1654.14        500.000       0.678090E-005
  1651.63        500.000       0.673999E-005
  1649.12        500.000       0.666961E-005
  1646.62        500.000       0.660308E-005
  1644.11        500.000       0.656003E-005
  1641.60        500.000       0.647706E-005
  1639.10        500.000       0.643526E-005
  1636.59        500.000       0.636065E-005
  1634.09        500.000       0.631442E-005
  1631.58        500.000       0.624055E-005
  1629.07        500.000       0.618134E-005
  1626.57        500.000       0.613955E-005
  1624.06        500.000       0.608125E-005
  1621.55        500.000       0.595840E-005
  1619.05        500.000       0.594081E-005
  1616.54        500.000       0.586994E-005
  1614.04        500.000       0.582555E-005
  1611.53        500.000       0.591796E-005
  1609.02        500.000       0.553332E-005
  1606.52        500.000       0.562348E-005
  1604.01        500.000       0.556891E-005
  1601.50        500.000       0.551317E-005
  1599.00        500.000       0.551755E-005
  1596.49        500.000       0.535377E-005
  1593.98        500.000       0.532116E-005
  1591.48        500.000       0.530999E-005
  1588.97        500.000       0.518551E-005
  1586.47        500.000       0.513303E-005
  1583.96        500.000       0.509343E-005
  1581.45        500.000       0.504458E-005
  1578.95        500.000       0.497338E-005
  1576.44        500.000       0.492462E-005
  1573.93        500.000       0.485800E-005
  1571.43        500.000       0.479977E-005
  1568.92        500.000       0.475390E-005
  1566.42        500.000       0.465206E-005
  1563.91        500.000       0.659585E-006
  1561.40        500.000                 NaN
  1558.90        500.000                 NaN
  1556.39        500.000                 NaN
  1553.88        500.000                 NaN
  1551.38        500.000                 NaN
  1548.87        500.000                 NaN
  1546.37        500.000                 NaN
  1543.86        500.000                 NaN
  1541.35        500.000                 NaN
  1538.85        500.000                 NaN
  1536.34        500.000                 NaN
  1533.83        500.000                 NaN
  1531.33        500.000                 NaN
  1528.82        500.000                 NaN
  1526.32        500.000                 NaN
  1523.81        500.000                 NaN
  1521.30        500.000                 NaN
  1518.80        500.000                 NaN
  1516.29        500.000                 NaN
  1513.78        500.000                 NaN
  1511.28        500.000                 NaN
  1508.77        500.000                 NaN
  1506.27        500.000                 NaN
  1503.76        500.000                 NaN
  1501.25        500.000                 NaN
  1498.75        500.000                 NaN
  1496.24        500.000                 NaN
  1493.73        500.000                 NaN
  1491.23        500.000                 NaN
  1488.72        500.000                 NaN
  1486.22        500.000                 NaN
  1483.71        500.000                 NaN
  1481.20        500.000                 NaN
