|6.6.6
Archiving\03_Data\fracLP/QFM_m0.5/TAY13/TAY13_4.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),m3     
  2000.00        500.000                 NaN
  1997.49        500.000                 NaN
  1994.99        500.000                 NaN
  1992.48        500.000                 NaN
  1989.97        500.000                 NaN
  1987.47        500.000                 NaN
  1984.96        500.000                 NaN
  1982.46        500.000                 NaN
  1979.95        500.000                 NaN
  1977.44        500.000                 NaN
  1974.94        500.000                 NaN
  1972.43        500.000                 NaN
  1969.92        500.000                 NaN
  1967.42        500.000                 NaN
  1964.91        500.000                 NaN
  1962.41        500.000                 NaN
  1959.90        500.000                 NaN
  1957.39        500.000                 NaN
  1954.89        500.000                 NaN
  1952.38        500.000                 NaN
  1949.87        500.000                 NaN
  1947.37        500.000                 NaN
  1944.86        500.000                 NaN
  1942.36        500.000                 NaN
  1939.85        500.000                 NaN
  1937.34        500.000                 NaN
  1934.84        500.000                 NaN
  1932.33        500.000                 NaN
  1929.82        500.000                 NaN
  1927.32        500.000                 NaN
  1924.81        500.000                 NaN
  1922.31        500.000                 NaN
  1919.80        500.000                 NaN
  1917.29        500.000                 NaN
  1914.79        500.000                 NaN
  1912.28        500.000                 NaN
  1909.77        500.000                 NaN
  1907.27        500.000                 NaN
  1904.76        500.000                 NaN
  1902.26        500.000                 NaN
  1899.75        500.000                 NaN
  1897.24        500.000                 NaN
  1894.74        500.000                 NaN
  1892.23        500.000                 NaN
  1889.72        500.000                 NaN
  1887.22        500.000                 NaN
  1884.71        500.000                 NaN
  1882.21        500.000                 NaN
  1879.70        500.000                 NaN
  1877.19        500.000                 NaN
  1874.69        500.000                 NaN
  1872.18        500.000                 NaN
  1869.67        500.000       0.815772E-004
  1867.17        500.000       0.189665E-003
  1864.66        500.000       0.312150E-003
  1862.16        500.000       0.308681E-003
  1859.65        500.000       0.305841E-003
  1857.14        500.000       0.303892E-003
  1854.64        500.000       0.300034E-003
  1852.13        500.000       0.297286E-003
  1849.62        500.000       0.294370E-003
  1847.12        500.000       0.292345E-003
  1844.61        500.000       0.289377E-003
  1842.11        500.000       0.286598E-003
  1839.60        500.000       0.285084E-003
  1837.09        500.000       0.281085E-003
  1834.59        500.000       0.279676E-003
  1832.08        500.000       0.276592E-003
  1829.57        500.000       0.274582E-003
  1827.07        500.000       0.271899E-003
  1824.56        500.000       0.269324E-003
  1822.06        500.000       0.267030E-003
  1819.55        500.000       0.264232E-003
  1817.04        500.000       0.262170E-003
  1814.54        500.000       0.259970E-003
  1812.03        500.000       0.258102E-003
  1809.52        500.000       0.255622E-003
  1807.02        500.000       0.252866E-003
  1804.51        500.000       0.251414E-003
  1802.01        500.000       0.248964E-003
  1799.50        500.000       0.307282E-003
  1796.99        500.000       0.184365E-003
  1794.49        500.000       0.242609E-003
  1791.98        500.000       0.241071E-003
  1789.47        500.000       0.238957E-003
  1786.97        500.000       0.236562E-003
  1784.46        500.000       0.235483E-003
  1781.95        500.000       0.231975E-003
  1779.45        500.000       0.230714E-003
  1776.94        500.000       0.229074E-003
  1774.44        500.000       0.228112E-003
  1771.93        500.000       0.224051E-003
  1769.42        500.000       0.223558E-003
  1766.92        500.000       0.221047E-003
  1764.41        500.000       0.218969E-003
  1761.90        500.000       0.219387E-003
  1759.40        500.000       0.233244E-003
  1756.89        500.000       0.194755E-003
  1754.39        500.000       0.212333E-003
  1751.88        500.000       0.210680E-003
  1749.37        500.000       0.209162E-003
  1746.87        500.000       0.206687E-003
  1744.36        500.000       0.205387E-003
  1741.85        500.000       0.203824E-003
  1739.35        500.000       0.201842E-003
  1736.84        500.000       0.200642E-003
  1734.34        500.000       0.199237E-003
  1731.83        500.000       0.196716E-003
  1729.32        500.000       0.195909E-003
  1726.82        500.000       0.193708E-003
  1724.31        500.000       0.192302E-003
  1721.80        500.000       0.190500E-003
  1719.30        500.000       0.190149E-003
  1716.79        500.000       0.187774E-003
  1714.29        500.000       0.184847E-003
  1711.78        500.000       0.184976E-003
  1709.27        500.000       0.182926E-003
  1706.77        500.000       0.181257E-003
  1704.26        500.000       0.180016E-003
  1701.75        500.000       0.178323E-003
  1699.25        500.000       0.177732E-003
  1696.74        500.000       0.174963E-003
  1694.24        500.000       0.173652E-003
  1691.73        500.000       0.172857E-003
  1689.22        500.000       0.170745E-003
  1686.72        500.000       0.169499E-003
  1684.21        500.000       0.168390E-003
  1681.70        500.000       0.167700E-003
  1679.20        500.000       0.164245E-003
  1676.69        500.000       0.163679E-003
  1674.19        500.000       0.162375E-003
  1671.68        500.000       0.161010E-003
  1669.17        500.000       0.159479E-003
  1666.67        500.000       0.158818E-003
  1664.16        500.000       0.156043E-003
  1661.65        500.000       0.155268E-003
  1659.15        500.000       0.154449E-003
  1656.64        500.000       0.152748E-003
  1654.14        500.000       0.150679E-003
  1651.63        500.000       0.149735E-003
  1649.12        500.000       0.148162E-003
  1646.62        500.000       0.146601E-003
  1644.11        500.000       0.145660E-003
  1641.60        500.000       0.143766E-003
  1639.10        500.000       0.142831E-003
  1636.59        500.000       0.141121E-003
  1634.09        500.000       0.140074E-003
  1631.58        500.000       0.138421E-003
  1629.07        500.000       0.137054E-003
  1626.57        500.000       0.136161E-003
  1624.06        500.000       0.134782E-003
  1621.55        500.000       0.132058E-003
  1619.05        500.000       0.131684E-003
  1616.54        500.000       0.130070E-003
  1614.04        500.000       0.129080E-003
  1611.53        500.000       0.131064E-003
  1609.02        500.000       0.122560E-003
  1606.52        500.000       0.124531E-003
  1604.01        500.000       0.123330E-003
  1601.50        500.000       0.122099E-003
  1599.00        500.000       0.122288E-003
  1596.49        500.000       0.118506E-003
  1593.98        500.000       0.117822E-003
  1591.48        500.000       0.117504E-003
  1588.97        500.000       0.114758E-003
  1586.47        500.000       0.113614E-003
  1583.96        500.000       0.112729E-003
  1581.45        500.000       0.111670E-003
  1578.95        500.000       0.110080E-003
  1576.44        500.000       0.108984E-003
  1573.93        500.000       0.107495E-003
  1571.43        500.000       0.106205E-003
  1568.92        500.000       0.105189E-003
  1566.42        500.000       0.102945E-003
  1563.91        500.000       0.145944E-004
  1561.40        500.000                 NaN
  1558.90        500.000                 NaN
  1556.39        500.000                 NaN
  1553.88        500.000                 NaN
  1551.38        500.000                 NaN
  1548.87        500.000                 NaN
  1546.37        500.000                 NaN
  1543.86        500.000                 NaN
  1541.35        500.000                 NaN
  1538.85        500.000                 NaN
  1536.34        500.000                 NaN
  1533.83        500.000                 NaN
  1531.33        500.000                 NaN
  1528.82        500.000                 NaN
  1526.32        500.000                 NaN
  1523.81        500.000                 NaN
  1521.30        500.000                 NaN
  1518.80        500.000                 NaN
  1516.29        500.000                 NaN
  1513.78        500.000                 NaN
  1511.28        500.000                 NaN
  1508.77        500.000                 NaN
  1506.27        500.000                 NaN
  1503.76        500.000                 NaN
  1501.25        500.000                 NaN
  1498.75        500.000                 NaN
  1496.24        500.000                 NaN
  1493.73        500.000                 NaN
  1491.23        500.000                 NaN
  1488.72        500.000                 NaN
  1486.22        500.000                 NaN
  1483.71        500.000                 NaN
  1481.20        500.000                 NaN
