|6.6.6
Archiving\03_Data\fracLP/QFM_m1.25/YM20/YM20_6.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        500.000        5145.98     
  1997.49        500.000        5146.73     
  1994.99        500.000        5147.49     
  1992.48        500.000        5148.24     
  1989.97        500.000        5149.00     
  1987.47        500.000        5149.75     
  1984.96        500.000        5150.50     
  1982.46        500.000        5151.26     
  1979.95        500.000        5152.01     
  1977.44        500.000        5152.76     
  1974.94        500.000        5153.51     
  1972.43        500.000        5154.26     
  1969.92        500.000        5155.01     
  1967.42        500.000        5155.76     
  1964.91        500.000        5156.51     
  1962.41        500.000        5157.26     
  1959.90        500.000        5158.01     
  1957.39        500.000        5158.76     
  1954.89        500.000        5159.51     
  1952.38        500.000        5160.26     
  1949.87        500.000        5161.00     
  1947.37        500.000        5161.75     
  1944.86        500.000        5162.50     
  1942.36        500.000        5163.24     
  1939.85        500.000        5163.99     
  1937.34        500.000        5164.74     
  1934.84        500.000        5165.48     
  1932.33        500.000        5166.22     
  1929.82        500.000        5166.97     
  1927.32        500.000        5167.71     
  1924.81        500.000        5120.74     
  1922.31        500.000        2890.68     
  1919.80        500.000        2891.25     
  1917.29        500.000        2891.82     
  1914.79        500.000        2892.39     
  1912.28        500.000        2892.95     
  1909.77        500.000        2893.52     
  1907.27        500.000        2894.09     
  1904.76        500.000        2894.66     
  1902.26        500.000        2895.22     
  1899.75        500.000        2895.79     
  1897.24        500.000        2896.36     
  1894.74        500.000        2896.93     
  1892.23        500.000        2897.49     
  1889.72        500.000        2898.06     
  1887.22        500.000        2898.63     
  1884.71        500.000        2899.20     
  1882.21        500.000        3146.30     
  1879.70        500.000        3147.54     
  1877.19        500.000        3149.94     
  1874.69        500.000        3150.60     
  1872.18        500.000        3152.17     
  1869.67        500.000        3153.49     
  1867.17        500.000        3166.19     
  1864.66        500.000        3179.23     
  1862.16        500.000        3180.99     
  1859.65        500.000        3182.07     
  1857.14        500.000        3183.75     
  1854.64        500.000        3185.25     
  1852.13        500.000        3187.03     
  1849.62        500.000        3188.85     
  1847.12        500.000        3189.87     
  1844.61        500.000        3191.56     
  1842.11        500.000        3193.68     
  1839.60        500.000        3194.61     
  1837.09        500.000        3196.13     
  1834.59        500.000        3197.65     
  1832.08        500.000        3199.42     
  1829.57        500.000        3200.85     
  1827.07        500.000        3202.57     
  1824.56        500.000        3204.19     
  1822.06        500.000        3205.85     
  1819.55        500.000        3207.41     
  1817.04        500.000        3209.03     
  1814.54        500.000        3210.34     
  1812.03        500.000        3211.63     
  1809.52        500.000        3213.73     
  1807.02        500.000        3215.37     
  1804.51        500.000        3216.89     
  1802.01        500.000        3218.61     
  1799.50        500.000        3220.11     
  1796.99        500.000        3221.81     
  1794.49        500.000        3223.64     
  1791.98        500.000        3225.03     
  1789.47        500.000        3226.56     
  1786.97        500.000        3228.07     
  1784.46        500.000        3229.71     
  1781.95        500.000        3231.43     
  1779.45        500.000        3232.99     
  1776.94        500.000        3234.24     
  1774.44        500.000        3236.28     
  1771.93        500.000        3242.96     
  1769.42        500.000        4375.72     
  1766.92        500.000        3239.32     
  1764.41        500.000        3243.00     
  1761.90        500.000        3244.11     
  1759.40        500.000        3245.61     
  1756.89        500.000        3248.13     
  1754.39        500.000        3248.60     
  1751.88        500.000        3251.08     
  1749.37        500.000        3251.83     
  1746.87        500.000        3254.01     
  1744.36        500.000        3255.17     
  1741.85        500.000        3257.20     
  1739.35        500.000        3258.59     
  1736.84        500.000        3260.51     
  1734.34        500.000        3260.99     
  1731.83        500.000        3263.29     
  1729.32        500.000        3265.56     
  1726.82        500.000        3266.52     
  1724.31        500.000        3268.43     
  1721.80        500.000        3270.18     
  1719.30        500.000        3270.24     
  1716.79        500.000        3273.76     
  1714.29        500.000        3274.89     
  1711.78        500.000        3277.24     
  1709.27        500.000        3278.06     
  1706.77        500.000        3279.80     
  1704.26        500.000        3281.59     
  1701.75        500.000        3283.12     
  1699.25        500.000        3284.46     
  1696.74        500.000        3286.10     
  1694.24        500.000        3287.24     
  1691.73        500.000        3288.82     
  1689.22        500.000        3291.72     
  1686.72        500.000        3292.80     
  1684.21        500.000        3294.84     
  1681.70        500.000        3295.52     
  1679.20        500.000        3297.52     
  1676.69        500.000        3298.57     
  1674.19        500.000        3300.33     
  1671.68        500.000        3301.24     
  1669.17        500.000        3304.58     
  1666.67        500.000        3304.34     
  1664.16        500.000        3305.66     
  1661.65        500.000        3307.88     
  1659.15        500.000        3332.45     
  1656.64        500.000        3311.54     
  1654.14        500.000        3311.82     
  1651.63        500.000        3313.94     
  1649.12        500.000        3317.06     
  1646.62        500.000        3317.17     
  1644.11        500.000        3319.20     
  1641.60        500.000        3321.17     
  1639.10        500.000        3320.24     
  1636.59        500.000        3324.06     
  1634.09        500.000        3325.08     
  1631.58        500.000        3326.51     
  1629.07        500.000        3328.32     
  1626.57        500.000        3329.35     
  1624.06        500.000        3331.48     
  1621.55        500.000        3332.77     
  1619.05        500.000        3333.02     
  1616.54        500.000        3336.24     
  1614.04        500.000        3337.21     
  1611.53        500.000        3339.11     
  1609.02        500.000        3339.82     
  1606.52        500.000        3341.76     
  1604.01        500.000        3344.59     
  1601.50        500.000        3343.87     
  1599.00        500.000        3346.12     
  1596.49        500.000        3347.48     
  1593.98        500.000        3347.90     
  1591.48        500.000        3350.22     
  1588.97        500.000        3351.90     
  1586.47        500.000        3267.38     
  1583.96        500.000        3247.82     
  1581.45        500.000        3248.75     
  1578.95        500.000        3249.58     
  1576.44        500.000        3250.74     
  1573.93        500.000        3251.85     
  1571.43        500.000        3252.30     
  1568.92        500.000        3252.83     
  1566.42        500.000        3253.90     
  1563.91        500.000        3254.51     
  1561.40        500.000        3255.43     
  1558.90        500.000        3255.80     
  1556.39        500.000        3257.65     
  1553.88        500.000        3257.86     
  1551.38        500.000        3258.79     
  1548.87        500.000        3260.09     
  1546.37        500.000        3259.97     
  1543.86        500.000        3261.32     
  1541.35        500.000        3261.74     
  1538.85        500.000        3263.17     
  1536.34        500.000        3264.00     
  1533.83        500.000        3264.49     
  1531.33        500.000        3264.53     
  1528.82        500.000        3266.70     
  1526.32        500.000        3266.33     
  1523.81        500.000        3268.01     
  1521.30        500.000        3267.87     
  1518.80        500.000        3269.62     
  1516.29        500.000        3269.67     
  1513.78        500.000        3270.92     
  1511.28        500.000        3271.24     
  1508.77        500.000        3271.14     
  1506.27        500.000        3272.15     
  1503.76        500.000        3273.16     
  1501.25        500.000        3276.14     
  1498.75        500.000        3277.21     
  1496.24        500.000        3276.05     
  1493.73        500.000        3277.20     
  1491.23        500.000        3277.80     
  1488.72        500.000        3279.37     
  1486.22        500.000        3280.32     
  1483.71        500.000        3281.70     
  1481.20        500.000        3294.84     
  1478.70        500.000        3283.49     
  1476.19        500.000        3283.89     
  1473.68        500.000        3285.64     
  1471.18        500.000        3286.62     
  1468.67        500.000        3287.65     
  1466.17        500.000        3288.62     
  1463.66        500.000        3290.26     
  1461.15        500.000        3291.55     
  1458.65        500.000        3292.67     
  1456.14        500.000        3282.11     
  1453.63        500.000        3280.55     
  1451.13        500.000        3281.41     
  1448.62        500.000        3283.86     
  1446.12        500.000        3284.85     
  1443.61        500.000        3286.21     
  1441.10        500.000        3287.87     
  1438.60        500.000        3289.31     
  1436.09        500.000        3290.97     
  1433.58        500.000        3271.48     
  1431.08        500.000        3274.04     
  1428.57        500.000        3275.89     
  1426.07        500.000        3277.74     
  1423.56        500.000        3280.02     
  1421.05        500.000        3281.93     
  1418.55        500.000        3284.03     
  1416.04        500.000        3286.01     
  1413.53        500.000        3231.10     
  1411.03        500.000        3108.96     
  1408.52        500.000        3111.49     
  1406.02        500.000        3113.83     
  1403.51        500.000        3116.26     
  1401.00        500.000        3118.62     
  1398.50        500.000        3121.08     
  1395.99        500.000        3123.46     
  1393.48        500.000        3125.72     
  1390.98        500.000        3128.01     
  1388.47        500.000        3130.49     
